channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0001,N001,Graham Stephan,https://www.youtube.com/@GrahamStephan,4500000,900,500000,Monologue,en,US,Real estate investing and personal finance education,2026-04-16,active
CH0002,N001,Minority Mindset - Jaspreet Singh,https://www.youtube.com/minoritymindset/,2400000,900,150000,Monologue,en,US,Personal finance and wealth building strategies,2026-04-16,active
CH0003,N001,WhiteBoard Finance - Marko,https://www.youtube.com/@WhiteBoardFinance/,1000000,500,100000,Monologue,en,US,Whiteboard-style personal finance and investing education,2026-04-16,active
CH0004,N001,Andrei Jikh,https://www.youtube.com/@AndreiJikh/,2700000,1000,300000,Monologue,en,US,Investing and personal finance with visual flair,2026-04-16,active
CH0005,N001,Nick True - MappedOutMoney,https://www.youtube.com/@mappedoutmoney/,70600,,80000,Monologue,en,US,Budgeting education focused on YNAB and tools,2026-04-16,active
CH0006,N001,Rachel Cruze,https://www.youtube.com/channel/UCt59W0ScV709iwy2h-oiulQ/,630000,500,60000,Monologue,en,US,Budgeting and debt-free living education,2026-04-16,active
CH0007,N001,The Financial Diet,https://www.youtube.com/@TheFinancialDiet/,900000,800,100000,Monologue,en,US,Women-focused personal finance and money education,2026-04-16,active
CH0008,N001,Two Cents (PBS),https://www.youtube.com/@TwoCentsPBS/,817000,200,200000,Monologue,en,US,Clear practical advice on credit cards and money basics,2026-04-16,active
CH0009,N001,Dave Ramsey,https://www.youtube.com/@DaveRamseyShow,2000000,5000,150000,Monologue,en,US,Financial advice on budgeting and debt management,2026-04-16,active
CH0010,N001,Caleb Hammer,https://www.youtube.com/@CalebHammer,2500000,500,800000,Monologue,en,US,Financial Audit series - tough love personal finance coaching,2026-04-16,active
CH0011,N001,The Money Guy Show,https://www.youtube.com/@MoneyGuyShow,800000,1500,100000,Monologue,en,US,Wealth building strategies and financial order of operations,2026-04-16,active
CH0012,N001,Ramit Sethi,https://www.youtube.com/@ramaborsethi,1200000,500,200000,Monologue,en,US,I Will Teach You To Be Rich - conscious spending and rich life,2026-04-16,active
