channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0101,N002,Dave Ramsey,https://www.youtube.com/@DaveRamseyShow,2000000,5000,150000,Monologue,en,US,Debt snowball method and financial peace,2026-04-16,active
CH0102,N002,Caleb Hammer,https://www.youtube.com/@CalebHammer,2500000,500,800000,Monologue,en,US,Financial Audit series - debt intervention and coaching,2026-04-16,active
CH0103,N002,Rachel Cruze,https://www.youtube.com/channel/UCt59W0ScV709iwy2h-oiulQ/,630000,500,60000,Monologue,en,US,Debt-free living and money management,2026-04-16,active
CH0104,N002,Graham Stephan,https://www.youtube.com/@GrahamStephan,4500000,900,500000,Monologue,en,US,Credit cards and personal finance,2026-04-16,active
CH0105,N002,The Credit Shifu,https://www.youtube.com/@CreditShifu,1200000,800,100000,Monologue,en,US,Credit card reviews and travel hacking,2026-04-16,active
CH0106,N002,Ask Sebby,https://www.youtube.com/@AskSebby,500000,500,80000,Monologue,en,US,Credit cards and FICO score optimization,2026-04-16,active
CH0107,N002,ProudMoney,https://www.youtube.com/@ProudMoney,200000,300,30000,Monologue,en,US,Beginner-friendly credit card education,2026-04-16,active
CH0108,N002,Credit Plug,https://www.youtube.com/@CreditPlug,400000,500,50000,Monologue,en,US,Credit building hacks and business funding,2026-04-16,active
CH0109,N002,The Financial Diet,https://www.youtube.com/@TheFinancialDiet/,900000,800,100000,Monologue,en,US,Credit management and personal finance for women,2026-04-16,active
CH0110,N002,Minority Mindset - Jaspreet Singh,https://www.youtube.com/minoritymindset/,2400000,900,150000,Monologue,en,US,Debt management and wealth building strategies,2026-04-16,active
CH0111,N002,WhiteBoard Finance - Marko,https://www.youtube.com/@WhiteBoardFinance/,1000000,500,100000,Monologue,en,US,Credit and debt education with whiteboard style,2026-04-16,active
CH0112,N002,Andrei Jikh,https://www.youtube.com/@AndreiJikh/,2700000,1000,300000,Monologue,en,US,Credit cards and personal finance with visual flair,2026-04-16,active
CH0113,N002,The Credit Repair Shop,https://www.youtube.com/channel/UCUI7EQCC1VrDCrznn4dj8xw/,93100,300,15000,Monologue,en,US,Credit repair strategies and dispute tactics,2026-04-16,active
CH0114,N002,Got Credit?,https://www.youtube.com/channel/UCl1L98jmCn5rQX_QD8rgj3Q/,94000,300,15000,Monologue,en,US,Credit score improvement and financial empowerment,2026-04-16,active
CH0115,N002,Credit Repair Cloud - Daniel Rosen,https://www.youtube.com/channel/UCNKUPS9y9gBV3heWhyVm1BQ/,63200,400,10000,Monologue,en,US,Credit repair business education,2026-04-16,active
CH0116,N002,Rose Credit Repair,https://www.youtube.com/channel/UCX5pUhRI8E2B5jPaaeD8S0A/,75300,200,10000,Monologue,en,US,DIY credit repair and dispute strategies,2026-04-16,active
CH0117,N002,Credit Plush w/ Eddy,https://www.youtube.com/channel/UCmrWhfE7e6IvNc38XTwKwOQ/,5900,100,3000,Monologue,en,US,Credit education with relatable style,2026-04-16,active
CH0118,N002,The Credit Expert - Terri Couser,https://www.youtube.com/@TheCreditExpert,50000,200,8000,Monologue,en,US,Credit knowledge for homebuyers,2026-04-16,active
CH0119,N002,The Credit Dude,https://www.youtube.com/@TheCreditDude,80000,200,10000,Monologue,en,US,Demystifying credit scores and credit building,2026-04-16,active
CH0120,N002,Jenn Financial Solutions,https://www.youtube.com/@JennFinancialSolutions,30000,150,8000,Monologue,en,US,Real case studies and credit dispute tactics,2026-04-16,active
CH0121,N002,Prince Donnell,https://www.youtube.com/channel/UCZg4RbcfhPRf2OTJdK_669w/,259000,300,30000,Monologue,en,US,Credit repair and financial education,2026-04-16,active
CH0122,N002,Karlton Dennis,https://www.youtube.com/channel/UCEc3bAbOtPEUIgpNkViF_PQ/,1100000,500,100000,Monologue,en,US,Tax strategy and credit optimization,2026-04-16,active
CH0123,N002,Budget Girl - Sarah Wilson,https://www.youtube.com/@BudgetGirl/,100000,300,30000,Monologue,en,US,Debt payoff journey - paid off 33K student loans,2026-04-16,active
CH0124,N002,Two Cents (PBS),https://www.youtube.com/@TwoCentsPBS/,817000,200,200000,Monologue,en,US,Credit cards and money basics explained,2026-04-16,active
CH0125,N002,The Money Guy Show,https://www.youtube.com/@MoneyGuyShow,800000,1500,100000,Monologue,en,US,Debt management and wealth building,2026-04-16,active
CH0126,N002,Naam Wynn,https://www.youtube.com/channel/UCifemFZtTGl7Sw7kKDtCkew/,298000,200,50000,Monologue,en,US,Credit and personal finance education,2026-04-16,active
CH0127,N002,Nick True - MappedOutMoney,https://www.youtube.com/@mappedoutmoney/,70600,,80000,Monologue,en,US,Debt payoff strategies and budgeting tools,2026-04-16,active
CH0128,N002,Debt Free Millennials,https://www.youtube.com/channel/UCvs2mwDS-ZiIeJ01kvzarbQ/,113000,200,20000,Monologue,en,US,Millennial debt freedom strategies,2026-04-16,active
CH0129,N002,Let's Talk Money - Joseph Hogue CFA,https://www.youtube.com/channel/UCbKdotYtcY9SxoU8CYAXdvg/,736000,800,60000,Monologue,en,US,Debt management and personal finance from CFA,2026-04-16,active
CH0130,N002,Your Rich BFF - Vivian Tu,https://www.youtube.com/@YourRichBFF,1500000,400,300000,Monologue,en,US,Credit and debt advice for young adults,2026-04-16,active
CH0131,N002,Ramit Sethi,https://www.youtube.com/@ramaborsethi,1200000,500,200000,Monologue,en,US,Smart debt management and conscious spending,2026-04-16,active
