channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0201,N003,The Swedish Investor,https://www.youtube.com/@TheSwedishInvestor/,1000000,200,150000,Monologue,en,SE,Value investing book summaries and analysis,2026-04-16,active
CH0202,N003,Learn to Invest - Jimmy,https://www.youtube.com/@LearntoInvest/,400000,200,80000,Monologue,en,AU,Value investing education and stock analysis,2026-04-16,active
CH0203,N003,Cameron Stewart CFA,https://www.youtube.com/@CameronStewartCFA/,200000,300,40000,Monologue,en,US,CFA-level stock analysis with DCF valuations,2026-04-16,active
CH0204,N003,Sven Carlin PhD,https://www.youtube.com/@SvenCarlin/,262000,500,30000,Monologue,en,EU,Value investing and European stock analysis,2026-04-16,active
CH0205,N003,Joseph Carlson,https://www.youtube.com/@JosephCarlsonShow/,500000,400,100000,Monologue,en,US,Dividend growth investing and portfolio tracking,2026-04-16,active
CH0206,N003,Ryan Scribner,https://www.youtube.com/channel/UC3mjMoJuFnjYRBLon_6njbQ/,866000,700,60000,Monologue,en,US,Stock market education for beginners,2026-04-16,active
CH0207,N003,Ricky Gutierrez,https://www.youtube.com/@TechBudSolutions/,1200000,800,40000,Monologue,en,US,Day trading and stock market education,2026-04-16,active
CH0208,N003,Wealth Hacker - Jeff Rose,https://www.youtube.com/channel/UCkNgKCu9062P0CPyVoBI5sQ/,402000,400,30000,Monologue,en,US,Investing and wealth building strategies,2026-04-16,active
CH0209,N003,Financial Education - Jeremy,https://www.youtube.com/channel/UCnMn36GT_H0X-w5_ckLtlgQ/,921000,900,100000,Monologue,en,US,Stock market investing education,2026-04-16,active
CH0210,N003,Patrick Boyle,https://www.youtube.com/channel/UCASM0cgfkJxQ1ICmRilfHLw/,1100000,300,200000,Monologue,en,UK,Financial markets analysis and commentary,2026-04-16,active
CH0211,N003,Michael Kitces,https://www.youtube.com/@MichaelKitces/,14900,300,10000,Monologue,en,US,Financial planning deep dives for advisors,2026-04-16,active
CH0212,N003,Graham Stephan,https://www.youtube.com/@GrahamStephan,4500000,900,500000,Monologue,en,US,Personal finance and market analysis,2026-04-16,active
CH0213,N003,WhiteBoard Finance - Marko,https://www.youtube.com/@WhiteBoardFinance/,1000000,500,100000,Monologue,en,US,Stock market education with whiteboard style,2026-04-16,active
CH0214,N003,Andrei Jikh,https://www.youtube.com/@AndreiJikh/,2700000,1000,300000,Monologue,en,US,Investing education with visual storytelling,2026-04-16,active
CH0215,N003,Minority Mindset - Jaspreet Singh,https://www.youtube.com/minoritymindset/,2400000,900,150000,Monologue,en,US,Stock market and wealth building,2026-04-16,active
CH0216,N003,The Plain Bagel,https://www.youtube.com/c/ThePlainBagel/,1100000,200,200000,Monologue,en,CA,Making stock market investing simple,2026-04-16,active
CH0217,N003,Ben Felix,https://www.youtube.com/@BenFelix,497000,200,150000,Monologue,en,CA,Evidence-based investing and portfolio management,2026-04-16,active
CH0218,N003,Phil Town's Rule #1 Investing,https://www.youtube.com/@PhilTown,459000,500,40000,Monologue,en,US,Value investing education using Rule #1 method,2026-04-16,active
CH0219,N003,Everything Money,https://www.youtube.com/@EverythingMoney,377000,500,50000,Monologue,en,US,Stock analysis and investing education,2026-04-16,active
CH0220,N003,Investing Simplified - Professor G,https://www.youtube.com/@InvestingSimplified,406000,400,40000,Monologue,en,US,Simplified stock market education,2026-04-16,active
CH0221,N003,Mark Tilbury,https://www.youtube.com/@marktilbury/,7700000,400,500000,Monologue,en,UK,Stock market and money education,2026-04-16,active
CH0222,N003,Ross Cameron - Warrior Trading,https://www.youtube.com/channel/UCBayuhgYpKNbhJxfExYkPfA,2000000,2000,30000,Monologue,en,US,Day trading education and morning shows,2026-04-16,active
CH0223,N003,Patrick Wieland,https://www.youtube.com/channel/UCTovmBbgOEgi4iXqSH3IxjQ/,1100000,500,50000,Monologue,en,US,Stock trading education and analysis,2026-04-16,active
CH0224,N003,Timothy Sykes,https://www.youtube.com/channel/UCoSG43KFjTe0trsteSQ46Ng,477000,1000,20000,Monologue,en,US,Penny stock trading education,2026-04-16,active
CH0225,N003,Stocks with Josh,https://www.youtube.com/@StockswithJosh/,184000,300,20000,Monologue,en,US,Stock analysis and market trends,2026-04-16,active
CH0226,N003,Sasha the Options Coach,https://www.youtube.com/channel/UCANbiv7ZczMkNh67X2IYMrA,195000,200,15000,Monologue,en,US,Options trading education and strategies,2026-04-16,active
CH0227,N003,Brian Shannon,https://www.youtube.com/channel/UCfD3rq06LaA8wc3s2m3LwRQ,224000,500,15000,Monologue,en,US,Technical analysis and stock trading,2026-04-16,active
CH0228,N003,True Investing Academy,https://www.youtube.com/@TrueInvesting/,462000,300,30000,Monologue,en,US,Value investing education and stock picks,2026-04-16,active
CH0229,N003,Conquer Trading & Investing,https://www.youtube.com/@ConquerTradingInvesting,121000,300,15000,Monologue,en,US,Profitable trading education,2026-04-16,active
CH0230,N003,Invest with Henry,https://www.youtube.com/@InvestwithHenry/,470000,300,30000,Monologue,en,US,Options trading teaching and coaching,2026-04-16,active
CH0231,N003,Legacy Investing Show,https://www.youtube.com/@LegacyInvestingShow,553000,500,40000,Monologue,en,US,Legacy wealth through stock investing,2026-04-16,active
CH0232,N003,Stealth Wealth Investing,https://www.youtube.com/@StealthWealthInvesting,146000,200,20000,Monologue,en,US,Under-the-radar investing strategies,2026-04-16,active
CH0233,N003,Beavis Wealth,https://www.youtube.com/@BeavisWealth,241000,300,25000,Monologue,en,US,Stock market analysis and wealth building,2026-04-16,active
CH0234,N003,Investing Made Simple - Nathan Sloan,https://www.youtube.com/@InvestingMadeSimple,265000,200,30000,Monologue,en,US,Simplified investing education,2026-04-16,active
CH0235,N003,Preston Pysh,https://www.youtube.com/@PrestonPysh,246000,300,20000,Monologue,en,US,Value investing and market analysis,2026-04-16,active
CH0236,N003,Learn to Invest - Investors Grow,https://www.youtube.com/@InvestorsGrow,289000,200,25000,Monologue,en,US,Investment education for growth,2026-04-16,active
CH0237,N003,Benzinga,https://www.youtube.com/channel/UCqQs28K2zj2dOsc5NfXUKEg,293000,2000,10000,Monologue,en,US,Stock market news and analysis,2026-04-16,active
CH0238,N003,The Motley Fool,https://www.youtube.com/channel/UCpRQuynBX9Qy9tPrcswpPag,454000,2000,20000,Monologue,en,US,Stock picks and investing advice,2026-04-16,active
CH0239,N003,ARK Invest,https://www.youtube.com/@ARKInvest,300000,500,30000,Monologue,en,US,Innovation-focused investment research,2026-04-16,active
CH0240,N003,Bloomberg Markets and Finance,https://www.youtube.com/channel/UCIALMKvObZNtJ6AmdCLP7Lg/,3100000,10000,30000,Monologue,en,US,Financial news and market analysis,2026-04-16,active
CH0241,N003,Financial Times,https://www.youtube.com/channel/UCoUxsWakJucWg46KW5RsvPw,1400000,5000,30000,Monologue,en,UK,Financial journalism and market analysis,2026-04-16,active
CH0242,N003,Kevin Paffrath - Meet Kevin,https://www.youtube.com/@MeetKevin,1900000,3000,200000,Monologue,en,US,Daily market coverage and economic analysis,2026-04-16,active
CH0243,N003,Investors Underground,https://www.youtube.com/@InvestorsUnderground,185000,500,10000,Monologue,en,US,Stock trading community and education,2026-04-16,active
CH0244,N003,Dividend Bull,https://www.youtube.com/@DividendBull,211000,200,20000,Monologue,en,US,Dividend and value stock analysis,2026-04-16,active
CH0245,N003,Dividend Data,https://www.youtube.com/@DividendData,172000,200,20000,Monologue,en,US,Data-driven stock and dividend analysis,2026-04-16,active
CH0246,N003,Young And Investing,https://www.youtube.com/@YoungAndInvesting,143000,200,15000,Monologue,en,US,Young investor stock market education,2026-04-16,active
CH0247,N003,UNRIVALED INVESTING,https://www.youtube.com/@UnrivaledInvesting,119000,200,15000,Monologue,en,US,Stock market investing strategies,2026-04-16,active
CH0248,N003,Michael Jay - Value Investing,https://www.youtube.com/@MichaelJayValueInvesting,69000,200,10000,Monologue,en,US,Value investing analysis and picks,2026-04-16,active
CH0249,N003,Investing with Tom,https://www.youtube.com/@InvestingWithTom,46700,200,8000,Monologue,en,US,Stock market investing education,2026-04-16,active
CH0250,N003,Angelo Colombo,https://www.youtube.com/@AngeloColombo,66200,200,10000,Monologue,en,US,Stock market and economic analysis,2026-04-16,active
CH0251,N003,Mitch Investing,https://www.youtube.com/@MitchInvesting,83600,150,10000,Monologue,en,US,Stock market investing education,2026-04-16,active
CH0252,N003,Invest with Alen,https://www.youtube.com/@InvestWithAlen,44700,150,8000,Monologue,en,US,Stock analysis and portfolio tracking,2026-04-16,active
CH0253,N003,Bryan Invest,https://www.youtube.com/@BryanInvest,91100,200,10000,Monologue,en,US,Stock market investing and analysis,2026-04-16,active
CH0254,N003,Zacks Investment News,https://www.youtube.com/@ZacksInvestmentNews,67700,500,5000,Monologue,en,US,Stock research and investment news,2026-04-16,active
CH0255,N003,Stock Pro,https://www.youtube.com/channel/UCQIRijkQ8zNDe_jR0RhZpVA,418000,500,15000,Monologue,en,US,Stock market analysis and education,2026-04-16,active
CH0256,N003,Trade Brains,https://www.youtube.com/@TradeBrains/,209000,300,15000,Monologue,en,IN,Stock market education and analysis,2026-04-16,active
CH0257,N003,Market Gurukul,https://www.youtube.com/channel/UC6ZkHcW5QQubZ-Q6XYINE3Q,510000,300,30000,Monologue,en,IN,Stock market education in India,2026-04-16,active
CH0258,N003,Shadow Trader,https://www.youtube.com/channel/UCV00elXN8Z0vrFIAZu3rIKw,102000,500,5000,Monologue,en,US,Live stock market analysis,2026-04-16,active
CH0259,N003,T3 Live,https://www.youtube.com/channel/UCBj1BiYgmUJWdzqLhfInpJg,36300,500,5000,Monologue,en,US,Stock trading education and analysis,2026-04-16,active
CH0260,N003,Trade Risk,https://www.youtube.com/channel/UCgR3p6SLdiHKGBbp8dbKV6w/,25700,200,5000,Monologue,en,US,Risk management in stock trading,2026-04-16,active
CH0261,N003,Alex Divinsky,https://www.youtube.com/@AlexDivinsky,50000,150,10000,Monologue,en,US,Growth stock analysis from data expert,2026-04-16,active
CH0262,N003,Let's Talk Money - Joseph Hogue CFA,https://www.youtube.com/channel/UCbKdotYtcY9SxoU8CYAXdvg/,736000,800,60000,Monologue,en,US,Stock market education from CFA,2026-04-16,active
CH0263,N003,Investing G,https://www.youtube.com/@InvestingG,100000,200,10000,Monologue,en,US,Stock market investing strategies,2026-04-16,active
CH0264,N003,Mike Jones Investing,https://www.youtube.com/@MikeJonesInvesting,77300,200,10000,Monologue,en,US,Stock investing education and picks,2026-04-16,active
CH0265,N003,Samuel Leeds,https://www.youtube.com/@SamuelLeeds/,561000,500,40000,Monologue,en,UK,Investing education and wealth building,2026-04-16,active
CH0266,N003,InvestAnswers,https://www.youtube.com/@InvestAnswers,578000,500,30000,Monologue,en,US,Data-driven investing analysis,2026-04-16,active
CH0267,N003,Fisher Investments,https://www.youtube.com/@FisherInvestments,65800,500,5000,Monologue,en,US,Institutional investing insights,2026-04-16,active
CH0268,N003,Fidelity Investments,https://www.youtube.com/@Fidelity,144000,500,8000,Monologue,en,US,Investment education and tools,2026-04-16,active
CH0269,N003,Reppond Investments Inc,https://www.youtube.com/@ReppondInvestments,46700,200,5000,Monologue,en,US,Stock market investing and analysis,2026-04-16,active
CH0270,N003,High Altitude Investing,https://www.youtube.com/@HighAltitudeInvesting,38300,150,5000,Monologue,en,US,Stock market analysis from high altitude,2026-04-16,active
CH0271,N003,Stephen Bigalow,https://www.youtube.com/channel/UCR26A55ZjtXMj-_LsH309yg,20400,300,3000,Monologue,en,US,Candlestick chart patterns and analysis,2026-04-16,active
CH0272,N003,Stock Stories,https://www.youtube.com/channel/UCyAWJroWqsmFzN5Tg__MgLA/,23500,200,5000,Monologue,en,US,Stories behind individual stocks,2026-04-16,active
CH0273,N003,Trader Travis - Stock and Options,https://www.youtube.com/channel/UCC6Wsd7WpLBNn8ftsXDB4Og,16200,200,3000,Monologue,en,US,Stock and options trading for beginners,2026-04-16,active
CH0274,N003,Charting Wealth,https://www.youtube.com/channel/UCVgQPq701jUvBXWjdZkyPhw/,14000,500,2000,Monologue,en,US,Daily chart analysis and market commentary,2026-04-16,active
CH0275,N003,CA Rachana Phadke Ranade,https://www.youtube.com/channel/UCe3qdG0A_gr-sEdat5y2twQ/,5400000,500,200000,Monologue,en,IN,Stock market education in India,2026-04-16,active
