channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0301,N004,Joseph Carlson,https://www.youtube.com/@JosephCarlsonShow/,500000,400,100000,Monologue,en,US,Dividend growth investing and portfolio tracking,2026-04-16,active
CH0302,N004,Andrei Jikh,https://www.youtube.com/@AndreiJikh/,2700000,1000,300000,Monologue,en,US,Dividend investing and passive income education,2026-04-16,active
CH0303,N004,Graham Stephan,https://www.youtube.com/@GrahamStephan,4500000,900,500000,Monologue,en,US,Passive income strategies and investing,2026-04-16,active
CH0304,N004,Dividend Bull,https://www.youtube.com/@DividendBull,211000,200,20000,Monologue,en,US,Dividend stock analysis and income investing,2026-04-16,active
CH0305,N004,Dividend Data,https://www.youtube.com/@DividendData,172000,200,20000,Monologue,en,US,Data-driven dividend stock analysis,2026-04-16,active
CH0306,N004,Dividend Growth Investing,https://www.youtube.com/channel/UCrg6IDPf4a7pUKTN90n6syg/,81900,200,10000,Monologue,en,US,Building wealth through dividend growth,2026-04-16,active
CH0307,N004,ppcian - PPC Ian,https://www.youtube.com/channel/UCXtrYuGksGkkyls50lPWvYQ,87900,200,10000,Monologue,en,US,Silicon Valley exec focused on dividend investing,2026-04-16,active
CH0308,N004,The Dividend Experiment,https://www.youtube.com/channel/UCOU3Ex1nCLe7u-wtgO0A5Pg,110000,200,15000,Monologue,en,UK,UK dividend investing experiments,2026-04-16,active
CH0309,N004,Doctor Dividend,https://www.youtube.com/channel/UC7R3Xjx3cEixcwmv-Km5Tfw,34700,200,5000,Monologue,en,US,Dividend investing education since 2010,2026-04-16,active
CH0310,N004,Dividend Guy,https://www.youtube.com/channel/UC8aD-2lWvqnkxKiGH91X1WQ,15600,100,3000,Monologue,en,CA,Dividend Stocks Rock founder - well-researched content,2026-04-16,active
CH0311,N004,Dividend Diplomats,https://www.youtube.com/channel/UC63_ndpOrdzca6k1FThGDqg/,21400,100,3000,Monologue,en,US,Two investors discussing dividend opportunities,2026-04-16,active
CH0312,N004,Dividend Grinder,https://www.youtube.com/channel/UC1jjCkn6IsUflyxotSkVquw,31400,150,5000,Monologue,en,US,Grinding out dividend income,2026-04-16,active
CH0313,N004,Sure Dividend,https://www.youtube.com/channel/UCqpB2gkCiCaqGiCV6hB55Nw,14500,100,3000,Monologue,en,US,Dividend aristocrats and kings analysis,2026-04-16,active
CH0314,N004,Dividends And Income,https://www.youtube.com/channel/UCoWRO4JrsbE-jTz3F1oqWgw/,82500,200,10000,Monologue,en,US,Building income through dividends,2026-04-16,active
CH0315,N004,Simply Investing,https://www.youtube.com/channel/UCAi0eEaisH0T9C9BKowJ4_A/,40000,200,5000,Monologue,en,CA,Simple dividend investing strategies,2026-04-16,active
CH0316,N004,Passive Income Investing,https://www.youtube.com/channel/UCzSKsvUTiunCbAmV5sZ5nBQ/,244000,300,20000,Monologue,en,US,Passive income through dividend stocks,2026-04-16,active
CH0317,N004,Ryan Scribner,https://www.youtube.com/channel/UC3mjMoJuFnjYRBLon_6njbQ/,866000,700,60000,Monologue,en,US,Passive income and investing education,2026-04-16,active
CH0318,N004,Wealth Hacker - Jeff Rose,https://www.youtube.com/channel/UCkNgKCu9062P0CPyVoBI5sQ/,402000,400,30000,Monologue,en,US,Passive income streams and wealth building,2026-04-16,active
CH0319,N004,Pat Flynn - Smart Passive Income,https://www.youtube.com/channel/UCGk1LitxAZVnqQn0_nt5qxw/,480000,500,20000,Monologue,en,US,Building passive income businesses,2026-04-16,active
CH0320,N004,Greg Gottfried,https://www.youtube.com/channel/UCZAoatH4HngcEuCtOWuSX2A/,860000,500,30000,Monologue,en,US,Passive income strategies and side hustles,2026-04-16,active
CH0321,N004,The Compounding Investor,https://www.youtube.com/channel/UC1RCPO3_VpMfHxQ4iI9QuPQ/,57900,150,8000,Monologue,en,US,Compounding wealth through dividends,2026-04-16,active
CH0322,N004,Armchair Income,https://www.youtube.com/channel/UCxU4PhPfJEBgaeYT1rMhvCg/,46400,150,8000,Monologue,en,US,Passive income investing from the armchair,2026-04-16,active
CH0323,N004,Simple Investing Secrets,https://www.youtube.com/channel/UCbC7pyHwL5TsOgrtalI5uSA/,41700,150,5000,Monologue,en,US,Secrets to simple dividend investing,2026-04-16,active
CH0324,N004,Sean Dollwet,https://www.youtube.com/channel/UC6ITJIW6jgrrP5irR7WoHrw/,435000,300,20000,Monologue,en,US,Passive income through publishing and investing,2026-04-16,active
CH0325,N004,Ryan Hogue Passive Income,https://www.youtube.com/channel/UChd9BBD7NWmkbwhsmV2-XoA/,198000,300,15000,Monologue,en,US,Print-on-demand and passive income,2026-04-16,active
CH0326,N004,Diamond Chanel,https://www.youtube.com/channel/UCkNgn6JfHAQ1CptJcgjTdvA/,227000,200,20000,Monologue,en,US,Passive income and financial education,2026-04-16,active
CH0327,N004,Femi Olaniyan,https://www.youtube.com/channel/UCXNin5rqsJjQRWYniymVbdQ/,192000,200,20000,Monologue,en,UK,UK passive income and investing,2026-04-16,active
CH0328,N004,Max Stacks,https://www.youtube.com/channel/UCBnYn54boCxNoob5DXsy_ag/,170000,200,20000,Monologue,en,US,Money stacking and passive income,2026-04-16,active
CH0329,N004,Passive Income Lifestyles,https://www.youtube.com/channel/UCOvQLYobl4blvDcpfHaKiWg/,94400,200,10000,Monologue,en,US,Various passive income lifestyle strategies,2026-04-16,active
CH0330,N004,Currency Counts,https://www.youtube.com/channel/UCNS8alJfRQmIlXEwh8r9zgA/,87600,200,10000,Monologue,en,US,Dividend investing and income counting,2026-04-16,active
CH0331,N004,Rachel Harrison-Sund,https://www.youtube.com/channel/UCUfTtcFhHutEZOiqpP3gFhA/,99000,200,15000,Monologue,en,US,Passive income for families,2026-04-16,active
CH0332,N004,B.A Pusha,https://www.youtube.com/channel/UCklQG8DVsTwNO3oFLqmQLhA/,111000,200,10000,Monologue,en,US,Passive income and side hustle strategies,2026-04-16,active
CH0333,N004,PASSIVE INCOME CROC,https://www.youtube.com/channel/UCWJeKqLVoDm6kpJrJ0JyotA/,49200,150,5000,Monologue,en,US,Passive income ideas and strategies,2026-04-16,active
