channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0401,N005,BiggerPockets,https://www.youtube.com/@biggerpockets/,1300000,1500,50000,Monologue,en,US,Real estate investing education and community,2026-04-16,active
CH0402,N005,Graham Stephan,https://www.youtube.com/@GrahamStephan,4500000,900,500000,Monologue,en,US,Real estate investing and personal finance,2026-04-16,active
CH0403,N005,Morris Invest,https://www.youtube.com/channel/UCoJhK5kMc4LjBKdiYrDtzlA/,2900000,500,50000,Monologue,en,US,Passive income through real estate investing,2026-04-16,active
CH0404,N005,Ken McElroy,https://www.youtube.com/channel/UCzomXQvDl2UblYIjBoFR8aw/,506000,500,20000,Monologue,en,US,Multifamily real estate investing and wealth building,2026-04-16,active
CH0405,N005,Kevin Paffrath - Meet Kevin,https://www.youtube.com/@MeetKevin,1900000,3000,200000,Monologue,en,US,Real estate market analysis and economics,2026-04-16,active
CH0406,N005,Grant Cardone,https://www.youtube.com/@GrantCardone,4000000,3000,100000,Monologue,en,US,Multifamily real estate and 10X investing,2026-04-16,active
CH0407,N005,Flipping Mastery TV - Jerry Norton,https://www.youtube.com/@FlippingMastery,500000,500,30000,Monologue,en,US,Wholesaling and house flipping education,2026-04-16,active
CH0408,N005,Ryan Pineda,https://www.youtube.com/@RyanPineda,1000000,500,50000,Monologue,en,US,House flipping and real estate business,2026-04-16,active
CH0409,N005,Kris Krohn,https://www.youtube.com/@KrisKrohn,1500000,800,80000,Monologue,en,US,Real estate investing strategies for financial freedom,2026-04-16,active
CH0410,N005,Pace Morby,https://www.youtube.com/@PaceMorby,338000,400,20000,Monologue,en,US,Creative real estate deals and wholesaling,2026-04-16,active
CH0411,N005,Phil Pustejovsky - Freedom Mentor,https://www.youtube.com/channel/UC0u4GWBzgYQxM_Rg8npQchg,324000,300,20000,Monologue,en,US,Real estate investing mentorship,2026-04-16,active
CH0412,N005,Real Estate Rookie,https://www.youtube.com/@RealEstateRookie,300000,300,30000,Monologue,en,US,First-time real estate investor education,2026-04-16,active
CH0413,N005,Epic Real Estate Investing - Matt Theriault,https://www.youtube.com/channel/UC8ZYmCweKD2x-wy8PDEiFog,235000,500,10000,Monologue,en,US,Real estate for financial independence,2026-04-16,active
CH0414,N005,Max Maxwell,https://www.youtube.com/channel/UCnkmQCJ4f6rRl1PXCblppvA/,359000,300,20000,Monologue,en,US,Wholesaling real estate education,2026-04-16,active
CH0415,N005,Real Estate Freedom TV,https://www.youtube.com/channel/UCg2F6yUPM89HPnOw98FTk9Q,542000,300,15000,Monologue,en,US,Real estate freedom strategies,2026-04-16,active
CH0416,N005,Enes Yilmazer,https://www.youtube.com/channel/UCHWbZM3BIGgZksvXegx_h3w,4200000,500,500000,Monologue,en,US,Luxury real estate tours and market insights,2026-04-16,active
CH0417,N005,Samuel Leeds,https://www.youtube.com/@SamuelLeeds/,561000,500,40000,Monologue,en,UK,UK property investing education,2026-04-16,active
CH0418,N005,Coach Carson,https://www.youtube.com/@CoachChadCarson/,136000,200,20000,Monologue,en,US,Financial independence through real estate,2026-04-16,active
CH0419,N005,Chandler David Smith,https://www.youtube.com/@ChandlerDavidSmith,500000,300,50000,Monologue,en,US,Ranch and rural real estate investing,2026-04-16,active
CH0420,N005,Matt McKeever,https://www.youtube.com/@MattMcKeever,200000,300,15000,Monologue,en,CA,BRRRR strategy and multifamily investing,2026-04-16,active
CH0421,N005,Lili Invests - Lili Thompson,https://www.youtube.com/@LiliInvests,150000,200,15000,Monologue,en,US,BRRRR method and house flipping,2026-04-16,active
CH0422,N005,Joe Fairless,https://www.youtube.com/channel/UCwTzctSEMu4L0tKN2b_esfg/,7700,200,2000,Monologue,en,US,Best ever real estate investing advice,2026-04-16,active
CH0423,N005,The Real Estate Guys Radio Show,https://www.youtube.com/channel/UCIeBshxsoymVsZOsR93geOQ/,28700,300,3000,Monologue,en,US,Real estate investing radio show,2026-04-16,active
