channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0501,N006,Coin Bureau - Guy Turner,https://www.youtube.com/@CoinBureau,2700000,1500,200000,Monologue,en,UK,In-depth crypto education and market analysis,2026-04-16,active
CH0502,N006,Altcoin Daily,https://www.youtube.com/@AltcoinDaily,1640000,3000,50000,Monologue,en,US,Daily altcoin news and analysis,2026-04-16,active
CH0503,N006,Benjamin Cowen - Into The Cryptoverse,https://www.youtube.com/@IntotheCryptoverse,817000,2000,30000,Monologue,en,US,PhD-level quantitative crypto analysis,2026-04-16,active
CH0504,N006,Crypto Banter - Ran Neuner,https://www.youtube.com/@CryptoBanter,1180000,3000,30000,Monologue,en,US,Live crypto market analysis and discussion,2026-04-16,active
CH0505,N006,Brian Jung,https://www.youtube.com/@BrianJung,2090000,490,100000,Monologue,en,US,Crypto news and personal finance education,2026-04-16,active
CH0506,N006,Andrei Jikh,https://www.youtube.com/@AndreiJikh/,2700000,1000,300000,Monologue,en,US,Crypto and investing education,2026-04-16,active
CH0507,N006,Lark Davis - The Crypto Lark,https://www.youtube.com/@TheCryptoLark,640000,2000,20000,Monologue,en,NZ,Crypto investing education and market analysis,2026-04-16,active
CH0508,N006,DataDash - Nicholas Merten,https://www.youtube.com/@DataDash,512000,1500,15000,Monologue,en,US,Crypto with macro-economic analysis,2026-04-16,active
CH0509,N006,CryptosRUs,https://www.youtube.com/@CryptosRUs,812000,3100,15000,Monologue,en,US,Daily Bitcoin and crypto market updates,2026-04-16,active
CH0510,N006,Alex Becker,https://www.youtube.com/@AlexBecker,1600000,800,50000,Monologue,en,US,Crypto insights and tech innovation,2026-04-16,active
CH0511,N006,BitBoy X - Ben Armstrong,https://www.youtube.com/@BitBoyX,146000,2000,10000,Monologue,en,US,Crypto news and community commentary,2026-04-16,active
CH0512,N006,Anthony Pompliano - Pomp,https://www.youtube.com/@AnthonyPompliano,600000,1500,30000,Monologue,en,US,Bitcoin and crypto interviews and analysis,2026-04-16,active
CH0513,N006,Sheldon Evans,https://www.youtube.com/@SheldonEvans,300000,500,20000,Monologue,en,ZA,Fast daily crypto breakdowns and altcoin news,2026-04-16,active
CH0514,N006,Crypto Casey,https://www.youtube.com/@CryptoCasey,200000,300,15000,Monologue,en,US,Crypto education breaking down complex concepts,2026-04-16,active
CH0515,N006,Digital Asset News,https://www.youtube.com/@DigitalAssetNews,350000,1500,15000,Monologue,en,US,Digestible crypto news updates,2026-04-16,active
CH0516,N006,Hashoshi,https://www.youtube.com/@Hashoshi,150000,500,10000,Monologue,en,US,Crypto platform education and portfolio building,2026-04-16,active
CH0517,N006,99Bitcoins,https://www.youtube.com/@99Bitcoins,720000,500,20000,Monologue,en,US,Bitcoin education for beginners,2026-04-16,active
