channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0601,N007,Bankless,https://www.youtube.com/@Bankless,274000,1000,15000,Monologue,en,US,DeFi and Ethereum education and culture,2026-04-16,active
CH0602,N007,Whiteboard Crypto,https://www.youtube.com/@WhiteboardCrypto,1000000,200,100000,Monologue,en,US,Blockchain concepts explained with animations,2026-04-16,active
CH0603,N007,The Defiant,https://www.youtube.com/@TheDefiant,100000,500,5000,Monologue,en,US,Leading DeFi and NFT media outlet,2026-04-16,active
CH0604,N007,Ivan on Tech - Ivan Liljeqvist,https://www.youtube.com/@IvanOnTech,535000,2000,15000,Monologue,en,SE,Technical blockchain education and Web3,2026-04-16,active
CH0605,N007,Dapp University,https://www.youtube.com/@DappUniversity,400000,300,20000,Monologue,en,US,Blockchain development education and DeFi,2026-04-16,active
CH0606,N007,Coin Bureau - Guy Turner,https://www.youtube.com/@CoinBureau,2700000,1500,200000,Monologue,en,UK,Blockchain technology and tokenomics education,2026-04-16,active
CH0607,N007,Aantonop - Andreas Antonopoulos,https://www.youtube.com/@aantonop,400000,500,20000,Monologue,en,US,Blockchain thought leadership and education,2026-04-16,active
CH0608,N007,Taiki Maeda,https://www.youtube.com/@TaikiMaeda,150000,300,10000,Monologue,en,US,DeFi yield farming strategies and education,2026-04-16,active
CH0609,N007,Hashoshi,https://www.youtube.com/@Hashoshi,150000,500,10000,Monologue,en,US,Blockchain platform education and portfolio,2026-04-16,active
CH0610,N007,Crypto Casey,https://www.youtube.com/@CryptoCasey,200000,300,15000,Monologue,en,US,Complex blockchain concepts made simple,2026-04-16,active
CH0611,N007,Chico Crypto,https://www.youtube.com/@ChicoCrypto,350000,1000,15000,Monologue,en,US,Deep-dive DeFi and blockchain research,2026-04-16,active
CH0612,N007,99Bitcoins,https://www.youtube.com/@99Bitcoins,720000,500,20000,Monologue,en,US,Bitcoin and blockchain education for beginners,2026-04-16,active
CH0613,N007,EatTheBlocks,https://www.youtube.com/@EatTheBlocks,200000,300,10000,Monologue,en,US,Blockchain development tutorials,2026-04-16,active
CH0614,N007,Finematics,https://www.youtube.com/@Finematics,300000,100,100000,Monologue,en,US,DeFi protocols explained with animations,2026-04-16,active
CH0615,N007,Patrick Collins,https://www.youtube.com/@PatrickCollins,200000,200,30000,Monologue,en,US,Blockchain development and smart contracts,2026-04-16,active
CH0616,N007,Nader Dabit,https://www.youtube.com/@NaderDabit,100000,200,15000,Monologue,en,US,Web3 development and DeFi education,2026-04-16,active
CH0617,N007,Ellio Trades,https://www.youtube.com/@EllioTrades,400000,500,20000,Monologue,en,US,DeFi and NFT ecosystem education,2026-04-16,active
CH0618,N007,VoskCoin,https://www.youtube.com/@VoskCoin,500000,500,30000,Monologue,en,US,Crypto mining and blockchain technology,2026-04-16,active
CH0619,N007,Crypto Zombie,https://www.youtube.com/@CryptoZombie,250000,1500,10000,Monologue,en,US,DeFi news and blockchain analysis,2026-04-16,active
CH0620,N007,CryptoLabs Research,https://www.youtube.com/channel/UCaM-9_xdmWIlOwHYO-k32nw/,40100,200,3000,Monologue,en,US,DeFi research and crypto passive income,2026-04-16,active
CH0621,N007,CryptoLifestyle DeFi & P2E,https://www.youtube.com/channel/UCXgI0hk591MGEKtzKC3jGlQ/,14600,200,2000,Monologue,en,US,DeFi lifestyle and play-to-earn gaming,2026-04-16,active
CH0622,N007,Coinsider,https://www.youtube.com/@Coinsider,332000,300,15000,Monologue,en,US,Philosophical blockchain and crypto education,2026-04-16,active
CH0623,N007,BoxMining,https://www.youtube.com/@BoxMining,300000,1500,10000,Monologue,en,US,Blockchain technology and crypto coverage,2026-04-16,active
CH0624,N007,Token Metrics,https://www.youtube.com/@TokenMetrics,100000,500,5000,Monologue,en,US,AI-powered crypto and DeFi research,2026-04-16,active
CH0625,N007,CoinGecko,https://www.youtube.com/@CoinGecko,100000,500,5000,Monologue,en,MY,Crypto data platform and DeFi education,2026-04-16,active
CH0626,N007,Lark Davis - The Crypto Lark,https://www.youtube.com/@TheCryptoLark,640000,2000,20000,Monologue,en,NZ,DeFi and blockchain investing education,2026-04-16,active
CH0627,N007,DataDash - Nicholas Merten,https://www.youtube.com/@DataDash,512000,1500,15000,Monologue,en,US,DeFi within broader crypto analysis,2026-04-16,active
CH0628,N007,Benjamin Cowen - Into The Cryptoverse,https://www.youtube.com/@IntotheCryptoverse,817000,2000,30000,Monologue,en,US,Quantitative blockchain analysis,2026-04-16,active
CH0629,N007,HackCrypto,https://www.youtube.com/@HackCrypto,100000,300,5000,Monologue,en,US,Web3 gaming and NFT education,2026-04-16,active
CH0630,N007,Altcoin Daily,https://www.youtube.com/@AltcoinDaily,1640000,3000,50000,Monologue,en,US,DeFi and altcoin ecosystem coverage,2026-04-16,active
CH0631,N007,Brian Jung,https://www.youtube.com/@BrianJung,2090000,490,100000,Monologue,en,US,Blockchain and Web3 education,2026-04-16,active
CH0632,N007,Crypto Banter - Ran Neuner,https://www.youtube.com/@CryptoBanter,1180000,3000,30000,Monologue,en,US,DeFi discussions and education,2026-04-16,active
CH0633,N007,Alex Becker,https://www.youtube.com/@AlexBecker,1600000,800,50000,Monologue,en,US,Web3 gaming and blockchain tech,2026-04-16,active
CH0634,N007,Anthony Pompliano - Pomp,https://www.youtube.com/@AnthonyPompliano,600000,1500,30000,Monologue,en,US,Blockchain adoption and education,2026-04-16,active
CH0635,N007,Digital Asset News,https://www.youtube.com/@DigitalAssetNews,350000,1500,15000,Monologue,en,US,DeFi news and blockchain updates,2026-04-16,active
CH0636,N007,CryptosRUs,https://www.youtube.com/@CryptosRUs,812000,3100,15000,Monologue,en,US,DeFi within daily crypto coverage,2026-04-16,active
CH0637,N007,Sheldon Evans,https://www.youtube.com/@SheldonEvans,300000,500,20000,Monologue,en,ZA,DeFi protocols and blockchain analysis,2026-04-16,active
CH0638,N007,The Moon - Carl,https://www.youtube.com/@TheMoon,550000,1500,15000,Monologue,en,SE,DeFi and Bitcoin analysis,2026-04-16,active
CH0639,N007,MMCrypto,https://www.youtube.com/@MMCrypto,500000,2000,20000,Monologue,en,DE,DeFi trading and blockchain,2026-04-16,active
CH0640,N007,Scott Melker - The Wolf of All Streets,https://www.youtube.com/@ScottMelker,200000,1000,10000,Monologue,en,US,DeFi within crypto trading,2026-04-16,active
CH0641,N007,Crypto Cable - Imran Hussain,https://www.youtube.com/@CryptoCable,100000,300,8000,Monologue,en,UK,Blockchain news and analysis,2026-04-16,active
CH0642,N007,Paul Barron Network,https://www.youtube.com/@PaulBarronNetwork,200000,1500,8000,Monologue,en,US,Blockchain tech and DeFi coverage,2026-04-16,active
CH0643,N007,Blockchain Backer,https://www.youtube.com/@BlockchainBacker,200000,500,15000,Monologue,en,US,Blockchain cycle analysis and education,2026-04-16,active
CH0644,N007,Mark Moss,https://www.youtube.com/@MarkMoss,300000,500,20000,Monologue,en,US,Bitcoin and Web3 macro commentary,2026-04-16,active
CH0645,N007,Layah Heilpern,https://www.youtube.com/@LayahHeilpern,200000,500,15000,Monologue,en,UK,DeFi and blockchain analysis,2026-04-16,active
CH0646,N007,Andrei Jikh,https://www.youtube.com/@AndreiJikh/,2700000,1000,300000,Monologue,en,US,DeFi investing education,2026-04-16,active
CH0647,N007,Max Maher,https://www.youtube.com/@MaxMaher,500000,300,30000,Monologue,en,US,DeFi and blockchain investing,2026-04-16,active
CH0648,N007,Crypto Daily,https://www.youtube.com/@CryptoDaily,200000,1000,10000,Monologue,en,UK,DeFi and blockchain comedy education,2026-04-16,active
CH0649,N007,CoinDesk,https://www.youtube.com/@CoinDesk,200000,3000,5000,Monologue,en,US,DeFi news and blockchain media,2026-04-16,active
