channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0701,N008,ClearValue Tax - Brian Kim,https://www.youtube.com/channel/UCigUBIf-zt_DA6xyOQtq2WA/,2800000,1000,200000,Monologue,en,US,Financial education and tax tips from CPA,2026-04-16,active
CH0702,N008,Karlton Dennis,https://www.youtube.com/channel/UCEc3bAbOtPEUIgpNkViF_PQ/,1100000,500,100000,Monologue,en,US,Tax reduction strategies and education,2026-04-16,active
CH0703,N008,Mark J Kohler CPA JD,https://www.youtube.com/channel/UCHYeaAH3D-wzQyDiXndSfMA/,600000,500,30000,Monologue,en,US,Tax and legal expert - minimize taxes and business entities,2026-04-16,active
CH0704,N008,Toby Mathis Esq - Tax Planning & Asset Protection,https://www.youtube.com/channel/UCX5nh607M8hSBLiMB9MgbIQ/,573000,500,20000,Monologue,en,US,Tax attorney - asset protection and estate planning,2026-04-16,active
CH0705,N008,LYFE Accounting,https://www.youtube.com/channel/UCSPh1bFTdDalKnZPgQoOYUg/,567000,400,30000,Monologue,en,US,Full-service accounting and tax education,2026-04-16,active
CH0706,N008,Lena Petrova CPA,https://www.youtube.com/channel/UCrbT82fJGrSRXkNaxE7aYPQ/,560000,500,30000,Monologue,en,US,Finance economics and tax education from CPA,2026-04-16,active
CH0707,N008,Freedom Group,https://www.youtube.com/channel/UCaFIBg6xgbzYVWIMDBi8KwQ/,44400,200,15000,Monologue,en,US,Tax strategy for tax-free living,2026-04-16,active
CH0708,N008,Prince Donnell,https://www.youtube.com/channel/UCZg4RbcfhPRf2OTJdK_669w/,259000,300,30000,Monologue,en,US,Tax and credit education,2026-04-16,active
CH0709,N008,Parallel Wealth,https://www.youtube.com/channel/UCQPbiV4Poo3X7_POJ9GC6nA/,153000,200,15000,Monologue,en,CA,Canadian tax planning and wealth building,2026-04-16,active
CH0710,N008,Pocket Watching with JT,https://www.youtube.com/channel/UCp_iZQqPSxSULzmFt0Hi22w/,137000,300,20000,Monologue,en,US,Tax strategies and money education,2026-04-16,active
CH0711,N008,IRSvideos,https://www.youtube.com/channel/UCcWZOFh3l-1LC7UvhdCXxQg/,136000,500,5000,Monologue,en,US,Official IRS tax education videos,2026-04-16,active
CH0712,N008,Professor Kez,https://www.youtube.com/channel/UC33AIXFk3W1QAupbANILL6Q/,122000,200,10000,Monologue,en,US,Tax education from professor,2026-04-16,active
CH0713,N008,JJ THE CPA,https://www.youtube.com/channel/UCq6pedUxZMTt9fkq9YCX8Kg/,102000,300,10000,Monologue,en,US,CPA tax tips and strategies,2026-04-16,active
CH0714,N008,Money and Life TV,https://www.youtube.com/channel/UCDkT7dDW13fwBGm2jW7JVTw/,94200,300,15000,Monologue,en,AU,Australian tax and money education,2026-04-16,active
CH0715,N008,Travis Sickle,https://www.youtube.com/@TravisSickle/,79200,300,15000,Monologue,en,US,Tax and personal finance education,2026-04-16,active
CH0716,N008,The Self-Employed Tax Guy,https://www.youtube.com/channel/UCDd4DYxkosoX5UDGB0u2G2A/,61800,200,8000,Monologue,en,US,Tax strategies for self-employed,2026-04-16,active
CH0717,N008,Chris Bourne - Tax Free Investing Expert,https://www.youtube.com/channel/UCNKnBa8i3ROnBtAnisJdMMQ/,48400,200,5000,Monologue,en,UK,Tax-free investing strategies,2026-04-16,active
CH0718,N008,dukelovestaxes,https://www.youtube.com/channel/UChbQb8y_yGS01nvNysJABiA/,29800,200,8000,Monologue,en,US,Tax education with engaging style,2026-04-16,active
