channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0801,N009,AI Explained,https://www.youtube.com/@aiexplained-official/,600000,200,200000,Monologue,en,US,Breaking down AI developments with clarity and depth,2026-04-16,active
CH0802,N009,Matt Wolfe,https://www.youtube.com/@mreflow/,800000,400,150000,Monologue,en,US,AI tools roundups and practical AI tutorials,2026-04-16,active
CH0803,N009,Skill Leap AI,https://www.youtube.com/@SkillLeapAI/,400000,300,50000,Monologue/Screencast,en,US,Quick AI tool tutorials and productivity workflows,2026-04-16,active
CH0804,N009,The AI Advantage,https://www.youtube.com/@TheAIAdvantage/,500000,400,80000,Monologue/Screencast,en,US,Practical AI tool tutorials by Igor Pogany,2026-04-16,active
CH0805,N009,AI Andy,https://www.youtube.com/@TheAIAndy/,213000,250,40000,Monologue/Screencast,en,US,AI tool demos and automation tutorials,2026-04-16,active
CH0806,N009,All About AI,https://www.youtube.com/channel/UCR9j1jqqB5Rse69wjUnbYwA/,220000,300,35000,Monologue/Screencast,en,US,Comprehensive AI tool tutorials and reviews,2026-04-16,active
CH0807,N009,Murtaza's Workshop,https://www.youtube.com/channel/UCYUjYU5FveRAscQ8V21w81A/,447000,300,60000,Monologue/Screencast,en,US,Robotics and AI project tutorials,2026-04-16,active
CH0808,N009,Julia McCoy,https://www.youtube.com/@juliamccoy/,268000,200,30000,Monologue,en,US,AI content creation tools and writing tutorials,2026-04-16,active
CH0809,N009,How I AI,https://www.youtube.com/@HowIAI/,150000,150,25000,Monologue/Screencast,en,US,Practical AI tool walkthroughs for everyday use,2026-04-16,active
CH0810,N009,Alex Finn,https://www.youtube.com/@alexfinnai/,120000,200,20000,Monologue/Screencast,en,US,AI tool integration tutorials for creators,2026-04-16,active
CH0811,N009,AI Foundations,https://www.youtube.com/@AIFoundations/,100000,150,18000,Monologue/Screencast,en,US,Foundational AI concepts and tool tutorials,2026-04-16,active
CH0812,N009,Corbin Brown,https://www.youtube.com/@CorbinBrown/,180000,200,25000,Monologue/Screencast,en,US,AI automation and tool integration tutorials,2026-04-16,active
CH0813,N009,MattVidPro AI,https://www.youtube.com/@MattVidPro/,350000,500,50000,Monologue/Screencast,en,US,AI art tools and creative AI application demos,2026-04-16,active
CH0814,N009,Kevin Stratvert,https://www.youtube.com/@KevinStratvert/,2000000,300,300000,Monologue/Screencast,en,US,Microsoft and AI productivity tool tutorials,2026-04-16,active
CH0815,N009,Howfinity,https://www.youtube.com/@Howfinity/,600000,500,50000,Monologue/Screencast,en,US,AI tools and software tutorial walkthroughs,2026-04-16,active
CH0816,N009,Santrel Media,https://www.youtube.com/@SantrelMedia/,400000,400,40000,Monologue/Screencast,en,US,AI tool reviews and tech tutorials,2026-04-16,active
CH0817,N009,Income Stream Surfers,https://www.youtube.com/@IncomeStreamSurfers/,200000,300,30000,Monologue/Screencast,en,US,AI tools for business and income generation,2026-04-16,active
CH0818,N009,AI Master,https://www.youtube.com/@AIMaster/,100000,200,15000,Monologue/Screencast,en,US,Step-by-step AI tool tutorials,2026-04-16,active
CH0819,N009,Tina Huang,https://www.youtube.com/@TinaHuang1/,400000,200,80000,Monologue,en,US,AI learning strategies and data science tools,2026-04-16,active
CH0820,N009,1littlecoder,https://www.youtube.com/@1littlecoder/,150000,300,20000,Monologue/Screencast,en,US,AI coding tutorials and prompt engineering,2026-04-16,active
CH0821,N009,Sam Witteveen,https://www.youtube.com/@samwitteveen/,50000,200,10000,Monologue/Screencast,en,AU,LLM and AI agent tutorials for developers,2026-04-16,active
CH0822,N009,Prompt Engineering,https://www.youtube.com/@PromptEngineering/,200000,250,25000,Monologue/Screencast,en,US,ChatGPT and prompt engineering tutorials,2026-04-16,active
CH0823,N009,AI Jason,https://www.youtube.com/@AIJason/,150000,150,30000,Monologue/Screencast,en,US,AI tool reviews and business automation guides,2026-04-16,active
CH0824,N009,WorldofAI,https://www.youtube.com/@WorldofAI/,200000,300,30000,Monologue/Screencast,en,US,AI tool demos and open-source AI tutorials,2026-04-16,active
CH0825,N009,Liam Ottley,https://www.youtube.com/@LiamOttley/,350000,200,60000,Monologue,en,AU,AI agency and automation tool tutorials,2026-04-16,active
CH0826,N009,Futurepedia,https://www.youtube.com/@Futurepedia/,100000,200,15000,Monologue/Screencast,en,US,AI tool directory and tutorial reviews,2026-04-16,active
CH0827,N009,AI Automation Station,https://www.youtube.com/@ai-automation-station/,2600,100,5000,Monologue/Screencast,en,US,AI workflow automation tutorials,2026-04-16,active
