channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH0901,N010,Wes Roth,https://www.youtube.com/@WesRoth/,313000,400,100000,Monologue,en,US,Fast-paced AI commentary and industry analysis,2026-04-16,active
CH0902,N010,Two Minute Papers,https://www.youtube.com/@TwoMinutePapers/,1500000,700,200000,Monologue,en,HU,ML research paper breakdowns in accessible format,2026-04-16,active
CH0903,N010,Yannic Kilcher,https://www.youtube.com/channel/UCZHmQk67mSJgfCCTn7xBfew/,313000,400,30000,Monologue,en,CH,Deep technical ML paper reviews and analysis,2026-04-16,active
CH0904,N010,David Shapiro,https://www.youtube.com/@DaveShap/,250000,500,30000,Monologue,en,US,AI philosophy and AGI discussion and commentary,2026-04-16,active
CH0905,N010,TheAIGRID,https://www.youtube.com/@TheAIGRID/,300000,400,50000,Monologue,en,UK,Breaking AI news coverage and analysis,2026-04-16,active
CH0906,N010,Lex Fridman,https://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA/,5000000,500,1000000,Monologue,en,US,Long-form AI and technology interviews and commentary,2026-04-16,active
CH0907,N010,Machine Learning Street Talk,https://www.youtube.com/channel/UCMLtBahI5DMrt0NPvDSoIRQ/,214000,200,20000,Monologue,en,UK,In-depth AI research discussions and debates,2026-04-16,active
CH0908,N010,Dwarkesh Patel,https://www.youtube.com/@DwarkeshPatel/,500000,100,300000,Monologue,en,US,Deep AI interviews with researchers and industry leaders,2026-04-16,active
CH0909,N010,Robert Miles AI Safety,https://www.youtube.com/channel/UCLB7AzTwc6VFZrBsO2ucBMg/,169000,100,40000,Monologue,en,UK,AI safety concepts explained for general audience,2026-04-16,active
CH0910,N010,The TWIML AI Podcast,https://www.youtube.com/channel/UC7kjWIK1H8tfmFlzZO-wHMw/,28500,400,5000,Monologue,en,US,This Week in Machine Learning podcast and AI commentary,2026-04-16,active
CH0911,N010,Super Data Science Podcast,https://www.youtube.com/channel/UCMbtqTGdSsxYYhhTpV4lSTQ/,183000,500,10000,Monologue,en,US,Data science and AI industry commentary with Jon Krohn,2026-04-16,active
CH0912,N010,Cold Fusion,https://www.youtube.com/@ColdFusion/,5000000,500,500000,Monologue,en,AU,Technology and AI documentary-style commentary,2026-04-16,active
CH0913,N010,Fireship,https://www.youtube.com/@Fireship/,3500000,800,500000,Monologue/Screencast,en,US,Rapid-fire tech and AI news with developer perspective,2026-04-16,active
CH0914,N010,AI Explained,https://www.youtube.com/@aiexplained-official/,600000,200,200000,Monologue,en,US,In-depth AI development analysis and commentary,2026-04-16,active
CH0915,N010,Matt Wolfe,https://www.youtube.com/@mreflow/,800000,400,150000,Monologue,en,US,AI news roundups and industry trend analysis,2026-04-16,active
CH0916,N010,Matthew Berman,https://www.youtube.com/@matthew_berman/,400000,400,80000,Monologue,en,US,AI model releases and industry news analysis,2026-04-16,active
CH0917,N010,Gary Marcus,https://www.youtube.com/@garymarcus/,50000,80,15000,Monologue,en,US,Critical AI commentary from cognitive scientist,2026-04-16,active
CH0918,N010,Dr. Alan Thompson,https://www.youtube.com/@DrAlanThompson/,80000,100,20000,Monologue,en,AU,AI research analysis and AGI progress tracking,2026-04-16,active
CH0919,N010,AI News,https://www.youtube.com/channel/UCDZfn935vwaahDabsfylfIQ/,92100,300,15000,Monologue,en,US,Daily AI news coverage and updates,2026-04-16,active
CH0920,N010,Artificial Intelligence News Daily,https://www.youtube.com/channel/UCItylrp-EOkBwsUT7c_Xkxg/,58300,200,10000,Monologue,en,US,Fast-turnaround daily AI news coverage,2026-04-16,active
CH0921,N010,Eye on AI,https://www.youtube.com/channel/UC-o9u9QL4zXzBwjvT1gmzNg/,33300,80,5000,Monologue,en,US,AI industry landscape analysis and interviews,2026-04-16,active
CH0922,N010,Bloomberg Technology,https://www.youtube.com/channel/UCrM7B7SL_g1edFOnmj-SDKg/,716000,5000,30000,Monologue,en,US,Technology and AI business news coverage,2026-04-16,active
CH0923,N010,Joanna Stern - WSJ,https://www.youtube.com/@JoannaStern/,200000,300,50000,Monologue,en,US,Consumer AI and tech commentary from WSJ perspective,2026-04-16,active
CH0924,N010,MattVidPro AI,https://www.youtube.com/@MattVidPro/,350000,500,50000,Monologue,en,US,AI news focused on creative and generative AI tools,2026-04-16,active
CH0925,N010,The AI Advantage,https://www.youtube.com/@TheAIAdvantage/,500000,400,80000,Monologue,en,US,AI news and practical commentary by Igor Pogany,2026-04-16,active
CH0926,N010,Linus Tech Tips,https://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw/,16700000,6000,1000000,Monologue,en,CA,Tech and AI news with hardware perspective,2026-04-16,active
CH0927,N010,What's AI by Louis Bouchard,https://www.youtube.com/channel/UCUzGQrN-lyyc0BWTYoJM_Sg/,71100,150,15000,Monologue,en,CA,AI research news simplified for general audience,2026-04-16,active
CH0928,N010,AI Coffee Break with Letitia,https://www.youtube.com/channel/UCobqgqE4i5Kf7wrxRxhToQA/,62700,80,15000,Monologue,en,DE,Bite-sized AI research news and commentary,2026-04-16,active
CH0929,N010,Connor Shorten,https://www.youtube.com/channel/UCHB9VepY6kYvZjj0Bgxnpbw/,45000,100,8000,Monologue,en,US,AI research paper reviews and news analysis,2026-04-16,active
CH0930,N010,Aleksa Gordic - The AI Epiphany,https://www.youtube.com/channel/UCj8shE7aIn4Yawwbo2FceCQ/,63600,100,10000,Monologue,en,RS,AI research commentary and paper walkthroughs,2026-04-16,active
CH0931,N010,AI Explained UK,https://www.youtube.com/@AIExplainedUK/,30000,80,8000,Monologue,en,UK,UK-focused AI policy and news commentary,2026-04-16,active
