channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH1001,N011,3Blue1Brown,https://www.youtube.com/@3blue1brown/,8200000,150,5000000,Monologue,en,US,Visual math and ML education with stunning animations,2026-04-16,active
CH1002,N011,DeepLearningAI,https://www.youtube.com/channel/UCcIXc5mJsHVYTZR1maL5l9w/,595000,500,30000,Monologue,en,US,Andrew Ng's structured ML and deep learning courses,2026-04-16,active
CH1003,N011,StatQuest with Josh Starmer,https://www.youtube.com/@statquest/,1200000,300,100000,Monologue,en,US,Statistics and ML algorithms explained simply,2026-04-16,active
CH1004,N011,sentdex,https://www.youtube.com/@sentdex/,1400000,1200,40000,Monologue/Screencast,en,US,Python machine learning tutorials by building real projects,2026-04-16,active
CH1005,N011,Krish Naik,https://www.youtube.com/@krishnaik06/,1400000,1500,50000,Monologue/Screencast,en,IN,Comprehensive ML and data science education,2026-04-16,active
CH1006,N011,Andrej Karpathy,https://www.youtube.com/@AndrejKarpathy/,500000,50,1000000,Monologue/Screencast,en,US,Neural Networks Zero to Hero from former OpenAI researcher,2026-04-16,active
CH1007,N011,freeCodeCamp,https://www.youtube.com/@freecodecamp/,11400000,2000,500000,Monologue/Screencast,en,US,Free full-length ML and data science courses,2026-04-16,active
CH1008,N011,Jeremy Howard,https://www.youtube.com/@howardjeremyp/,145000,200,30000,Monologue/Screencast,en,AU,Fast.ai practical deep learning education,2026-04-16,active
CH1009,N011,Two Minute Papers,https://www.youtube.com/@TwoMinutePapers/,1500000,700,200000,Monologue,en,HU,ML research papers explained accessibly,2026-04-16,active
CH1010,N011,Yannic Kilcher,https://www.youtube.com/channel/UCZHmQk67mSJgfCCTn7xBfew/,313000,400,30000,Monologue,en,CH,Technical ML paper reviews and explanations,2026-04-16,active
CH1011,N011,Tina Huang,https://www.youtube.com/@TinaHuang1/,400000,200,80000,Monologue,en,US,ML career advice and learning strategies,2026-04-16,active
CH1012,N011,Ken Jee,https://www.youtube.com/@KenJee_ds/,300000,300,30000,Monologue,en,US,Data science and ML education for practitioners,2026-04-16,active
CH1013,N011,CodeBasics,https://www.youtube.com/@codebasics/,1000000,600,50000,Monologue/Screencast,en,IN,Practical ML engineering with real-world projects,2026-04-16,active
CH1014,N011,CodeWithHarry,https://www.youtube.com/@CodeWithHarry/,4800000,1600,200000,Monologue/Screencast,en,IN,Python and ML tutorials in Hindi and English,2026-04-16,active
CH1015,N011,CodeEmporium,https://www.youtube.com/@CodeEmporium/,100000,150,20000,Monologue/Screencast,en,US,Building AI projects from scratch - GANs transformers LLMs,2026-04-16,active
CH1016,N011,ritvikmath,https://www.youtube.com/@ritvikmath/,80000,200,10000,Monologue,en,US,Mathematical foundations of machine learning,2026-04-16,active
CH1017,N011,Kapil Sachdeva,https://www.youtube.com/@KapilSachdeva/,30000,150,5000,Monologue/Screencast,en,IN,Deep learning theory and implementation,2026-04-16,active
CH1018,N011,Machine Learning Street Talk,https://www.youtube.com/channel/UCMLtBahI5DMrt0NPvDSoIRQ/,214000,200,20000,Monologue,en,UK,In-depth ML research discussions and education,2026-04-16,active
CH1019,N011,Aleksa Gordic - The AI Epiphany,https://www.youtube.com/channel/UCj8shE7aIn4Yawwbo2FceCQ/,63600,100,10000,Monologue/Screencast,en,RS,ML paper implementations and explanations,2026-04-16,active
CH1020,N011,AI Coffee Break with Letitia,https://www.youtube.com/channel/UCobqgqE4i5Kf7wrxRxhToQA/,62700,80,15000,Monologue,en,DE,Bite-sized ML research education,2026-04-16,active
CH1021,N011,Connor Shorten,https://www.youtube.com/channel/UCHB9VepY6kYvZjj0Bgxnpbw/,45000,100,8000,Monologue,en,US,ML paper reviews and concept explanations,2026-04-16,active
CH1022,N011,What's AI by Louis Bouchard,https://www.youtube.com/channel/UCUzGQrN-lyyc0BWTYoJM_Sg/,71100,150,15000,Monologue,en,CA,AI research simplified for learners,2026-04-16,active
CH1023,N011,Valerio Velardo - The Sound of AI,https://www.youtube.com/channel/UCZPFjMe1uRSirmSpznqvJfQ/,36400,150,8000,Monologue/Screencast,en,IT,Audio ML and deep learning for music,2026-04-16,active
CH1024,N011,Nicolai Nielsen,https://www.youtube.com/channel/UCpABUkWm8xMt5XmGcFb3EFg/,122000,150,15000,Monologue/Screencast,en,DK,Computer vision and ML tutorials,2026-04-16,active
CH1025,N011,Venelin Valkov,https://www.youtube.com/channel/UCoW_WzQNJVAjxo4osNAxd_g/,33000,100,8000,Monologue/Screencast,en,BG,Hands-on ML coding tutorials,2026-04-16,active
CH1026,N011,Nachiketa Hebbar,https://www.youtube.com/channel/UCJPihOKkiT7TqP7NK9-GtuQ/,19100,80,5000,Monologue/Screencast,en,IN,Beginner ML coding tutorials,2026-04-16,active
CH1027,N011,Jordan Harrod,https://www.youtube.com/@JordanHarrod/,88400,100,20000,Monologue,en,US,ML ethics and bias in algorithms education,2026-04-16,active
CH1028,N011,James Briggs,https://www.youtube.com/channel/UCv83tO5cePwHMt1952IVVHw/,80300,200,15000,Monologue/Screencast,en,UK,NLP and vector search ML tutorials,2026-04-16,active
CH1029,N011,Brandon Foltz,https://www.youtube.com/@BrandonFoltz/,80000,200,10000,Monologue/Screencast,en,US,Statistics for machine learning education,2026-04-16,active
CH1030,N011,Murtaza's Workshop,https://www.youtube.com/channel/UCYUjYU5FveRAscQ8V21w81A/,447000,300,60000,Monologue/Screencast,en,US,Computer vision and ML project tutorials,2026-04-16,active
CH1031,N011,Siraj Raval,https://www.youtube.com/channel/UCWN3xxRkmTPmbKwht9FuE5A/,773000,400,50000,Monologue,en,US,Entertaining ML education and project demos,2026-04-16,active
