channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH1101,N012,Fireship,https://www.youtube.com/@Fireship/,3500000,800,500000,Monologue/Screencast,en,US,Lightning-fast code explainers and 100 seconds of code series,2026-04-16,active
CH1102,N012,freeCodeCamp,https://www.youtube.com/@freecodecamp/,11400000,2000,500000,Monologue/Screencast,en,US,Free full-length programming courses and tutorials,2026-04-16,active
CH1103,N012,Programming with Mosh,https://www.youtube.com/@programmingwithmosh/,4000000,800,300000,Monologue/Screencast,en,CA,Clean code and professional development tutorials,2026-04-16,active
CH1104,N012,Traversy Media,https://www.youtube.com/channel/UC29ju8bIPH5as8OGnQzwJyA/,2400000,900,200000,Monologue/Screencast,en,US,Practical project-based web development tutorials,2026-04-16,active
CH1105,N012,Corey Schafer,https://www.youtube.com/@coreyms/,1500000,250,200000,Monologue/Screencast,en,US,In-depth Python and programming tutorials,2026-04-16,active
CH1106,N012,Tech With Tim,https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg/,1900000,800,50000,Monologue/Screencast,en,US,Python JavaScript and ML programming tutorials,2026-04-16,active
CH1107,N012,The Net Ninja,https://www.youtube.com/channel/UCW5YeuERMmlnqo4oq8vwUpg/,1800000,2000,30000,Monologue/Screencast,en,UK,Sequential programming mini-courses by Shaun Pelling,2026-04-16,active
CH1108,N012,The Coding Train,https://www.youtube.com/@TheCodingTrain/,1800000,1000,80000,Monologue/Screencast,en,US,Creative coding with p5.js by Daniel Shiffman,2026-04-16,active
CH1109,N012,Ania Kubow,https://www.youtube.com/@AniaKubow/,600000,400,30000,Monologue/Screencast,en,UK,JavaScript and game-based programming tutorials,2026-04-16,active
CH1110,N012,NeetCode,https://www.youtube.com/@NeetCode/,863000,500,100000,Monologue/Screencast,en,US,LeetCode pattern-based coding interview prep,2026-04-16,active
CH1111,N012,Clement Mihailescu,https://www.youtube.com/@cloment/,275000,200,50000,Monologue/Screencast,en,US,AlgoExpert creator sharing coding interview strategies,2026-04-16,active
CH1112,N012,Abdul Bari,https://www.youtube.com/@abdul_bari/,607000,100,200000,Monologue/Screencast,en,IN,Data structures and algorithms with visual explanations,2026-04-16,active
