channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH1301,N014,Traversy Media,https://www.youtube.com/channel/UC29ju8bIPH5as8OGnQzwJyA/,2400000,900,200000,Monologue/Screencast,en,US,Practical project-based web development tutorials,2026-04-16,active
CH1302,N014,Kevin Powell,https://www.youtube.com/@KevinPowell/,1200000,600,80000,Monologue/Screencast,en,CA,CSS evangelist with deep-dive HTML and CSS tutorials,2026-04-16,active
CH1303,N014,The Net Ninja,https://www.youtube.com/channel/UCW5YeuERMmlnqo4oq8vwUpg/,1800000,2000,30000,Monologue/Screencast,en,UK,Sequential web dev mini-courses by Shaun Pelling,2026-04-16,active
CH1304,N014,Web Dev Simplified,https://www.youtube.com/@WebDevSimplified/,1740000,500,80000,Monologue/Screencast,en,US,Front-end web dev focused by Kyle Cook,2026-04-16,active
CH1305,N014,Academind,https://www.youtube.com/@academind/,1000000,1000,30000,Monologue/Screencast,en,DE,React Angular Vue full-stack by Max Schwarzmuller,2026-04-16,active
CH1306,N014,Fireship,https://www.youtube.com/@Fireship/,3500000,800,500000,Monologue/Screencast,en,US,Fast-paced web dev explainers and tutorials,2026-04-16,active
CH1307,N014,freeCodeCamp,https://www.youtube.com/@freecodecamp/,11400000,2000,500000,Monologue/Screencast,en,US,Free full-length web development courses,2026-04-16,active
CH1308,N014,Ania Kubow,https://www.youtube.com/@AniaKubow/,600000,400,30000,Monologue/Screencast,en,UK,JavaScript and web dev project tutorials,2026-04-16,active
CH1309,N014,Ben Awad,https://www.youtube.com/@benawad/,600000,500,50000,Monologue/Screencast,en,US,Full-stack TypeScript React and GraphQL,2026-04-16,active
CH1310,N014,Wes Bos,https://www.youtube.com/channel/UCoebwHSTvwalADTJhps0emA/,173000,200,15000,Monologue/Screencast,en,CA,JavaScript and Node.js web dev tutorials,2026-04-16,active
CH1311,N014,codeSTACKr,https://www.youtube.com/channel/UCDCHcqyeQgJ-jVSd6VJkbCw/,286000,200,20000,Monologue/Screencast,en,US,Web dev tools and productivity tips,2026-04-16,active
CH1312,N014,LevelUpTuts,https://www.youtube.com/channel/UCyU5wkjgQYGRB0hIHMwm2Sg/,455000,1500,10000,Monologue/Screencast,en,US,Svelte React and modern framework tutorials,2026-04-16,active
CH1313,N014,Google Chrome Developers,https://www.youtube.com/channel/UCnUYZLuoy1rq1aVMwx4aTzw/,806000,1000,15000,Monologue/Screencast,en,US,Chrome DevTools and web platform tutorials,2026-04-16,active
CH1314,N014,Jesse Showalter,https://www.youtube.com/channel/UCvBGFeXbBrq3W9_0oNLJREQ/,442000,300,20000,Monologue/Screencast,en,US,Web design and UI/UX development tutorials,2026-04-16,active
CH1315,N014,LearnWebCode,https://www.youtube.com/channel/UCHRp19HU7Y2LwfI0Ai6WAGQ/,352000,150,50000,Monologue/Screencast,en,US,WordPress and web coding tutorials,2026-04-16,active
CH1316,N014,Brad Hussey,https://www.youtube.com/channel/UCVguiojKA6iobcySMJ5boNA/,53400,100,5000,Monologue/Screencast,en,CA,Freelance web development tutorials,2026-04-16,active
CH1317,N014,Quentin Watt Tutorials,https://www.youtube.com/channel/UCtGGGu_hp8ToQ9BR6Vni19w/,161000,400,10000,Monologue/Screencast,en,ZA,Web design and development basics,2026-04-16,active
CH1318,N014,JSConf,https://www.youtube.com/channel/UCzoVCacndDCfGDf41P-z0iA/,287000,500,20000,Monologue,en,US,JavaScript conference talks on web development,2026-04-16,active
CH1319,N014,Codecourse,https://www.youtube.com/channel/UCpOIUW62tnJTtpWFABxWZ8g/,338000,1000,10000,Monologue/Screencast,en,UK,PHP Laravel and backend web development,2026-04-16,active
CH1320,N014,mmtuts,https://www.youtube.com/channel/UCzyuZJ8zZ-Lhfnz41DG5qLw/,437000,300,20000,Monologue/Screencast,en,US,PHP MySQL web development tutorials,2026-04-16,active
CH1321,N014,DevTips,https://www.youtube.com/channel/UCyIe-61Y8C4_o-zZCtO4ETQ/,344000,300,20000,Monologue/Screencast,en,US,Web design and CSS tips,2026-04-16,active
