channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH1401,N015,TechWorld with Nana,https://www.youtube.com/channel/UCdngmbVKX1Tgre699-XLlUA/,1400000,200,100000,Monologue/Screencast,en,DE,DevOps structured tutorials on K8s Docker Jenkins Terraform,2026-04-16,active
CH1402,N015,KodeKloud,https://www.youtube.com/@KodeKloud/,500000,500,30000,Monologue/Screencast,en,IN,Lab-focused DevOps tutorials with hands-on practice,2026-04-16,active
CH1403,N015,Fireship,https://www.youtube.com/@Fireship/,3500000,800,500000,Monologue/Screencast,en,US,DevOps and cloud concepts in 100 seconds,2026-04-16,active
CH1404,N015,freeCodeCamp,https://www.youtube.com/@freecodecamp/,11400000,2000,500000,Monologue/Screencast,en,US,Free full-length DevOps and cloud courses,2026-04-16,active
CH1405,N015,NetworkChuck,https://www.youtube.com/@NetworkChuck/,4300000,500,200000,Monologue/Screencast,en,US,Engaging networking Linux and cloud tutorials,2026-04-16,active
CH1406,N015,Abhishek Veeramalla,https://www.youtube.com/@AbhishekVeeramalla/,500000,300,30000,Monologue/Screencast,en,IN,AWS zero to hero and DevOps tutorials,2026-04-16,active
CH1407,N015,DevOps Directive,https://www.youtube.com/channel/UC4MdpjzjPuop_qWNAvR23JA/,99100,150,15000,Monologue/Screencast,en,US,Kubernetes Helm and GitOps tutorials,2026-04-16,active
CH1408,N015,DevOps Shack,https://www.youtube.com/channel/UC1XLb_DoX2eNWGKjkh2epwA/,235000,200,20000,Monologue/Screencast,en,IN,DevOps pipeline and tool tutorials,2026-04-16,active
CH1409,N015,DevOps Journey,https://www.youtube.com/channel/UC4Snw5yrSDMXys31I18U3gg/,89900,100,15000,Monologue/Screencast,en,US,DevOps career path and learning resources,2026-04-16,active
CH1410,N015,Google Cloud Tech,https://www.youtube.com/@googlecloudtech/,1000000,2000,20000,Monologue/Screencast,en,US,GCP tutorials and cloud architecture,2026-04-16,active
CH1411,N015,AWS (Amazon Web Services),https://www.youtube.com/@amazonwebservices/,1000000,5000,10000,Monologue/Screencast,en,US,Official AWS service tutorials and demos,2026-04-16,active
CH1412,N015,Microsoft Azure,https://www.youtube.com/@MicrosoftAzure/,299000,2000,5000,Monologue/Screencast,en,US,Official Azure cloud platform tutorials,2026-04-16,active
CH1413,N015,A Cloud Guru,https://www.youtube.com/@ACloudGuru/,300000,500,10000,Monologue/Screencast,en,US,Multi-cloud AWS Azure GCP training,2026-04-16,active
CH1414,N015,Cloud Academy,https://www.youtube.com/@CloudAcademy/,100000,300,5000,Monologue/Screencast,en,US,Cloud certification training across providers,2026-04-16,active
