channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH1501,N016,John Hammond,https://www.youtube.com/@_JohnHammond/,2100000,800,100000,Monologue/Screencast,en,US,Malware analysis threat breakdowns and CTF walkthroughs,2026-04-16,active
CH1502,N016,NetworkChuck,https://www.youtube.com/@NetworkChuck/,4300000,500,200000,Monologue/Screencast,en,US,Networking Linux and cybersecurity for beginners,2026-04-16,active
CH1503,N016,David Bombal,https://www.youtube.com/@DavidBombal/,2500000,800,50000,Monologue/Screencast,en,ZA,Networking ethical hacking and certification prep,2026-04-16,active
CH1504,N016,The Cyber Mentor (TCM),https://www.youtube.com/@TCMSecurityAcademy/,800000,400,50000,Monologue/Screencast,en,US,Hands-on penetration testing and offensive security,2026-04-16,active
CH1505,N016,Professor Messer,https://www.youtube.com/@professormesser/,1500000,1000,50000,Monologue/Screencast,en,US,Security+ and CompTIA certification training,2026-04-16,active
CH1506,N016,LiveOverflow,https://www.youtube.com/@LiveOverflow/,1000000,300,80000,Monologue/Screencast,en,DE,Binary exploitation and vulnerability research,2026-04-16,active
CH1507,N016,Hak5,https://www.youtube.com/@hak5/,800000,1000,30000,Monologue/Screencast,en,US,Hardware hacking tools and practical security demos,2026-04-16,active
CH1508,N016,HackerSploit,https://www.youtube.com/@HackerSploit/,800000,500,30000,Monologue/Screencast,en,UK,Ethical hacking and penetration testing frameworks,2026-04-16,active
CH1509,N016,IppSec,https://www.youtube.com/@IppSec/,600000,500,30000,Monologue/Screencast,en,US,HackTheBox walkthrough and CTF tutorials,2026-04-16,active
CH1510,N016,Black Hills Information Security,https://www.youtube.com/channel/UCJ2U9Dq9NckqHMbcUupgF0A/,71100,500,5000,Monologue/Screencast,en,US,Practitioner webcasts on incident response,2026-04-16,active
CH1511,N016,SANS Institute,https://www.youtube.com/@SANSInstitute/,200000,1000,5000,Monologue,en,US,Professional security training and forensics,2026-04-16,active
