channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH1701,N018,Marques Brownlee (MKBHD),https://www.youtube.com/@mkbhd/,20700000,1800,3000000,Monologue,en,US,Premier tech reviewer with studio-quality production,2026-04-16,active
CH1702,N018,Mrwhosetheboss,https://www.youtube.com/@Mrwhosetheboss/,22200000,600,5000000,Monologue,en,UK,In-depth tech comparisons and analysis by Arun Maini,2026-04-16,active
CH1703,N018,Linus Tech Tips,https://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw/,16700000,6000,1000000,Monologue,en,CA,Tech reviews PC builds and smart home by Linus Sebastian,2026-04-16,active
CH1704,N018,Dave2D,https://www.youtube.com/channel/UCVYamHliCI9rw1tHR1xbkfw/,3700000,600,500000,Monologue,en,CA,Clean minimalist laptop and tech reviews by Dave Lee,2026-04-16,active
CH1705,N018,Austin Evans,https://www.youtube.com/channel/UCXGgrKt94gR6lmN4aN3mYTg/,5700000,2000,200000,Monologue,en,US,Consumer tech value comparisons and reviews,2026-04-16,active
CH1706,N018,Unbox Therapy,https://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw/,24700000,2000,500000,Monologue,en,CA,Tech unboxing and reviews by Lewis Hilsenteger,2026-04-16,active
CH1707,N018,JerryRigEverything,https://www.youtube.com/channel/UCWFKCr40YwOZQx8FHU_ZqqQ/,9900000,500,3000000,Monologue,en,US,Durability tests and teardowns by Zack Nelson,2026-04-16,active
CH1708,N018,iJustine,https://www.youtube.com/channel/UCey_c7U86mJGz1VJWH5CYPA/,7100000,3000,200000,Monologue,en,US,Apple and tech lifestyle reviews,2026-04-16,active
CH1709,N018,The Verge,https://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ/,3500000,5000,100000,Monologue,en,US,Tech meets real life reviews and reporting,2026-04-16,active
CH1710,N018,CNET,https://www.youtube.com/channel/UCOmcA3f_RrH6b9NmcNa4tdg/,4100000,10000,50000,Monologue,en,US,Comprehensive tech product reviews and how-tos,2026-04-16,active
CH1711,N018,EverythingApplePro,https://www.youtube.com/channel/UCj34AOIMl_k1fF7hcBkD_dw/,7900000,1000,500000,Monologue,en,US,Apple ecosystem product reviews and tips,2026-04-16,active
CH1712,N018,Flossy Carter,https://www.youtube.com/@FlossyCarter/,2100000,500,200000,Monologue,en,US,Honest real-talk tech reviews and unboxings,2026-04-16,active
CH1713,N018,Hardware Canucks,https://www.youtube.com/channel/UCTzLRZUgelatKZ4nyIKcAbg/,1900000,800,100000,Monologue,en,CA,PC hardware and peripheral reviews,2026-04-16,active
CH1714,N018,SuperSaf,https://www.youtube.com/channel/UCIrrRLyFMVmmL9NDAU2obJA/,2200000,800,100000,Monologue,en,UK,Smartphone comparisons and tech reviews,2026-04-16,active
CH1715,N018,GSMArena Official,https://www.youtube.com/channel/UCbLq9tsbo8peV22VxbDAfXA/,2100000,1000,100000,Monologue,en,BG,Professional smartphone reviews and benchmarks,2026-04-16,active
CH1716,N018,randomfrankp,https://www.youtube.com/channel/UChnN9MPURwKV2PbEoT2vhTQ/,2200000,500,200000,Monologue,en,US,Desk setup and tech accessory reviews,2026-04-16,active
CH1717,N018,PhoneArena,https://www.youtube.com/channel/UCwPRdjbrlqTjWOl7ig9JLHg/,1300000,2000,50000,Monologue,en,US,Professional smartphone reviews and comparisons,2026-04-16,active
CH1718,N018,Sara Dietschy,https://www.youtube.com/channel/UCfuwnVrJuKnqb-2hQZbctsQ/,933000,500,50000,Monologue,en,US,Creative tech reviews and filmmaker gear,2026-04-16,active
CH1719,N018,Hayls World,https://www.youtube.com/channel/UCIxLxlan8q9WA7sjuq6LdTQ/,2600000,300,200000,Monologue,en,US,Tech reviews from lifestyle perspective,2026-04-16,active
