channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2001,N021,The Futur - Chris Do,https://www.youtube.com/@thefutur,2500000,1500,50000,Monologue,en,US,Pricing positioning and sales for freelancers,2026-04-16,active
CH2002,N021,Ali Abdaal,https://www.youtube.com/@aliabdaal,5500000,600,500000,Monologue,en,UK,Part-time creator and productivity for side hustles,2026-04-16,active
CH2003,N021,Pat Flynn - Smart Passive Income,https://www.youtube.com/@patflynn,900000,800,30000,Monologue,en,US,Online business and passive income strategies,2026-04-16,active
CH2004,N021,Ryan Scribner,https://www.youtube.com/channel/UC3mjMoJuFnjYRBLon_6njbQ,700000,600,30000,Monologue,en,US,Side hustles personal finance and entrepreneurship,2026-04-16,active
CH2005,N021,Baddie In Business,https://www.youtube.com/channel/UCk2AvEjXzspL1FWaG7GYTNQ,400000,300,40000,Monologue,en,US,Young women focused side hustle and business tips,2026-04-16,active
CH2006,N021,Side Hustle Pro,https://www.youtube.com/channel/UCSsT9MDJPVLiGFHgYGeobhw,60000,200,5000,Podcast/Monologue,en,US,Side hustle success stories and strategies,2026-04-16,active
CH2007,N021,Alex Cattoni,https://www.youtube.com/channel/UCPEZnYBqewx-h43B5tLymYw,400000,300,30000,Monologue,en,US,Freelance copywriting business and marketing,2026-04-16,active
CH2008,N021,Nick Loper - Side Hustle Nation,https://www.youtube.com/channel/UCzOAAJUiSO2uyu1xyxw__2Q,100000,500,8000,Monologue/Podcast,en,US,Side hustle ideas and income diversification,2026-04-16,active
CH2009,N021,Nathan Nazareth,https://www.youtube.com/channel/UC8HGfwObJ9DwbRX3xmwg1xg,400000,200,40000,Monologue,en,CA,Young entrepreneur sharing side hustle strategies,2026-04-16,active
CH2010,N021,Richie Hustles,https://www.youtube.com/channel/UCJjYP_NElCUBr6Sc4WLYafQ,100000,200,15000,Monologue,en,US,Practical side hustle guides and income streams,2026-04-16,active
CH2011,N021,Daniel Inskeep,https://www.youtube.com/channel/UCtx8VrbY0M7oLgzl5M_ELsg,200000,200,20000,Monologue,en,US,Side hustle experiments and income reports,2026-04-16,active
CH2012,N021,Brand Creators,https://www.youtube.com/channel/UCufEXE2Ir9IBgTIPGcJdtCA,80000,400,8000,Monologue,en,US,Building brands as a side hustle,2026-04-16,active
CH2013,N021,Golden State Picker,https://www.youtube.com/channel/UCdxjhY0dF3wyYxsfpn0Ketg,100000,300,15000,Monologue,en,US,Reselling and flipping as a side hustle,2026-04-16,active
CH2014,N021,Make Money with Stacy La,https://www.youtube.com/channel/UCIcoDIrQQxBbZqnPzO1zDFQ,50000,200,8000,Monologue,en,US,Side hustle and online money making strategies,2026-04-16,active
CH2015,N021,Mohammed - Side Hustles,https://www.youtube.com/channel/UCOmo48Jg9H_ji__sw8l2h8w,200000,200,25000,Monologue,en,UK,Side hustle ideas and tutorials for beginners,2026-04-16,active
