channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2301,N024,Russell Brunson - Marketing Secrets,https://www.youtube.com/@RussellBrunson,500000,500,20000,Monologue,en,US,Sales funnels and ClickFunnels creator,2026-04-16,active
CH2302,N024,ConvertKit,https://www.youtube.com/channel/UC7uOQK6nAYXbrB2pDeirBFA,50000,400,3000,Monologue/Tutorial,en,US,Email marketing for creators and bloggers,2026-04-16,active
CH2303,N024,AWeber Email Marketing,https://www.youtube.com/channel/UCSfx_lXaIO6CRC7-uADM65w,30000,300,2000,Monologue/Tutorial,en,US,Email marketing platform education,2026-04-16,active
CH2304,N024,MailerLite,https://www.youtube.com/channel/UCRWH1lQlbnqCrrYTfacklIQ,50000,300,3000,Monologue/Tutorial,en,LT,Email marketing platform tutorials,2026-04-16,active
CH2305,N024,Flowium - eCommerce Email Marketing,https://www.youtube.com/channel/UCwEqtZC2XXySTH1ln1PC5wQ,20000,200,3000,Monologue,en,US,Klaviyo and ecommerce email marketing,2026-04-16,active
CH2306,N024,Constant Contact,https://www.youtube.com/channel/UC0_XV-kgmGH1p_KP4d0qGSw,30000,400,2000,Monologue/Tutorial,en,US,Email marketing platform and small biz marketing,2026-04-16,active
CH2307,N024,Bitesize Marketing,https://www.youtube.com/channel/UCXbyit16hZ3H3_zlj4uF5pw,20000,100,3000,Monologue,en,UK,Short email marketing strategy content,2026-04-16,active
CH2308,N024,Elastic Email,https://www.youtube.com/channel/UC9LDu5ERu5v-1cqXemADdzg,8000,100,1500,Monologue/Tutorial,en,PL,Email marketing platform education,2026-04-16,active
CH2309,N024,Chronos Agency,https://www.youtube.com/channel/UCLPTG_9qNwovJFyuJtgitVg,10000,100,2000,Monologue,en,US,eCommerce email marketing agency education,2026-04-16,active
CH2310,N024,The Email Marketing Maven,https://www.youtube.com/channel/UCBdL12PGSXQhu3yiglhncNA,5000,80,1500,Monologue,en,US,Email marketing strategies and best practices,2026-04-16,active
CH2311,N024,eFocus Marketing,https://www.youtube.com/channel/UCZiZ-YPtR3XyCDT5Sc7XPmQ,5000,50,1500,Monologue,en,UK,Email marketing strategy consulting education,2026-04-16,active
CH2312,N024,AmyHall.biz - Mailchimp Expert,https://www.youtube.com/channel/UCpl5nUlKvvywPKGAghlhy7w,8000,100,2000,Monologue/Tutorial,en,UK,Mailchimp expert tutorials and strategy,2026-04-16,active
CH2313,N024,Amy Porterfield,https://www.youtube.com/@AmyPorterfield,300000,500,10000,Monologue,en,US,Online courses email marketing and funnels,2026-04-16,active
CH2314,N024,Alex Cattoni - Copy Posse,https://www.youtube.com/@AlexCattoni,400000,300,30000,Monologue,en,US,Email copywriting and sales funnels,2026-04-16,active
CH2315,N024,GetResponse,https://www.youtube.com/@GetResponse,50000,400,3000,Monologue/Tutorial,en,PL,Email marketing automation platform,2026-04-16,active
CH2316,N024,ActiveCampaign,https://www.youtube.com/@ActiveCampaign,50000,500,3000,Monologue/Tutorial,en,US,Email automation and CRM platform education,2026-04-16,active
CH2317,N024,Mailchimp,https://www.youtube.com/@Mailchimp,100000,300,5000,Monologue/Tutorial,en,US,Email marketing platform education,2026-04-16,active
CH2318,N024,Klaviyo,https://www.youtube.com/@Klaviyo,50000,300,3000,Monologue/Tutorial,en,US,eCommerce email and SMS marketing platform,2026-04-16,active
CH2319,N024,Leadpages,https://www.youtube.com/@Leadpages,30000,300,3000,Monologue/Tutorial,en,US,Landing pages and email lead generation,2026-04-16,active
CH2320,N024,ClickFunnels,https://www.youtube.com/@ClickFunnels,200000,500,10000,Monologue/Tutorial,en,US,Sales funnel building platform education,2026-04-16,active
CH2321,N024,Drip,https://www.youtube.com/@Drip,15000,200,2000,Monologue/Tutorial,en,US,eCommerce email marketing automation,2026-04-16,active
CH2322,N024,Frank Kern,https://www.youtube.com/@FrankKern,200000,300,15000,Monologue,en,US,Internet marketing funnels and email strategy,2026-04-16,active
CH2323,N024,Dean Graziosi,https://www.youtube.com/@DeanGraziosi,500000,500,20000,Monologue,en,US,Sales funnels and course marketing,2026-04-16,active
CH2324,N024,Brendon Burchard,https://www.youtube.com/@BrendonBurchard,500000,500,15000,Monologue,en,US,High performance marketing and funnels,2026-04-16,active
CH2325,N024,Jeff Walker - Product Launch Formula,https://www.youtube.com/@JeffWalker,50000,200,5000,Monologue,en,US,Product launch funnels and email sequences,2026-04-16,active
CH2326,N024,Nathan Barry - ConvertKit CEO,https://www.youtube.com/@NathanBarry,30000,100,5000,Monologue,en,US,Creator economy email marketing strategy,2026-04-16,active
CH2327,N024,Stu McLaren,https://www.youtube.com/@StuMcLaren,50000,200,5000,Monologue,en,CA,Membership site funnels and email marketing,2026-04-16,active
CH2328,N024,Sam Cart,https://www.youtube.com/@SamCart,30000,200,3000,Monologue/Tutorial,en,US,Checkout and sales funnel optimization,2026-04-16,active
CH2329,N024,Kartra,https://www.youtube.com/@Kartra,20000,200,2000,Monologue/Tutorial,en,US,All in one marketing funnel platform,2026-04-16,active
CH2330,N024,Kajabi,https://www.youtube.com/@Kajabi,50000,300,3000,Monologue/Tutorial,en,US,Online course and email marketing platform,2026-04-16,active
CH2331,N024,Systeme.io,https://www.youtube.com/@SystemeIO,30000,200,3000,Monologue/Tutorial,en,FR,All in one funnel builder platform,2026-04-16,active
CH2332,N024,GoHighLevel,https://www.youtube.com/@GoHighLevel,100000,300,5000,Monologue/Tutorial,en,US,Marketing automation and funnel building,2026-04-16,active
CH2333,N024,Unbounce,https://www.youtube.com/@Unbounce,30000,200,3000,Monologue/Tutorial,en,CA,Landing page and conversion optimization,2026-04-16,active
CH2334,N024,OptinMonster,https://www.youtube.com/@OptinMonster,15000,100,2000,Monologue/Tutorial,en,US,Lead generation and email opt-in tools,2026-04-16,active
CH2335,N024,Thrivecart,https://www.youtube.com/@Thrivecart,10000,100,2000,Monologue/Tutorial,en,US,Shopping cart and funnel builder,2026-04-16,active
CH2336,N024,Jenna Kutcher (Email),https://www.youtube.com/@JennaKutcher,200000,200,15000,Monologue,en,US,Email list building and digital marketing,2026-04-16,active
CH2337,N024,Pat Flynn (Email Funnels),https://www.youtube.com/@patflynn,900000,800,30000,Monologue,en,US,Email automation and online business funnels,2026-04-16,active
CH2338,N024,Anik Singal - Lurn,https://www.youtube.com/@AnikSingal,100000,300,5000,Monologue,en,US,Email marketing and digital publishing funnels,2026-04-16,active
CH2339,N024,Todd Brown - Marketing Funnel Automation,https://www.youtube.com/@ToddBrown,50000,200,5000,Monologue,en,US,Marketing funnel architecture and strategy,2026-04-16,active
CH2340,N024,Ryan Deiss - DigitalMarketer,https://www.youtube.com/@DigitalMarketer,100000,500,5000,Monologue,en,US,Customer value journey and email funnels,2026-04-16,active
CH2341,N024,Caleb OBrien - Funnel Builder,https://www.youtube.com/@CalebOBrien,20000,100,3000,Monologue,en,US,Funnel building tutorials and strategy,2026-04-16,active
CH2342,N024,Email Marketing Software Channel,https://www.youtube.com/channel/UCkMs6UDCJLVEVZpQCAGKB5A,5000,80,1500,Monologue/Tutorial,en,US,Comparing email marketing software,2026-04-16,active
CH2343,N024,Juvlon Email Marketing,https://www.youtube.com/channel/UCz0Pq1e3pTlku61CRBQ0I5Q,3000,50,1000,Monologue/Tutorial,en,IN,Indian email marketing platform education,2026-04-16,active
CH2344,N024,Gillian Perkins (Funnels),https://www.youtube.com/@GillianPerkins,500000,400,20000,Monologue,en,US,Online business email funnels and courses,2026-04-16,active
CH2345,N024,Rachel Miller - Moolah Marketing,https://www.youtube.com/@MoolahMarketing,50000,200,3000,Monologue,en,US,Email list building from social media,2026-04-16,active
CH2346,N024,Melyssa Griffin,https://www.youtube.com/@MelyssaGriffin,200000,200,10000,Monologue,en,US,Email marketing and online course creation,2026-04-16,active
CH2347,N024,Mariah Coz,https://www.youtube.com/@MariahCoz,30000,100,3000,Monologue,en,US,Course launch funnels and email sequences,2026-04-16,active
CH2348,N024,Kate Doster - Love Your List,https://www.youtube.com/@KateDoster,20000,100,2000,Monologue,en,US,Email copywriting and list nurturing,2026-04-16,active
