channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2401,N025,Ac Hampton,https://www.youtube.com/channel/UC3qB4xFJkl0EYoTVbhnn0OQ,300000,300,30000,Monologue,en,US,Shopify dropshipping millionaire sharing strategies,2026-04-16,active
CH2402,N025,The Ecom King - Kamil Sattar,https://www.youtube.com/@TheEcomKing,800000,300,50000,Monologue,en,UK,Shopify dropshipping tutorials and guides,2026-04-16,active
CH2403,N025,Jordan Welch,https://www.youtube.com/@JordanWelch,1000000,200,100000,Monologue,en,US,E-commerce and dropshipping case studies,2026-04-16,active
CH2404,N025,Hayden Bowles,https://www.youtube.com/@HaydenBowles,400000,300,20000,Monologue,en,US,Shopify dropshipping and Facebook ads,2026-04-16,active
CH2405,N025,Scott Hilse,https://www.youtube.com/channel/UCF_UTPI3t0oLT-waokYoesQ,200000,200,15000,Monologue,en,US,One product Shopify dropshipping method,2026-04-16,active
CH2406,N025,Nathan Nazareth,https://www.youtube.com/channel/UC8HGfwObJ9DwbRX3xmwg1xg,400000,200,40000,Monologue,en,CA,Shopify entrepreneur sharing dropshipping insights,2026-04-16,active
CH2407,N025,Paul Lee,https://www.youtube.com/channel/UClzbR1gaXhbgWo_eIavAaRw,200000,200,15000,Monologue,en,US,Seven figure Shopify dropshipping mentor,2026-04-16,active
CH2408,N025,Sharif Mohsin,https://www.youtube.com/channel/UC_KL_-8-6bnhQUOKoC6kADw,100000,200,10000,Monologue,en,US,Dropshipping case studies and ad strategies,2026-04-16,active
CH2409,N025,Tan Choudhury,https://www.youtube.com/@TanChoudhury,100000,200,8000,Monologue,en,UK,E-commerce business building and dropshipping,2026-04-16,active
CH2410,N025,Success With Sam,https://www.youtube.com/channel/UCLI_f0zfE2Q9EWoJe_cAwRw,100000,200,10000,Monologue,en,US,Dropshipping success stories and tutorials,2026-04-16,active
CH2411,N025,AutoDS - Automatic DropShipping,https://www.youtube.com/channel/UCAbcoKROFsRA_uA9aSprCwg,200000,500,8000,Monologue/Tutorial,en,US,Automated dropshipping tools and education,2026-04-16,active
CH2412,N025,Paul J Lipsky,https://www.youtube.com/channel/UCmeU2DYiVy80wMBGZzEWnbw,200000,300,10000,Monologue,en,US,eBay and Shopify dropshipping tutorials,2026-04-16,active
CH2413,N025,Oberlo,https://www.youtube.com/channel/UCjuxbyEZytRdXptCYJzeXgQ,200000,200,15000,Monologue/Tutorial,en,CA,Shopify dropshipping app education,2026-04-16,active
CH2414,N025,Dan Dasilva,https://www.youtube.com/channel/UC9NBydVdaCiYocXZS1QkdsQ,200000,200,15000,Monologue,en,US,Shopify dropshipping and ecommerce education,2026-04-16,active
CH2415,N025,Verum Ecom,https://www.youtube.com/@VerumEcom,100000,200,10000,Monologue,en,US,Product research and dropshipping strategies,2026-04-16,active
CH2416,N025,Leon Green,https://www.youtube.com/channel/UCkGGqH2zBlhwCy7QHZXH-Ow,50000,200,5000,Monologue,en,UK,UK based dropshipping tutorials and guides,2026-04-16,active
CH2417,N025,Christian Albrecht,https://www.youtube.com/channel/UCxMsXgbXTJ8ECGmt0pZN0Ew,30000,100,5000,Monologue,en,US,Dropshipping tutorials and case studies,2026-04-16,active
CH2418,N025,J Rich,https://www.youtube.com/channel/UCaFHOtV4R4rxg1YEXxvK3Jw,30000,100,5000,Monologue,en,US,Shopify dropshipping journey content,2026-04-16,active
CH2419,N025,DSers - AliExpress Partner,https://www.youtube.com/channel/UCpiRdgB8VXvaht0AizSP9mA,30000,200,3000,Monologue/Tutorial,en,US,AliExpress dropshipping tool education,2026-04-16,active
CH2420,N025,Vilius Dainora,https://www.youtube.com/channel/UCvZU162iaxqTouf3Ul60Ixw,30000,100,5000,Monologue,en,LT,European dropshipping strategies,2026-04-16,active
CH2421,N025,Chris Wane,https://www.youtube.com/channel/UCB2Tl2IFJxr-sEpJVo4vppA,50000,100,5000,Monologue,en,UK,UK dropshipping and ecommerce,2026-04-16,active
CH2422,N025,Dropship Downunder,https://www.youtube.com/channel/UCk3S7KIxaXSjuEcnaOqlhcA,30000,100,3000,Monologue,en,AU,Australian dropshipping strategies,2026-04-16,active
CH2423,N025,Alex J Crumpton,https://www.youtube.com/channel/UCxHXqUWSeQJtqtbMbBbbHCQ,20000,100,3000,Monologue,en,US,Dropshipping tutorials and product research,2026-04-16,active
CH2424,N025,Mikey Kass,https://www.youtube.com/channel/UCvcqbpbZdAZA3dAAruDtgSw,20000,100,3000,Monologue,en,US,Shopify dropshipping tips and tricks,2026-04-16,active
CH2425,N025,Justin Painter,https://www.youtube.com/channel/UCf644ysRkMfpCasEawRVo9w,50000,100,5000,Monologue,en,US,Shopify store building and marketing,2026-04-16,active
CH2426,N025,Nate Schmidt,https://www.youtube.com/channel/UCb8S3uIkBiT5KM_0ZAcyyFA,30000,100,3000,Monologue,en,US,Dropshipping journey and product research,2026-04-16,active
CH2427,N025,DropshipTyler,https://www.youtube.com/channel/UCRHlp5XPTX1q4cANdrHEYKA,15000,80,2000,Monologue,en,US,Beginner dropshipping tutorials,2026-04-16,active
CH2428,N025,The Bearded Dropshipper,https://www.youtube.com/channel/UCCZNtCUqth4ap5WSK_v2hLQ,10000,80,2000,Monologue,en,US,Honest dropshipping experiences and tips,2026-04-16,active
CH2429,N025,Dropshipping Hub,https://www.youtube.com/channel/UCAR_nHdGF6G-utmeCaf2LWw,10000,80,1500,Monologue,en,US,Dropshipping news and strategies,2026-04-16,active
CH2430,N025,The 5-Star Dropshipping,https://www.youtube.com/channel/UCoM4u7eiw5JR6a4NGN5_zGw,8000,50,1500,Monologue,en,US,High quality dropshipping strategies,2026-04-16,active
CH2431,N025,Yakkyofy,https://www.youtube.com/channel/UCAz4WmgsBd1UjGnzXyFUlng,10000,100,1500,Monologue/Tutorial,en,IT,Dropshipping fulfillment platform education,2026-04-16,active
CH2432,N025,Dropship Club,https://www.youtube.com/channel/UCV5Q6ht6M3FWXZa9RkifAJg,8000,50,1500,Monologue,en,US,Dropshipping community and strategies,2026-04-16,active
