channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2501,N026,Jungle Scout,https://www.youtube.com/channel/UC0iJ3ldvDUGiUPfGiiifzVQ,300000,500,10000,Monologue/Tutorial,en,US,Amazon FBA product research and selling tools,2026-04-16,active
CH2502,N026,My Amazon Guy - Steven Pope,https://www.youtube.com/channel/UClUSEsDS2sdgNJfCcCM_5Uw,200000,1000,5000,Monologue,en,US,Comprehensive Amazon seller education,2026-04-16,active
CH2503,N026,Helium 10,https://www.youtube.com/@Helium10,200000,500,8000,Monologue/Tutorial,en,US,Amazon seller tools and tutorials,2026-04-16,active
CH2504,N026,Wholesale Ted - Sarah Chrisp,https://www.youtube.com/@WholesaleTed,1000000,200,100000,Monologue,en,NZ,Amazon wholesale and ecommerce strategies,2026-04-16,active
CH2505,N026,Dan Vas,https://www.youtube.com/channel/UCba-OKnXOFOe3eTXlXYuDTQ,600000,300,30000,Monologue,en,US,Amazon FBA and ecommerce entrepreneur,2026-04-16,active
CH2506,N026,Tom Wang,https://www.youtube.com/channel/UCLa0uv4VkNm9d8i9AGLKC1g,300000,200,30000,Monologue,en,CA,Amazon FBA private label strategies,2026-04-16,active
CH2507,N026,Marketplace SuperHeroes,https://www.youtube.com/channel/UC0vPu0MpUQucAnZukUbtJuw,50000,300,5000,Monologue,en,IE,Amazon FBA brand building and private label,2026-04-16,active
CH2508,N026,Kev Blackburn,https://www.youtube.com/@KevBlackburn,100000,300,8000,Monologue,en,UK,Amazon online arbitrage business model,2026-04-16,active
CH2509,N026,Pat Harris,https://www.youtube.com/channel/UCb9iHmj69Xc3AP3ECEkEWjw,30000,200,3000,Monologue,en,US,Amazon FBA selling tips and strategies,2026-04-16,active
CH2510,N026,Trevin Peterson,https://www.youtube.com/channel/UCdpCZUXLtEpWYWf5eiI0qAg,100000,200,10000,Monologue,en,US,Amazon FBA journey and case studies,2026-04-16,active
CH2511,N026,Reezy Resells,https://www.youtube.com/channel/UCeq8GxD-kFVV5S1i0MCmzTg,200000,500,10000,Monologue,en,US,Amazon reselling and flipping strategies,2026-04-16,active
CH2512,N026,Nikki Kirk,https://www.youtube.com/channel/UCuoLhz78ZvavbroOhLaXK_w,30000,100,3000,Monologue,en,US,Amazon FBA for women entrepreneurs,2026-04-16,active
CH2513,N026,Sheryl Marcinek,https://www.youtube.com/channel/UCQL_hRuVWUCriM1wPm9xnjg,20000,100,2000,Monologue,en,US,Amazon selling tips and tutorials,2026-04-16,active
CH2514,N026,Full-Time FBA,https://www.youtube.com/channel/UCjfIlZRd2nFImCDGl30xCHw,50000,300,5000,Monologue,en,US,Full time Amazon FBA reselling,2026-04-16,active
CH2515,N026,Tamara Tee,https://www.youtube.com/channel/UCMybK4XtrvxB8AVEDXy-X4A,30000,200,3000,Monologue,en,CA,Amazon FBA for beginners education,2026-04-16,active
CH2516,N026,Mina Elias,https://www.youtube.com/channel/UCrbS0KD_OE2516ZLut1VYGw,50000,200,5000,Monologue,en,US,Amazon PPC and supplement brand building,2026-04-16,active
CH2517,N026,Flips4Miles,https://www.youtube.com/channel/UCd0gngaeuOlUQr8K5SEVgcA,50000,200,5000,Monologue,en,US,Amazon flipping and reselling,2026-04-16,active
CH2518,N026,Amazon Ads,https://www.youtube.com/channel/UCGRjlfFeU-5eC-ElShfwYPw,50000,300,3000,Monologue/Tutorial,en,US,Official Amazon advertising education,2026-04-16,active
CH2519,N026,Sell on Amazon (Official),https://www.youtube.com/channel/UC4B8ywA2Cz_K95w2oeWxizg,100000,300,5000,Monologue/Tutorial,en,US,Official Amazon seller education,2026-04-16,active
CH2520,N026,Fields of Profit,https://www.youtube.com/channel/UCFPLwQH8B5avF9pJ1v76dZg,30000,100,3000,Monologue,en,US,Amazon FBA farming and product sourcing,2026-04-16,active
CH2521,N026,FastTrackFBA,https://www.youtube.com/channel/UC-cS7IZUbOvet9UYjCwxTPw,30000,200,3000,Monologue,en,US,Fast tracking Amazon FBA success,2026-04-16,active
CH2522,N026,AMZScout,https://www.youtube.com/channel/UC-rV0wnbUUx8grz1Awtlt-A,30000,200,3000,Monologue/Tutorial,en,US,Amazon product research tools education,2026-04-16,active
CH2523,N026,Seller Circle,https://www.youtube.com/channel/UC1askZ5rUnmcMYmQQ4KGJZg,15000,100,2000,Monologue,en,US,Amazon seller community and tips,2026-04-16,active
CH2524,N026,Honest FBA,https://www.youtube.com/channel/UCqZYz9l1MFbeqK8CsEvo1FA,30000,100,3000,Monologue,en,UK,Honest Amazon FBA reviews and strategies,2026-04-16,active
CH2525,N026,Crescent Kao,https://www.youtube.com/channel/UCyZ1Mpi0Rsus6i3xk-tjfnQ,20000,100,2000,Monologue,en,US,Amazon FBA product launch strategies,2026-04-16,active
CH2526,N026,Orange Klik,https://www.youtube.com/channel/UC88yq_cznQoE_vsIo7NJVGQ,15000,100,2000,Monologue,en,US,Amazon seller events and education,2026-04-16,active
CH2527,N026,Camron James,https://www.youtube.com/channel/UCRC5TrqyTtLIdTdwNBKGQHA,30000,100,3000,Monologue,en,US,Amazon FBA journey and scaling,2026-04-16,active
CH2528,N026,Ad Badger,https://www.youtube.com/channel/UCSsWYJQZT32uUsjBKg9r1qA,20000,200,2000,Monologue/Tutorial,en,US,Amazon PPC advertising optimization,2026-04-16,active
CH2529,N026,Christopher Grant,https://www.youtube.com/channel/UCEPxw5n10XFuIdHdn3OCvvg,20000,100,2000,Monologue,en,US,Amazon wholesale sourcing strategies,2026-04-16,active
CH2530,N026,Brandon M. Young,https://www.youtube.com/channel/UC-JgFJyGEAGTQCDH4yWvZjg,15000,100,2000,Monologue,en,US,Amazon seller optimization and PPC,2026-04-16,active
CH2531,N026,Darren - FBA Elite,https://www.youtube.com/channel/UCS7ME2x9h334nD0OdQXpNrg,15000,100,2000,Monologue,en,UK,Amazon FBA elite strategies,2026-04-16,active
CH2532,N026,Sumner & Ali Hobart,https://www.youtube.com/channel/UCseHZ3fvnOqxfSqdMBS0U-Q,30000,100,3000,Monologue,en,US,Amazon FBA couple sharing selling tips,2026-04-16,active
CH2533,N026,Brad Sherman - Amazon,https://www.youtube.com/channel/UCIXzyxJ5coTy_LPf82eba6w,10000,80,2000,Monologue,en,US,Amazon selling strategies and tips,2026-04-16,active
CH2534,N026,BetterAMS,https://www.youtube.com/channel/UCIyDW8XfX2gTWFHK_otUwAw,10000,100,2000,Monologue,en,US,Amazon advertising management services,2026-04-16,active
CH2535,N026,Riley Bennett Amazon,https://www.youtube.com/channel/UCmNRbQ-zj8UFlBJImnDKhSQ,10000,80,2000,Monologue,en,US,Amazon FBA tips for beginners,2026-04-16,active
CH2536,N026,Adam Heist,https://www.youtube.com/channel/UC-sbTMR8bzv0YIdKNhlyLDw,100000,100,10000,Monologue,en,US,Amazon FBA retail arbitrage strategies,2026-04-16,active
CH2537,N026,Luca Davenport,https://www.youtube.com/channel/UCNQ6dw0FVlo_LazcTXraE9g,20000,80,3000,Monologue,en,UK,Amazon FBA UK seller strategies,2026-04-16,active
CH2538,N026,Seller Sessions,https://www.youtube.com/channel/UCvYbWjz7350Xc6poxlk-S0A,20000,300,2000,Monologue/Podcast,en,UK,Advanced Amazon seller podcast,2026-04-16,active
CH2539,N026,ZonGuru,https://www.youtube.com/channel/UCMFKz4QVV5JrXZ2YoyLVfLw,15000,200,2000,Monologue/Tutorial,en,US,Amazon FBA research and analytics tools,2026-04-16,active
CH2540,N026,Smartest Amazon Seller,https://www.youtube.com/channel/UCzcv9LUQ65VL5CvSnIAWKZQ,10000,200,1500,Monologue/Podcast,en,US,Smart strategies for Amazon selling,2026-04-16,active
CH2541,N026,Trivium Group,https://www.youtube.com/channel/UCW7qjIMBvEnTyXmPU7-stdw,10000,100,2000,Monologue,en,US,Amazon PPC agency education,2026-04-16,active
CH2542,N026,Farah Finds,https://www.youtube.com/channel/UCGxobO9aLRKImTylvftk1OQ,15000,80,2000,Monologue,en,US,Amazon FBA product research finds,2026-04-16,active
CH2543,N026,FBA Mastery,https://www.youtube.com/channel/UCdW4wxWc6eY1Q1PwBWtIxWQ,10000,100,2000,Monologue,en,US,Mastering Amazon FBA business,2026-04-16,active
CH2544,N026,Online Seller UK,https://www.youtube.com/channel/UCUxW6kzbsQKg5FEyeSar9_A,20000,200,2000,Monologue,en,UK,UK Amazon and ecommerce selling,2026-04-16,active
CH2545,N026,Envision Horizons,https://www.youtube.com/channel/UCTwKeNcqroTyX3k2xYvQPMg,10000,100,1500,Monologue,en,US,Amazon brand management agency,2026-04-16,active
CH2546,N026,Jonny Bradley,https://www.youtube.com/channel/UC7MLo4huZZL5_OJE3bpe3OQ,10000,80,2000,Monologue,en,UK,Amazon FBA UK journey and tips,2026-04-16,active
CH2547,N026,Chris Mangunza,https://www.youtube.com/channel/UCKUb8nCezxfSOkzwbtblE6Q,10000,80,2000,Monologue,en,US,Amazon arbitrage and FBA strategies,2026-04-16,active
CH2548,N026,That Amazon Ads Podcast,https://www.youtube.com/channel/UC36IfCZpghToycvQB3EGE4w,8000,100,1500,Podcast/Monologue,en,US,Amazon advertising deep dives,2026-04-16,active
CH2549,N026,Joe Parpheniuk,https://www.youtube.com/channel/UCMHMfdX0m3LI4ntB0YjIZMA,5000,50,1500,Monologue,en,CA,Canadian Amazon FBA seller tips,2026-04-16,active
CH2550,N026,Christopher Ducharme (Coach Chrispect),https://www.youtube.com/channel/UCRhNrQMjQBqLzkGBeES4Lpw,10000,100,1500,Monologue,en,US,Amazon coaching and seller strategies,2026-04-16,active
CH2551,N026,Amazon Wholesale - OneUpFBA,https://www.youtube.com/channel/UCa79PGdz50aXVk2ZaTOEMfQ,10000,80,2000,Monologue,en,US,Amazon wholesale sourcing education,2026-04-16,active
CH2552,N026,sellerboard,https://www.youtube.com/channel/UCymrXub6gU30lls1ntKL_Kg,10000,100,1500,Monologue/Tutorial,en,DE,Amazon profit analytics tool education,2026-04-16,active
CH2553,N026,Sell Beyond,https://www.youtube.com/channel/UCbelUg-n410lvMn2Uec9ilw,5000,50,1500,Monologue,en,US,Amazon brand growth strategies,2026-04-16,active
CH2554,N026,Cajunventures,https://www.youtube.com/channel/UCnzyQQpq3LBMPNBdvPY5qJw,10000,80,2000,Monologue,en,US,Amazon FBA arbitrage adventures,2026-04-16,active
CH2555,N026,Mr Hayden,https://www.youtube.com/channel/UCIqa7s10ddmoVi_o6g_reGg,8000,80,1500,Monologue,en,AU,Australian Amazon seller content,2026-04-16,active
CH2556,N026,Ali Lokhandwala,https://www.youtube.com/channel/UCn-y3SdZw-I9aYSdsWZX1uA,8000,50,1500,Monologue,en,US,Amazon FBA tips and strategies,2026-04-16,active
CH2557,N026,Jyles FBA,https://www.youtube.com/channel/UCW4zYP-bK8BUyM43ee6RufQ,5000,50,1500,Monologue,en,US,Amazon FBA journey content,2026-04-16,active
CH2558,N026,Jamil Rashid,https://www.youtube.com/channel/UCb3OumwnBMtCrF3ETDywGrA,8000,50,1500,Monologue,en,US,Amazon FBA and ecommerce tips,2026-04-16,active
CH2559,N026,The Shark - Amazon,https://www.youtube.com/channel/UCZSAALY_p1hAdCjsugvgk0w,5000,50,1500,Monologue,en,US,Amazon seller strategies and tips,2026-04-16,active
CH2560,N026,Hustle Buddies Official,https://www.youtube.com/channel/UC1p8cVNIJcZA9kPs3nGVSbw,10000,80,1500,Monologue,en,US,Amazon FBA hustle and motivation,2026-04-16,active
