channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2601,N027,Dan Lok,https://www.youtube.com/channel/UCs_6DXZROU29pLvgQdCx4Ww,4000000,2000,100000,Monologue,en,CA,High ticket sales and closing techniques,2026-04-16,active
CH2602,N027,Andy Elliott,https://www.youtube.com/channel/UCIP99i3azLdyYRxnUkSLJ7g,1500000,500,100000,Monologue,en,US,High energy sales training and motivation,2026-04-16,active
CH2603,N027,Jeremy Miner - NEPQ,https://www.youtube.com/channel/UCQ5mWx_XYGRbpcV8zjGhorg,500000,300,30000,Monologue,en,US,Neuro-emotional persuasion questioning sales,2026-04-16,active
CH2604,N027,Victor Antonio,https://www.youtube.com/channel/UCfCyFresVpOJsopvipmcVIQ,300000,1000,10000,Monologue,en,US,Sales influence and persuasion tactics,2026-04-16,active
CH2605,N027,Patrick Dang,https://www.youtube.com/channel/UCLOzkJ9W9fntCGyYfUwMPew,300000,300,15000,Monologue,en,US,B2B sales cold calling and lead gen,2026-04-16,active
CH2606,N027,The Black Swan Group - Chris Voss,https://www.youtube.com/channel/UCk7jHqdlFFDBhC1QIFqi54w,100000,200,10000,Monologue,en,US,FBI negotiation tactics for sales,2026-04-16,active
CH2607,N027,Jordan Belfort - Wolf of Wall Street,https://www.youtube.com/channel/UCEyBnh-q5Mv_D0ySdKhxwGQ,1000000,300,30000,Monologue,en,US,Straight line persuasion sales system,2026-04-16,active
CH2608,N027,Alex Berman - Cold Email,https://www.youtube.com/channel/UCAr7M4Pz-c1WCpIz3YAJQeQ,200000,400,10000,Monologue,en,US,Cold email and B2B lead generation,2026-04-16,active
CH2609,N027,Jeb Blount - Sales Gravy,https://www.youtube.com/channel/UCUVoyyL3KRtiXFXdcWwN8bA,100000,500,5000,Monologue,en,US,Sales training and prospecting expert,2026-04-16,active
CH2610,N027,Sales Scripter - Michael Halper,https://www.youtube.com/channel/UCASVhSuXpeiQeqfQ1lXcibg,50000,500,3000,Monologue,en,US,Sales scripts and cold calling frameworks,2026-04-16,active
CH2611,N027,John Barrows,https://www.youtube.com/channel/UCl3nWS_0BoF6mENXDdkQuZA,30000,200,3000,Monologue,en,US,B2B sales training and prospecting,2026-04-16,active
CH2612,N027,SOCO Sales Training,https://www.youtube.com/channel/UCMM01q-domw-UeO5QLvg_yw,20000,200,2000,Monologue,en,SG,Global sales training and methodology,2026-04-16,active
CH2613,N027,Ian Koniak Sales Coaching,https://www.youtube.com/channel/UCKwbDwBK_adh4AgzprZb5FQ,50000,200,5000,Monologue,en,US,Enterprise sales coaching and B2B strategy,2026-04-16,active
CH2614,N027,Mark Hunter - The Sales Hunter,https://www.youtube.com/channel/UCHfhNUQ8ui1q45ToNErm6zQ,30000,500,2000,Monologue,en,US,Sales prospecting and pipeline building,2026-04-16,active
CH2615,N027,Marcus Chan,https://www.youtube.com/channel/UCv8vfTp1p4_tsL2-YXlvh6A,30000,200,3000,Monologue,en,US,B2B sales strategies and closing,2026-04-16,active
CH2616,N027,The Sales Connection,https://www.youtube.com/channel/UCJbD2Rn5Xz9JCtNY7LChYZA,15000,100,2000,Monologue,en,US,Sales team building and connection,2026-04-16,active
CH2617,N027,David Duford,https://www.youtube.com/channel/UCYbJvTetIGsQgm2l_2iYSNw,30000,300,3000,Monologue,en,US,Insurance sales techniques and scripts,2026-04-16,active
CH2618,N027,Sandler Worldwide,https://www.youtube.com/channel/UCCQWK23LzxjGQjQmYxHq1kA,30000,500,2000,Monologue,en,US,Sandler sales methodology training,2026-04-16,active
CH2619,N027,Josh Braun,https://www.youtube.com/channel/UCK9rfCmYHBIaC9o-qOsNtLg,50000,200,5000,Monologue,en,US,Badass B2B cold outreach techniques,2026-04-16,active
CH2620,N027,Keenan - A Sales Guy,https://www.youtube.com/channel/UCZlrdetp7LzKuuMI4bn1lsQ,30000,200,3000,Monologue,en,US,Gap selling methodology and sales,2026-04-16,active
CH2621,N027,Anthony Iannarino,https://www.youtube.com/channel/UCJoCWRU-uWRcFgVFsMbbJUg,20000,500,2000,Monologue,en,US,B2B sales and consultative selling,2026-04-16,active
CH2622,N027,Donald Kelly - The Sales Evangelist,https://www.youtube.com/channel/UCui2b1tn8aiO1GSwXPYfltA,20000,500,1500,Monologue/Podcast,en,US,Sales evangelism and B2B strategies,2026-04-16,active
CH2623,N027,Bill Caskey,https://www.youtube.com/channel/UCAc7QJD1GBjRQu6fSNa0U4Q,15000,300,1500,Monologue,en,US,Advanced selling and leadership coaching,2026-04-16,active
