channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2701,N028,Simon Sinek,https://www.youtube.com/@SimonSinek,5000000,500,300000,Monologue/Talk,en,US,Start with why and leaders eat last philosophy,2026-04-16,active
CH2702,N028,Craig Groeschel Leadership Podcast,https://www.youtube.com/@craiggroeschel,1000000,500,50000,Monologue,en,US,Leadership principles for church and business,2026-04-16,active
CH2703,N028,Tony Robbins,https://www.youtube.com/@TonyRobbins,2000000,1000,50000,Monologue,en,US,Peak performance leadership and motivation,2026-04-16,active
CH2704,N028,Harvard Business Review,https://www.youtube.com/@HarvardBusinessReview,500000,1000,20000,Monologue/Panel,en,US,Research backed leadership and management,2026-04-16,active
CH2705,N028,Stanford GSB - Leadership,https://www.youtube.com/@stanfordgsb,1000000,2000,30000,Lecture/Monologue,en,US,Stanford leadership and management lectures,2026-04-16,active
CH2706,N028,Patrick Lencioni - Table Group,https://www.youtube.com/@PatrickLencioni,100000,200,10000,Monologue,en,US,Five dysfunctions of a team framework,2026-04-16,active
CH2707,N028,Maxwell Leadership - John Maxwell,https://www.youtube.com/channel/UCcY4omYaHiAMk7x4mNcQmpg,300000,500,10000,Monologue,en,US,Leadership development and 21 irrefutable laws,2026-04-16,active
CH2708,N028,EntreLeadership - Dave Ramsey,https://www.youtube.com/channel/UCOwu527B6ufdcVl8l0VYqtQ,100000,500,5000,Monologue/Interview,en,US,Business leadership from Dave Ramsey team,2026-04-16,active
CH2709,N028,Communication Coach Alex Lyon,https://www.youtube.com/channel/UCie09bMB6ITYmpU3z6vv2tw,500000,300,30000,Monologue,en,US,Leadership communication skills training,2026-04-16,active
CH2710,N028,Carey Nieuwhof,https://www.youtube.com/channel/UClUd0Z_Y7-PgkCjjwddM5Qw,200000,500,8000,Monologue/Podcast,en,CA,Leadership podcast and burnout prevention,2026-04-16,active
CH2711,N028,Leadership with Mike,https://www.youtube.com/channel/UCX_oT8liQty9EL7ZJVpz3RA,50000,200,5000,Monologue,en,US,Practical leadership skills and tips,2026-04-16,active
CH2712,N028,How Leaders Lead - David Novak,https://www.youtube.com/channel/UCa4HLorpafz21UwJem_OnGg,50000,200,5000,Interview/Monologue,en,US,Former Yum CEO interviewing top leaders,2026-04-16,active
CH2713,N028,Modern Leadership,https://www.youtube.com/channel/UCkRp25GW0AHW4u_eoDNLO9A,20000,100,3000,Monologue,en,US,Modern approaches to leadership,2026-04-16,active
CH2714,N028,Ryan Hawk - The Learning Leader,https://www.youtube.com/channel/UCXEPDs5H50ITc2gBwChO0Mg,30000,200,3000,Interview/Monologue,en,US,Learning leadership through interviews,2026-04-16,active
CH2715,N028,Global Leadership Network,https://www.youtube.com/channel/UCNnjwg3YAr53t3t33HZT7ew,50000,500,3000,Monologue/Talk,en,US,Global leadership summit content,2026-04-16,active
CH2716,N028,Center for Creative Leadership,https://www.youtube.com/channel/UC9ulOx1rJK5FMlC5gbS91cQ,30000,300,2000,Monologue,en,US,Research based leadership development,2026-04-16,active
CH2717,N028,High-Performance Teams Podcast,https://www.youtube.com/channel/UC_dQhmQ2WlfQh-OSPpTkJkQ,10000,100,2000,Podcast/Monologue,en,US,Building high performance team cultures,2026-04-16,active
CH2718,N028,Leadership Nudges,https://www.youtube.com/channel/UCM6PvFiH_weNCMCnFynTNdg,15000,200,2000,Monologue,en,US,David Marquet turn the ship around author,2026-04-16,active
CH2719,N028,Admired Leadership,https://www.youtube.com/channel/UCa7Q9PNC1wXLsGtOckXncGA,15000,100,2000,Monologue,en,US,Leadership behaviors and routines,2026-04-16,active
CH2720,N028,Front Line Leadership,https://www.youtube.com/channel/UCei5rjeJwGimWOXBvFlwa7g,10000,100,1500,Monologue,en,US,Front line manager training,2026-04-16,active
CH2721,N028,Ramona Shaw Leadership,https://www.youtube.com/channel/UCKCQKvrIjwpyHVn-Y4fCPqw,15000,200,2000,Monologue,en,US,New manager leadership coaching,2026-04-16,active
CH2722,N028,The Leadership Project - Mick Spiers,https://www.youtube.com/channel/UCPG9X7weoI4Xs3SreZab1rQ,8000,100,1500,Monologue/Podcast,en,AU,Leadership development podcast and tips,2026-04-16,active
CH2723,N028,Bluepoint Leadership,https://www.youtube.com/channel/UC-sitYD5WAP99_p7w8Jwj8w,5000,80,1500,Monologue,en,US,Leadership development programs,2026-04-16,active
CH2724,N028,Ben Ward Leadership,https://www.youtube.com/channel/UCYWb9Smw06aVYBApIwdTV_w,5000,50,1500,Monologue,en,UK,UK leadership coaching content,2026-04-16,active
CH2725,N028,Elevate Your Leadership,https://www.youtube.com/channel/UCqx9fuoZnq0--c1ttdckwLg,8000,80,1500,Monologue,en,US,Elevating leadership skills,2026-04-16,active
CH2726,N028,L3 Leadership,https://www.youtube.com/channel/UCsF0cVdRu2oELJGpaHma7Ag,5000,200,1000,Monologue/Podcast,en,US,Living loving and leading leadership,2026-04-16,active
CH2727,N028,Leadership Jetway,https://www.youtube.com/channel/UCoLTuoGbdFO1OqJWmrFD9NQ,3000,50,1000,Monologue,en,US,Leadership journey and career development,2026-04-16,active
CH2728,N028,Spartan Leadership Podcast,https://www.youtube.com/channel/UCq4Sd9OrtNepkRmVPyF1w6g,5000,80,1000,Podcast/Monologue,en,US,Spartan approach to leadership,2026-04-16,active
CH2729,N028,School of Leadership,https://www.youtube.com/channel/UCTq2Dezn-_NQS120M53fErw,8000,100,1500,Monologue/Lecture,en,US,Leadership education and training,2026-04-16,active
CH2730,N028,Leadership Lean In - Chad Veach,https://www.youtube.com/channel/UCqlfQgIBW12SiMzK22Zy-AQ,10000,80,2000,Monologue,en,US,Leaning into leadership challenges,2026-04-16,active
CH2731,N028,Mike Phillips Leadership,https://www.youtube.com/channel/UCAHAp1lqtTB_7bfBOGCJ4pA,5000,80,1000,Monologue,en,US,Practical leadership training content,2026-04-16,active
CH2732,N028,The Leadership Library Podcast,https://www.youtube.com/channel/UCpK1PxuLt5zI-YO_LP5MwFQ,3000,50,1000,Podcast/Monologue,en,US,Leadership book reviews and discussions,2026-04-16,active
CH2733,N028,Intentional Leader Podcast,https://www.youtube.com/channel/UCr_ZF6AG_9ZylHul1O5wHhg,3000,50,1000,Podcast/Monologue,en,US,Intentional leadership development,2026-04-16,active
CH2734,N028,Inspiring Leadership - Jonathan Bowman-Perks,https://www.youtube.com/channel/UCZQXQpiCMdYBokRCDzVbIQg,5000,100,1000,Interview/Monologue,en,UK,Inspiring leadership stories and tips,2026-04-16,active
CH2735,N028,Leadership Mojo,https://www.youtube.com/channel/UCQXTA8LdJdlqaPvDBAVqR3Q,3000,50,1000,Monologue,en,US,Finding your leadership mojo,2026-04-16,active
CH2736,N028,The Conscious Leadership Group,https://www.youtube.com/channel/UCI1AcLHp-6LpypMvXChg2bg,15000,100,2000,Monologue,en,US,15 commitments of conscious leadership,2026-04-16,active
CH2737,N028,Frank Hopkins Leadership Coach,https://www.youtube.com/channel/UCHIt8qxQbNpSQ-Q2s4gPRuw,3000,50,1000,Monologue,en,UK,Executive leadership coaching,2026-04-16,active
CH2738,N028,BuildWitt Leaders,https://www.youtube.com/channel/UCmEd1R10NXKCcSaglPFrbnA,8000,80,1500,Monologue,en,US,Construction industry leadership,2026-04-16,active
CH2739,N028,Hacking Your Leadership Podcast,https://www.youtube.com/channel/UCQBz-aYZzZsNuyDzfZPivgA,5000,100,1000,Podcast/Monologue,en,US,Hacking leadership and management,2026-04-16,active
CH2740,N028,First Time Leadership,https://www.youtube.com/channel/UCxu2drJiItOBmm0NLx9rrOQ,5000,80,1000,Monologue,en,US,First time manager leadership guide,2026-04-16,active
CH2741,N028,Denis Gianoutsos - Leadership Is Changing,https://www.youtube.com/channel/UCVkkQeXghE2SW6-Ai9oG-4Q,3000,100,1000,Podcast/Monologue,en,NZ,How leadership is evolving,2026-04-16,active
CH2742,N028,The Leadership Roundtable Podcast,https://www.youtube.com/channel/UCs5wn9ExVUWg2j34xnadtzQ,3000,50,1000,Podcast/Monologue,en,US,Leadership roundtable discussions,2026-04-16,active
CH2743,N028,Grow Strong Leaders Podcast,https://www.youtube.com/channel/UC1Yqt-i8ehRSj5pEb1VEgSA,3000,50,1000,Podcast/Monologue,en,US,Growing strong organizational leaders,2026-04-16,active
CH2744,N028,Tremendous Leadership,https://www.youtube.com/channel/UCYY2o6ESRYTdLvHYo0BvMhA,5000,100,1000,Monologue,en,US,Tremendous life and leadership principles,2026-04-16,active
CH2745,N028,Lopez on Leadership,https://www.youtube.com/channel/UCEklLA0a1LDP3cVAJXiCMTA,3000,50,1000,Monologue,en,US,Military leadership principles applied,2026-04-16,active
CH2746,N028,Leadership Above the Grind,https://www.youtube.com/channel/UCFPwjIrZdEgpm0WS7FPpzVQ,3000,50,1000,Monologue,en,US,Rising above daily grind as a leader,2026-04-16,active
CH2747,N028,Gro Up Leadership,https://www.youtube.com/channel/UCNIMCeUMMBabkDNs4ALLAZQ,3000,50,1000,Monologue,en,US,Growing up as a leader,2026-04-16,active
CH2748,N028,Life Leadership,https://www.youtube.com/channel/UCwPpLBi8javrmMr3AxiBc0w,10000,200,1000,Monologue,en,US,Life leadership development content,2026-04-16,active
CH2749,N028,Friends for Leadership,https://www.youtube.com/channel/UCsKmGVGSS4iwwzpBGOsw-kg,3000,50,1000,Monologue,en,US,Leadership community and advice,2026-04-16,active
