channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2901,N030,Pat Flynn - Smart Passive Income,https://www.youtube.com/@patflynn,900000,800,30000,Monologue,en,US,Affiliate marketing and passive income pioneer,2026-04-16,active
CH2902,N030,Matt Diggity (Affiliate),https://www.youtube.com/channel/UCP5A5lVxaT7cO_LehpxjTZg,300000,300,30000,Monologue,en,US,Affiliate site building and SEO case studies,2026-04-16,active
CH2903,N030,Authority Hacker,https://www.youtube.com/c/AuthorityHacker,200000,300,15000,Monologue/Podcast,en,US,Authority affiliate site building strategies,2026-04-16,active
CH2904,N030,Niche Pursuits - Spencer Haws,https://www.youtube.com/@NichePursuits,100000,300,8000,Monologue/Interview,en,US,Niche affiliate site case studies and interviews,2026-04-16,active
CH2905,N030,Adam Enfroy,https://www.youtube.com/@AdamEnfroy,100000,200,10000,Monologue,en,US,Blog and affiliate marketing seven figure income,2026-04-16,active
CH2906,N030,Affiliatemarketingmc - Marcus Campbell,https://www.youtube.com/channel/UCZ6mdzBWXAzSGYhLyM_fZ9w,300000,1000,10000,Monologue,en,US,Affiliate marketing strategies and niche selection,2026-04-16,active
CH2907,N030,Buildapreneur - Spencer Mecham,https://www.youtube.com/channel/UCC0awp-9p2jO2TRa1mlJw6w,200000,400,8000,Monologue,en,US,ClickFunnels top affiliate and funnel strategies,2026-04-16,active
CH2908,N030,Adrian Brambila,https://www.youtube.com/channel/UCKMlVeoWBorhBpdN6zZTH4w,200000,300,10000,Monologue,en,US,Affiliate marketing and dancer turned entrepreneur,2026-04-16,active
CH2909,N030,ODi Productions,https://www.youtube.com/channel/UCnaA5TqsiuTki7a-6kW3WAQ,200000,200,15000,Monologue,en,US,Affiliate marketing and passive income,2026-04-16,active
CH2910,N030,Liam James Kay,https://www.youtube.com/channel/UC3n3JJIrFUhfNOKM80T5T6g,100000,200,8000,Monologue,en,UK,UK affiliate marketing strategies,2026-04-16,active
CH2911,N030,Deadbeat Super Affiliate - Dan Brock,https://www.youtube.com/channel/UCB7ZX3piXOfyu1N9ho2ULIw,100000,300,5000,Monologue,en,US,Lazy affiliate marketing strategies,2026-04-16,active
CH2912,N030,Smart Money Tactics,https://www.youtube.com/channel/UCUol4EQWxfmxKUCiKjHxUjA,100000,500,5000,Monologue,en,UK,Affiliate marketing and money tactics,2026-04-16,active
