channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3001,N031,Dr. Eric Berg DC,https://www.youtube.com/@DrEricBergDC,13000000,5000,500000,Monologue,en,US,Keto and intermittent fasting expert - nutrition science education,2026-04-16,active
CH3002,N031,NutritionFacts.org,https://www.youtube.com/@NutritionFactsOrg,2200000,2500,50000,Monologue,en,US,Nonprofit science-based nutrition research updates by Dr. Michael Greger,2026-04-16,active
CH3003,N031,Dr. Josh Axe,https://www.youtube.com/@DrJoshAxe,3200000,2000,100000,Monologue,en,US,Natural health and nutrition education from functional medicine perspective,2026-04-16,active
CH3004,N031,Mark Hyman MD,https://www.youtube.com/@MarkHymanMD,1500000,1500,80000,Monologue,en,US,Functional medicine doctor covering food as medicine and nutrition science,2026-04-16,active
CH3005,N031,Nutrition Made Simple,https://www.youtube.com/@NutritionMadeSimple,1200000,300,200000,Monologue,en,US,Dr. Gil Carvalho breaks down nutrition research with evidence-based approach,2026-04-16,active
CH3006,N031,The Proof with Simon Hill,https://www.youtube.com/@TheProofSimonHill,500000,400,60000,Monologue/Interview,en,AU,Physiotherapist and nutritionist exploring diet science with leading experts,2026-04-16,active
CH3007,N031,Paul Saladino MD,https://www.youtube.com/@PaulSaladinoMD,800000,600,80000,Monologue,en,US,Board-certified MD discussing animal-based nutrition and ancestral health,2026-04-16,active
CH3008,N031,Dr. Mindy Pelz,https://www.youtube.com/@DrMindyPelz,1000000,500,100000,Monologue,en,US,Fasting and nutrition expert helping people understand metabolic health,2026-04-16,active
CH3009,N031,Autumn Bates,https://www.youtube.com/@AutumnBates,800000,400,80000,Monologue,en,US,Science-backed nutrition topics with practical recipes and protocols,2026-04-16,active
CH3010,N031,Max Lugavere,https://www.youtube.com/@MaxLugavere,400000,300,50000,Monologue,en,US,Nutrition and brain health science - simplifies complex diet research,2026-04-16,active
CH3011,N031,Dr. Joel Fuhrman,https://www.youtube.com/@DrFuhrman,500000,800,30000,Monologue,en,US,Nutritarian approach to preventing and reversing chronic illness,2026-04-16,active
CH3012,N031,Abbey Sharp,https://www.youtube.com/@AbbeySharp,1600000,700,150000,Monologue,en,CA,Registered dietitian reviewing diet trends and nutrition science,2026-04-16,active
