channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3201,N033,ATHLEAN-X,https://www.youtube.com/@ataborathleanx,13200000,1500,1000000,Monologue,en,US,Jeff Cavaliere - physical therapist and strength coach for injury-free training,2026-04-16,active
CH3202,N033,Jeff Nippard,https://www.youtube.com/@JeffNippard,5000000,500,500000,Monologue,en,CA,Science-based bodybuilding and strength training education,2026-04-16,active
CH3203,N033,Sean Nalewanyj,https://www.youtube.com/@SeanNalewanyj,1500000,500,150000,Monologue,en,CA,No-BS evidence-based muscle building and strength training,2026-04-16,active
CH3204,N033,Renaissance Periodization (Dr. Mike Israetel),https://www.youtube.com/@RenaissancePeriodization,1500000,500,200000,Monologue,en,US,Sports science PhD covering hypertrophy and strength training,2026-04-16,active
CH3205,N033,Mark Bell - Super Training Gym,https://www.youtube.com/@MarkBell,1000000,2000,50000,Monologue,en,US,Powerlifting and strength training information and workouts,2026-04-16,active
CH3206,N033,Elliott Hulse (Strength Camp),https://www.youtube.com/@ElliottHulse,1700000,2000,30000,Monologue,en,US,Strength and conditioning coach - strongest version of yourself,2026-04-16,active
CH3207,N033,Starting Strength,https://www.youtube.com/@StartingStrength,600000,1000,30000,Monologue,en,US,Mark Rippetoe - barbell strength training fundamentals,2026-04-16,active
CH3208,N033,Juggernaut Training Systems,https://www.youtube.com/@JuggernautTraining,500000,500,30000,Monologue,en,US,Chad Wesley Smith - evidence-based powerlifting and athletic training,2026-04-16,active
CH3209,N033,Alan Thrall,https://www.youtube.com/@AlanThrall,1000000,300,100000,Monologue,en,US,Strength training education focusing on compound barbell movements,2026-04-16,active
CH3210,N033,Scott Herman Fitness,https://www.youtube.com/@ScottHermanFitness,2500000,2000,80000,Monologue,en,US,Detailed exercise form tutorials and bodybuilding programs,2026-04-16,active
CH3211,N033,OmarIsuf,https://www.youtube.com/@OmarIsuf,1000000,1000,50000,Monologue,en,CA,Strength training science and powerlifting education,2026-04-16,active
CH3212,N033,CanditoTrainingHQ,https://www.youtube.com/@CanditoTrainingHQ,500000,300,40000,Monologue,en,US,Jonnie Candito - powerlifting training methods and programming,2026-04-16,active
CH3213,N033,Buff Dudes Workouts,https://www.youtube.com/@BuffDudes,3000000,500,200000,Monologue,en,US,Entertaining bodybuilding and strength training education,2026-04-16,active
CH3214,N033,Kali Muscle,https://www.youtube.com/@KaliMuscle,3000000,1000,100000,Monologue,en,US,Bodybuilding motivation and training education,2026-04-16,active
CH3215,N033,CT Fletcher Motivation,https://www.youtube.com/@CTFletcher,1500000,500,60000,Monologue,en,US,Legendary strength athlete and motivational bodybuilding content,2026-04-16,active
CH3216,N033,Mike Rashid,https://www.youtube.com/@MikeRashid,1000000,500,40000,Monologue,en,US,Overtraining bodybuilding approach and strength education,2026-04-16,active
CH3217,N033,Christian Guzman,https://www.youtube.com/@ChristianGuzman,1500000,1000,80000,Monologue,en,US,Bodybuilding lifestyle and gym ownership journey,2026-04-16,active
CH3218,N033,Steve Cook,https://www.youtube.com/@SteveCook,1000000,300,60000,Monologue,en,US,Pro physique competitor and bodybuilding lifestyle,2026-04-16,active
CH3219,N033,Brandon Harding,https://www.youtube.com/@BrandonHarding,800000,400,60000,Monologue,en,AU,Bodybuilding journey and training education,2026-04-16,active
CH3220,N033,Kai Greene,https://www.youtube.com/@KaiGreene,500000,200,40000,Monologue,en,US,IFBB pro bodybuilder training philosophy and motivation,2026-04-16,active
CH3221,N033,Mike O Hearn,https://www.youtube.com/@MikeOHearn,1000000,500,80000,Monologue,en,US,Titan of bodybuilding - strength training and physique development,2026-04-16,active
CH3222,N033,Russel Orhii,https://www.youtube.com/@RusselOrhii,500000,300,50000,Monologue,en,US,Elite powerlifter sharing training education and science,2026-04-16,active
CH3223,N033,Brandon Carter,https://www.youtube.com/@BrandonCarter,1500000,1000,30000,Monologue,en,US,Bodybuilding and strength training for transformation,2026-04-16,active
CH3224,N033,DanaLinnBailey,https://www.youtube.com/@DanaLinnBailey,400000,300,20000,Monologue,en,US,Female bodybuilding and strength training education,2026-04-16,active
CH3225,N033,BroScienceLife,https://www.youtube.com/@BroScienceLife,2500000,200,500000,Monologue,en,US,Dom Mazzetti - comedic bodybuilding and gym culture education,2026-04-16,active
CH3226,N033,Biolayne Video (strength),https://www.youtube.com/@biolayne,800000,600,80000,Monologue,en,US,Layne Norton PhD - powerlifting and bodybuilding science,2026-04-16,active
CH3227,N033,Muscle and Strength,https://www.youtube.com/@MuscleAndStrength,500000,2000,20000,Monologue,en,US,Comprehensive strength training and bodybuilding education,2026-04-16,active
CH3228,N033,Redefining Strength,https://www.youtube.com/@RedefiningStrength,500000,500,30000,Monologue,en,US,Cori Lefkowith - functional strength training education,2026-04-16,active
CH3229,N033,Szatstrength,https://www.youtube.com/@Szatstrength,100000,200,10000,Monologue,en,US,Strength training programming and powerlifting education,2026-04-16,active
CH3230,N033,Muscle and Motion,https://www.youtube.com/@MuscleAndMotion,500000,300,30000,Monologue,en,IL,3D anatomy-based strength training and exercise science,2026-04-16,active
CH3231,N033,Wenning Strength,https://www.youtube.com/@WenningStrength,100000,200,10000,Monologue,en,US,Matt Wenning - conjugate method strength training,2026-04-16,active
CH3232,N033,Strength Project,https://www.youtube.com/@StrengthProject,300000,200,20000,Monologue,en,US,Calisthenics and bodyweight strength training education,2026-04-16,active
CH3233,N033,Victor Costa Workout,https://www.youtube.com/@VictorCosta,300000,500,10000,Monologue,en,US,Natural bodybuilding with classic training education,2026-04-16,active
CH3234,N033,Scooby1961,https://www.youtube.com/@Scooby1961,1000000,500,30000,Monologue,en,US,Old-school natural bodybuilding and training education,2026-04-16,active
CH3235,N033,Rob Riches,https://www.youtube.com/@RobRiches,400000,400,15000,Monologue,en,GB,Fitness model and bodybuilding training tutorials,2026-04-16,active
CH3236,N033,Natural Gallant Bodybuilding,https://www.youtube.com/@NaturalGallant,100000,300,5000,Monologue,en,US,Natural bodybuilding training and competition preparation,2026-04-16,active
CH3237,N033,Jeff Seid,https://www.youtube.com/@JeffSeid,1500000,200,100000,Monologue,en,US,Young IFBB pro physique competitor and training content,2026-04-16,active
CH3238,N033,Calum von Moger,https://www.youtube.com/@CalumVonMoger,1000000,200,80000,Monologue,en,AU,Classic bodybuilding physique and training education,2026-04-16,active
CH3239,N033,Matt Ogus,https://www.youtube.com/@MattOgus,500000,300,30000,Monologue,en,US,Natural bodybuilding and evidence-based training,2026-04-16,active
CH3240,N033,Zach Zeiler,https://www.youtube.com/@ZachZeiler,300000,200,20000,Monologue,en,CA,Cancer survivor bodybuilding transformation and training,2026-04-16,active
CH3241,N033,Lex Fitness,https://www.youtube.com/@LexFitness,500000,1000,20000,Monologue,en,GB,UK-based bodybuilding and strength training education,2026-04-16,active
CH3242,N033,The Online Coach,https://www.youtube.com/@TheOnlineCoach,200000,300,10000,Monologue,en,US,Online bodybuilding coaching and training education,2026-04-16,active
CH3243,N033,PhysiquesOfGreatness,https://www.youtube.com/@PhysiquesOfGreatness,500000,500,20000,Monologue,en,US,Bodybuilding physique development and training tips,2026-04-16,active
CH3244,N033,Nick Wright,https://www.youtube.com/@NickWright,400000,500,20000,Monologue,en,US,Natural bodybuilding and strength training progression,2026-04-16,active
CH3245,N033,Greg Doucette,https://www.youtube.com/@GregDoucette,2500000,1000,200000,Monologue,en,CA,IFBB pro bodybuilder and coach - training and nutrition education,2026-04-16,active
CH3246,N033,John Meadows (Mountain Dog),https://www.youtube.com/@JohnMeadows,500000,500,40000,Monologue,en,US,Legendary bodybuilding coach with training programs and education,2026-04-16,active
CH3247,N033,Noel Deyzel,https://www.youtube.com/@NoelDeyzel,3000000,300,500000,Monologue,en,ZA,South African bodybuilder with educational and motivational content,2026-04-16,active
CH3248,N033,Sam Sulek,https://www.youtube.com/@SamSulek,3500000,400,1000000,Monologue,en,US,Viral bodybuilding content with raw unedited training footage,2026-04-16,active
CH3249,N033,Will Tennyson,https://www.youtube.com/@WillTennyson,2000000,300,500000,Monologue,en,CA,Bodybuilding with food challenges and entertaining training,2026-04-16,active
CH3250,N033,Geoffrey Verity Schofield,https://www.youtube.com/@GVS,500000,200,80000,Monologue,en,AU,Evidence-based fitness and strength training analysis,2026-04-16,active
CH3251,N033,Leel Hayward,https://www.youtube.com/@LeeHayward,200000,500,10000,Monologue,en,CA,Bodybuilding training programs and nutrition education,2026-04-16,active
CH3252,N033,Tarun Gill,https://www.youtube.com/@TarunGill,3000000,1500,100000,Monologue,en,IN,Indian bodybuilding and fitness education,2026-04-16,active
CH3253,N033,Guru Mann Fitness,https://www.youtube.com/@GuruMannFitness,5000000,500,200000,Monologue,en,IN,Comprehensive bodybuilding and nutrition programs,2026-04-16,active
CH3254,N033,Houston Jones,https://www.youtube.com/@HoustonJones,2000000,500,100000,Monologue,en,US,Bodybuilding challenges and strength testing content,2026-04-16,active
CH3255,N033,Bodybuilding.com,https://www.youtube.com/@Bodybuilding,5000000,5000,30000,Monologue,en,US,Official bodybuilding platform with training education,2026-04-16,active
