channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3301,N034,Yoga With Adriene,https://www.youtube.com/@yogawithadriene,12000000,800,1000000,Monologue,en,US,Adriene Mishler - accessible yoga and mindfulness for all levels,2026-04-16,active
CH3302,N034,Yoga with Kassandra,https://www.youtube.com/@YogawithKassandra,3000000,1000,200000,Monologue,en,CA,Yin yoga and vinyasa flow with mindfulness teaching,2026-04-16,active
CH3303,N034,Boho Beautiful Yoga,https://www.youtube.com/@BohoBeautiful,2400000,500,150000,Monologue,en,CA,Juliana and Mark Spicoluk - yoga and mindful living in scenic locations,2026-04-16,active
CH3304,N034,Breathe and Flow,https://www.youtube.com/@BreatheAndFlow,1500000,500,100000,Monologue,en,US,Bre and Flo - professional yoga with masculine and feminine energy,2026-04-16,active
CH3305,N034,SarahBeth Yoga,https://www.youtube.com/@SarahBethYoga,2000000,500,80000,Monologue,en,US,Color-coded yoga system for beginners to advanced,2026-04-16,active
CH3306,N034,Move With Nicole,https://www.youtube.com/@MoveWithNicole,2000000,300,200000,Monologue,en,AU,Pilates and mindful movement for flexibility and strength,2026-04-16,active
CH3307,N034,Yoga With Tim,https://www.youtube.com/@YogaWithTim,1000000,400,50000,Monologue,en,US,Strength-focused yoga balancing power with mindful technique,2026-04-16,active
CH3308,N034,KinoYoga,https://www.youtube.com/@KinoYoga,800000,1000,20000,Monologue,en,US,Kino MacGregor - Ashtanga yoga and mindful movement education,2026-04-16,active
CH3309,N034,BrettLarkinYoga,https://www.youtube.com/@BrettLarkinYoga,800000,500,30000,Monologue,en,US,Brett Larkin - yoga teacher training and mindful practice,2026-04-16,active
CH3310,N034,Travis Eliot,https://www.youtube.com/@TravisEliot,500000,300,30000,Monologue,en,US,Power yoga and mindful movement with meditation elements,2026-04-16,active
CH3311,N034,Five Parks Yoga,https://www.youtube.com/@FiveParksYoga,1500000,500,50000,Monologue,en,US,Erin Sampson - outdoor yoga and mindful movement classes,2026-04-16,active
CH3312,N034,Cosmic Kids Yoga,https://www.youtube.com/@CosmicKidsYoga,1500000,500,200000,Monologue,en,GB,Jamie - yoga and mindfulness adventures for kids,2026-04-16,active
CH3313,N034,Flow with Adee,https://www.youtube.com/@FlowWithAdee,500000,200,40000,Monologue,en,AU,Adrienne - vinyasa flow and mindful movement classes,2026-04-16,active
CH3314,N034,Man Flow Yoga,https://www.youtube.com/@ManFlowYoga,300000,400,15000,Monologue,en,US,Dean Pohlman - yoga and mindful movement specifically for men,2026-04-16,active
CH3315,N034,Tara Stiles,https://www.youtube.com/@TaraStiles,600000,1000,20000,Monologue,en,US,Strala Yoga founder - ease-based mindful movement approach,2026-04-16,active
CH3316,N034,Sean Vigue Fitness,https://www.youtube.com/@SeanVigueFitness,500000,1500,15000,Monologue,en,US,Yoga pilates and mindful movement for fitness,2026-04-16,active
CH3317,N034,Sadie Nardini,https://www.youtube.com/@SadieNardini,300000,500,10000,Monologue,en,US,Core strength vinyasa yoga and mindful body movement,2026-04-16,active
CH3318,N034,Jessamyn Stanley,https://www.youtube.com/@JessamynStanley,100000,100,10000,Monologue,en,US,Body-positive yoga and mindful movement advocacy,2026-04-16,active
CH3319,N034,Candace Cabrera (YogaByCandace),https://www.youtube.com/@YogaByCandace,500000,500,20000,Monologue,en,US,Clear yoga instruction with mindful movement focus,2026-04-16,active
CH3320,N034,Patrick Beach,https://www.youtube.com/@PatrickBeach,300000,200,20000,Monologue,en,US,Advanced yoga flows and handstand-focused mindful movement,2026-04-16,active
CH3321,N034,Meghan Currie Yoga,https://www.youtube.com/@MeghanCurrieYoga,300000,200,20000,Monologue,en,CA,Artistic creative yoga flows and mindful expression,2026-04-16,active
CH3322,N034,Cat Meffan,https://www.youtube.com/@CatMeffan,300000,300,15000,Monologue,en,GB,Yoga and mindful movement with mental health focus,2026-04-16,active
CH3323,N034,Shona Vertue,https://www.youtube.com/@ShonaVertue,400000,200,30000,Monologue,en,GB,Vertue Method combining yoga strength and mindful movement,2026-04-16,active
CH3324,N034,Dianne Bondy Yoga,https://www.youtube.com/@DianneBondyYoga,100000,200,5000,Monologue,en,CA,Accessible inclusive yoga and mindful movement for all bodies,2026-04-16,active
CH3325,N034,Yoga Upload,https://www.youtube.com/@YogaUpload,200000,500,5000,Monologue,en,US,Maris Aylward - yoga classes and mindful movement education,2026-04-16,active
CH3326,N034,Ekhart Yoga,https://www.youtube.com/@EkhartYoga,500000,500,20000,Monologue,en,NL,Online yoga studio with mindful movement and meditation,2026-04-16,active
CH3327,N034,DoYogaWithMe,https://www.youtube.com/@DoYogaWithMe,500000,500,20000,Monologue,en,CA,Free yoga classes and mindful movement education,2026-04-16,active
CH3328,N034,Fightmaster Yoga,https://www.youtube.com/@FightmasterYoga,500000,800,10000,Monologue,en,US,Lesley Fightmaster - daily yoga and mindful movement practice,2026-04-16,active
CH3329,N034,Yoga with Melissa,https://www.youtube.com/@YogaWithMelissa,500000,1000,10000,Monologue,en,CA,Dr. Melissa West - yoga and mindful movement education,2026-04-16,active
CH3330,N034,Alo Yoga,https://www.youtube.com/@AloYoga,500000,500,20000,Monologue,en,US,Premium yoga brand with mindful movement classes,2026-04-16,active
CH3331,N034,Koya Webb,https://www.youtube.com/@KoyaWebb,100000,200,5000,Monologue,en,US,Holistic health yoga and mindful movement education,2026-04-16,active
CH3332,N034,Ally Boothroyd (Sarovara Yoga),https://www.youtube.com/@SarovaraYoga,200000,300,10000,Monologue,en,CA,Gentle yoga and mindful movement for wellness,2026-04-16,active
CH3333,N034,Yoga With Bird,https://www.youtube.com/@YogaWithBird,200000,300,10000,Monologue,en,AU,Yoga and mindful movement classes in nature,2026-04-16,active
CH3334,N034,Heart Alchemy Yoga,https://www.youtube.com/@HeartAlchemyYoga,200000,500,5000,Monologue,en,US,Michelle Goldstein - heart-centered yoga and mindful movement,2026-04-16,active
CH3335,N034,YOGATX,https://www.youtube.com/@YOGATX,400000,300,15000,Monologue,en,US,Cole Chance - Texas-based yoga and mindful movement,2026-04-16,active
CH3336,N034,Yoga With Allie Van Fossen,https://www.youtube.com/@AllieVanFossen,100000,200,5000,Monologue,en,US,Allie - creative yoga flows and mindful movement practice,2026-04-16,active
CH3337,N034,Bad Yogi,https://www.youtube.com/@BadYogi,300000,200,10000,Monologue,en,US,Erin Motz - approachable yoga for imperfect people,2026-04-16,active
CH3338,N034,Yoga with Joelle,https://www.youtube.com/@YogaWithJoelle,100000,200,5000,Monologue,en,US,Gentle and restorative yoga with mindful movement focus,2026-04-16,active
CH3339,N034,The Yoga Institute,https://www.youtube.com/@TheYogaInstitute,500000,1000,10000,Monologue,en,IN,Worlds oldest organized yoga center - traditional yoga education,2026-04-16,active
CH3340,N034,Bettina Rae,https://www.youtube.com/@BettinaRae,80000,200,3000,Monologue,en,AU,Yoga and mindful movement for emotional wellness,2026-04-16,active
CH3341,N034,Namaste Yoga,https://www.youtube.com/@NamasteYoga,200000,300,5000,Monologue,en,CA,Classical yoga classes and mindful movement series,2026-04-16,active
CH3342,N034,Purple Valley Ashtanga Yoga,https://www.youtube.com/@PurpleValleyAshtanga,200000,500,5000,Monologue,en,IN,Ashtanga yoga tradition and mindful practice education,2026-04-16,active
CH3343,N034,Yoga Bliss Dance,https://www.youtube.com/@YogaBlissDance,50000,100,3000,Monologue,en,US,Combining yoga dance and mindful movement expression,2026-04-16,active
CH3344,N034,Refeel Yoga,https://www.youtube.com/@RefeelYoga,80000,100,5000,Monologue,en,US,Intuitive yoga and mindful body movement practice,2026-04-16,active
CH3345,N034,Devi Daly Yoga,https://www.youtube.com/@DeviDalyYoga,50000,100,3000,Monologue,en,US,Devotional yoga and mindful spiritual movement,2026-04-16,active
CH3346,N034,Yoga Lifestyle with Melissa,https://www.youtube.com/@YogaLifestyle,50000,100,3000,Monologue,en,US,Integrating yoga and mindful movement into daily life,2026-04-16,active
CH3347,N034,Pilates and Yoga with Katja,https://www.youtube.com/@PilatesYogaKatja,80000,200,3000,Monologue,en,DE,Combining pilates yoga and mindful movement practice,2026-04-16,active
CH3348,N034,Arianna Elizabeth,https://www.youtube.com/@AriannaElizabeth,200000,200,10000,Monologue,en,US,Yoga and mindful movement for flexibility and wellness,2026-04-16,active
CH3349,N034,Yoga For Cure Videos,https://www.youtube.com/@YogaForCure,100000,200,5000,Monologue,en,IN,Therapeutic yoga and mindful healing movement,2026-04-16,active
CH3350,N034,Bharti Yoga,https://www.youtube.com/@BhartiYoga,200000,300,5000,Monologue,en,IN,Traditional Indian yoga and mindful practice education,2026-04-16,active
CH3351,N034,VENTUNO YOGA,https://www.youtube.com/@VentunoYoga,500000,500,10000,Monologue,en,IN,Comprehensive yoga and mindful movement tutorials,2026-04-16,active
CH3352,N034,Prashantj Yoga,https://www.youtube.com/@PrashantjYoga,100000,200,5000,Monologue,en,IN,Yoga instruction and mindful movement education,2026-04-16,active
CH3353,N034,Face Yoga Expert,https://www.youtube.com/@FaceYogaExpert,300000,300,10000,Monologue,en,GB,Fumiko Takatsu - face yoga and mindful facial movement,2026-04-16,active
CH3354,N034,Jai Yoga Academy,https://www.youtube.com/@JaiYogaAcademy,100000,200,5000,Monologue,en,US,Yoga teacher training and mindful movement academy,2026-04-16,active
CH3355,N034,YogiApproved,https://www.youtube.com/@YogiApproved,100000,200,5000,Monologue,en,US,Yoga lifestyle and mindful movement community content,2026-04-16,active
CH3356,N034,Pregnancy and Postpartum TV,https://www.youtube.com/@PregnancyPostpartumTV,200000,300,10000,Monologue,en,US,Prenatal yoga and mindful movement for mothers,2026-04-16,active
CH3357,N034,Jessica Richburg,https://www.youtube.com/@JessicaRichburg,80000,100,5000,Monologue,en,US,Yoga and mindful movement for self-discovery,2026-04-16,active
CH3358,N034,Sjana Elise,https://www.youtube.com/@SjanaElise,200000,200,10000,Monologue,en,AU,Yoga handstands and mindful movement lifestyle,2026-04-16,active
CH3359,N034,Andy Zoltan,https://www.youtube.com/@AndyZoltan,50000,100,3000,Monologue,en,US,Creative yoga transitions and mindful flow education,2026-04-16,active
CH3360,N034,Floating Yoga School,https://www.youtube.com/@FloatingYogaSchool,50000,100,3000,Monologue,en,US,SUP yoga and mindful movement on water,2026-04-16,active
CH3361,N034,Sarah Wes,https://www.youtube.com/@SarahWes,50000,100,3000,Monologue,en,US,Yoga and mindful movement for wellbeing,2026-04-16,active
CH3362,N034,Abiola Akanni,https://www.youtube.com/@AbiolaAkanni,50000,100,3000,Monologue,en,GB,Yoga and mindful movement for Black communities,2026-04-16,active
CH3363,N034,Black Womens Yoga Collective,https://www.youtube.com/@BWYCollective,30000,50,2000,Monologue,en,US,Inclusive yoga and mindful movement for Black women,2026-04-16,active
CH3364,N034,Content By Katya,https://www.youtube.com/@ConsciousBreathYoga,80000,100,5000,Monologue,en,US,Conscious breath yoga and mindful movement practice,2026-04-16,active
CH3365,N034,Yoga with Kate Amber,https://www.youtube.com/@YogaWithKateAmber,80000,200,3000,Monologue,en,GB,Gentle yoga and mindful movement classes,2026-04-16,active
CH3366,N034,Yoga with Uliana,https://www.youtube.com/@YogaWithUliana,50000,100,3000,Monologue,en,US,Vinyasa yoga and mindful flow sequences,2026-04-16,active
