channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3401,N035,Doctor Ramani,https://www.youtube.com/@DoctorRamani,1800000,1000,100000,Monologue,en,US,Clinical psychologist specializing in narcissism and personality disorders,2026-04-16,active
CH3402,N035,Dr. Tracey Marks,https://www.youtube.com/@DrTraceyMarks,1200000,500,100000,Monologue,en,US,Psychiatrist explaining mental health conditions and treatments,2026-04-16,active
CH3403,N035,Therapy in a Nutshell,https://www.youtube.com/@TherapyinaNutshell,1500000,300,150000,Monologue,en,US,Emma McAdam LMFT - therapy skills and mental health education,2026-04-16,active
CH3404,N035,Kati Morton,https://www.youtube.com/@KatiMorton,1200000,800,50000,Monologue,en,US,Licensed therapist educating on anxiety depression and mental health,2026-04-16,active
CH3405,N035,HealthyGamerGG,https://www.youtube.com/@HealthyGamerGG,1500000,500,200000,Monologue,en,US,Dr. K - Harvard psychiatrist making mental health accessible for gamers,2026-04-16,active
CH3406,N035,Psychology In Seattle,https://www.youtube.com/@PsychologyInSeattle,800000,1000,40000,Monologue,en,US,Dr. Kirk Honda - licensed therapist and professor discussing psychology,2026-04-16,active
CH3407,N035,The Holistic Psychologist,https://www.youtube.com/@TheHolisticPsychologist,500000,200,40000,Monologue,en,US,Dr. Nicole LePera - holistic self-healing and reparenting education,2026-04-16,active
CH3408,N035,MedCircle,https://www.youtube.com/@MedCircle,1500000,500,80000,Monologue/Interview,en,US,Mental health education with licensed professionals and experts,2026-04-16,active
CH3409,N035,Practical Psychology,https://www.youtube.com/@PracticalPsychology,3500000,300,200000,Monologue,en,US,Animated psychology education covering behavior and mental health,2026-04-16,active
CH3410,N035,How to ADHD,https://www.youtube.com/@HowtoADHD,1500000,200,200000,Monologue,en,US,Jessica McCabe - ADHD education and coping strategies,2026-04-16,active
CH3411,N035,Psych2Go,https://www.youtube.com/@Psych2Go,11000000,1500,300000,Monologue,en,US,Animated psychology and mental health education for broad audience,2026-04-16,active
CH3412,N035,The Psych Show,https://www.youtube.com/@ThePsychShow,200000,200,20000,Monologue,en,US,Dr. Ali Mattu clinical psychologist - mental health science education,2026-04-16,active
CH3413,N035,Julia Kristina Counselling,https://www.youtube.com/@JuliaKristina,500000,300,30000,Monologue,en,CA,Licensed therapist - practical advice on anxiety depression and growth,2026-04-16,active
CH3414,N035,The School of Life,https://www.youtube.com/@TheSchoolofLife,9000000,1000,200000,Monologue,en,GB,Emotional intelligence psychology and self-understanding education,2026-04-16,active
CH3415,N035,SciShow Psych,https://www.youtube.com/@SciShowPsych,1500000,400,50000,Monologue,en,US,Science-based psychology and mental health research education,2026-04-16,active
CH3416,N035,The Psychology Podcast,https://www.youtube.com/@ThePsychologyPodcast,100000,300,10000,Monologue/Interview,en,US,Dr. Scott Barry Kaufman - psychology research interviews and education,2026-04-16,active
CH3417,N035,Lewis Psychology,https://www.youtube.com/@LewisPsychology,200000,200,15000,Monologue,en,US,Dark psychology and behavior analysis education,2026-04-16,active
CH3418,N035,Francesca Psychology,https://www.youtube.com/@FrancescaPsychology,100000,200,10000,Monologue,en,US,Psychology education and therapeutic concepts explained,2026-04-16,active
CH3419,N035,Sadia Psychology,https://www.youtube.com/@SadiaPsychology,200000,300,15000,Monologue,en,US,Clinical psychology education and mental health awareness,2026-04-16,active
CH3420,N035,JCS Criminal Psychology,https://www.youtube.com/@JCSCriminalPsychology,6000000,20,5000000,Monologue,en,US,Criminal psychology analysis and interrogation breakdowns,2026-04-16,active
CH3421,N035,Psych Hub,https://www.youtube.com/@PsychHub,200000,300,10000,Monologue,en,US,Mental health education on substance abuse anxiety and disorders,2026-04-16,active
CH3422,N035,Psychology Today,https://www.youtube.com/@PsychologyToday,100000,200,5000,Monologue,en,US,Magazine-backed psychology education and therapy topics,2026-04-16,active
CH3423,N035,Afterschool Psychology,https://www.youtube.com/@AfterschoolPsychology,80000,100,10000,Monologue,en,US,Accessible psychology education for students and curious minds,2026-04-16,active
CH3424,N035,Matt Sherman Geek Psychology,https://www.youtube.com/@GeekPsychology,50000,100,5000,Monologue,en,US,Psychology education through pop culture and geek analysis,2026-04-16,active
CH3425,N035,Psychology Refresh,https://www.youtube.com/@PsychologyRefresh,40000,80,5000,Monologue,en,US,Refreshing takes on psychology and mental health education,2026-04-16,active
CH3426,N035,Psych Explained,https://www.youtube.com/@PsychExplained,80000,100,8000,Monologue,en,US,Psychology concepts explained simply and clearly,2026-04-16,active
CH3427,N035,Psychology matters,https://www.youtube.com/@PsychologyMatters,60000,100,5000,Monologue,en,US,Why psychology matters in everyday life education,2026-04-16,active
CH3428,N035,Social Psychology Masters,https://www.youtube.com/@SocialPsychologyMasters,100000,200,8000,Monologue,en,US,Social psychology research and education,2026-04-16,active
CH3429,N035,Psych Boost,https://www.youtube.com/@PsychBoost,50000,80,5000,Monologue,en,US,Psychology education for mental health improvement,2026-04-16,active
CH3430,N035,5 Minute Psychology,https://www.youtube.com/@5MinutePsychology,40000,80,5000,Monologue,en,US,Quick psychology education in bite-sized format,2026-04-16,active
CH3431,N035,PsychologySalon,https://www.youtube.com/@PsychologySalon,30000,50,3000,Monologue,en,CA,Psychology education with therapeutic insights,2026-04-16,active
CH3432,N035,Dr. Todd Grande,https://www.youtube.com/@DrToddGrande,1000000,1500,50000,Monologue,en,US,Licensed counselor analyzing psychology and personality,2026-04-16,active
CH3433,N035,Cinema Therapy,https://www.youtube.com/@CinemaTherapy,1500000,200,200000,Monologue,en,US,Licensed therapist analyzing psychology through movies,2026-04-16,active
CH3434,N035,Psych Credence,https://www.youtube.com/@PsychCredence,30000,50,3000,Monologue,en,US,Credible psychology education and research discussion,2026-04-16,active
CH3435,N035,Dr. Daniel Fox,https://www.youtube.com/@DrDanielFox,300000,300,20000,Monologue,en,US,Licensed psychologist specializing in personality disorders,2026-04-16,active
CH3436,N035,Patrick Teahan LICSW,https://www.youtube.com/@PatrickTeahan,1000000,200,100000,Monologue,en,US,Licensed therapist on childhood trauma and therapy education,2026-04-16,active
CH3437,N035,Dr. Les Carter,https://www.youtube.com/@SurvivingNarcissism,800000,500,40000,Monologue,en,US,Psychotherapist specializing in narcissism and toxic relationships,2026-04-16,active
CH3438,N035,Crappy Childhood Fairy,https://www.youtube.com/@CrappyChildhoodFairy,500000,500,30000,Monologue,en,US,Anna Runkle - childhood PTSD and trauma recovery education,2026-04-16,active
CH3439,N035,The Anxious Truth,https://www.youtube.com/@TheAnxiousTruth,100000,200,10000,Monologue,en,US,Drew Linsalata - anxiety disorder recovery education,2026-04-16,active
CH3440,N035,Dr. Kim Sage,https://www.youtube.com/@DrKimSage,100000,100,10000,Monologue,en,US,Psychologist on narcissistic abuse and recovery education,2026-04-16,active
CH3441,N035,Georgia Dow,https://www.youtube.com/@GeorgiaDow,200000,200,15000,Monologue,en,CA,Psychotherapist analyzing psychology through pop culture,2026-04-16,active
CH3442,N035,Dr. Scott Eilers,https://www.youtube.com/@DrScottEilers,100000,200,8000,Monologue,en,US,Clinical psychologist providing therapy education,2026-04-16,active
CH3443,N035,Relationship Psychology,https://www.youtube.com/@RelationshipPsychology101,50000,100,5000,Monologue,en,US,Psychology of relationships and attachment theory education,2026-04-16,active
CH3444,N035,Psych Show (clinical),https://www.youtube.com/@PsychShow,80000,100,5000,Monologue,en,US,Clinical psychology education and mental health awareness,2026-04-16,active
CH3445,N035,Psychology Scholar,https://www.youtube.com/@PsychologyScholar,40000,80,3000,Monologue,en,US,Academic psychology education and research discussion,2026-04-16,active
CH3446,N035,The Power of Psychology,https://www.youtube.com/@ThePowerOfPsychology,30000,60,3000,Monologue,en,US,Applied psychology for personal growth and understanding,2026-04-16,active
CH3447,N035,Chris G Exploring Psychology,https://www.youtube.com/@ExploringPsychology,30000,50,3000,Monologue,en,US,Exploring psychology topics and research findings,2026-04-16,active
CH3448,N035,Psychology of Happiness,https://www.youtube.com/@PsychologyOfHappiness,30000,50,3000,Monologue,en,US,Positive psychology and happiness research education,2026-04-16,active
CH3449,N035,Human Psychology,https://www.youtube.com/@HumanPsychology,50000,80,5000,Monologue,en,US,Understanding human behavior through psychology,2026-04-16,active
CH3450,N035,Depth Psychology Alliance,https://www.youtube.com/@DepthPsychology,30000,100,2000,Monologue,en,US,Jungian and depth psychology education and exploration,2026-04-16,active
CH3451,N035,Psychology Bites,https://www.youtube.com/@PsychologyBites,20000,50,2000,Monologue,en,US,Bite-sized psychology education and mental health tips,2026-04-16,active
