channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3501,N036,The Mindful Movement,https://www.youtube.com/@TheMindfulMovement,2000000,500,100000,Monologue,en,US,Sara and Les Raymond - guided meditations and mindfulness techniques,2026-04-16,active
CH3502,N036,The Honest Guys,https://www.youtube.com/@TheHonestGuys,3000000,300,200000,Monologue,en,GB,Guided meditations for relaxation stress relief and mindfulness,2026-04-16,active
CH3503,N036,Michael Sealey,https://www.youtube.com/@MichaelSealey,3000000,300,200000,Monologue,en,AU,Guided meditations for anxiety stress and inner harmony,2026-04-16,active
CH3504,N036,Tara Brach,https://www.youtube.com/@TaraBrach,500000,500,20000,Monologue,en,US,Meditation teacher and psychologist - mindfulness and stress reduction,2026-04-16,active
CH3505,N036,Headspace,https://www.youtube.com/@Headspace,800000,300,50000,Monologue,en,US,Guided meditations mini-courses and mindfulness techniques,2026-04-16,active
CH3506,N036,Yongey Mingyur Rinpoche,https://www.youtube.com/@MingyurRinpoche,500000,200,30000,Monologue,en,NP,Tibetan Buddhist teacher on meditation and mindfulness,2026-04-16,active
CH3507,N036,Jason Stephenson,https://www.youtube.com/@JasonStephenson,3000000,500,100000,Monologue,en,AU,Sleep meditations and guided mindfulness for stress relief,2026-04-16,active
CH3508,N036,Chibs Okereke Meditations,https://www.youtube.com/@ChibsMeditation,500000,200,40000,Monologue,en,GB,Calm app meditation instructor - deep relaxation and stress relief,2026-04-16,active
CH3509,N036,Mindfulness Exercises,https://www.youtube.com/@MindfulnessExercises,200000,300,10000,Monologue,en,US,Practical mindfulness exercises for stress management,2026-04-16,active
CH3510,N036,Sarah McLean Meditation,https://www.youtube.com/@SarahMcLeanMeditation,50000,100,5000,Monologue,en,US,Meditation and mindfulness teacher for stress reduction,2026-04-16,active
CH3511,N036,Oren Jay Sofer,https://www.youtube.com/@OrenJaySofer,30000,80,3000,Monologue,en,US,Mindful communication and stress management education,2026-04-16,active
CH3512,N036,Qigong Meditation,https://www.youtube.com/@QigongMeditation,300000,200,20000,Monologue,en,US,Qigong-based meditation and mindful stress reduction,2026-04-16,active
CH3513,N036,Progressive Hypnosis,https://www.youtube.com/@ProgressiveHypnosis,200000,200,10000,Monologue,en,US,Hypnosis-based stress management and mindfulness,2026-04-16,active
CH3514,N036,Yuttadhammo Bhikkhu,https://www.youtube.com/@yuttadhammo,200000,500,5000,Monologue,en,CA,Buddhist monk teaching mindfulness meditation and stress relief,2026-04-16,active
CH3515,N036,Star Magic Healing,https://www.youtube.com/@StarMagicHealing,100000,200,5000,Monologue,en,GB,Energy healing meditation and mindfulness for stress,2026-04-16,active
CH3516,N036,Meditation Vacation,https://www.youtube.com/@MeditationVacation,100000,200,5000,Monologue,en,US,Mental vacation through guided meditation and mindfulness,2026-04-16,active
CH3517,N036,Calm,https://www.youtube.com/@Calm,500000,200,30000,Monologue,en,US,Leading meditation app - mindfulness and stress management content,2026-04-16,active
CH3518,N036,Insight Timer,https://www.youtube.com/@InsightTimer,200000,300,10000,Monologue,en,US,Worlds largest free meditation library - mindfulness education,2026-04-16,active
CH3519,N036,Jon Kabat-Zinn,https://www.youtube.com/@JonKabatZinn,100000,50,20000,Monologue,en,US,MBSR founder - mindfulness-based stress reduction pioneer,2026-04-16,active
CH3520,N036,Plum Village,https://www.youtube.com/@PlumVillage,500000,500,20000,Monologue,en,FR,Thich Nhat Hanh tradition - mindfulness and peace education,2026-04-16,active
CH3521,N036,Dan Harris (Ten Percent Happier),https://www.youtube.com/@TenPercentHappier,200000,300,10000,Monologue/Interview,en,US,Meditation and mindfulness for fidgety skeptics,2026-04-16,active
CH3522,N036,Eckhart Tolle,https://www.youtube.com/@EckhartTolle,2000000,500,50000,Monologue,en,CA,Spiritual teacher on presence mindfulness and stress transcendence,2026-04-16,active
CH3523,N036,Sadhguru,https://www.youtube.com/@Sadhguru,12000000,3000,100000,Monologue,en,IN,Inner engineering and mindfulness from yogic perspective,2026-04-16,active
CH3524,N036,Wim Hof (stress management),https://www.youtube.com/@WimHof,500000,300,40000,Monologue,en,NL,Breathing techniques and cold therapy for stress management,2026-04-16,active
CH3525,N036,Anxiety Guy (Dennis Simsek),https://www.youtube.com/@TheAnxietyGuy,300000,500,15000,Monologue,en,CA,Anxiety recovery and stress management education,2026-04-16,active
CH3526,N036,Yoga with Adriene (mindfulness),https://www.youtube.com/@yogawithadriene,12000000,800,1000000,Monologue,en,US,Mindful yoga practices for stress reduction,2026-04-16,active
CH3527,N036,Body Brain Alliance,https://www.youtube.com/@BodyBrainAlliance,100000,200,10000,Monologue,en,US,Dr. Karin Nordin - behavior change and stress management science,2026-04-16,active
CH3528,N036,Lauren Ostrowski Fenton,https://www.youtube.com/@LaurenOstrowskiFenton,100000,300,5000,Monologue,en,AU,Hypnotherapy and mindfulness for stress and anxiety,2026-04-16,active
CH3529,N036,Abide Sleep Meditations,https://www.youtube.com/@AbideMeditations,300000,300,15000,Monologue,en,US,Christian meditation and mindfulness for stress relief,2026-04-16,active
CH3530,N036,Sleep Easy Relax Keith Smith,https://www.youtube.com/@SleepEasyRelax,300000,200,15000,Monologue,en,US,Relaxation techniques and mindful stress relief,2026-04-16,active
CH3531,N036,Personal Power Meditation,https://www.youtube.com/@PersonalPowerMeditation,200000,200,10000,Monologue,en,US,Mindfulness and meditation for personal power and stress relief,2026-04-16,active
CH3532,N036,Soothing Pod,https://www.youtube.com/@SoothingPod,100000,200,5000,Monologue,en,US,Soothing meditations and bedtime stories for stress relief,2026-04-16,active
CH3533,N036,Nothing Much Happens,https://www.youtube.com/@NothingMuchHappens,300000,200,15000,Monologue,en,US,Kathryn Nicolai - bedtime stories for stress relief and calm,2026-04-16,active
CH3534,N036,Sleepy Cat Meditations,https://www.youtube.com/@SleepyCatMeditations,100000,100,10000,Monologue,en,US,Gentle guided meditations for stress and anxiety relief,2026-04-16,active
CH3535,N036,Dr. Andrew Weil,https://www.youtube.com/@DrAndrewWeil,100000,200,5000,Monologue,en,US,Integrative medicine pioneer on stress and mindfulness,2026-04-16,active
CH3536,N036,Bob Baker Inspiration,https://www.youtube.com/@BobBaker,200000,500,5000,Monologue,en,US,Guided meditations and affirmations for stress management,2026-04-16,active
CH3537,N036,Great Meditation,https://www.youtube.com/@GreatMeditation,500000,200,30000,Monologue,en,US,Guided meditation for stress relief and mindfulness,2026-04-16,active
CH3538,N036,The Mindful Way,https://www.youtube.com/@TheMindfulWay,50000,100,3000,Monologue,en,US,Mindfulness-based approaches to stress and anxiety,2026-04-16,active
CH3539,N036,Declutter The Mind,https://www.youtube.com/@DeclutterTheMind,300000,200,15000,Monologue,en,CA,Guided meditation app - stress management and mindfulness,2026-04-16,active
CH3540,N036,Michael Sealy (relaxation),https://www.youtube.com/@MichaelSealey,3000000,300,200000,Monologue,en,AU,Hypnosis and guided meditation for deep stress relief,2026-04-16,active
CH3541,N036,Mark Freeman,https://www.youtube.com/@MarkFreeman,100000,200,5000,Monologue,en,CA,OCD and anxiety recovery through mindfulness-based approaches,2026-04-16,active
CH3542,N036,Therapy in a Nutshell (stress),https://www.youtube.com/@TherapyinaNutshell,1500000,300,150000,Monologue,en,US,Licensed therapist on stress management and coping skills,2026-04-16,active
