channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3601,N037,Dr. Andrew Huberman,https://www.youtube.com/@hubermanlab,5000000,300,1000000,Monologue,en,US,Stanford neuroscientist on health optimization and performance protocols,2026-04-16,active
CH3602,N037,Dr. Rhonda Patrick (FoundMyFitness),https://www.youtube.com/@FoundMyFitness,1200000,400,100000,Monologue/Interview,en,US,Biomedical scientist on nutrition longevity and health optimization,2026-04-16,active
CH3603,N037,Bryan Johnson,https://www.youtube.com/@BryanJohnson,1000000,200,200000,Monologue,en,US,Project Blueprint - extreme anti-aging and longevity optimization,2026-04-16,active
CH3604,N037,Dave Asprey,https://www.youtube.com/@DaveAsprey,500000,500,20000,Monologue,en,US,Father of Biohacking - Bulletproof and The Human Upgrade,2026-04-16,active
CH3605,N037,Siim Land,https://www.youtube.com/@SiimLand,500000,500,30000,Monologue,en,EE,Biohacking author on longevity performance and metabolic optimization,2026-04-16,active
CH3606,N037,Ben Greenfield,https://www.youtube.com/@BenGreenfield,300000,500,15000,Monologue,en,US,Biohacker mixing fitness nutrition and longevity science,2026-04-16,active
CH3607,N037,Peter Attia MD,https://www.youtube.com/@PeterAttiaMD,800000,400,100000,Monologue/Interview,en,US,Longevity physician - The Drive podcast on healthspan optimization,2026-04-16,active
CH3608,N037,Dr. David Sinclair (Lifespan),https://www.youtube.com/@LifespanPodcast,300000,100,50000,Monologue,en,US,Harvard geneticist on aging research and longevity science,2026-04-16,active
CH3609,N037,Mark Hyman MD (longevity),https://www.youtube.com/@MarkHymanMD,1500000,1500,80000,Monologue,en,US,Functional medicine doctor on longevity and health optimization,2026-04-16,active
CH3610,N037,Ergogenic Health,https://www.youtube.com/@ErgogenicHealth,200000,400,15000,Monologue,en,US,Biohacking supplements and performance optimization,2026-04-16,active
CH3611,N037,Cortex Labs,https://www.youtube.com/@CortexLabs,100000,200,10000,Monologue,en,US,Nootropics and cognitive optimization education,2026-04-16,active
CH3612,N037,NootropicsExpert,https://www.youtube.com/@NootropicsExpert,200000,300,10000,Monologue,en,US,David Tomen - nootropics and brain optimization education,2026-04-16,active
CH3613,N037,TheNootropicReviewer,https://www.youtube.com/@TheNootropicReviewer,50000,200,5000,Monologue,en,US,Nootropic supplement reviews and cognitive optimization,2026-04-16,active
CH3614,N037,Leo and Longevity,https://www.youtube.com/@LeoAndLongevity,200000,300,15000,Monologue,en,US,Hormone optimization and longevity science education,2026-04-16,active
CH3615,N037,The Joe Cohen Show,https://www.youtube.com/@JoeCohenShow,50000,200,5000,Monologue,en,US,SelfDecode founder - biohacking and personalized health optimization,2026-04-16,active
CH3616,N037,Mike Hanna (biohacking),https://www.youtube.com/@MikeHannaBiohacker,50000,100,5000,Monologue,en,US,Biohacking experiments and health optimization content,2026-04-16,active
CH3617,N037,Ryan Russo,https://www.youtube.com/@RyanRusso,50000,100,5000,Monologue,en,US,Biohacking and nootropic optimization education,2026-04-16,active
CH3618,N037,BIOptimizers,https://www.youtube.com/@BIOptimizers,100000,300,5000,Monologue,en,US,Biohacking supplements and optimization protocols,2026-04-16,active
CH3619,N037,Ben Angel,https://www.youtube.com/@BenAngel,100000,200,5000,Monologue,en,AU,Biohacking for energy and performance optimization,2026-04-16,active
CH3620,N037,Biohack-it,https://www.youtube.com/@BiohackIt,30000,100,3000,Monologue,en,US,Practical biohacking experiments and health optimization,2026-04-16,active
CH3621,N037,Midwestern Method,https://www.youtube.com/@MidwesternMethod,30000,80,3000,Monologue,en,US,Evidence-based biohacking and health optimization,2026-04-16,active
CH3622,N037,Conquer Aging Or Die Trying,https://www.youtube.com/@ConquerAging,80000,200,5000,Monologue,en,US,Anti-aging biohacking and longevity optimization,2026-04-16,active
CH3623,N037,Natural Stacks,https://www.youtube.com/@NaturalStacks,30000,100,3000,Monologue,en,US,Nootropic company covering brain optimization and biohacking,2026-04-16,active
CH3624,N037,BioHackers Lab,https://www.youtube.com/@BioHackersLab,50000,200,3000,Monologue,en,AU,Biohacking interviews and optimization strategies,2026-04-16,active
CH3625,N037,Biohacker Summit,https://www.youtube.com/@BiohackerSummit,30000,200,2000,Monologue,en,FI,Biohacking conference talks and optimization education,2026-04-16,active
CH3626,N037,Upgrade Labs (Dave Asprey),https://www.youtube.com/@UpgradeLabs,30000,80,3000,Monologue,en,US,Biohacking facility and performance optimization content,2026-04-16,active
CH3627,N037,Wim Hof (biohacking),https://www.youtube.com/@WimHof,500000,300,40000,Monologue,en,NL,Cold therapy and breathing for longevity and performance,2026-04-16,active
CH3628,N037,Dr. Patrick Porter (BrainTap),https://www.youtube.com/@DrPatrickPorter,30000,100,3000,Monologue,en,US,Brain optimization and biohacking through light and sound,2026-04-16,active
CH3629,N037,Doctor V MD,https://www.youtube.com/@DoctorVMD,50000,100,5000,Monologue,en,US,Medical doctor covering biohacking and optimization,2026-04-16,active
CH3630,N037,Biohacking Brittany,https://www.youtube.com/@BiohackingBrittany,50000,100,5000,Monologue,en,US,Female biohacker covering health optimization strategies,2026-04-16,active
CH3631,N037,Trevor Folgering Biohacking Coach,https://www.youtube.com/@TrevorFolgering,20000,80,2000,Monologue,en,CA,Professional biohacking coaching and optimization,2026-04-16,active
CH3632,N037,The ODIN (DIY Biology),https://www.youtube.com/@TheODIN,100000,100,5000,Monologue,en,US,DIY biology and genetic biohacking education,2026-04-16,active
CH3633,N037,Lisa Tamati (longevity),https://www.youtube.com/@LisaTamati,20000,100,2000,Monologue,en,NZ,Ultrarunner covering longevity and biohacking education,2026-04-16,active
CH3634,N037,Karnivore Kurt,https://www.youtube.com/@KarnivoreKurt,30000,80,3000,Monologue,en,US,Carnivore diet biohacking and health optimization,2026-04-16,active
CH3635,N037,Biohacking Secrets,https://www.youtube.com/@BiohackingSecrets,20000,50,2000,Monologue,en,US,Hidden biohacking strategies for health optimization,2026-04-16,active
CH3636,N037,Thomas DeLauer (biohacking),https://www.youtube.com/@ThomasDeLauer,3500000,2000,200000,Monologue,en,US,Fasting and metabolic biohacking for optimization,2026-04-16,active
CH3637,N037,Dr. Eric Berg (longevity),https://www.youtube.com/@DrEricBergDC,13000000,5000,500000,Monologue,en,US,Health optimization through nutrition and lifestyle biohacking,2026-04-16,active
CH3638,N037,Dr. Mindy Pelz (biohacking),https://www.youtube.com/@DrMindyPelz,1000000,500,100000,Monologue,en,US,Fasting biohacks and metabolic optimization for women,2026-04-16,active
CH3639,N037,Minimalist Biohacker,https://www.youtube.com/@MinimalistBiohacker,20000,50,2000,Monologue,en,US,Simple biohacking strategies for health optimization,2026-04-16,active
CH3640,N037,The Doctor Biohacking Supermom,https://www.youtube.com/@BiohackingSupermom,20000,50,2000,Monologue,en,US,Female physician biohacking for health and performance,2026-04-16,active
CH3641,N037,Botanical Biohacking,https://www.youtube.com/@BotanicalBiohacking,20000,50,2000,Monologue,en,US,Plant-based biohacking and natural optimization,2026-04-16,active
CH3642,N037,Mustreader (biohacking),https://www.youtube.com/@Mustreader,30000,80,3000,Monologue,en,US,Biohacking book summaries and optimization education,2026-04-16,active
CH3643,N037,Project Biohacked,https://www.youtube.com/@ProjectBiohacked,20000,50,2000,Monologue,en,US,Personal biohacking experiments and optimization journey,2026-04-16,active
CH3644,N037,Biohacking Truth,https://www.youtube.com/@BiohackingTruth,20000,50,2000,Monologue,en,US,Separating biohacking truth from hype,2026-04-16,active
CH3645,N037,Transcend Your Limits,https://www.youtube.com/@TranscendYourLimits,30000,80,3000,Monologue,en,US,Biohacking and human potential optimization,2026-04-16,active
CH3646,N037,Steven Ray Warren,https://www.youtube.com/@StevenRayWarren,20000,50,2000,Monologue,en,US,Biohacking and health optimization experiments,2026-04-16,active
CH3647,N037,The Nootropic Republic,https://www.youtube.com/@TheNootropicRepublic,20000,50,2000,Monologue,en,US,Nootropic reviews and cognitive optimization,2026-04-16,active
CH3648,N037,Ultiself App,https://www.youtube.com/@UltiselfApp,20000,50,2000,Monologue,en,US,Gamified biohacking app and optimization education,2026-04-16,active
CH3649,N037,Biohacking Chris,https://www.youtube.com/@BiohackingChris,20000,50,2000,Monologue,en,US,Personal biohacking journey and optimization tips,2026-04-16,active
CH3650,N037,No Plan B Podcast (Jean Fallacara),https://www.youtube.com/@NoPlanBPodcast,20000,50,2000,Monologue,en,CA,Biohacking fitness and human optimization science,2026-04-16,active
CH3651,N037,More Plates More Dates (optimization),https://www.youtube.com/@MorePlatesMoreDates,2000000,1000,200000,Monologue,en,CA,Derek - hormone optimization and performance biohacking,2026-04-16,active
CH3652,N037,Dr. Gabrielle Lyon (optimization),https://www.youtube.com/@DrGabrielleLyon,300000,200,40000,Monologue,en,US,Muscle-centric medicine and longevity optimization,2026-04-16,active
CH3653,N037,Dr. Casey Means (optimization),https://www.youtube.com/@DrCaseyMeans,100000,80,20000,Monologue,en,US,Metabolic optimization and longevity science,2026-04-16,active
CH3654,N037,Zoe Science (longevity),https://www.youtube.com/@ZoeScience,400000,300,60000,Monologue/Interview,en,GB,Personalized nutrition and longevity research,2026-04-16,active
CH3655,N037,Dr. William Li (longevity),https://www.youtube.com/@DrWilliamLi,300000,200,40000,Monologue,en,US,Angiogenesis Foundation - food as medicine and longevity,2026-04-16,active
CH3656,N037,Sadhguru (longevity),https://www.youtube.com/@Sadhguru,12000000,3000,100000,Monologue,en,IN,Yogic science for longevity and inner optimization,2026-04-16,active
CH3657,N037,Mindhive,https://www.youtube.com/@Mindhive,20000,50,2000,Monologue,en,US,Collective intelligence and optimization education,2026-04-16,active
CH3658,N037,Tim van der Vliet,https://www.youtube.com/@TimVanDerVliet,20000,50,2000,Monologue,en,NL,Dutch biohacker covering optimization experiments,2026-04-16,active
CH3659,N037,Steve Stavs Africa Biohacker,https://www.youtube.com/@SteveStvs,20000,50,2000,Monologue,en,ZA,African biohacking and health optimization,2026-04-16,active
CH3660,N037,Dr. Biohack,https://www.youtube.com/@DrBiohack,20000,50,2000,Monologue,en,US,Medical perspective on biohacking and optimization,2026-04-16,active
CH3661,N037,Biohacking Athlete,https://www.youtube.com/@BiohackingAthlete,20000,50,2000,Monologue,en,US,Athletic performance biohacking and optimization,2026-04-16,active
CH3662,N037,Biohacking News,https://www.youtube.com/@BiohackingNews,20000,50,2000,Monologue,en,US,Latest biohacking news and technology reviews,2026-04-16,active
CH3663,N037,Biohacking Bombshell,https://www.youtube.com/@BiohackingBombshell,20000,40,2000,Monologue,en,US,Allyssa LaScala - female biohacking and optimization,2026-04-16,active
CH3664,N037,MyKetoCoach,https://www.youtube.com/@MyKetoCoach,30000,80,3000,Monologue,en,US,Ketogenic biohacking and metabolic optimization,2026-04-16,active
CH3665,N037,Dr. Benjamin Bikman (optimization),https://www.youtube.com/@BenBikmanPhD,200000,200,30000,Monologue,en,US,Insulin and metabolic optimization science,2026-04-16,active
CH3666,N037,Dr. Jason Fung (longevity),https://www.youtube.com/@JasonFungMD,500000,200,100000,Monologue,en,CA,Autophagy fasting and longevity optimization,2026-04-16,active
CH3667,N037,Dr. Dominic D Agostino (ketones),https://www.youtube.com/@DominicDAgostino,100000,100,20000,Monologue,en,US,Ketone research and metabolic optimization science,2026-04-16,active
CH3668,N037,Dr. Chris Palmer (metabolic),https://www.youtube.com/@ChrisPalmerMD,100000,100,20000,Monologue,en,US,Metabolic psychiatry and brain optimization,2026-04-16,active
CH3669,N037,Dr. Cate Shanahan (optimization),https://www.youtube.com/@DrCateShanahan,80000,80,15000,Monologue,en,US,Deep nutrition and metabolic health optimization,2026-04-16,active
CH3670,N037,Alex Fergus,https://www.youtube.com/@AlexFergus,100000,300,5000,Monologue,en,NZ,Health optimization and biohacking experiments,2026-04-16,active
CH3671,N037,Holistichealth N Biohacking,https://www.youtube.com/@HolisticBiohacking,20000,50,2000,Monologue,en,US,Holistic health meets biohacking optimization,2026-04-16,active
CH3672,N037,Pruvit (Keto Biohacking),https://www.youtube.com/@Pruvit,50000,200,3000,Monologue,en,US,Ketone supplementation and metabolic optimization,2026-04-16,active
CH3673,N037,Biohacking Conference,https://www.youtube.com/@BiohackingConference,20000,50,2000,Monologue,en,US,Biohacking conference talks and presentations,2026-04-16,active
CH3674,N037,Dr. Molly Maloof (optimization),https://www.youtube.com/@DrMollyMaloof,30000,50,5000,Monologue,en,US,Personalized health optimization and longevity medicine,2026-04-16,active
CH3675,N037,Biohacking Australia OptimOZ,https://www.youtube.com/@OptimOZ,20000,50,2000,Monologue,en,AU,Australian biohacking and health optimization,2026-04-16,active
CH3676,N037,Gabriel Biohacking,https://www.youtube.com/@GabrielBiohacking,20000,30,2000,Monologue,en,US,Biohacking lifestyle and optimization education,2026-04-16,active
CH3677,N037,Balo Biohacking,https://www.youtube.com/@BaloBiohacking,20000,30,2000,Monologue,en,US,Personal biohacking experiments and health tech,2026-04-16,active
CH3678,N037,Hack the Age Biohackers,https://www.youtube.com/@HackTheAge,20000,30,2000,Monologue,en,US,Anti-aging biohacking community and education,2026-04-16,active
CH3679,N037,BioHack Your Health (Robert),https://www.youtube.com/@BioHackYourHealth,20000,30,2000,Monologue,en,US,RN perspective on biohacking and health optimization,2026-04-16,active
CH3680,N037,My Biohack,https://www.youtube.com/@MyBiohack,20000,30,2000,Monologue,en,US,DIY biohacking experiments and optimization results,2026-04-16,active
CH3681,N037,Micha Aspera Health Biohacking,https://www.youtube.com/@MichaAspera,20000,30,2000,Monologue,en,DE,German biohacker covering health optimization,2026-04-16,active
CH3682,N037,Melina Vicario La Biohacker,https://www.youtube.com/@MelinaVicario,20000,30,2000,Monologue,en,US,Latina biohacker covering health optimization,2026-04-16,active
CH3683,N037,Tony Huge Biohacking,https://www.youtube.com/@TonyHugeBiohacking,50000,100,5000,Monologue,en,US,Enhanced biohacking and hormone optimization content,2026-04-16,active
CH3684,N037,Biohacking Varsity Club,https://www.youtube.com/@BiohackingVarsity,20000,30,2000,Monologue,en,US,University-level biohacking education and optimization,2026-04-16,active
CH3685,N037,Eric Ha Self-Improvement (biohacking),https://www.youtube.com/@EricHaSelfImprovement,20000,30,2000,Monologue,en,US,Self-improvement through biohacking and optimization,2026-04-16,active
CH3686,N037,Sajeev Nair,https://www.youtube.com/@SajeevNair,200000,200,10000,Monologue,en,IN,Indian biohacking and longevity optimization expert,2026-04-16,active
CH3687,N037,TRAVEL IN HER SHOES Aggie Lal,https://www.youtube.com/@AggieLal,300000,200,15000,Monologue,en,US,Wellness travel and biohacking lifestyle optimization,2026-04-16,active
CH3688,N037,Dr. Tim Spector (longevity),https://www.youtube.com/@DrTimSpector,200000,100,50000,Monologue,en,GB,Epidemiologist on microbiome and longevity optimization,2026-04-16,active
CH3689,N037,Blue Zones,https://www.youtube.com/@BlueZones,100000,100,10000,Monologue,en,US,Dan Buettner - longevity research from worlds longest-lived populations,2026-04-16,active
CH3690,N037,Attia Medical,https://www.youtube.com/@AttiaMedical,50000,50,5000,Monologue,en,US,Peter Attia clinical practice - longevity optimization medicine,2026-04-16,active
CH3691,N037,Dr. Ken Berry (optimization),https://www.youtube.com/@KenDBerryMD,3000000,1500,100000,Monologue,en,US,Physician on proper human diet for longevity,2026-04-16,active
CH3692,N037,Dr. Pradip Jamnadas (longevity),https://www.youtube.com/@DrPradipJamnadas,800000,100,500000,Monologue,en,US,Cardiologist on fasting and metabolic longevity optimization,2026-04-16,active
CH3693,N037,Dr. Sten Ekberg (optimization),https://www.youtube.com/@drekberg,3500000,800,300000,Monologue,en,US,Health optimization through metabolic science education,2026-04-16,active
CH3694,N037,Dr. Valter Longo,https://www.youtube.com/@ValterLongo,50000,50,5000,Monologue,en,US,USC professor on fasting-mimicking diet and longevity research,2026-04-16,active
CH3695,N037,Dr. Mark Mattson,https://www.youtube.com/@MarkMattson,30000,20,5000,Monologue,en,US,NIH neuroscientist on fasting brain health and longevity,2026-04-16,active
CH3696,N037,Dr. Gundry (longevity),https://www.youtube.com/@DrGundry,2000000,500,100000,Monologue,en,US,Heart surgeon on plant paradox and longevity optimization,2026-04-16,active
CH3697,N037,Dr. John Campbell (longevity),https://www.youtube.com/@DrJohnCampbell,3000000,2000,100000,Monologue,en,GB,Health educator covering longevity research and optimization,2026-04-16,active
CH3698,N037,Diet Doctor (optimization),https://www.youtube.com/@DietDoctor,500000,500,30000,Monologue,en,SE,Metabolic health optimization and evidence-based protocols,2026-04-16,active
CH3699,N037,Healthful Pursuit (optimization),https://www.youtube.com/@HealthfulPursuit,300000,500,20000,Monologue,en,CA,Keto biohacking for women health optimization,2026-04-16,active
CH3700,N037,Gary Brecka,https://www.youtube.com/@GaryBrecka,1000000,200,200000,Monologue,en,US,Human biologist on gene-based health and longevity optimization,2026-04-16,active
