channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3801,N039,The Sleep Doctor (Michael Breus),https://www.youtube.com/@TheSleepDoctor,200000,300,15000,Monologue,en,US,PhD sleep specialist on chronotypes and sleep optimization,2026-04-16,active
CH3802,N039,Matt Walker Podcast,https://www.youtube.com/@MattWalkerPodcast,300000,100,30000,Monologue,en,US,UC Berkeley sleep scientist and Why We Sleep author,2026-04-16,active
CH3803,N039,Dr. Andrew Huberman (sleep),https://www.youtube.com/@hubermanlab,5000000,300,1000000,Monologue,en,US,Stanford neuroscientist with extensive sleep optimization protocols,2026-04-16,active
CH3804,N039,Sleep Foundation,https://www.youtube.com/@SleepFoundation,75000,200,5000,Monologue,en,US,Science-backed sleep education and product recommendations,2026-04-16,active
CH3805,N039,Sleep Advisor,https://www.youtube.com/@SleepAdvisor,100000,300,5000,Monologue,en,US,Sleep science education and sleep product analysis,2026-04-16,active
CH3806,N039,Sleep Is A Skill (Mollie),https://www.youtube.com/@SleepIsASkill,30000,200,3000,Monologue,en,US,Sleep optimization through technology and behavioral change,2026-04-16,active
CH3807,N039,Dr. Steven Park,https://www.youtube.com/@DrStevenPark,64000,300,3000,Monologue,en,US,ENT surgeon and sleep doctor on airway and breathing optimization,2026-04-16,active
CH3808,N039,World Sleep Society,https://www.youtube.com/@WorldSleepSociety,20000,100,2000,Monologue,en,US,International organization advancing sleep health worldwide,2026-04-16,active
CH3809,N039,Sleep Science Academy,https://www.youtube.com/@SleepScienceAcademy,30000,100,3000,Monologue,en,US,Sleep coaching and science-based insomnia recovery,2026-04-16,active
CH3810,N039,Jason Stephenson (sleep),https://www.youtube.com/@JasonStephenson,3000000,500,100000,Monologue,en,AU,Sleep meditation music and guided relaxation for better sleep,2026-04-16,active
CH3811,N039,Michael Sealey (sleep),https://www.youtube.com/@MichaelSealey,3000000,300,200000,Monologue,en,AU,Hypnosis and guided sessions for deep sleep optimization,2026-04-16,active
CH3812,N039,The Honest Guys (sleep),https://www.youtube.com/@TheHonestGuys,3000000,300,200000,Monologue,en,GB,Guided meditations specifically designed for sleep improvement,2026-04-16,active
CH3813,N039,Insomnia Coach,https://www.youtube.com/@InsomniaCoach,50000,200,3000,Monologue,en,US,CBT-I based coaching for chronic insomnia recovery,2026-04-16,active
CH3814,N039,Insomnia Talks,https://www.youtube.com/@InsomniaTalks,30000,100,3000,Monologue,en,US,Education and support for insomnia sufferers,2026-04-16,active
CH3815,N039,The Sleep Coach School,https://www.youtube.com/@SleepCoachSchool,30000,100,3000,Monologue,en,US,Professional sleep coaching education and certification,2026-04-16,active
CH3816,N039,Sleep With Me Podcast,https://www.youtube.com/@SleepWithMe,200000,500,5000,Monologue,en,US,Bedtime stories and boring content designed to help you fall asleep,2026-04-16,active
CH3817,N039,Nothing Much Happens (sleep),https://www.youtube.com/@NothingMuchHappens,300000,200,15000,Monologue,en,US,Kathryn Nicolai - calming bedtime stories for better sleep,2026-04-16,active
CH3818,N039,Abide Sleep Meditations,https://www.youtube.com/@AbideMeditations,300000,300,15000,Monologue,en,US,Christian sleep meditations for restful night,2026-04-16,active
CH3819,N039,Sleep Deeper Mark Bowden,https://www.youtube.com/@SleepDeeperMarkBowden,50000,100,5000,Monologue,en,GB,Hypnotherapist specializing in sleep improvement,2026-04-16,active
CH3820,N039,Soothing Pod (sleep),https://www.youtube.com/@SoothingPod,100000,200,5000,Monologue,en,US,Sleep meditations and bedtime stories for rest,2026-04-16,active
CH3821,N039,Sleepy Cat Meditations,https://www.youtube.com/@SleepyCatMeditations,100000,100,10000,Monologue,en,US,Gentle guided meditations for falling asleep,2026-04-16,active
CH3822,N039,Sleep Cove Hypnosis,https://www.youtube.com/@SleepCoveHypnosis,100000,200,5000,Monologue,en,AU,Sleep hypnosis sessions and relaxation for sleep,2026-04-16,active
CH3823,N039,Nicholas Wright Sleep Hypnosis,https://www.youtube.com/@NicholasWrightHypnosis,80000,100,5000,Monologue,en,US,Sleep hypnosis and meditation for insomnia,2026-04-16,active
CH3824,N039,Sleep Wave Karissa Vacker,https://www.youtube.com/@SleepWave,80000,100,5000,Monologue,en,US,ASMR-style sleep meditations and relaxation,2026-04-16,active
CH3825,N039,Sleep and Dream Zone,https://www.youtube.com/@SleepDreamZone,81000,100,5000,Monologue,en,US,Delta waves and calming sounds for sleep optimization,2026-04-16,active
CH3826,N039,Sleep Easy Relax Keith Smith,https://www.youtube.com/@SleepEasyRelax,300000,200,15000,Monologue,en,US,Relaxation and sleep music for better rest,2026-04-16,active
CH3827,N039,Lauren Ostrowski Fenton (sleep),https://www.youtube.com/@LaurenOstrowskiFenton,100000,300,5000,Monologue,en,AU,Hypnotherapy for sleep improvement and relaxation,2026-04-16,active
CH3828,N039,Michael Charles Deep Sleep Piano,https://www.youtube.com/@MichaelCharles,50000,100,5000,Monologue,en,US,Piano music specifically composed for deep sleep,2026-04-16,active
CH3829,N039,Sleep Apnea CPAP Vlog,https://www.youtube.com/@SleepApneaCPAP,50000,200,3000,Monologue,en,US,Sleep apnea education and CPAP therapy guidance,2026-04-16,active
CH3830,N039,Chris at SnoreLessNow,https://www.youtube.com/@SnoreLessNow,30000,100,3000,Monologue,en,US,Anti-snoring solutions and sleep breathing optimization,2026-04-16,active
CH3831,N039,Project Sleep,https://www.youtube.com/@ProjectSleep,20000,50,2000,Monologue,en,US,Sleep health awareness and narcolepsy education,2026-04-16,active
CH3832,N039,Know Narcolepsy,https://www.youtube.com/@KnowNarcolepsy,20000,50,2000,Monologue,en,US,Narcolepsy education and sleep disorder awareness,2026-04-16,active
CH3833,N039,Narcolepsy Network,https://www.youtube.com/@NarcolepsyNetwork,20000,50,2000,Monologue,en,US,Support and education for narcolepsy community,2026-04-16,active
CH3834,N039,Hypersomnia Foundation,https://www.youtube.com/@HypersomniaFoundation,10000,30,1000,Monologue,en,US,Hypersomnia and excessive sleepiness education,2026-04-16,active
CH3835,N039,Lucy Shrimpton Sleep Nanny,https://www.youtube.com/@SleepNanny,50000,200,3000,Monologue,en,GB,Children sleep training and family sleep optimization,2026-04-16,active
CH3836,N039,Little Zs Sleep,https://www.youtube.com/@LittleZsSleep,50000,200,3000,Monologue,en,US,Pediatric sleep consulting and child sleep optimization,2026-04-16,active
CH3837,N039,Baby Sleep Site Nicole Johnson,https://www.youtube.com/@BabySleepSite,30000,100,2000,Monologue,en,US,Baby and toddler sleep optimization education,2026-04-16,active
CH3838,N039,Helping Babies Sleep,https://www.youtube.com/@HelpingBabiesSleep,30000,100,2000,Monologue,en,US,Infant sleep education and gentle sleep training,2026-04-16,active
CH3839,N039,Awesome Little Sleepers,https://www.youtube.com/@AwesomeLittleSleepers,30000,100,2000,Monologue,en,US,Toddler sleep training and optimization guidance,2026-04-16,active
CH3840,N039,Beatrix Schmidt Sleep Coach,https://www.youtube.com/@BeatrixSchmidt,20000,80,2000,Monologue,en,GB,Professional sleep coaching and optimization education,2026-04-16,active
CH3841,N039,Kelly Murray Sleep Consulting,https://www.youtube.com/@KellyMurraySleep,20000,50,2000,Monologue,en,US,Adult sleep consulting and optimization strategies,2026-04-16,active
CH3842,N039,Allison Egidi Sleep Coach,https://www.youtube.com/@AllisonEgidi,20000,50,2000,Monologue,en,US,Sleep and wellness coaching for adults,2026-04-16,active
CH3843,N039,Sleep Coach Academy Doron Lazarus,https://www.youtube.com/@SleepCoachAcademy,20000,50,2000,Monologue,en,US,Sleep coach training and certification education,2026-04-16,active
CH3844,N039,Jessica Heslop Sleep Time,https://www.youtube.com/@SleepTimeByJess,20000,50,2000,Monologue,en,GB,Sleep education and relaxation techniques,2026-04-16,active
CH3845,N039,Sleep Sense,https://www.youtube.com/@SleepSense,50000,100,3000,Monologue,en,CA,Dana Obleman - sleep training and optimization for families,2026-04-16,active
CH3846,N039,Carol Richard Sleep Coach,https://www.youtube.com/@CarolRichardSleep,20000,50,2000,Monologue,en,US,Professional sleep coaching and education,2026-04-16,active
