channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4101,N042,Mel Robbins,https://www.youtube.com/@MelRobbins,4000000,500,300000,Monologue,en,US,5 Second Rule and High 5 Habit author on behavior change,2026-04-16,active
CH4102,N042,Matt D Avella,https://www.youtube.com/@MattDAvella,3500000,300,500000,Monologue,en,US,30-day challenges exploring habits minimalism and discipline,2026-04-16,active
CH4103,N042,Improvement Pill,https://www.youtube.com/@ImprovementPill,3000000,200,200000,Monologue,en,US,Animated habit building dopamine detox and self-discipline,2026-04-16,active
CH4104,N042,Ali Abdaal (habits),https://www.youtube.com/@aliabdaal,5000000,500,500000,Monologue,en,GB,Science-based habit building and behavior change strategies,2026-04-16,active
CH4105,N042,Hamza Ahmed,https://www.youtube.com/@Hamza97,2500000,300,200000,Monologue,en,GB,Self-discipline masculine habits and purposeful living,2026-04-16,active
CH4106,N042,Better Ideas,https://www.youtube.com/@BetterIdeas,2000000,100,300000,Monologue,en,CA,Joey Schweitzer on habit formation and overcoming laziness,2026-04-16,active
CH4107,N042,Art of Improvement,https://www.youtube.com/@ArtOfImprovement,2000000,200,200000,Monologue,en,US,Animated self-improvement covering habits and discipline,2026-04-16,active
CH4108,N042,Better Than Yesterday,https://www.youtube.com/@BetterThanYesterday,2000000,100,500000,Monologue,en,US,Animated habit science and self-discipline education,2026-04-16,active
CH4109,N042,Lavendaire,https://www.youtube.com/@Lavendaire,2000000,500,100000,Monologue,en,US,Aileen Xu - habit building for intentional lifestyle design,2026-04-16,active
CH4110,N042,Jay Shetty (habits),https://www.youtube.com/@JayShetty,4000000,500,200000,Monologue,en,US,Former monk on building better habits and daily disciplines,2026-04-16,active
CH4111,N042,James Clear (official),https://www.youtube.com/@JamesClear,200000,50,20000,Monologue,en,US,Atomic Habits author on tiny habits and behavior systems,2026-04-16,active
CH4112,N042,Brendon Burchard (habits),https://www.youtube.com/@BrendonBurchard,2000000,1000,30000,Monologue,en,US,High Performance Habits author on discipline and routines,2026-04-16,active
CH4113,N042,Tom Bilyeu (Impact Theory),https://www.youtube.com/@TomBilyeu,4000000,1000,50000,Monologue/Interview,en,US,Mindset and habit building through Impact Theory interviews,2026-04-16,active
CH4114,N042,Evan Carmichael,https://www.youtube.com/@EvanCarmichael,3500000,5000,20000,Monologue,en,CA,Success habits and discipline from top achievers,2026-04-16,active
CH4115,N042,Nathaniel Drew (habits),https://www.youtube.com/@NathanielDrew,1500000,200,200000,Monologue,en,US,Intentional habit building and disciplined lifestyle,2026-04-16,active
CH4116,N042,Rewirs,https://www.youtube.com/@Rewirs,2000000,200,100000,Monologue,en,US,Psychological tricks and habit building for self-improvement,2026-04-16,active
CH4117,N042,Teal Swan (habits),https://www.youtube.com/@TealSwan,1500000,1000,30000,Monologue,en,US,Spiritual approach to habit change and self-discipline,2026-04-16,active
CH4118,N042,The Personal Development School,https://www.youtube.com/@PersonalDevelopmentSchool,1000000,500,40000,Monologue,en,CA,Thais Gibson - attachment theory and habit formation,2026-04-16,active
CH4119,N042,Struthless (discipline),https://www.youtube.com/@Struthless,1500000,200,200000,Monologue,en,AU,Creative discipline and habit building with humor,2026-04-16,active
CH4120,N042,Captain Sinbad (discipline),https://www.youtube.com/@CaptainSinbad,500000,100,100000,Monologue,en,CA,Cinematic self-discipline and habit building philosophy,2026-04-16,active
CH4121,N042,Body Brain Alliance,https://www.youtube.com/@BodyBrainAlliance,100000,200,10000,Monologue,en,US,Dr. Karin Nordin - behavior science and habit change,2026-04-16,active
CH4122,N042,Practical Psychology (habits),https://www.youtube.com/@PracticalPsychology,3500000,300,200000,Monologue,en,US,Animated psychology of habit formation and discipline,2026-04-16,active
CH4123,N042,Einzelganger (discipline),https://www.youtube.com/@Einzelganger,2000000,200,200000,Monologue,en,NL,Stoic and philosophical approach to discipline and habits,2026-04-16,active
CH4124,N042,Academy of Ideas (discipline),https://www.youtube.com/@AcademyofIdeas,1500000,200,200000,Monologue,en,US,Philosophical essays on discipline and self-mastery,2026-04-16,active
CH4125,N042,HealthyGamerGG (habits),https://www.youtube.com/@HealthyGamerGG,1500000,500,200000,Monologue,en,US,Dr. K on breaking bad habits and building discipline,2026-04-16,active
CH4126,N042,Psych2Go (habits),https://www.youtube.com/@Psych2Go,11000000,1500,300000,Monologue,en,US,Psychology of habits and self-discipline animated,2026-04-16,active
CH4127,N042,Dan Koe (discipline),https://www.youtube.com/@DanKoe,1000000,200,100000,Monologue,en,US,Self-discipline for one-person business success,2026-04-16,active
CH4128,N042,The School of Life (habits),https://www.youtube.com/@TheSchoolofLife,9000000,1000,200000,Monologue,en,GB,Psychology of habit formation and self-understanding,2026-04-16,active
CH4129,N042,Jade Joddle Speak Well,https://www.youtube.com/@JadeJoddle,200000,300,10000,Monologue,en,GB,Communication habits and self-improvement discipline,2026-04-16,active
CH4130,N042,Personality Hacker,https://www.youtube.com/@PersonalityHacker,100000,300,5000,Monologue,en,US,Personality-based habit building and self-development,2026-04-16,active
CH4131,N042,Zoey Arielle,https://www.youtube.com/@ZoeyArielle,100000,100,10000,Monologue,en,US,Feminine self-discipline and habit building,2026-04-16,active
CH4132,N042,Satori Prime,https://www.youtube.com/@SatoriPrime,50000,100,5000,Monologue,en,US,Deep self-improvement habits and discipline education,2026-04-16,active
CH4133,N042,Lmentalist,https://www.youtube.com/@Lmentalist,50000,80,5000,Monologue,en,US,Mental models for habit building and self-discipline,2026-04-16,active
CH4134,N042,Nameless Dark Side,https://www.youtube.com/@Nameless,50000,80,5000,Monologue,en,US,Dark side of self-development and honest habit building,2026-04-16,active
CH4135,N042,Freedom Kingdom,https://www.youtube.com/@FreedomKingdom,30000,80,3000,Monologue,en,US,Freedom through discipline and habit mastery,2026-04-16,active
CH4136,N042,Pinnacle Of Man,https://www.youtube.com/@PinnacleOfMan,30000,80,3000,Monologue,en,US,Masculine discipline and self-improvement habits,2026-04-16,active
CH4137,N042,Kyosophy,https://www.youtube.com/@Kyosophy,30000,50,3000,Monologue,en,US,Self-discipline philosophy and habit wisdom,2026-04-16,active
CH4138,N042,Jecht Spencer,https://www.youtube.com/@JechtSpencer,30000,50,3000,Monologue,en,US,Self-discipline and habit building for young men,2026-04-16,active
CH4139,N042,Jonny Self Improvement,https://www.youtube.com/@JonnySelfImprovement,30000,80,3000,Monologue,en,US,Daily discipline and self-improvement habit building,2026-04-16,active
CH4140,N042,Davids Self Improvement,https://www.youtube.com/@DavidsSelfImprovement,30000,80,3000,Monologue,en,US,Practical self-discipline and habit formation,2026-04-16,active
CH4141,N042,Tony Robbins (habits),https://www.youtube.com/@TonyRobbins,2000000,500,30000,Monologue,en,US,Peak performance habits and disciplined routines,2026-04-16,active
CH4142,N042,Brian Tracy (discipline),https://www.youtube.com/@BrianTracy,1500000,1000,20000,Monologue,en,US,No Excuses discipline and habit formation education,2026-04-16,active
CH4143,N042,Mindvalley (habits),https://www.youtube.com/@Mindvalley,3000000,1000,50000,Monologue,en,US,Habit building from personal growth thought leaders,2026-04-16,active
CH4144,N042,Robin Sharma,https://www.youtube.com/@RobinSharma,2000000,500,20000,Monologue,en,CA,5AM Club author on morning discipline and habit mastery,2026-04-16,active
CH4145,N042,Grant Cardone (discipline),https://www.youtube.com/@GrantCardone,3000000,3000,30000,Monologue,en,US,10X Rule discipline and work ethic habit building,2026-04-16,active
CH4146,N042,How to ADHD (habits),https://www.youtube.com/@HowtoADHD,1500000,200,200000,Monologue,en,US,Habit building strategies for ADHD brains,2026-04-16,active
CH4147,N042,Dr. Tracey Marks (habits),https://www.youtube.com/@DrTraceyMarks,1200000,500,100000,Monologue,en,US,Psychiatrist on building healthy mental habits,2026-04-16,active
CH4148,N042,Kati Morton (habits),https://www.youtube.com/@KatiMorton,1200000,800,50000,Monologue,en,US,Therapist on building healthy behavioral habits,2026-04-16,active
CH4149,N042,Andrew Huberman (habits),https://www.youtube.com/@hubermanlab,5000000,300,1000000,Monologue,en,US,Neuroscience of habit formation and dopamine,2026-04-16,active
CH4150,N042,Ankur Warikoo (discipline),https://www.youtube.com/@warikoo,5000000,500,200000,Monologue,en,IN,Discipline and habit building for Indian audience,2026-04-16,active
CH4151,N042,Brain Education TV,https://www.youtube.com/@BrainEducationTV,100000,200,5000,Monologue,en,US,Brain-based habit change and self-development,2026-04-16,active
CH4152,N042,Antony Stagg,https://www.youtube.com/@AntonyStagg,30000,80,3000,Monologue,en,GB,Self-development habits and disciplined lifestyle,2026-04-16,active
CH4153,N042,Self Improvement channel,https://www.youtube.com/@SelfImprovement,50000,100,5000,Monologue,en,US,General self-improvement habits and discipline,2026-04-16,active
CH4154,N042,Practical Inspiration,https://www.youtube.com/@PracticalInspiration,30000,50,3000,Monologue,en,US,Practical habit building and discipline for success,2026-04-16,active
CH4155,N042,Mind Movies,https://www.youtube.com/@MindMovies,200000,300,5000,Monologue,en,US,Visualization habits and self-development discipline,2026-04-16,active
CH4156,N042,Eric S Burdon,https://www.youtube.com/@EricSBurdon,30000,80,2000,Monologue,en,CA,Self-improvement habits and disciplined writing,2026-04-16,active
CH4157,N042,Self Help Yourself,https://www.youtube.com/@SelfHelpYourself,30000,80,3000,Monologue,en,US,Self-help habit building and discipline education,2026-04-16,active
CH4158,N042,Skillopedia,https://www.youtube.com/@Skillopedia,500000,300,10000,Monologue,en,IN,Skills and habits for real world self-improvement,2026-04-16,active
