channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4201,N043,Charisma on Command,https://www.youtube.com/@CharismaOnCommand,5000000,500,500000,Monologue,en,US,Charlie and Ben on charisma social skills and emotional intelligence,2026-04-16,active
CH4202,N043,The School of Life,https://www.youtube.com/@TheSchoolofLife,9000000,1000,200000,Monologue,en,GB,Emotional intelligence relationships and self-understanding,2026-04-16,active
CH4203,N043,Vanessa Van Edwards (Science of People),https://www.youtube.com/@ScienceOfPeople,1000000,300,50000,Monologue,en,US,Body language communication and social skills science,2026-04-16,active
CH4204,N043,Psych2Go (social),https://www.youtube.com/@Psych2Go,11000000,1500,300000,Monologue,en,US,Psychology of social skills and emotional intelligence animated,2026-04-16,active
CH4205,N043,Practical Psychology (EQ),https://www.youtube.com/@PracticalPsychology,3500000,300,200000,Monologue,en,US,Animated emotional intelligence and social psychology,2026-04-16,active
CH4206,N043,Einzelganger (social),https://www.youtube.com/@Einzelganger,2000000,200,200000,Monologue,en,NL,Philosophical approach to social dynamics and emotional wisdom,2026-04-16,active
CH4207,N043,HealthyGamerGG (social),https://www.youtube.com/@HealthyGamerGG,1500000,500,200000,Monologue,en,US,Dr. K on social skills emotional regulation and relationships,2026-04-16,active
CH4208,N043,Doctor Ramani (relationships),https://www.youtube.com/@DoctorRamani,1800000,1000,100000,Monologue,en,US,Emotional intelligence in relationships and narcissism awareness,2026-04-16,active
CH4209,N043,Therapy in a Nutshell (EQ),https://www.youtube.com/@TherapyinaNutshell,1500000,300,150000,Monologue,en,US,Emotional intelligence skills and regulation techniques,2026-04-16,active
CH4210,N043,Kati Morton (social skills),https://www.youtube.com/@KatiMorton,1200000,800,50000,Monologue,en,US,Therapist on social anxiety and emotional skills building,2026-04-16,active
CH4211,N043,Vinh Giang,https://www.youtube.com/@VinhGiang,300000,200,30000,Monologue,en,AU,Communication skills and charismatic presence through magic,2026-04-16,active
CH4212,N043,Alexander Lyon (Communication Coach),https://www.youtube.com/@AlexanderLyon,500000,300,20000,Monologue,en,US,PhD in communication - professional social skills education,2026-04-16,active
CH4213,N043,Explearning Communication,https://www.youtube.com/@Explearning,35000,200,3000,Monologue,en,US,Communication and social skills development platform,2026-04-16,active
CH4214,N043,BEING MENTOR,https://www.youtube.com/@BeingMentor,514000,300,30000,Monologue,en,US,Emotional intelligence and life philosophy education,2026-04-16,active
CH4215,N043,The Personal Development School (EQ),https://www.youtube.com/@PersonalDevelopmentSchool,1000000,500,40000,Monologue,en,CA,Thais Gibson on attachment and emotional intelligence,2026-04-16,active
CH4216,N043,Julia Kristina (EQ),https://www.youtube.com/@JuliaKristina,500000,300,30000,Monologue,en,CA,Therapist on emotional intelligence and social skills,2026-04-16,active
CH4217,N043,Cinema Therapy (EQ),https://www.youtube.com/@CinemaTherapy,1500000,200,200000,Monologue,en,US,Emotional intelligence analysis through movies,2026-04-16,active
CH4218,N043,Patrick Teahan (relationships),https://www.youtube.com/@PatrickTeahan,1000000,200,100000,Monologue,en,US,Emotional intelligence and healthy relationship skills,2026-04-16,active
CH4219,N043,Dr. Becky Kennedy (EQ parenting),https://www.youtube.com/@DrBeckyKennedy,500000,200,50000,Monologue,en,US,Emotional intelligence in parenting and family relationships,2026-04-16,active
CH4220,N043,Jay Shetty (relationships),https://www.youtube.com/@JayShetty,4000000,500,200000,Monologue,en,US,Emotional intelligence in relationships and purposeful connection,2026-04-16,active
CH4221,N043,Mel Robbins (social),https://www.youtube.com/@MelRobbins,4000000,500,300000,Monologue,en,US,Social confidence and emotional intelligence strategies,2026-04-16,active
CH4222,N043,Holistic Psychologist (EQ),https://www.youtube.com/@TheHolisticPsychologist,500000,200,40000,Monologue,en,US,Emotional intelligence through holistic self-healing,2026-04-16,active
CH4223,N043,Improvement Pill (social),https://www.youtube.com/@ImprovementPill,3000000,200,200000,Monologue,en,US,Animated social skills and emotional intelligence,2026-04-16,active
CH4224,N043,Art of Improvement (EQ),https://www.youtube.com/@ArtOfImprovement,2000000,200,200000,Monologue,en,US,Animated emotional intelligence and social dynamics,2026-04-16,active
CH4225,N043,Better Ideas (social),https://www.youtube.com/@BetterIdeas,2000000,100,300000,Monologue,en,CA,Social skills and emotional understanding philosophy,2026-04-16,active
CH4226,N043,Academy of Ideas (EQ),https://www.youtube.com/@AcademyofIdeas,1500000,200,200000,Monologue,en,US,Philosophical essays on emotional wisdom and social dynamics,2026-04-16,active
CH4227,N043,Two SEALs and a Walrus,https://www.youtube.com/@TwoSEALsAndAWalrus,50000,100,5000,Monologue,en,US,Navy SEALs on emotional intelligence and mind control,2026-04-16,active
CH4228,N043,Hamza Ahmed (social),https://www.youtube.com/@Hamza97,2500000,300,200000,Monologue,en,GB,Social dynamics and emotional intelligence for young men,2026-04-16,active
