channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4301,N044,Charisma on Command,https://www.youtube.com/@CharismaOnCommand,5000000,500,500000,Monologue,en,US,Confidence charisma and public speaking analysis from movies,2026-04-16,active
CH4302,N044,MasterTalk,https://www.youtube.com/@MasterTalk,200000,300,15000,Monologue,en,CA,Brenden Kumarasamy - overcome fear of public speaking,2026-04-16,active
CH4303,N044,Alexander Lyon Communication Coach,https://www.youtube.com/@AlexanderLyon,500000,300,20000,Monologue,en,US,PhD professor on authoritative and confident communication,2026-04-16,active
CH4304,N044,Success Wheels,https://www.youtube.com/@SuccessWheels,100000,200,10000,Monologue,en,US,Public speaking education and book summaries,2026-04-16,active
CH4305,N044,Vinh Giang (confidence),https://www.youtube.com/@VinhGiang,300000,200,30000,Monologue,en,AU,Communication confidence through magic and presentation,2026-04-16,active
CH4306,N044,Toastmasters International,https://www.youtube.com/@Toastmasters,200000,200,10000,Monologue,en,US,Official public speaking and leadership development organization,2026-04-16,active
CH4307,N044,TED,https://www.youtube.com/@TED,25000000,5000,500000,Monologue,en,US,Worlds best public speakers and confidence masterclasses,2026-04-16,active
CH4308,N044,TEDx Talks,https://www.youtube.com/@TEDxTalks,35000000,100000,50000,Monologue,en,US,Independent TED talks on confidence and public speaking,2026-04-16,active
CH4309,N044,Simon Sinek (speaking),https://www.youtube.com/@SimonSinek,4000000,500,100000,Monologue,en,US,Master public speaker on confidence and leadership communication,2026-04-16,active
CH4310,N044,Brendon Burchard (confidence),https://www.youtube.com/@BrendonBurchard,2000000,1000,30000,Monologue,en,US,Confidence coaching and public speaking mastery,2026-04-16,active
CH4311,N044,Mel Robbins (confidence),https://www.youtube.com/@MelRobbins,4000000,500,300000,Monologue,en,US,Confidence building and overcoming self-doubt strategies,2026-04-16,active
CH4312,N044,Tony Robbins (confidence),https://www.youtube.com/@TonyRobbins,2000000,500,30000,Monologue,en,US,Peak state confidence and massive action motivation,2026-04-16,active
CH4313,N044,Brian Tracy (speaking),https://www.youtube.com/@BrianTracy,1500000,1000,20000,Monologue,en,US,Public speaking and professional confidence building,2026-04-16,active
CH4314,N044,Vanessa Van Edwards (confidence),https://www.youtube.com/@ScienceOfPeople,1000000,300,50000,Monologue,en,US,Body language confidence and presentation science,2026-04-16,active
CH4315,N044,Amy Cuddy,https://www.youtube.com/@AmyCuddy,50000,30,10000,Monologue,en,US,Power posing and body language for confidence,2026-04-16,active
CH4316,N044,The School of Life (confidence),https://www.youtube.com/@TheSchoolofLife,9000000,1000,200000,Monologue,en,GB,Building self-confidence and overcoming social anxiety,2026-04-16,active
CH4317,N044,Hamza Ahmed (confidence),https://www.youtube.com/@Hamza97,2500000,300,200000,Monologue,en,GB,Masculine confidence building and social boldness,2026-04-16,active
CH4318,N044,Improvement Pill (confidence),https://www.youtube.com/@ImprovementPill,3000000,200,200000,Monologue,en,US,Animated confidence building and social skill development,2026-04-16,active
CH4319,N044,Art of Improvement (confidence),https://www.youtube.com/@ArtOfImprovement,2000000,200,200000,Monologue,en,US,Animated self-confidence and communication education,2026-04-16,active
CH4320,N044,Better Ideas (confidence),https://www.youtube.com/@BetterIdeas,2000000,100,300000,Monologue,en,CA,Overcoming social anxiety and building genuine confidence,2026-04-16,active
CH4321,N044,Practical Psychology (confidence),https://www.youtube.com/@PracticalPsychology,3500000,300,200000,Monologue,en,US,Psychology of confidence and persuasion animated,2026-04-16,active
CH4322,N044,Einzelganger (confidence),https://www.youtube.com/@Einzelganger,2000000,200,200000,Monologue,en,NL,Stoic confidence and philosophical self-assurance,2026-04-16,active
CH4323,N044,Academy of Ideas (confidence),https://www.youtube.com/@AcademyofIdeas,1500000,200,200000,Monologue,en,US,Philosophical confidence and self-reliance essays,2026-04-16,active
CH4324,N044,HealthyGamerGG (confidence),https://www.youtube.com/@HealthyGamerGG,1500000,500,200000,Monologue,en,US,Dr. K on overcoming social anxiety and building confidence,2026-04-16,active
CH4325,N044,Jay Shetty (confidence),https://www.youtube.com/@JayShetty,4000000,500,200000,Monologue,en,US,Purpose-driven confidence and authentic self-expression,2026-04-16,active
CH4326,N044,Psych2Go (confidence),https://www.youtube.com/@Psych2Go,11000000,1500,300000,Monologue,en,US,Psychology of confidence and self-esteem animated,2026-04-16,active
CH4327,N044,Matt D Avella (confidence),https://www.youtube.com/@MattDAvella,3500000,300,500000,Monologue,en,US,Building confidence through challenge experiments,2026-04-16,active
CH4328,N044,Nathaniel Drew (confidence),https://www.youtube.com/@NathanielDrew,1500000,200,200000,Monologue,en,US,Authentic confidence through self-exploration,2026-04-16,active
CH4329,N044,Tom Bilyeu (confidence),https://www.youtube.com/@TomBilyeu,4000000,1000,50000,Monologue/Interview,en,US,Mindset confidence and self-belief through Impact Theory,2026-04-16,active
CH4330,N044,Evan Carmichael (confidence),https://www.youtube.com/@EvanCarmichael,3500000,5000,20000,Monologue,en,CA,Confidence lessons from worlds most successful people,2026-04-16,active
CH4331,N044,Rewirs (confidence),https://www.youtube.com/@Rewirs,2000000,200,100000,Monologue,en,US,Psychological tricks for building confidence,2026-04-16,active
CH4332,N044,Lavendaire (confidence),https://www.youtube.com/@Lavendaire,2000000,500,100000,Monologue,en,US,Self-confidence and authentic self-expression for women,2026-04-16,active
CH4333,N044,Captain Sinbad (confidence),https://www.youtube.com/@CaptainSinbad,500000,100,100000,Monologue,en,CA,Cinematic confidence building and self-belief,2026-04-16,active
CH4334,N044,Struthless (confidence),https://www.youtube.com/@Struthless,1500000,200,200000,Monologue,en,AU,Creative confidence and overcoming imposter syndrome,2026-04-16,active
CH4335,N044,Chris Williamson (confidence),https://www.youtube.com/@ChrisWillx,2000000,500,100000,Monologue/Interview,en,GB,Modern Wisdom on confidence and social dynamics,2026-04-16,active
CH4336,N044,Kati Morton (confidence),https://www.youtube.com/@KatiMorton,1200000,800,50000,Monologue,en,US,Therapist on overcoming self-doubt and building confidence,2026-04-16,active
CH4337,N044,Therapy in a Nutshell (confidence),https://www.youtube.com/@TherapyinaNutshell,1500000,300,150000,Monologue,en,US,Building self-confidence through therapeutic techniques,2026-04-16,active
CH4338,N044,Julia Kristina (confidence),https://www.youtube.com/@JuliaKristina,500000,300,30000,Monologue,en,CA,Therapist on self-esteem and confidence building,2026-04-16,active
CH4339,N044,Dan Koe (confidence),https://www.youtube.com/@DanKoe,1000000,200,100000,Monologue,en,US,Authentic confidence and personal brand building,2026-04-16,active
CH4340,N044,Ankur Warikoo (confidence),https://www.youtube.com/@warikoo,5000000,500,200000,Monologue,en,IN,Confidence and public speaking education in Hindi and English,2026-04-16,active
CH4341,N044,Skillopedia (public speaking),https://www.youtube.com/@Skillopedia,500000,300,10000,Monologue,en,IN,Practical public speaking and confidence skills,2026-04-16,active
CH4342,N044,Jade Joddle (confidence),https://www.youtube.com/@JadeJoddle,200000,300,10000,Monologue,en,GB,Speak Well - voice confidence and communication clarity,2026-04-16,active
CH4343,N044,Explearning (confidence),https://www.youtube.com/@Explearning,35000,200,3000,Monologue,en,US,Communication confidence and social skill development,2026-04-16,active
