channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4501,N046,Motiversity,https://www.youtube.com/@Motiversity,5000000,300,1000000,Monologue,en,US,Cinematic motivational speeches and mindset shift compilations,2026-04-16,active
CH4502,N046,Mel Robbins (motivation),https://www.youtube.com/@MelRobbins,4000000,500,300000,Monologue,en,US,5 Second Rule and mindset shift strategies for transformation,2026-04-16,active
CH4503,N046,Tom Bilyeu (Impact Theory),https://www.youtube.com/@TomBilyeu,4000000,1000,50000,Monologue/Interview,en,US,Mindset mastery and motivation through world-class interviews,2026-04-16,active
CH4504,N046,Evan Carmichael (motivation),https://www.youtube.com/@EvanCarmichael,3500000,5000,20000,Monologue,en,CA,Top 10 rules of success from worlds most accomplished people,2026-04-16,active
CH4505,N046,Ben Lionel Scott,https://www.youtube.com/@BenLionelScott,3000000,200,300000,Monologue,en,US,Powerful emotionally charged motivational videos,2026-04-16,active
CH4506,N046,Tony Robbins (motivation),https://www.youtube.com/@TonyRobbins,2000000,500,30000,Monologue,en,US,Peak performance mindset mastery and motivation strategies,2026-04-16,active
CH4507,N046,Brendon Burchard (motivation),https://www.youtube.com/@BrendonBurchard,2000000,1000,30000,Monologue,en,US,High performance coach on motivation and mindset mastery,2026-04-16,active
CH4508,N046,Jay Shetty (motivation),https://www.youtube.com/@JayShetty,4000000,500,200000,Monologue,en,US,Former monk on purpose mindset and motivational wisdom,2026-04-16,active
CH4509,N046,Team Fearless,https://www.youtube.com/@TeamFearless,2000000,200,200000,Monologue,en,US,Fearless motivational speeches and mindset shift content,2026-04-16,active
CH4510,N046,Be Inspired,https://www.youtube.com/@BeInspired,3000000,300,200000,Monologue,en,US,Inspirational speeches and mindset transformation content,2026-04-16,active
CH4511,N046,Fearless Soul,https://www.youtube.com/@FearlessSoul,2000000,500,50000,Monologue,en,US,Motivational music speeches and mindset inspiration,2026-04-16,active
CH4512,N046,MotivationHub,https://www.youtube.com/@MotivationHub,2000000,200,200000,Monologue,en,US,Hub of motivational speeches and mindset shift content,2026-04-16,active
CH4513,N046,Motivation2Study,https://www.youtube.com/@Motivation2Study,2000000,200,200000,Monologue,en,US,Academic motivation and study mindset shift content,2026-04-16,active
CH4514,N046,Video Advice,https://www.youtube.com/@VideoAdvice,2000000,500,50000,Monologue,en,US,Motivational videos and mindset shift advice,2026-04-16,active
CH4515,N046,Absolute Motivation,https://www.youtube.com/@AbsoluteMotivation,1500000,200,100000,Monologue,en,US,Absolute motivational speeches for mindset transformation,2026-04-16,active
CH4516,N046,Your World Within,https://www.youtube.com/@YourWorldWithin,1500000,200,100000,Monologue,en,US,Eddie Pinero - powerful motivational speeches and mindset,2026-04-16,active
CH4517,N046,Goalcast,https://www.youtube.com/@Goalcast,3000000,1000,100000,Monologue,en,CA,Inspiring stories and motivational mindset shift speeches,2026-04-16,active
CH4518,N046,Etthehiphoppreacher (ET),https://www.youtube.com/@ETtheHipHopPreacher,1000000,500,30000,Monologue,en,US,Eric Thomas - motivational speaking and mindset shifts,2026-04-16,active
CH4519,N046,MulliganBrothers,https://www.youtube.com/@MulliganBrothers,1000000,200,100000,Monologue,en,US,Cinematic motivational content and mindset transformation,2026-04-16,active
CH4520,N046,Billy Alsbrooks,https://www.youtube.com/@BillyAlsbrooks,500000,200,30000,Monologue,en,US,Motivational speaking and mindset shift education,2026-04-16,active
CH4521,N046,Hamza Ahmed (motivation),https://www.youtube.com/@Hamza97,2500000,300,200000,Monologue,en,GB,Motivation and mindset shifts for self-improvement,2026-04-16,active
CH4522,N046,Improvement Pill (motivation),https://www.youtube.com/@ImprovementPill,3000000,200,200000,Monologue,en,US,Animated motivation and mindset shift science,2026-04-16,active
CH4523,N046,Art of Improvement (motivation),https://www.youtube.com/@ArtOfImprovement,2000000,200,200000,Monologue,en,US,Animated motivational wisdom and mindset education,2026-04-16,active
CH4524,N046,Better Than Yesterday (motivation),https://www.youtube.com/@BetterThanYesterday,2000000,100,500000,Monologue,en,US,Animated motivational stories and mindset science,2026-04-16,active
