channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4601,N047,Improvement Pill (book summaries),https://www.youtube.com/@ImprovementPill,3000000,200,200000,Monologue,en,US,Animated self-help book summaries and key takeaways,2026-04-16,active
CH4602,N047,Art of Improvement (books),https://www.youtube.com/@ArtOfImprovement,2000000,200,200000,Monologue,en,US,Animated book summaries with actionable steps,2026-04-16,active
CH4603,N047,Better Than Yesterday (books),https://www.youtube.com/@BetterThanYesterday,2000000,100,500000,Monologue,en,US,Animated book stories and self-improvement summaries,2026-04-16,active
CH4604,N047,Productivity Game,https://www.youtube.com/@ProductivityGame,1500000,200,100000,Monologue,en,US,Clean animated business and self-improvement book breakdowns,2026-04-16,active
CH4605,N047,FightMediocrity,https://www.youtube.com/@FightMediocrity,1500000,200,100000,Monologue,en,US,Hand-drawn illustrated book summaries capturing emotional essence,2026-04-16,active
CH4606,N047,Four Minute Books,https://www.youtube.com/@FourMinuteBooks,200000,200,10000,Monologue,en,US,4-minute condensed nonfiction book summaries,2026-04-16,active
CH4607,N047,Ali Abdaal (book reviews),https://www.youtube.com/@aliabdaal,5000000,500,500000,Monologue,en,GB,Detailed book reviews and reading recommendations,2026-04-16,active
CH4608,N047,Thomas Frank (book reviews),https://www.youtube.com/@Thomasfrank,3000000,500,300000,Monologue,en,US,Productivity and learning book reviews and summaries,2026-04-16,active
CH4609,N047,Matt D Avella (book reviews),https://www.youtube.com/@MattDAvella,3500000,300,500000,Monologue,en,US,Book reviews and reading challenge documentation,2026-04-16,active
CH4610,N047,Practical Psychology (book summaries),https://www.youtube.com/@PracticalPsychology,3500000,300,200000,Monologue,en,US,Animated psychology and self-help book summaries,2026-04-16,active
CH4611,N047,Good Book Summary,https://www.youtube.com/@GoodBookSummary,100000,500,5000,Monologue,en,US,Daily book summaries and reviews published consistently,2026-04-16,active
CH4612,N047,Great Books In 10 Minutes,https://www.youtube.com/@GreatBooksIn10Min,200000,200,10000,Monologue,en,US,Greatest books summarized in engaging 10-minute format,2026-04-16,active
CH4613,N047,Escaping Ordinary (B.C. Marx),https://www.youtube.com/@EscapingOrdinary,500000,100,50000,Monologue,en,US,Animated book summaries for personal development,2026-04-16,active
CH4614,N047,One Percent Better,https://www.youtube.com/@OnePercentBetter,1000000,100,100000,Monologue,en,US,Animated self-improvement book breakdowns,2026-04-16,active
CH4615,N047,Nat Eliason,https://www.youtube.com/@NatEliason,100000,100,10000,Monologue,en,US,Nonfiction book reviews and reading education,2026-04-16,active
CH4616,N047,Nathaniel Drew (reading),https://www.youtube.com/@NathanielDrew,1500000,200,200000,Monologue,en,US,Philosophy and literature book reviews and reflection,2026-04-16,active
CH4617,N047,John Fish (reading),https://www.youtube.com/@JohnFish,500000,200,30000,Monologue,en,US,Harvard student book reviews and intellectual reading,2026-04-16,active
CH4618,N047,Better Ideas (book insights),https://www.youtube.com/@BetterIdeas,2000000,100,300000,Monologue,en,CA,Book-inspired philosophy and self-improvement insights,2026-04-16,active
CH4619,N047,Einzelganger (book wisdom),https://www.youtube.com/@Einzelganger,2000000,200,200000,Monologue,en,NL,Philosophical book analysis and wisdom extraction,2026-04-16,active
CH4620,N047,Academy of Ideas (book essays),https://www.youtube.com/@AcademyofIdeas,1500000,200,200000,Monologue,en,US,Philosophical book analysis essays and key ideas,2026-04-16,active
CH4621,N047,The Book Report Network,https://www.youtube.com/@TheBookReportNetwork,50000,100,3000,Monologue,en,US,Informed book reviews across genres,2026-04-16,active
CH4622,N047,Better Than Food,https://www.youtube.com/@BetterThanFood,200000,200,10000,Monologue,en,US,Deep nonfiction and philosophy book reviews,2026-04-16,active
