channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4701,N048,Ali Abdaal (career),https://www.youtube.com/@aliabdaal,5000000,500,500000,Monologue,en,GB,Doctor turned creator on career development and side hustles,2026-04-16,active
CH4702,N048,Linda Raynier,https://www.youtube.com/@LindaRaynier,500000,300,20000,Monologue,en,CA,Career strategist covering job search and career purpose,2026-04-16,active
CH4703,N048,Self Made Millennial,https://www.youtube.com/@SelfMadeMillennial,300000,300,15000,Monologue,en,US,Madeline Mann HR recruiter on job search and career advice,2026-04-16,active
CH4704,N048,CareerVidz,https://www.youtube.com/@CareerVidz,2000000,500,30000,Monologue,en,GB,Richard McMunn - comprehensive career and job advice,2026-04-16,active
CH4705,N048,Andrew LaCivita,https://www.youtube.com/@andylacivita,300000,500,10000,Monologue,en,US,Career coach on job search resume and career development,2026-04-16,active
CH4706,N048,Marie Forleo (career),https://www.youtube.com/@marieforleo,800000,500,30000,Monologue,en,US,Career and business development coaching,2026-04-16,active
CH4707,N048,Jeff Su (career),https://www.youtube.com/@JeffSu,1000000,200,200000,Monologue,en,US,Corporate career tips and professional development,2026-04-16,active
CH4708,N048,Work It Daily,https://www.youtube.com/@WorkItDaily,500000,1000,10000,Monologue,en,US,JT ODonnell - career coaching and job search strategies,2026-04-16,active
CH4709,N048,Career Talk,https://www.youtube.com/@CareerTalk,100000,200,5000,Monologue,en,US,Career development conversations and job advice,2026-04-16,active
CH4710,N048,Erin McGoff,https://www.youtube.com/@ErinMcGoff,500000,200,30000,Monologue,en,US,Gen Z career advice and job search strategies,2026-04-16,active
CH4711,N048,Cass Thompson Career Advice,https://www.youtube.com/@CassThompsonConsulting,100000,200,5000,Monologue,en,US,Career coaching for traditional workforce and business,2026-04-16,active
CH4712,N048,A Life After Layoff,https://www.youtube.com/@ALifeAfterLayoff,300000,300,15000,Monologue,en,US,Bryan Creely - navigating career transitions and layoffs,2026-04-16,active
CH4713,N048,Ben Talks Talent,https://www.youtube.com/@BenTalksTalent,100000,200,5000,Monologue,en,US,Job interview and career development advice,2026-04-16,active
CH4714,N048,Wonsulting,https://www.youtube.com/@Wonsulting,200000,200,10000,Monologue,en,US,Jonathan Javier - actionable career tips to land dream jobs,2026-04-16,active
CH4715,N048,Joshua Fluke,https://www.youtube.com/@JoshuaFluke,617000,1000,20000,Monologue,en,US,Raw honest career advice exposing corporate culture,2026-04-16,active
CH4716,N048,Dan Koe (career),https://www.youtube.com/@DanKoe,1000000,200,100000,Monologue,en,US,One-person business career development and digital leverage,2026-04-16,active
CH4717,N048,Natalie Fisher,https://www.youtube.com/@NatalieFisher,100000,200,5000,Monologue,en,CA,Career coaching for landing six-figure positions,2026-04-16,active
CH4718,N048,The Millionaire Recruiter,https://www.youtube.com/@TheMillionaireRecruiter,100000,200,5000,Monologue,en,US,Recruiter sharing insider career and job search advice,2026-04-16,active
CH4719,N048,JobSearchTV,https://www.youtube.com/@jobsearchtv,200000,500,5000,Monologue,en,US,Jeff Altman the Big Game Hunter - career coaching,2026-04-16,active
CH4720,N048,Professor Heather Austin,https://www.youtube.com/@ProfessorHeatherAustin,100000,200,5000,Monologue,en,US,Professor providing career development and job search advice,2026-04-16,active
CH4721,N048,Sonal Bahl Career Strategist,https://www.youtube.com/@SonalBahl,50000,200,3000,Monologue,en,US,Career strategist for mid-career professionals,2026-04-16,active
CH4722,N048,Goal Inspired Career Coaching,https://www.youtube.com/@GoalInspiredCareerCoaching,30000,100,3000,Monologue,en,US,Goal-oriented career coaching and development,2026-04-16,active
