channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4801,N049,CareerVidz (interviews),https://www.youtube.com/@CareerVidz,2000000,500,30000,Monologue,en,GB,Richard McMunn - job interview prep and resume advice,2026-04-16,active
CH4802,N049,Diksha Arora Interview Coach,https://www.youtube.com/@InterviewCoach,1200000,300,30000,Monologue,en,IN,Interview coaching and ATS-friendly resume building,2026-04-16,active
CH4803,N049,Self Made Millennial (interviews),https://www.youtube.com/@SelfMadeMillennial,300000,300,15000,Monologue,en,US,Madeline Mann - interview prep and resume optimization,2026-04-16,active
CH4804,N049,Andrew LaCivita (interviews),https://www.youtube.com/@andylacivita,300000,500,10000,Monologue,en,US,Career coach - interview prep resume writing and LinkedIn,2026-04-16,active
CH4805,N049,A Life After Layoff (interviews),https://www.youtube.com/@ALifeAfterLayoff,300000,300,15000,Monologue,en,US,Bryan Creely - resume writing interview training and LinkedIn tips,2026-04-16,active
CH4806,N049,Work It Daily (interviews),https://www.youtube.com/@WorkItDaily,500000,1000,10000,Monologue,en,US,JT ODonnell - interview prep and career changes,2026-04-16,active
CH4807,N049,Ben Talks Talent (interviews),https://www.youtube.com/@BenTalksTalent,100000,200,5000,Monologue,en,US,Interviewing skills and what employers expect,2026-04-16,active
CH4808,N049,The Interview Guys,https://www.youtube.com/@The2InterviewGuys,100000,200,5000,Monologue,en,US,Interview preparation strategies and techniques,2026-04-16,active
CH4809,N049,Linda Raynier (interviews),https://www.youtube.com/@LindaRaynier,500000,300,20000,Monologue,en,CA,Job interview strategies and resume building tips,2026-04-16,active
CH4810,N049,Don Georgevich,https://www.youtube.com/@DonGeorgevich,300000,300,10000,Monologue,en,US,Job interview answers and preparation strategies,2026-04-16,active
CH4811,N049,Dan Croitor,https://www.youtube.com/@DanCroitor,200000,300,10000,Monologue,en,US,STAR method interview prep and Amazon interview strategy,2026-04-16,active
CH4812,N049,Jeff H Sipe,https://www.youtube.com/@JeffHSipe,100000,200,5000,Monologue,en,US,Job interview coaching and resume review,2026-04-16,active
CH4813,N049,Amri Celeste Interview Coach,https://www.youtube.com/@amricelesteinterviewcoach,50000,100,5000,Monologue,en,US,Interview coaching for confidence and success,2026-04-16,active
CH4814,N049,The Companies Expert,https://www.youtube.com/@TheCompaniesExpert,100000,200,5000,Monologue,en,US,Company-specific interview prep and strategies,2026-04-16,active
CH4815,N049,Holly Lee Coaching,https://www.youtube.com/@HollyLeeCoaching,50000,100,5000,Monologue,en,US,Executive interview coaching and resume optimization,2026-04-16,active
