channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4901,N050,Vsauce,https://www.youtube.com/@Vsauce,24700000,400,5000000,Monologue,en,US,Michael Stevens explores scientific and philosophical questions,,active
CH4902,N050,Veritasium,https://www.youtube.com/@veritasium,16000000,350,8000000,Monologue,en,AU,Derek Muller explains counterintuitive science concepts,,active
CH4903,N050,Kurzgesagt - In a Nutshell,https://www.youtube.com/@kurzgesagt,23000000,200,10000000,Animation/Narration,en,DE,Animated science explainers on complex topics,,active
CH4904,N050,SciShow,https://www.youtube.com/@SciShow,7500000,3500,200000,Monologue,en,US,Hank Green team delivers frequent science explainers,,active
CH4905,N050,MinutePhysics,https://www.youtube.com/@minutephysics,6000000,350,2000000,Animation/Narration,en,US,Hand-drawn animations explaining physics concepts,,active
CH4906,N050,PBS Space Time,https://www.youtube.com/@pbsspacetime,3500000,500,500000,Monologue,en,US,Astrophysicist Matt O'Dowd covers advanced physics,,active
CH4907,N050,SmarterEveryDay,https://www.youtube.com/@smartereveryday,12000000,400,3000000,Monologue,en,US,Destin Sandlin explores science through experiments,,active
CH4908,N050,3Blue1Brown,https://www.youtube.com/@3blue1brown,6500000,150,4000000,Animation/Narration,en,US,Grant Sanderson visualizes math and science concepts,,active
CH4909,N050,Professor Dave Explains,https://www.youtube.com/@ProfessorDaveExplains,4000000,600,200000,Monologue,en,US,Professor Dave covers science topics and debunks pseudoscience,,active
CH4910,N050,Steve Mould,https://www.youtube.com/@SteveMould,3000000,200,2000000,Monologue,en,GB,Science communicator explaining everyday phenomena,,active
CH4911,N050,AsapSCIENCE,https://www.youtube.com/@AsapSCIENCE,10500000,500,2000000,Animation/Narration,en,CA,Whiteboard-style science explainers on everyday questions,,active
CH4912,N050,ElectroBOOM,https://www.youtube.com/@ElectroBOOM,7000000,200,5000000,Monologue,en,CA,Entertaining and educational electrical engineering experiments,,active
CH4913,N050,Tibees,https://www.youtube.com/@Tibees,1500000,300,300000,Monologue,en,AU,Toby Hendy covers physics math and history of science,,active
CH4914,N050,Domain of Science,https://www.youtube.com/@domainofscience,2500000,100,1000000,Monologue/Animation,en,GB,Dominic Walliman maps out scientific disciplines,,active
CH4915,N050,The Science Asylum,https://www.youtube.com/@TheScienceAsylum,1200000,200,300000,Monologue,en,US,Nick Lucid explains physics concepts with humor,,active
CH4916,N050,Arvin Ash,https://www.youtube.com/@ArvinAsh,1000000,300,200000,Monologue/Animation,en,US,Physics and cosmology concepts explained simply,,active
