channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5001,N051,OverSimplified,https://www.youtube.com/@OverSimplified,9000000,50,30000000,Animation/Narration,en,US,Humorous animated history explainers,,active
CH5002,N051,Kings and Generals,https://www.youtube.com/@KingsandGenerals,4000000,700,500000,Animation/Narration,en,US,Animated military history documentaries,,active
CH5003,N051,History Matters,https://www.youtube.com/@HistoryMatters,2500000,400,500000,Animation/Narration,en,GB,Short animated history explainers,,active
CH5004,N051,Fall of Civilizations,https://www.youtube.com/@FallofCivilizations,2500000,30,3000000,Monologue,en,GB,Long-form documentaries on civilizational collapse,,active
CH5005,N051,Epic History TV,https://www.youtube.com/@EpicHistoryTV,2000000,100,2000000,Animation/Narration,en,GB,High quality animated history documentaries,,active
CH5006,N051,Historia Civilis,https://www.youtube.com/@HistoriaCivilis,2000000,100,1500000,Animation/Narration,en,US,Ancient Roman history deep dives,,active
CH5007,N051,Extra History,https://www.youtube.com/@ExtraHistory,2500000,500,500000,Animation/Narration,en,US,Animated history series on diverse topics,,active
CH5008,N051,Invicta,https://www.youtube.com/@InvictaHistory,900000,300,200000,Animation/Narration,en,US,Ancient world history and culture,,active
CH5009,N051,Simple History,https://www.youtube.com/@SimpleHistory,7000000,1000,500000,Animation/Narration,en,GB,Animated history lessons on diverse topics,,active
CH5010,N051,The Armchair Historian,https://www.youtube.com/@TheArmchairHistorian,1500000,200,500000,Animation/Narration,en,CA,Animated military history and analysis,,active
CH5011,N051,BazBattles,https://www.youtube.com/@BazBattles,800000,30,2000000,Animation/Narration,en,IE,Animated battlefield tactics and analysis,,active
CH5012,N051,The Operations Room,https://www.youtube.com/@TheOperationsRoom,1500000,200,500000,Animation/Narration,en,GB,Animated military operation recreations,,active
CH5013,N051,Mark Felton Productions,https://www.youtube.com/@MarkFelton,2000000,800,200000,Monologue,en,GB,Well-researched WWII documentaries,,active
CH5014,N051,Crash Course,https://www.youtube.com/@crashcourse,16000000,1500,500000,Monologue/Animation,en,US,Comprehensive history and education courses,,active
CH5015,N051,Timeline - World History Documentaries,https://www.youtube.com/@TimelineChannel,8000000,1000,500000,Documentary,en,GB,Full-length history documentaries,,active
CH5016,N051,Knowledgia,https://www.youtube.com/@Knowledgia,2000000,300,500000,Animation/Narration,en,US,Animated history and geography lessons,,active
CH5017,N051,World War Two,https://www.youtube.com/@WorldWarTwo,1500000,500,200000,Monologue,en,US,Indy Neidell covers WWII week by week,,active
CH5018,N051,History with Cy,https://www.youtube.com/@HistorywithCy,600000,100,500000,Monologue/Animation,en,US,Animated history deep dives,,active
CH5019,N051,Curious Droid,https://www.youtube.com/@CuriousDroid,1000000,400,200000,Monologue,en,GB,History through technology and innovation,,active
CH5020,N051,Fire of Learning,https://www.youtube.com/@FireofLearning,600000,300,100000,Monologue/Animation,en,US,History geography and culture education,,active
CH5021,N051,Shadiversity,https://www.youtube.com/@Shadiversity,1500000,600,200000,Monologue,en,AU,Medieval history castles and weapons,,active
CH5022,N051,Scholagladiatoria,https://www.youtube.com/@scholagladiatoria,800000,1000,50000,Monologue,en,GB,Historical weaponry and combat analysis,,active
CH5023,N051,History Time,https://www.youtube.com/@HistoryTime,500000,50,500000,Monologue,en,GB,Long-form history documentaries,,active
CH5024,N051,Jack Rackam,https://www.youtube.com/@JackRackam,400000,150,200000,Monologue/Animation,en,US,Military and ancient history,,active
CH5025,N051,History Hit,https://www.youtube.com/@HistoryHit,500000,1000,50000,Monologue/Interview,en,GB,Dan Snow history interviews and lectures,,active
CH5026,N051,ColdFusion,https://www.youtube.com/@ColdFusion,5000000,400,1000000,Monologue,en,AU,Technology and business history stories,,active
CH5027,N051,Real Crusades History,https://www.youtube.com/@RealCrusadesHistory,200000,300,50000,Monologue,en,US,Medieval crusades and history,,active
CH5028,N051,History Buffs,https://www.youtube.com/@HistoryBuffs,1200000,50,1000000,Monologue,en,GB,Historical accuracy in movies,,active
CH5029,N051,Sam ONella Academy,https://www.youtube.com/@SamONellaAcademy,4000000,50,5000000,Animation/Narration,en,US,Humorous animated history lessons,,active
CH5030,N051,Knowing Better,https://www.youtube.com/@KnowingBetter,1000000,100,500000,Monologue,en,US,In-depth analysis of history and society,,active
CH5031,N051,UsefulCharts,https://www.youtube.com/@UsefulCharts,500000,200,200000,Monologue,en,CA,Family trees and historical charts,,active
CH5032,N051,History of the Earth,https://www.youtube.com/@HistoryoftheEarth,1500000,50,2000000,Animation/Narration,en,US,Earth geological and evolutionary history,,active
CH5033,N051,Dan Carlin,https://www.youtube.com/@dancarlin,500000,50,1000000,Monologue,en,US,Hardcore History podcaster,,active
CH5034,N051,Biographics,https://www.youtube.com/@Biographics,4000000,500,300000,Monologue,en,GB,Simon Whistler biographies of historical figures,,active
CH5035,N051,Geographics,https://www.youtube.com/@Geographics,1500000,300,200000,Monologue,en,GB,Geography and history of places,,active
CH5036,N051,The History Guy,https://www.youtube.com/@thehistoryguy,800000,500,100000,Monologue,en,US,Short history stories that deserve to be remembered,,active
CH5037,N051,Voices of the Past,https://www.youtube.com/@VoicesofthePast,500000,200,200000,Monologue,en,GB,Historical primary sources read aloud,,active
CH5038,N051,Jay Foreman - MAP MEN,https://www.youtube.com/@jayforeman,1500000,100,2000000,Monologue,en,GB,History and geography with comedy,,active
CH5039,N051,RealLifeLore,https://www.youtube.com/@RealLifeLore,7000000,300,2000000,Animation/Narration,en,US,Geography and history explained visually,,active
CH5040,N051,Lindybeige,https://www.youtube.com/@lindybeige,1000000,800,100000,Monologue,en,GB,History technology and warfare commentary,,active
CH5041,N051,TimeGhost History,https://www.youtube.com/@TimeGhost,300000,200,50000,Monologue,en,US,Detailed history documentaries,,active
CH5042,N051,Tasting History with Max Miller,https://www.youtube.com/@TastingHistory,2000000,200,500000,Monologue,en,US,Cooking historical recipes with history lessons,,active
CH5043,N051,English Heritage,https://www.youtube.com/@EnglishHeritage,1500000,500,200000,Monologue,en,GB,British heritage sites and history,,active
CH5044,N051,The Infographics Show,https://www.youtube.com/@TheInfographicsShow,14000000,2000,500000,Animation/Narration,en,US,Animated infographics on history and more,,active
CH5045,N051,Absolute History,https://www.youtube.com/@AbsoluteHistory,2000000,500,200000,Documentary,en,GB,History documentaries and series,,active
CH5046,N051,The Great War,https://www.youtube.com/@TheGreatWar,1500000,500,200000,Monologue,en,US,Week by week coverage of World War I,,active
CH5047,N051,TIKhistory,https://www.youtube.com/@TIKhistory,600000,300,100000,Monologue,en,GB,WWII history analysis and debates,,active
CH5048,N051,Drachinifel,https://www.youtube.com/@Drachinifel,400000,400,100000,Monologue,en,GB,Naval history and warship analysis,,active
CH5049,N051,The Cold War,https://www.youtube.com/@TheColdWar,300000,300,50000,Monologue,en,US,Cold War era history deep dives,,active
CH5050,N051,History Legends,https://www.youtube.com/@HistoryLegends,400000,200,100000,Monologue,en,US,Military history and analysis,,active
CH5051,N051,Stefan Milo,https://www.youtube.com/@StefanMilo,500000,200,150000,Monologue,en,GB,Prehistoric and ancient human history,,active
CH5052,N051,Overly Sarcastic Productions,https://www.youtube.com/@OverlySarcasticProductions,2500000,400,500000,Animation/Narration,en,US,History mythology and literature analysis,,active
CH5053,N051,Rare Earth,https://www.youtube.com/@RareEarth,700000,150,200000,Monologue,en,CA,Travel and untold history stories,,active
CH5054,N051,The People Profiles,https://www.youtube.com/@ThePeopleProfiles,500000,200,200000,Monologue,en,GB,In-depth profiles of historical figures,,active
CH5055,N051,Half as Interesting,https://www.youtube.com/@HalfasInteresting,2500000,300,500000,Monologue/Animation,en,US,Quick quirky history and geography facts,,active
CH5056,N051,Feature History,https://www.youtube.com/@FeatureHistory,500000,50,500000,Animation/Narration,en,AU,Animated modern history features,,active
CH5057,N051,Atlas Pro,https://www.youtube.com/@AtlasPro,1500000,100,1000000,Monologue/Animation,en,US,Geography and natural history,,active
CH5058,N051,Mr. Beat,https://www.youtube.com/@iammrbeat,500000,500,50000,Monologue,en,US,American history and presidential comparisons,,active
CH5059,N051,Ancient Origins,https://www.youtube.com/@AncientOriginsNet,200000,200,50000,Monologue,en,US,Ancient civilizations and archaeological discoveries,,active
CH5060,N051,British Pathe,https://www.youtube.com/@britishpathe,5000000,5000,100000,Archive,en,GB,Historical newsreels and archive footage,,active
CH5061,N051,Dan Davis History,https://www.youtube.com/@DanDavisHistory,200000,200,50000,Monologue,en,GB,Ancient and medieval history deep dives,,active
CH5062,N051,Warographics,https://www.youtube.com/@Warographics,1000000,200,200000,Monologue,en,GB,Simon Whistler covers military history,,active
CH5063,N051,AlternateHistoryHub,https://www.youtube.com/@AlternateHistoryHub,2000000,200,500000,Monologue/Animation,en,US,What-if alternate history scenarios,,active
CH5064,N051,World History Encyclopedia,https://www.youtube.com/@WorldHistoryEncyclopedia,200000,200,50000,Monologue,en,GB,Ancient and medieval history education,,active
CH5065,N051,History Tea Time with Lindsay Holiday,https://www.youtube.com/@HistoryTeaTime,400000,100,200000,Monologue,en,US,Social history and everyday life in the past,,active
CH5066,N051,The Cynical Historian,https://www.youtube.com/@CynicalHistorian,200000,200,50000,Monologue,en,US,History movie analysis and education,,active
CH5067,N051,The Metatron,https://www.youtube.com/@Metatron,800000,500,100000,Monologue,en,IT,Ancient and medieval history plus languages,,active
CH5068,N051,How to Make Everything,https://www.youtube.com/@HowToMakeEverything,3000000,200,500000,Monologue,en,US,Making things from scratch exploring history of technology,,active
CH5069,N051,Found And Explained,https://www.youtube.com/@FoundAndExplained,1000000,300,200000,Animation/Narration,en,AU,Aviation and technology history animations,,active
CH5070,N051,PotentialHistory,https://www.youtube.com/@PotentialHistory,500000,100,200000,Monologue/Animation,en,US,Military history with gaming elements,,active
CH5071,N051,Atun-Shei Films,https://www.youtube.com/@AtunSheiFilms,500000,100,300000,Monologue,en,US,American Civil War and history film analysis,,active
CH5072,N051,History of the Universe,https://www.youtube.com/@HistoryoftheUniverse,800000,30,3000000,Animation/Narration,en,GB,Cosmic history and astronomy documentaries,,active
CH5073,N051,Kraut,https://www.youtube.com/@Kraut,600000,30,2000000,Monologue,en,DE,In-depth geopolitical history essays,,active
CH5074,N051,Weird History,https://www.youtube.com/@WeirdHistory,4000000,1000,300000,Monologue,en,US,Strange and unusual historical stories,,active
CH5075,N051,Magellan TV,https://www.youtube.com/@MagellanTV,1000000,500,100000,Documentary,en,US,Streaming history documentaries,,active
CH5076,N051,Step Back History,https://www.youtube.com/@StepBackHistory,400000,300,50000,Monologue,en,CA,Historical analysis and social history,,active
CH5077,N051,History Scope,https://www.youtube.com/@HistoryScope,300000,100,200000,Monologue/Animation,en,US,Quick history deep dives,,active
CH5078,N051,History Dose,https://www.youtube.com/@HistoryDose,300000,100,200000,Monologue/Animation,en,US,Animated history stories,,active
CH5079,N051,SandRhoman History,https://www.youtube.com/@SandRhomanHistory,200000,100,100000,Animation/Narration,en,US,Animated ancient history,,active
CH5080,N051,Flash Point History,https://www.youtube.com/@FlashPointHistory,200000,100,100000,Monologue/Animation,en,US,Animated military history stories,,active
CH5081,N051,History Explained,https://www.youtube.com/@HistoryExplained,300000,100,200000,Animation/Narration,en,US,Animated explanations of historical events,,active
CH5082,N051,William Spaniel,https://www.youtube.com/@WilliamSpaniel,200000,200,50000,Monologue,en,US,Political history and game theory,,active
CH5083,N051,HistoryPod,https://www.youtube.com/@HistoryPod,100000,1000,10000,Monologue,en,GB,Daily history podcast on YouTube,,active
CH5084,N051,History Daily,https://www.youtube.com/@HistoryDaily,200000,200,50000,Monologue,en,US,Daily history stories and facts,,active
CH5085,N051,Voices of History,https://www.youtube.com/@VoicesOfHistory,200000,100,100000,Monologue,en,US,Historical speeches and analysis,,active
CH5086,N051,Forgotten History,https://www.youtube.com/@ForgottenHistory,200000,100,100000,Monologue,en,US,Overlooked historical events and figures,,active
CH5087,N051,History Uncovered,https://www.youtube.com/@HistoryUncovered,300000,200,50000,Monologue,en,US,Hidden stories from history,,active
CH5088,N051,History Traveler,https://www.youtube.com/@HistoryTraveler,200000,200,50000,Monologue,en,US,Travel to historical sites with analysis,,active
CH5089,N051,History House Productions,https://www.youtube.com/@HistoryHouse,100000,100,50000,Monologue,en,US,In-depth history documentaries,,active
CH5090,N051,MysteriesRunsolved,https://www.youtube.com/@MysteriesRunsolved,200000,100,100000,Monologue,en,US,Historical mysteries and unsolved stories,,active
CH5091,N051,History Hustle,https://www.youtube.com/@HistoryHustle,100000,100,50000,Monologue,en,US,History stories and analysis,,active
CH5092,N051,Ben Hedges,https://www.youtube.com/@BenHedgesHistory,200000,100,100000,Monologue,en,US,Historical deep dives and analysis,,active
CH5093,N051,History Scope Channel,https://www.youtube.com/@HistoryScopeChannel,100000,100,50000,Monologue,en,US,History analysis and commentary,,active
CH5094,N051,The Historic History,https://www.youtube.com/@TheHistoricHistory,100000,100,50000,Monologue,en,US,Historical events explained,,active
CH5095,N051,Magellan TV Documentaries,https://www.youtube.com/@MagellanDocs,500000,300,100000,Documentary,en,US,Full-length history and science documentaries,,active
CH5096,N051,History Calling,https://www.youtube.com/@HistoryCalling,100000,100,30000,Monologue,en,US,History discussions and commentary,,active
CH5097,N051,Kings and Things,https://www.youtube.com/@KingsAndThings,100000,100,50000,Monologue,en,GB,Royal and monarchy history,,active
CH5098,N051,Templin Institute,https://www.youtube.com/@TemplinInstitute,500000,200,100000,Monologue,en,US,Fictional and real world history and lore,,active
CH5099,N051,Historia Rex,https://www.youtube.com/@HistoriaRex,100000,50,50000,Monologue,en,US,Roman and ancient history deep dives,,active
CH5100,N051,HistoryMarche,https://www.youtube.com/@HistoryMarche,500000,100,300000,Animation/Narration,en,US,Ancient and medieval battle animations,,active
