channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5101,N052,3Blue1Brown,https://www.youtube.com/@3blue1brown,6500000,150,4000000,Animation/Narration,en,US,Grant Sanderson visualizes math beautifully,,active
CH5102,N052,Numberphile,https://www.youtube.com/@numberphile,4500000,700,500000,Monologue,en,GB,Brady Haran interviews mathematicians,,active
CH5103,N052,Khan Academy,https://www.youtube.com/@khanacademy,8000000,8000,100000,Monologue,en,US,Sal Khan comprehensive math lessons,,active
CH5104,N052,blackpenredpen,https://www.youtube.com/@blackpenredpen,1500000,1000,200000,Monologue,en,US,High energy math problem solving,,active
CH5105,N052,Professor Leonard,https://www.youtube.com/@ProfessorLeonard,2500000,200,500000,Monologue,en,US,University-level math lectures,,active
CH5106,N052,Eddie Woo,https://www.youtube.com/@misterwootube,2000000,3000,50000,Monologue,en,AU,Engaging math teacher from Sydney,,active
CH5107,N052,The Organic Chemistry Tutor,https://www.youtube.com/@TheOrganicChemistryTutor,8000000,2000,200000,Monologue,en,US,Math and science tutorials,,active
CH5108,N052,MindYourDecisions,https://www.youtube.com/@MindYourDecisions,3000000,500,500000,Monologue,en,US,Presh Talwalkar math puzzles and problem solving,,active
CH5109,N052,Stand-up Maths,https://www.youtube.com/@standupmaths,1200000,300,500000,Monologue,en,GB,Matt Parker comedy meets mathematics,,active
CH5110,N052,Michael Penn,https://www.youtube.com/@MichaelPennMath,500000,1000,50000,Monologue,en,US,Advanced math problem solving on chalkboard,,active
CH5111,N052,The Math Sorcerer,https://www.youtube.com/@TheMathSorcerer,800000,2000,30000,Monologue,en,US,Math book reviews and study motivation,,active
CH5112,N052,Mathologer,https://www.youtube.com/@Mathologer,1000000,150,500000,Monologue/Animation,en,AU,Burkard Polster visual math explanations,,active
CH5113,N052,Math Antics,https://www.youtube.com/@mathantics,3500000,200,500000,Animation/Narration,en,US,Animated math lessons for students,,active
CH5114,N052,Brian McLogan,https://www.youtube.com/@BrianMcLogan,1000000,5000,10000,Monologue,en,US,Comprehensive math tutorials,,active
CH5115,N052,patrickJMT,https://www.youtube.com/@patrickJMT,1500000,1000,50000,Monologue,en,US,Calculus and math problem walkthroughs,,active
CH5116,N052,Mathispower4u,https://www.youtube.com/@Mathispower4u,300000,5000,5000,Monologue,en,US,Massive library of math video lessons,,active
CH5117,N052,Math and Science,https://www.youtube.com/@MathAndScience,400000,1000,20000,Monologue,en,US,Jason Gibson math and science lessons,,active
CH5118,N052,Math with Mr. J,https://www.youtube.com/@MathwithMrJ,1000000,500,50000,Monologue,en,US,Elementary and middle school math,,active
CH5119,N052,Flammable Maths,https://www.youtube.com/@PapaFlammy,300000,500,50000,Monologue,en,DE,Advanced math with humor,,active
CH5120,N052,Zach Star,https://www.youtube.com/@zachstar,1000000,200,300000,Monologue,en,US,Applied math and engineering topics,,active
CH5121,N052,Tibees,https://www.youtube.com/@Tibees,1500000,300,300000,Monologue,en,AU,Math history and exam walkthroughs,,active
CH5122,N052,Dr Peyam,https://www.youtube.com/@DrPeyam,200000,800,20000,Monologue,en,US,University math professor content,,active
CH5123,N052,Trefor Bazett,https://www.youtube.com/@DrTrefor,300000,500,30000,Monologue,en,CA,University math professor tutorials,,active
CH5124,N052,Mathemaniac,https://www.youtube.com/@mathemaniac,300000,80,200000,Animation/Narration,en,HK,Visual math animations and explanations,,active
CH5125,N052,Think Twice,https://www.youtube.com/@ThinkTwiceMath,200000,50,300000,Animation/Narration,en,US,Visual math puzzles and concepts,,active
CH5126,N052,Welch Labs,https://www.youtube.com/@WelchLabsVideo,400000,50,500000,Animation/Narration,en,US,Math and machine learning visualized,,active
CH5127,N052,Combo Class,https://www.youtube.com/@ComboClass,200000,200,50000,Monologue,en,US,Quirky math education outdoors,,active
