channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5201,N053,English with Lucy,https://www.youtube.com/@EnglishwithLucy,12000000,500,500000,Monologue,en,GB,British English lessons and vocabulary,,active
CH5202,N053,Speak English With Vanessa,https://www.youtube.com/@SpeakEnglishWithVanessa,5000000,500,200000,Monologue,en,US,Natural English speaking practice,,active
CH5203,N053,BBC Learning English,https://www.youtube.com/@bbclearningenglish,5000000,2000,50000,Monologue,en,GB,BBC official English learning channel,,active
CH5204,N053,linguamarina,https://www.youtube.com/@linguamarina,8000000,500,300000,Monologue,en,US,Marina Mogilko English and life in America,,active
CH5205,N053,Langfocus,https://www.youtube.com/@Langfocus,2500000,300,200000,Monologue,en,CA,Paul Jorgensen explores world languages,,active
CH5206,N053,Learn French with Alexa,https://www.youtube.com/@LearnFrenchwithAlexa,1000000,700,30000,Monologue,fr,GB,Alexa Polidoro French lessons,,active
CH5207,N053,Butterfly Spanish,https://www.youtube.com/@ButterflySpanish,2000000,500,100000,Monologue,es,MX,Ana Spanish lessons for beginners,,active
CH5208,N053,Duolingo,https://www.youtube.com/@Duolingo,3000000,200,500000,Monologue,en,US,Language learning app official channel,,active
CH5209,N053,Steve Kaufmann - lingosteve,https://www.youtube.com/@Thelinguist,500000,2000,20000,Monologue,en,CA,Polyglot shares language learning methods,,active
CH5210,N053,Go Natural English,https://www.youtube.com/@GoNaturalEnglish,3000000,500,100000,Monologue,en,US,Gabby Wallace natural English fluency,,active
CH5211,N053,English with Jennifer,https://www.youtube.com/@JenniferESL,1000000,500,50000,Monologue,en,US,Comprehensive ESL lessons,,active
CH5212,N053,Learn English with Bob the Canadian,https://www.youtube.com/@BobtheCanadian,2000000,500,100000,Monologue,en,CA,Practical English immersion lessons,,active
CH5213,N053,Luca Lampariello,https://www.youtube.com/@lucalampariello,400000,500,20000,Monologue,en,IT,Polyglot language learning strategies,,active
CH5214,N053,Language Simp,https://www.youtube.com/@LanguageSimp,400000,200,100000,Monologue,en,US,Language comparison and learning tips,,active
CH5215,N053,Polyglot Pablo,https://www.youtube.com/@PolyglotPablo,200000,200,50000,Monologue,en,US,Polyglot language learning journeys,,active
CH5216,N053,Adam engVid,https://www.youtube.com/@EnglishLessonsWithAdam,5000000,300,500000,Monologue,en,CA,engVid English grammar and vocabulary,,active
CH5217,N053,Learn Japanese with JapanesePod101,https://www.youtube.com/@JapanesePod101,2000000,3000,20000,Monologue,ja,US,Comprehensive Japanese lessons,,active
CH5218,N053,Learn Korean with KoreanClass101,https://www.youtube.com/@KoreanClass101,1000000,2000,20000,Monologue,ko,US,Korean language lessons,,active
CH5219,N053,Easy French,https://www.youtube.com/@EasyFrench,1500000,500,100000,Monologue,fr,FR,Street interviews teaching French,,active
CH5220,N053,Easy Spanish,https://www.youtube.com/@EasySpanish,1500000,400,100000,Monologue,es,MX,Street interviews teaching Spanish,,active
CH5221,N053,Olly Richards,https://www.youtube.com/@OllyRichards,300000,300,20000,Monologue,en,GB,StoryLearning language method creator,,active
CH5222,N053,Learn English with EnglishClass101,https://www.youtube.com/@EnglishClass101,5000000,3000,20000,Monologue,en,US,Structured English lessons,,active
CH5223,N053,Learn French with FrenchPod101,https://www.youtube.com/@FrenchPod101,1500000,2000,20000,Monologue,fr,US,French language lessons,,active
CH5224,N053,LEARN FRENCH WITH VINCENT,https://www.youtube.com/@LearnFrenchWithVincent,700000,5000,5000,Monologue,fr,FR,Comprehensive French lessons,,active
CH5225,N053,Dreaming Spanish,https://www.youtube.com/@DreamingSpanish,1000000,1000,50000,Monologue,es,ES,Comprehensible input Spanish learning,,active
CH5226,N053,Learn German with Anja,https://www.youtube.com/@LearnGermanwithAnja,1000000,300,50000,Monologue,de,DE,Fun German lessons,,active
CH5227,N053,Real Russian Club,https://www.youtube.com/@RealRussianClub,500000,300,20000,Monologue,ru,RU,Russian language and culture,,active
CH5228,N053,Learn Italian with Lucrezia,https://www.youtube.com/@LearnItalianwithLucrezia,500000,500,20000,Monologue,it,IT,Italian lessons and culture,,active
CH5229,N053,English Addict with Mr Duncan,https://www.youtube.com/@MisterDuncan,1000000,500,20000,Monologue,en,GB,Live English lessons daily,,active
CH5230,N053,Anglo-Link,https://www.youtube.com/@AngloLink,1200000,200,200000,Monologue,en,GB,Clear English grammar lessons,,active
CH5231,N053,Learn Spanish with SpanishPod101,https://www.youtube.com/@SpanishPod101,2000000,3000,20000,Monologue,es,US,Structured Spanish lessons,,active
CH5232,N053,Babbel,https://www.youtube.com/@Babbel,500000,200,50000,Monologue,en,DE,Language learning app channel,,active
CH5233,N053,Rosetta Stone,https://www.youtube.com/@RosettaStone,200000,200,20000,Monologue,en,US,Language software official channel,,active
