channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5301,N054,Philosophy Tube,https://www.youtube.com/@PhilosophyTube,1700000,200,500000,Monologue,en,GB,Olly Thorn theatrical philosophy education,,active
CH5302,N054,The School of Life,https://www.youtube.com/@theschooloflife,9000000,500,500000,Animation/Narration,en,GB,Alain de Botton emotional intelligence and philosophy,,active
CH5303,N054,CrashCourse Philosophy,https://www.youtube.com/@crashcourse,16000000,1500,500000,Monologue/Animation,en,US,Hank Green comprehensive philosophy course,,active
CH5304,N054,Einzelganger,https://www.youtube.com/@Einzelganger,2000000,200,500000,Monologue,en,NL,Stoicism existentialism and ancient wisdom,,active
CH5305,N054,Academy of Ideas,https://www.youtube.com/@AcademyofIdeas,1500000,200,300000,Monologue/Animation,en,US,Exploring ideas of great thinkers,,active
CH5306,N054,Wisecrack,https://www.youtube.com/@wisecrack,3000000,800,300000,Monologue,en,US,Pop culture through philosophical lens,,active
CH5307,N054,Gregory B. Sadler,https://www.youtube.com/@GregoryBSadler,200000,2000,10000,Monologue,en,US,University-level philosophy lectures,,active
CH5308,N054,Wireless Philosophy,https://www.youtube.com/@WirelessPhilosophy,300000,200,50000,Animation/Narration,en,US,MIT and Yale collaborative philosophy videos,,active
CH5309,N054,Jordan B Peterson,https://www.youtube.com/@JordanBPeterson,7000000,500,500000,Monologue,en,CA,Psychology and philosophical lectures,,active
CH5310,N054,Inspiring Philosophy,https://www.youtube.com/@InspiringPhilosophy,500000,300,50000,Monologue/Animation,en,US,Philosophy of religion and metaphysics,,active
CH5311,N054,Philosophy Insights,https://www.youtube.com/@PhilosophyInsights,300000,200,50000,Monologue,en,US,Key philosophical ideas explained,,active
CH5312,N054,Carneades.org,https://www.youtube.com/@Carneades,100000,500,10000,Monologue,en,US,Systematic exploration of philosophical arguments,,active
CH5313,N054,Philosophy Vibe,https://www.youtube.com/@PhilosophyVibe,200000,200,50000,Monologue,en,US,Accessible philosophy content,,active
CH5314,N054,The Royal Institute of Philosophy,https://www.youtube.com/@RoyalInstPhilosophy,50000,200,10000,Monologue,en,GB,Academic philosophy lectures,,active
CH5315,N054,Philosophy Talk,https://www.youtube.com/@PhilosophyTalk,50000,300,5000,Monologue,en,US,Radio show discussions on philosophy,,active
CH5316,N054,Kane B,https://www.youtube.com/@KaneB,50000,500,5000,Monologue,en,GB,In-depth philosophy topic explorations,,active
CH5317,N054,Kevin deLaplante,https://www.youtube.com/@kevindeLaplante,100000,300,10000,Monologue,en,CA,Critical thinking and philosophy,,active
CH5318,N054,Cuck Philosophy,https://www.youtube.com/@CuckPhilosophy,400000,100,200000,Monologue,en,US,Critical theory and continental philosophy,,active
CH5319,N054,Then and Now,https://www.youtube.com/@ThenNow,500000,100,200000,Monologue,en,US,Philosophy and cultural analysis essays,,active
CH5320,N054,Philosophize This,https://www.youtube.com/@PhilosophizeThis,300000,200,50000,Monologue,en,US,Stephen West philosophy podcast,,active
CH5321,N054,Sisyphus 55,https://www.youtube.com/@Sisyphus55,500000,100,200000,Monologue,en,US,Existentialism and modern philosophy,,active
CH5322,N054,Aperture,https://www.youtube.com/@AperturePhilosophy,1000000,100,500000,Monologue,en,US,Philosophy and science video essays,,active
CH5323,N054,Like Stories of Old,https://www.youtube.com/@LikeStoriesofOld,1000000,50,1000000,Monologue,en,NL,Philosophy through film and storytelling,,active
CH5324,N054,After Skool,https://www.youtube.com/@AfterSkool,3000000,300,500000,Animation/Narration,en,US,Animated philosophy and ideas lectures,,active
CH5325,N054,Pursuit of Wonder,https://www.youtube.com/@PursuitofWonder,2000000,200,500000,Monologue,en,US,Philosophical thought experiments and stories,,active
CH5326,N054,Exurb1a,https://www.youtube.com/@Exurb1a,3000000,100,2000000,Monologue,en,GB,Existential philosophy with dark humor,,active
