channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5401,N055,Economics Explained,https://www.youtube.com/@EconomicsExplained,2000000,300,500000,Animation/Narration,en,AU,Bite-sized animated economic topics,,active
CH5402,N055,Jacob Clifford,https://www.youtube.com/@JacobClifford,600000,300,50000,Monologue,en,US,AP Economics teacher and educator,,active
CH5403,N055,The Economist,https://www.youtube.com/@TheEconomist,3000000,2000,100000,Monologue,en,GB,The Economist magazine video content,,active
CH5404,N055,How Money Works,https://www.youtube.com/@HowMoneyWorks,1500000,200,500000,Animation/Narration,en,US,Economic and financial education,,active
CH5405,N055,Unlearning Economics,https://www.youtube.com/@UnlearningEconomics,300000,50,200000,Monologue,en,GB,Academic economics video essays,,active
CH5406,N055,Marginal Revolution University,https://www.youtube.com/@MRUniversity,400000,500,20000,Monologue,en,US,Tyler Cowen and Alex Tabarrok economics,,active
CH5407,N055,VisualEconomik EN,https://www.youtube.com/@VisualEconomik,1000000,300,200000,Monologue,en,ES,Economics and geopolitics explained,,active
CH5408,N055,Richard D Wolff,https://www.youtube.com/@RichardDWolff,500000,500,50000,Monologue,en,US,Marxian economics and economic democracy,,active
CH5409,N055,EconplusDal,https://www.youtube.com/@EconplusDal,300000,500,20000,Monologue,en,GB,A-level and IB economics tutor,,active
CH5410,N055,New Economic Thinking,https://www.youtube.com/@NewEconomicThinking,200000,500,10000,Monologue/Interview,en,US,Institute for New Economic Thinking content,,active
CH5411,N055,Garys Economics,https://www.youtube.com/@GarysEconomics,500000,200,100000,Monologue,en,GB,Ex-trader Gary Stevenson explains inequality,,active
CH5412,N055,The Economic Ninja,https://www.youtube.com/@TheEconomicNinja,500000,1000,50000,Monologue,en,US,Housing market and economic commentary,,active
CH5413,N055,Mises Media,https://www.youtube.com/@MisesMedia,300000,2000,10000,Monologue,en,US,Austrian school economics education,,active
CH5414,N055,London School of Economics,https://www.youtube.com/@LSE,300000,2000,10000,Monologue,en,GB,LSE lectures and events,,active
CH5415,N055,Brookings Institution,https://www.youtube.com/@BrookingsInstitution,200000,2000,5000,Monologue,en,US,Policy and economic research,,active
CH5416,N055,5 Minute Economics,https://www.youtube.com/@5MinuteEconomics,50000,100,10000,Monologue,en,US,Quick economics concept explainers,,active
CH5417,N055,economicshelp,https://www.youtube.com/@economicshelp,200000,500,10000,Monologue,en,GB,Economics revision and education,,active
CH5418,N055,ProfSteveKeen,https://www.youtube.com/@ProfSteveKeen,100000,300,10000,Monologue,en,GB,Steve Keen heterodox economics,,active
CH5419,N055,One Minute Economics,https://www.youtube.com/@OneMinuteEconomics,300000,300,30000,Animation/Narration,en,US,Short animated economics lessons,,active
CH5420,N055,Think Econ,https://www.youtube.com/@ThinkEcon,50000,100,10000,Monologue,en,US,Critical thinking about economics,,active
CH5421,N055,EconClips,https://www.youtube.com/@EconClips,50000,100,10000,Monologue,en,US,Economics clips and explanations,,active
CH5422,N055,Uneducated Economist,https://www.youtube.com/@UneducatedEconomist,200000,500,20000,Monologue,en,US,Common sense economic commentary,,active
CH5423,N055,Arcadia Economics,https://www.youtube.com/@ArcadiaEconomics,200000,1000,10000,Monologue,en,US,Precious metals and economic news,,active
CH5424,N055,Peterson Institute,https://www.youtube.com/@PetersonInstitute,100000,500,5000,Monologue,en,US,International economics policy,,active
CH5425,N055,Brad Cartwright,https://www.youtube.com/@BradCartwright,50000,200,5000,Monologue,en,US,Economics education content,,active
CH5426,N055,DrAzevedoEcon,https://www.youtube.com/@DrAzevedoEcon,30000,100,5000,Monologue,en,US,University economics lectures,,active
CH5427,N055,ReviewEcon,https://www.youtube.com/@ReviewEcon,50000,200,5000,Monologue,en,US,Economics review and revision,,active
CH5428,N055,Mohamed Elashiry IB Econ Guru,https://www.youtube.com/@IBEconGuru,50000,200,5000,Monologue,en,US,IB Economics education,,active
CH5429,N055,Doughnut Economics Action Lab,https://www.youtube.com/@DoughnutEcon,50000,100,10000,Monologue,en,GB,Kate Raworth doughnut economics,,active
CH5430,N055,NEDL,https://www.youtube.com/@NEDL,50000,200,5000,Monologue,en,US,Economics data and analysis,,active
CH5431,N055,UMassEconomics,https://www.youtube.com/@UMassEcon,50000,300,5000,Monologue,en,US,University economics lectures,,active
CH5432,N055,INOMICS,https://www.youtube.com/@INOMICS,30000,100,5000,Monologue,en,DE,Economics career and education,,active
CH5433,N055,Economics Design,https://www.youtube.com/@EconomicsDesign,30000,100,5000,Monologue,en,SG,Token economics and mechanism design,,active
CH5434,N055,Rethinking Economics,https://www.youtube.com/@RethinkingEconomics,50000,200,5000,Monologue,en,GB,Pluralist economics education,,active
CH5435,N055,Economics on your tips,https://www.youtube.com/@EconomicsOnYourTips,200000,300,10000,Monologue,en,IN,Indian economics education,,active
CH5436,N055,Economics in Many Lessons,https://www.youtube.com/@EconomicsInManyLessons,30000,100,5000,Monologue,en,US,Comprehensive economics course,,active
CH5437,N055,Economics Nation,https://www.youtube.com/@EconomicsNation,30000,100,5000,Monologue,en,US,Economic concepts explained,,active
CH5438,N055,EconJohn,https://www.youtube.com/@EconJohn,30000,100,5000,Monologue,en,US,Economics tutorials and explainers,,active
CH5439,N055,Economics Online,https://www.youtube.com/@EconomicsOnline,30000,100,5000,Monologue,en,GB,Online economics resources,,active
CH5440,N055,Epic Economics,https://www.youtube.com/@EpicEconomics,30000,50,5000,Monologue,en,US,Economic stories and analysis,,active
CH5441,N055,Global Economics,https://www.youtube.com/@GlobalEconomics,30000,100,5000,Monologue,en,US,Global economic trends and analysis,,active
CH5442,N055,Decoding Economics,https://www.youtube.com/@DecodingEconomics,30000,50,5000,Monologue,en,US,Decoding complex economic ideas,,active
CH5443,N055,Real World Economics,https://www.youtube.com/@RealWorldEconomics,30000,100,5000,Monologue,en,US,Practical economics education,,active
CH5444,N055,Economics in Action,https://www.youtube.com/@EconomicsInAction,20000,100,5000,Monologue,en,US,Economics applied to real situations,,active
CH5445,N055,The BlackBored Economist,https://www.youtube.com/@BlackBoredEconomist,20000,100,5000,Monologue,en,US,Blackboard-style economics teaching,,active
CH5446,N055,Economic Insights,https://www.youtube.com/@EconomicInsights,30000,100,5000,Monologue,en,US,Economic analysis and commentary,,active
CH5447,N055,Property Sharemarket Economics,https://www.youtube.com/@PSEconomics,30000,200,5000,Monologue,en,AU,Australian economic analysis,,active
CH5448,N055,Age of Economics,https://www.youtube.com/@AgeOfEconomics,20000,50,5000,Monologue,en,US,Economic era analysis,,active
CH5449,N055,Sim Institute,https://www.youtube.com/@SimInstitute,20000,50,5000,Monologue,en,US,Economics simulations and models,,active
CH5450,N055,Discover Economy,https://www.youtube.com/@DiscoverEconomy,20000,100,5000,Monologue,en,US,Discovering economic concepts,,active
CH5451,N055,Institutional Economics,https://www.youtube.com/@InstitutionalEconomics,20000,50,5000,Monologue,en,US,Institutional economics approach,,active
CH5452,N055,Retail Economics,https://www.youtube.com/@RetailEconomics,20000,100,5000,Monologue,en,GB,Retail sector economic analysis,,active
CH5453,N055,Economics with Shashi,https://www.youtube.com/@EconomicsWithShashi,30000,100,5000,Monologue,en,IN,Indian economics education,,active
CH5454,N055,YouNik Economy,https://www.youtube.com/@YouNikEconomy,20000,50,5000,Monologue,en,US,Unique economic perspectives,,active
CH5455,N055,Macroeconomics and Microeconomics,https://www.youtube.com/@MacroMicroEcon,20000,100,5000,Monologue,en,US,Macro and micro economics explained,,active
CH5456,N055,Liam Malloy,https://www.youtube.com/@LiamMalloy,20000,100,5000,Monologue,en,US,University economics lectures,,active
CH5457,N055,Centre for Economic Performance,https://www.youtube.com/@CEP_LSE,20000,100,5000,Monologue,en,GB,LSE economic research,,active
CH5458,N055,Michael Roberts economist,https://www.youtube.com/@MichaelRobertsEcon,20000,100,5000,Monologue,en,GB,Marxist economic analysis,,active
CH5459,N055,Economics Department Oxford University,https://www.youtube.com/@OxfordEconomics,30000,100,5000,Monologue,en,GB,Oxford economics lectures,,active
CH5460,N055,New Economics Foundation,https://www.youtube.com/@NEF,30000,100,5000,Monologue,en,GB,Progressive economics think tank,,active
CH5461,N055,Deep Learning Economics,https://www.youtube.com/@DeepLearningEcon,20000,50,5000,Monologue,en,US,AI and economics intersection,,active
CH5462,N055,EMERGING SCHOOL OF ECONOMICS,https://www.youtube.com/@EmergingSchoolEcon,20000,50,5000,Monologue,en,US,New economics education,,active
CH5463,N055,Econ,https://www.youtube.com/@Econ,30000,100,5000,Monologue,en,US,General economics content,,active
CH5464,N055,Money and Macro,https://www.youtube.com/@MoneyMacro,500000,100,200000,Monologue,en,NL,Monetary policy and macroeconomics,,active
CH5465,N055,Patrick Boyle,https://www.youtube.com/@PBoyle,1000000,200,200000,Monologue,en,GB,Finance professor explains economics,,active
CH5466,N055,The Plain Bagel,https://www.youtube.com/@ThePlainBagel,800000,200,200000,Monologue,en,CA,Economics and finance explained simply,,active
CH5467,N055,Wendover Productions,https://www.youtube.com/@Wendoverproductions,4000000,200,3000000,Monologue/Animation,en,US,Economics of logistics and transport,,active
CH5468,N055,Company Man,https://www.youtube.com/@CompanyMan,1500000,200,500000,Monologue,en,US,Business economics and company analysis,,active
CH5469,N055,Slidebean,https://www.youtube.com/@Slidebean,1000000,300,200000,Monologue,en,US,Startup economics and company analysis,,active
CH5470,N055,TLDR News,https://www.youtube.com/@TLDRNews,1500000,1000,100000,Monologue,en,GB,Economic and political news explained,,active
CH5471,N055,j2jonline,https://www.youtube.com/@j2jonline,100000,500,5000,Monologue,en,US,AP Economics video lectures,,active
CH5472,N055,Crash Course Economics,https://www.youtube.com/@crashcourse,16000000,1500,500000,Monologue/Animation,en,US,Economics course by Adriene Hill,,active
CH5473,N055,Khan Academy Economics,https://www.youtube.com/@khanacademy,8000000,8000,100000,Monologue,en,US,Sal Khan micro and macroeconomics,,active
CH5474,N055,Tutor2u Economics,https://www.youtube.com/@tutor2u,200000,1000,10000,Monologue,en,GB,UK economics education revision,,active
CH5475,N055,Economics Explained Essentials,https://www.youtube.com/@EEEssentials,200000,100,50000,Monologue,en,AU,Essential economics topics,,active
CH5476,N055,PolyMatter,https://www.youtube.com/@PolyMatter,2000000,200,500000,Monologue/Animation,en,US,Economics and geopolitical analysis,,active
CH5477,N055,Coldfusion Economics,https://www.youtube.com/@ColdFusion,5000000,400,1000000,Monologue,en,AU,Business and economic storytelling,,active
CH5478,N055,The Infographics Show Economics,https://www.youtube.com/@TheInfographicsShow,14000000,2000,500000,Animation/Narration,en,US,Animated economics explainers,,active
CH5479,N055,World Economic Forum,https://www.youtube.com/@waborant,500000,2000,10000,Monologue,en,CH,WEF economic discussions and events,,active
CH5480,N055,Austrian Economics Center,https://www.youtube.com/@AustrianEconCenter,20000,100,5000,Monologue,en,AT,Austrian school economics,,active
CH5481,N055,MoneyWeek,https://www.youtube.com/@MoneyWeek,300000,1000,20000,Monologue,en,GB,Economic and investment commentary,,active
CH5482,N055,Real Vision Finance,https://www.youtube.com/@RealVisionFinance,1000000,2000,20000,Monologue/Interview,en,US,Macro economics and finance interviews,,active
CH5483,N055,Bloomberg Economics,https://www.youtube.com/@BloombergTV,1500000,5000,20000,Monologue,en,US,Economic news and analysis,,active
CH5484,N055,Aswath Damodaran,https://www.youtube.com/@AswathDamodaran,500000,500,20000,Monologue,en,US,NYU professor finance and economics,,active
CH5485,N055,Econ Films,https://www.youtube.com/@EconFilms,20000,50,5000,Monologue,en,US,Economics documentary style,,active
