channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5501,N056,Khan Academy,https://www.youtube.com/@khanacademy,8000000,8000,100000,Monologue,en,US,Sal Khan SAT ACT and test prep,,active
CH5502,N056,The Organic Chemistry Tutor,https://www.youtube.com/@TheOrganicChemistryTutor,8000000,2000,200000,Monologue,en,US,SAT ACT and subject test prep,,active
CH5503,N056,SuperTutorTV,https://www.youtube.com/@supertutortv,300000,500,30000,Monologue,en,US,Brooke Hanson SAT and ACT strategies,,active
CH5504,N056,Scalar Learning,https://www.youtube.com/@ScalarLearning,300000,500,20000,Monologue,en,US,SAT and ACT math prep,,active
CH5505,N056,Magoosh,https://www.youtube.com/@MagooshGRE,200000,1000,10000,Monologue,en,US,GRE GMAT SAT test prep,,active
CH5506,N056,PrepScholar,https://www.youtube.com/@PrepScholar,100000,300,20000,Monologue,en,US,Data-driven SAT preparation strategies,,active
CH5507,N056,Kaplan Test Prep,https://www.youtube.com/@KaplanTestPrep,200000,500,10000,Monologue,en,US,Comprehensive test preparation,,active
CH5508,N056,Princeton Review,https://www.youtube.com/@PrincetonReview,100000,200,10000,Monologue,en,US,SAT ACT GRE MCAT test prep,,active
CH5509,N056,Manhattan Prep,https://www.youtube.com/@ManhattanPrep,100000,300,10000,Monologue,en,US,GMAT and GRE prep strategies,,active
CH5510,N056,LSAT Demon,https://www.youtube.com/@LSATDemon,50000,500,5000,Monologue,en,US,LSAT preparation and strategies,,active
CH5511,N056,UWorld College Prep,https://www.youtube.com/@UWorldCollegePrep,50000,200,10000,Monologue,en,US,SAT and ACT question walkthroughs,,active
CH5512,N056,GregMat,https://www.youtube.com/@GregMat,500000,500,20000,Monologue,en,US,GRE prep with Greg the Tutor,,active
CH5513,N056,Wyzant Tutoring,https://www.youtube.com/@Wyzant,50000,200,5000,Monologue,en,US,Tutoring and test prep content,,active
CH5514,N056,Thomas Frank,https://www.youtube.com/@Thomasfrank,3000000,300,300000,Monologue,en,US,Study strategies and productivity tips,,active
CH5515,N056,Ali Abdaal,https://www.youtube.com/@aliabdaal,5000000,500,500000,Monologue,en,GB,Evidence-based study techniques,,active
CH5516,N056,Mike and Matty,https://www.youtube.com/@MikeAndMatty,200000,200,30000,Monologue,en,US,Medical school and MCAT prep,,active
CH5517,N056,Med School Insiders,https://www.youtube.com/@MedSchoolInsiders,1500000,300,100000,Monologue,en,US,MCAT and medical school prep,,active
CH5518,N056,7Sage LSAT Prep,https://www.youtube.com/@7Sage,50000,500,5000,Monologue,en,US,LSAT preparation strategies,,active
CH5519,N056,Unacademy,https://www.youtube.com/@Unacademy,5000000,5000,50000,Monologue,en,IN,Indian competitive exam preparation,,active
CH5520,N056,CPA Exam Study Tips,https://www.youtube.com/@CPAExamTips,100000,200,10000,Monologue,en,US,CPA exam preparation,,active
CH5521,N056,Brainscape,https://www.youtube.com/@Brainscape,50000,100,10000,Monologue,en,US,Flashcard-based study strategies,,active
CH5522,N056,Crash Course Study Skills,https://www.youtube.com/@crashcourse,16000000,1500,500000,Monologue/Animation,en,US,Study skills and learning techniques,,active
CH5523,N056,Memorize Academy,https://www.youtube.com/@MemorizeAcademy,300000,100,50000,Monologue,en,US,Memory techniques for exams,,active
CH5524,N056,Study With Jess,https://www.youtube.com/@StudyWithJess,200000,200,20000,Monologue,en,AU,Study tips and exam strategies,,active
CH5525,N056,Justin Sung,https://www.youtube.com/@JustinSung,500000,200,50000,Monologue,en,AU,Evidence-based learning strategies,,active
CH5526,N056,TOEFL Official ETS,https://www.youtube.com/@TOEFLtv,200000,200,20000,Monologue,en,US,Official TOEFL test preparation,,active
CH5527,N056,IELTS Liz,https://www.youtube.com/@IELTSLiz,1000000,300,50000,Monologue,en,GB,IELTS exam preparation strategies,,active
CH5528,N056,E2 IELTS,https://www.youtube.com/@E2IELTS,500000,500,20000,Monologue,en,AU,IELTS preparation and practice,,active
CH5529,N056,TSR The Student Room,https://www.youtube.com/@TheStudentRoom,100000,200,10000,Monologue,en,GB,UK exam revision and tips,,active
CH5530,N056,College Board SAT,https://www.youtube.com/@collegeboard,200000,200,20000,Monologue,en,US,Official SAT test information,,active
CH5531,N056,CFA Institute,https://www.youtube.com/@CFAInstitute,100000,300,5000,Monologue,en,US,CFA exam preparation resources,,active
CH5532,N056,Wiley Efficient Learning,https://www.youtube.com/@WileyEfficientLearning,50000,200,5000,Monologue,en,US,CPA and CFA exam prep,,active
CH5533,N056,Becker Professional Education,https://www.youtube.com/@BeckerPE,50000,300,5000,Monologue,en,US,CPA exam preparation,,active
CH5534,N056,Blueprint MCAT,https://www.youtube.com/@BlueprintMCAT,100000,300,10000,Monologue,en,US,MCAT preparation strategies,,active
CH5535,N056,MCAT Self Prep,https://www.youtube.com/@MCATSelfPrep,50000,200,10000,Monologue,en,US,DIY MCAT preparation,,active
CH5536,N056,Marty Lobdell Study Tips,https://www.youtube.com/@martylobdell,200000,20,5000000,Monologue,en,US,Study Less Study Smart lecture,,active
CH5537,N056,Barbara Oakley Learning How to Learn,https://www.youtube.com/@barbaraoakley,200000,100,50000,Monologue,en,US,Learning science for exam success,,active
CH5538,N056,NCLEX High Yield,https://www.youtube.com/@NCLEXHighYield,200000,200,20000,Monologue,en,US,Nursing exam preparation,,active
CH5539,N056,Simple Nursing,https://www.youtube.com/@SimpleNursing,1000000,500,50000,Monologue,en,US,NCLEX and nursing exam prep,,active
CH5540,N056,Mike Mew Study Tips,https://www.youtube.com/@MikeMewStudy,50000,100,10000,Monologue,en,GB,Study optimization techniques,,active
CH5541,N056,Physics Wallah,https://www.youtube.com/@PhysicsWallah,30000000,5000,200000,Monologue,en,IN,JEE and NEET exam preparation,,active
CH5542,N056,BYJU S,https://www.youtube.com/@BYJUS,5000000,3000,50000,Monologue,en,IN,Indian exam prep and education,,active
CH5543,N056,Vedantu,https://www.youtube.com/@Vedantu,5000000,5000,20000,Monologue,en,IN,JEE NEET and board exam prep,,active
CH5544,N056,Academic English Help,https://www.youtube.com/@AcademicEnglishHelp,100000,200,10000,Monologue,en,US,English proficiency exam prep,,active
CH5545,N056,Target Test Prep,https://www.youtube.com/@TargetTestPrep,50000,200,5000,Monologue,en,US,GMAT and GRE math prep,,active
CH5546,N056,GRE Prep by Magoosh,https://www.youtube.com/@GREPrepbyMagoosh,100000,500,5000,Monologue,en,US,GRE focused preparation,,active
CH5547,N056,GMAT Club,https://www.youtube.com/@GMATClub,100000,300,5000,Monologue,en,US,GMAT community and prep,,active
CH5548,N056,Pooja Luthra CPA,https://www.youtube.com/@PoojaLuthraCPA,50000,200,5000,Monologue,en,US,CPA exam guidance,,active
CH5549,N056,Pocket Prep,https://www.youtube.com/@PocketPrep,50000,100,5000,Monologue,en,US,Professional certification prep,,active
CH5550,N056,Study With Me,https://www.youtube.com/@StudyWithMe,200000,200,20000,Monologue,en,US,Study motivation and techniques,,active
CH5551,N056,Bar Prep Hero,https://www.youtube.com/@BarPrepHero,30000,100,5000,Monologue,en,US,Bar exam preparation,,active
CH5552,N056,Themis Bar Review,https://www.youtube.com/@ThemisBarReview,30000,100,5000,Monologue,en,US,Bar exam review course,,active
CH5553,N056,Barbri,https://www.youtube.com/@BARBRI,30000,100,5000,Monologue,en,US,Bar exam preparation leader,,active
CH5554,N056,PowerScore Test Preparation,https://www.youtube.com/@PowerScore,30000,200,5000,Monologue,en,US,LSAT and GMAT prep,,active
CH5555,N056,Andy Math,https://www.youtube.com/@andymath,500000,300,50000,Monologue,en,US,Math test prep and problem solving,,active
CH5556,N056,SAT Quantum,https://www.youtube.com/@SATQuantum,50000,100,10000,Monologue,en,US,SAT math preparation,,active
CH5557,N056,Strategic Test Prep,https://www.youtube.com/@StrategicTestPrep,30000,100,5000,Monologue,en,US,SAT and ACT strategies,,active
CH5558,N056,TTP Test Prep,https://www.youtube.com/@TTPTestPrep,30000,100,5000,Monologue,en,US,GMAT focused preparation,,active
CH5559,N056,Prep Expert,https://www.youtube.com/@PrepExpert,50000,200,10000,Monologue,en,US,SAT prep from perfect scorer,,active
CH5560,N056,ACT Prep,https://www.youtube.com/@ACTPrep,50000,100,10000,Monologue,en,US,ACT test preparation,,active
CH5561,N056,MCAT Basics,https://www.youtube.com/@MCATBasics,30000,100,5000,Monologue,en,US,MCAT fundamentals,,active
CH5562,N056,Nurse Sarah,https://www.youtube.com/@NurseSarah,200000,200,20000,Monologue,en,US,NCLEX nursing prep,,active
CH5563,N056,Sojourning Scholar,https://www.youtube.com/@SojourningScholar,50000,100,10000,Monologue,en,US,SAT and college prep advice,,active
CH5564,N056,Study Faster,https://www.youtube.com/@StudyFaster,100000,100,20000,Monologue,en,US,Speed studying techniques,,active
CH5565,N056,Osmosis Medical Education,https://www.youtube.com/@osmosis,2000000,1000,50000,Monologue/Animation,en,US,USMLE and medical exam prep,,active
CH5566,N056,Sketchy Medical,https://www.youtube.com/@SketchyMedical,200000,200,20000,Animation/Narration,en,US,Visual medical exam preparation,,active
CH5567,N056,Boards and Beyond,https://www.youtube.com/@BoardsAndBeyond,100000,200,10000,Monologue,en,US,USMLE Step 1 and 2 prep,,active
CH5568,N056,Ninja Nerd,https://www.youtube.com/@NinjaNerd,2000000,500,100000,Monologue,en,US,Medical education and exam prep,,active
CH5569,N056,Dirty Medicine,https://www.youtube.com/@DirtyMedicine,500000,200,50000,Monologue,en,US,USMLE medical exam mnemonics,,active
CH5570,N056,Level Up RN,https://www.youtube.com/@LevelUpRN,500000,300,20000,Monologue,en,US,NCLEX nursing exam prep,,active
CH5571,N056,AP Test Strategies,https://www.youtube.com/@APTestStrategies,50000,100,10000,Monologue,en,US,AP exam preparation tips,,active
CH5572,N056,AP Daily,https://www.youtube.com/@collegeboard,200000,200,20000,Monologue,en,US,College Board AP course content,,active
CH5573,N056,GMAT Ninja,https://www.youtube.com/@GMATNinja,50000,200,5000,Monologue,en,US,GMAT preparation tutoring,,active
CH5574,N056,examPAL,https://www.youtube.com/@examPAL,30000,100,5000,Monologue,en,IL,GMAT algorithmic prep,,active
CH5575,N056,The Study Spot,https://www.youtube.com/@TheStudySpot,100000,100,20000,Monologue,en,US,Study tips and exam strategies,,active
CH5576,N056,Science of Study,https://www.youtube.com/@ScienceOfStudy,50000,50,10000,Monologue,en,US,Research-based study methods,,active
CH5577,N056,Active Recall Study,https://www.youtube.com/@ActiveRecall,50000,50,10000,Monologue,en,US,Active recall study technique,,active
CH5578,N056,Anking Medical,https://www.youtube.com/@AnKingMed,300000,200,20000,Monologue,en,US,Anki flashcard medical exam prep,,active
CH5579,N056,Study MD,https://www.youtube.com/@StudyMD,100000,100,10000,Monologue,en,US,Medical school study strategies,,active
CH5580,N056,Zach Highley,https://www.youtube.com/@ZachHighley,200000,100,30000,Monologue,en,US,Medical exam study advice,,active
CH5581,N056,Michael Bigg,https://www.youtube.com/@MichaelBigg,100000,100,20000,Monologue,en,GB,Study techniques and productivity,,active
CH5582,N056,GRE Ninja,https://www.youtube.com/@GRENinja,30000,100,5000,Monologue,en,US,GRE test preparation,,active
CH5583,N056,Kaplan NCLEX,https://www.youtube.com/@KaplanNCLEX,50000,200,5000,Monologue,en,US,NCLEX nursing prep,,active
CH5584,N056,Study Tips 2 Success,https://www.youtube.com/@StudyTips2Success,50000,100,10000,Monologue,en,US,General study strategies,,active
CH5585,N056,Test Prep Champions,https://www.youtube.com/@TestPrepChampions,30000,100,5000,Monologue,en,US,Multiple test prep strategies,,active
CH5586,N056,SAT Math Master,https://www.youtube.com/@SATMathMaster,30000,100,5000,Monologue,en,US,SAT math focused prep,,active
CH5587,N056,IELTS Advantage,https://www.youtube.com/@IELTSAdvantage,500000,200,30000,Monologue,en,IE,IELTS exam strategies,,active
CH5588,N056,TOEFL Resources,https://www.youtube.com/@TOEFLResources,100000,200,10000,Monologue,en,US,TOEFL exam preparation,,active
CH5589,N056,Exam Solutions,https://www.youtube.com/@ExamSolutions,300000,2000,10000,Monologue,en,GB,UK math exam solutions,,active
CH5590,N056,GCSE and A-level Revision,https://www.youtube.com/@GCSERevision,200000,500,10000,Monologue,en,GB,UK exam revision content,,active
CH5591,N056,Revision Village IB,https://www.youtube.com/@RevisionVillage,100000,500,10000,Monologue,en,AU,IB Math exam preparation,,active
CH5592,N056,Academic Lesson Prep,https://www.youtube.com/@AcademicLessonPrep,30000,100,5000,Monologue,en,US,Academic test preparation,,active
CH5593,N056,Digital SAT Prep,https://www.youtube.com/@DigitalSATPrep,50000,100,10000,Monologue,en,US,Digital SAT exam prep,,active
CH5594,N056,JC Economics Education Centre,https://www.youtube.com/@JCEconomicsEdu,30000,100,5000,Monologue,en,SG,Economics exam preparation,,active
CH5595,N056,AP Physics Review,https://www.youtube.com/@APPhysicsReview,50000,200,5000,Monologue,en,US,AP Physics exam prep,,active
CH5596,N056,AP Chemistry Review,https://www.youtube.com/@APChemReview,50000,200,5000,Monologue,en,US,AP Chemistry exam prep,,active
CH5597,N056,Fiveable,https://www.youtube.com/@Fiveable,100000,500,5000,Monologue,en,US,AP exam prep community,,active
CH5598,N056,Real Chemistry,https://www.youtube.com/@RealChemistry,100000,300,10000,Monologue,en,US,Chemistry exam preparation,,active
CH5599,N056,Grade A Math Help,https://www.youtube.com/@GradeAMathHelp,50000,200,5000,Monologue,en,US,Math exam help and review,,active
CH5600,N056,The Study Coach,https://www.youtube.com/@TheStudyCoach,50000,100,10000,Monologue,en,US,Study coaching and exam strategies,,active
