channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5601,N057,LegalEagle,https://www.youtube.com/@LegalEagle,2700000,500,500000,Monologue,en,US,Devin Stone trial attorney explaining law,,active
CH5602,N057,Emily D. Baker,https://www.youtube.com/@TheEmilyDBaker,800000,1000,50000,Monologue,en,US,Former DA explaining headline cases,,active
CH5603,N057,Lawyer You Know,https://www.youtube.com/@LawyerYouKnow,300000,400,100000,Monologue,en,US,Peter Tragos legal explainer,,active
CH5604,N057,Steve Lehto,https://www.youtube.com/@stevelehto,800000,2000,30000,Monologue,en,US,Consumer protection and lemon law attorney,,active
CH5605,N057,Audit the Audit,https://www.youtube.com/@AuditTheAudit,3000000,300,500000,Monologue,en,US,Legal analysis of police interactions,,active
CH5606,N057,Lawful Masses with Leonard French,https://www.youtube.com/@lawfulmasses,200000,500,20000,Monologue,en,US,IP law and copyright education,,active
CH5607,N057,Leeja Miller,https://www.youtube.com/leejamiller,700000,300,100000,Monologue,en,US,Legal and political analysis,,active
CH5608,N057,Law and Crime Network,https://www.youtube.com/@LawAndCrimeNetwork,5100000,5000,100000,Monologue/Interview,en,US,Dan Abrams live trial coverage and legal analysis,,active
CH5609,N057,Quimbee,https://www.youtube.com/@Quimbee,200000,1000,10000,Monologue/Animation,en,US,Legal education case briefs and bar prep,,active
CH5610,N057,The Lead Attorney,https://www.youtube.com/@TheLeadAttorney,200000,500,20000,Monologue,en,US,Legal education and case analysis,,active
CH5611,N057,Runkle Of The Bailey,https://www.youtube.com/@RunkleOfTheBailey,200000,500,20000,Monologue,en,CA,Canadian criminal law commentary,,active
CH5612,N057,natalielawyerchick,https://www.youtube.com/c/natalielawyerchick,200000,300,30000,Monologue,en,US,Natalie lawyer lifestyle and legal commentary,,active
CH5613,N057,Olurinatti,https://www.youtube.com/@olurinatti,100000,200,30000,Monologue,en,US,Legal commentary on trending cases,,active
CH5614,N057,The Law Simplified,https://www.youtube.com/@TheLawSimplified,50000,200,10000,Monologue,en,US,Making law accessible to everyone,,active
CH5615,N057,Consumer Warrior,https://www.youtube.com/@Consumer_Warrior,50000,200,10000,Monologue,en,US,Consumer rights legal education,,active
CH5616,N057,Angela Vorpahl,https://www.youtube.com/@AngelaVorpahl,50000,100,10000,Monologue,en,US,Entertainment law education,,active
CH5617,N057,Law of Self Defense,https://www.youtube.com/@LawOfSelfDefense,200000,500,20000,Monologue,en,US,Andrew Branca self-defense law education,,active
CH5618,N057,Shouse Law Group,https://www.youtube.com/@ShouseLaw,200000,2000,5000,Monologue,en,US,Criminal and DUI law explainers,,active
CH5619,N057,Bloomberg Law,https://www.youtube.com/@BloombergLaw,100000,500,5000,Monologue,en,US,Legal news and analysis,,active
CH5620,N057,Learn Law Better,https://www.youtube.com/@LearnLawBetter,50000,200,5000,Monologue,en,US,Law school study techniques,,active
CH5621,N057,USLawEssentials,https://www.youtube.com/@USLawEssentials,50000,200,5000,Monologue,en,US,US legal system education,,active
CH5622,N057,Live Laugh Law,https://www.youtube.com/@LiveLaughLaw,50000,100,10000,Monologue,en,US,Fun legal education content,,active
