channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5701,N058,Brett Cenkus,https://www.youtube.com/@BrettCenkus,50000,300,5000,Monologue,en,US,Business law mergers acquisitions and contracts,,active
CH5702,N058,Law 4 Small Business,https://www.youtube.com/@Law4SmallBusiness,50000,200,5000,Monologue,en,US,Small business legal services and education,,active
CH5703,N058,Mark J. Kohler,https://www.youtube.com/@MarkJKohler,300000,500,20000,Monologue,en,US,Tax and legal advice for entrepreneurs,,active
CH5704,N058,All Up In Yr Business,https://www.youtube.com/@AllUpInYrBusiness,200000,300,20000,Monologue,en,US,Aiden Durham business and entertainment law,,active
CH5705,N058,Haley Legal,https://www.youtube.com/@HaleyLegal,100000,200,10000,Monologue,en,US,Business formation and contract law,,active
CH5706,N058,LegalZoom,https://www.youtube.com/@LegalZoom,100000,200,10000,Monologue,en,US,Business legal services education,,active
CH5707,N058,Nolo Legal,https://www.youtube.com/@NoloLegal,50000,200,5000,Monologue,en,US,DIY legal resources for business,,active
CH5708,N058,The Contract Shop,https://www.youtube.com/@TheContractShop,30000,100,5000,Monologue,en,US,Contract templates and legal education,,active
CH5709,N058,Bobby Klinck,https://www.youtube.com/@BobbyKlinck,30000,200,5000,Monologue,en,US,Online business legal protection,,active
CH5710,N058,Startup Law,https://www.youtube.com/@StartupLaw,30000,100,5000,Monologue,en,US,Legal issues for startups,,active
CH5711,N058,Business Law Institute,https://www.youtube.com/@BusinessLawInstitute,20000,100,5000,Monologue,en,US,Business law education,,active
CH5712,N058,Ronald Rohde Law,https://www.youtube.com/@RonaldRohdeLaw,30000,200,5000,Monologue,en,US,Commercial real estate and business law,,active
CH5713,N058,The Legal Academy,https://www.youtube.com/@TheLegalAcademy,30000,200,5000,Monologue,en,US,Business law courses,,active
CH5714,N058,Rebecca Zung Negotiation,https://www.youtube.com/@RebeccaZung,300000,500,20000,Monologue,en,US,Business negotiation and contract tactics,,active
