channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5801,N059,Brad Show Live,https://www.youtube.com/@BradShowLive,200000,2000,10000,Monologue,en,US,Brad Bernstein immigration law show,,active
CH5802,N059,Hacking Immigration Law,https://www.youtube.com/@HackingImmigrationLaw,100000,500,10000,Monologue,en,US,Jim Hacking weekly immigration live shows,,active
CH5803,N059,USCIS,https://www.youtube.com/@USCIS,140000,200,20000,Monologue,en,US,Official US immigration agency,,active
CH5804,N059,Inmigración con Erika Jurado,https://www.youtube.com/@ErikaJurado,540000,500,100000,Monologue,es,US,Spanish language immigration guidance,,active
CH5805,N059,D'Angelo Law TV,https://www.youtube.com/@DAngeloLawTV,100000,300,10000,Monologue,en,US,Immigration updates and guidance,,active
CH5806,N059,Niren and Associates,https://www.youtube.com/@NirenAssociates,80000,300,10000,Monologue,en,CA,Canada and US immigration law,,active
CH5807,N059,Way Up Immigration,https://www.youtube.com/@WayUpImmigration,256000,200,20000,Monologue,en,CA,Canada immigration simplified guide,,active
CH5808,N059,VisaPro,https://www.youtube.com/@VisaPro,50000,300,5000,Monologue,en,US,US immigration law firm education,,active
CH5809,N059,Mandar Immigration,https://www.youtube.com/@MandarImmigration,195000,200,10000,Monologue,en,US,US and Canada immigration experience,,active
CH5810,N059,Paul Vitti Immigration,https://www.youtube.com/@PaulVitti,12000,100,5000,Monologue,en,CA,Canadian immigration lawyer insights,,active
CH5811,N059,Canadian Immigration Institute,https://www.youtube.com/@CanadianImmigrationInst,50000,200,5000,Monologue,en,CA,Canadian immigration education,,active
CH5812,N059,Visa and Immigration Updates,https://www.youtube.com/@VisaImmigrationUpdates,50000,500,5000,Monologue,en,US,Immigration news and updates,,active
CH5813,N059,Beltran Brito LLP,https://www.youtube.com/@BeltranBritoLLP,30000,200,5000,Monologue,en,US,Immigration attorneys education,,active
CH5814,N059,Immigration Experts,https://www.youtube.com/@ImmigrationExperts,30000,200,5000,Monologue,en,US,Immigration law expertise,,active
CH5815,N059,JQK Law Firm,https://www.youtube.com/@JQKLawFirm,20000,200,5000,Monologue,en,US,Immigration legal services,,active
CH5816,N059,Immigration New Zealand,https://www.youtube.com/@ImmigrationNZ,30000,100,5000,Monologue,en,NZ,New Zealand immigration official,,active
CH5817,N059,Tiptop Immigration,https://www.youtube.com/@TiptopImmigration,30000,200,5000,Monologue,en,CA,Canadian immigration guidance,,active
CH5818,N059,The Immigration Lawyers Channel,https://www.youtube.com/@ImmigrationLawyers,20000,200,5000,Monologue,en,US,Immigration legal education,,active
CH5819,N059,IBN Immigration Solutions,https://www.youtube.com/@IBNImmigration,20000,200,5000,Monologue,en,CA,Canadian immigration solutions,,active
CH5820,N059,Keyork Immigration Law,https://www.youtube.com/@KeyorkImmigration,20000,100,5000,Monologue,en,CA,Canadian immigration lawyer,,active
CH5821,N059,Ruttle Law PC,https://www.youtube.com/@RuttleLaw,20000,100,5000,Monologue,en,US,Business and family immigration,,active
CH5822,N059,Immigration Advice Service,https://www.youtube.com/@ImmigrationAdvice,30000,200,5000,Monologue,en,GB,UK immigration legal advice,,active
CH5823,N059,Canadian Immigration Channel,https://www.youtube.com/@CanadianImmChannel,30000,200,5000,Monologue,en,CA,Canada immigration processes,,active
