channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH5901,N060,The DUI Guy,https://www.youtube.com/c/theDUIGuy,17000000,500,2000000,Monologue,en,US,Criminal defense and police interaction education,,active
CH5902,N060,CLR Bruce Rivers,https://www.youtube.com/@CLRBruceRivers,2000000,1000,100000,Monologue,en,US,Criminal lawyer reacts to viral cases,,active
CH5903,N060,The Civil Rights Lawyer,https://www.youtube.com/@thecivilrightslawyer,1500000,400,200000,Monologue,en,US,Civil rights and criminal law education,,active
CH5904,N060,Law and Crime Network,https://www.youtube.com/@LawAndCrimeNetwork,5100000,5000,100000,Monologue/Interview,en,US,Live trial coverage and criminal law analysis,,active
CH5905,N060,Crime Talk,https://www.youtube.com/@CrimeTalk,500000,2000,20000,Monologue,en,US,Scott Reisch criminal defense attorney commentary,,active
CH5906,N060,Robert Gouveia Esq,https://www.youtube.com/@RobertGouveia,200000,1000,20000,Monologue,en,US,Watching the Watchers criminal defense attorney,,active
CH5907,N060,natalielawyerchick,https://www.youtube.com/c/natalielawyerchick,200000,300,30000,Monologue,en,US,Criminal law commentary and legal lifestyle,,active
CH5908,N060,Hampton Criminal Defense,https://www.youtube.com/@HamptonCriminalDefense,50000,200,5000,Monologue,en,US,Criminal defense education,,active
CH5909,N060,Criminal Defense Lawyer Veronica Barton,https://www.youtube.com/@VeronicaBarton,30000,100,5000,Monologue,en,US,Criminal defense attorney education,,active
CH5910,N060,Ryan Pacyga Attorney,https://www.youtube.com/@RyanPacyga,30000,200,5000,Monologue,en,US,Criminal defense attorney Minnesota,,active
CH5911,N060,Big Man Law DUI,https://www.youtube.com/@BigManLaw,30000,100,5000,Monologue,en,US,DUI criminal defense attorney,,active
CH5912,N060,Criminal Defense Attorney Jamahl Kersey,https://www.youtube.com/@JamahlKersey,30000,100,5000,Monologue,en,US,Criminal defense education San Diego,,active
CH5913,N060,DOD LAW Criminal Defense,https://www.youtube.com/@DODLAW,20000,100,5000,Monologue,en,US,San Diego criminal defense attorney,,active
CH5914,N060,Jack Rice Criminal Defense,https://www.youtube.com/@JackRice,20000,100,5000,Monologue,en,US,Criminal defense commentary,,active
CH5915,N060,Carl Barkemeyer Criminal Defense,https://www.youtube.com/@CarlBarkemeyer,20000,100,5000,Monologue,en,US,Louisiana criminal defense attorney,,active
CH5916,N060,Cody Warner NYC Criminal Defense,https://www.youtube.com/@CodyWarner,20000,100,5000,Monologue,en,US,NYC criminal defense attorney,,active
CH5917,N060,Joslyn Law Firm,https://www.youtube.com/@JoslynLawFirm,20000,100,5000,Monologue,en,US,Ohio criminal defense firm,,active
CH5918,N060,J. Ryan Brown Law Criminal Defense,https://www.youtube.com/@JRyanBrownLaw,20000,100,5000,Monologue,en,US,Criminal defense education,,active
CH5919,N060,Right Law Group,https://www.youtube.com/@RightLawGroup,20000,100,5000,Monologue,en,US,Colorado criminal defense,,active
CH5920,N060,BRCK Criminal Defense,https://www.youtube.com/@BRCKDefense,20000,100,5000,Monologue,en,US,Criminal defense attorneys,,active
CH5921,N060,Whiddon Criminal Defense,https://www.youtube.com/@WhiddonDefense,20000,50,5000,Monologue,en,US,Criminal defense education,,active
CH5922,N060,IE Criminal Defense,https://www.youtube.com/@IECrimDefense,20000,50,5000,Monologue,en,US,Inland Empire criminal defense,,active
CH5923,N060,Olliers Solicitors,https://www.youtube.com/@OlliersSolicitors,20000,50,5000,Monologue,en,GB,UK criminal defense solicitors,,active
CH5924,N060,Las Vegas Criminal Lawyer Thomas Moskal,https://www.youtube.com/@ThomasMoskal,20000,50,5000,Monologue,en,US,Las Vegas criminal defense,,active
CH5925,N060,Brannan Law Firm,https://www.youtube.com/@BrannanLawFirm,20000,50,5000,Monologue,en,US,Texas criminal defense lawyer,,active
CH5926,N060,Josh Camson Criminal Defense,https://www.youtube.com/@JoshCamson,20000,50,5000,Monologue,en,US,Criminal defense and appellate law,,active
CH5927,N060,SC Criminal Defense Susan Williams,https://www.youtube.com/@SCCrimDefense,20000,50,5000,Monologue,en,US,South Carolina criminal defense,,active
CH5928,N060,Shaffie Law,https://www.youtube.com/@ShaffieLaw,20000,50,5000,Monologue,en,US,Criminal defense law firm,,active
CH5929,N060,Dayne Phillips Attorney,https://www.youtube.com/@DaynePhillips,20000,50,5000,Monologue,en,US,Criminal defense attorney,,active
CH5930,N060,Law Office of Louis Goodman,https://www.youtube.com/@LouisGoodman,20000,50,5000,Monologue,en,US,Criminal defense Alameda County,,active
CH5931,N060,Erskine Law Austin Criminal Lawyer,https://www.youtube.com/@ErskineLaw,20000,50,5000,Monologue,en,US,Austin TX criminal defense,,active
CH5932,N060,Oliverson Law DUI,https://www.youtube.com/@OliversonLaw,20000,50,5000,Monologue,en,US,DUI defense attorney education,,active
CH5933,N060,Pariente Law Firm,https://www.youtube.com/@ParienteLaw,20000,50,5000,Monologue,en,US,Criminal defense Florida,,active
CH5934,N060,Criminal Defense West Michigan,https://www.youtube.com/@CDWestMichigan,20000,50,5000,Monologue,en,US,Michigan criminal defense,,active
CH5935,N060,Dahlem Criminal Defence,https://www.youtube.com/@DahlemDefence,20000,50,5000,Monologue,en,CA,Canadian criminal defence,,active
CH5936,N060,Vindicate Criminal Law Group,https://www.youtube.com/@VindicateLaw,20000,50,5000,Monologue,en,CA,Canadian criminal law,,active
CH5937,N060,Karen McArthur Criminal Defence,https://www.youtube.com/@KarenMcArthur,20000,50,5000,Monologue,en,CA,Canadian criminal defence lawyer,,active
CH5938,N060,Aitken Robertson Criminal DUI Lawyers,https://www.youtube.com/@AitkenRobertson,20000,50,5000,Monologue,en,CA,Canadian DUI defense,,active
CH5939,N060,VS Criminal Defense Attorneys,https://www.youtube.com/@VSCrimDefense,20000,50,5000,Monologue,en,US,Criminal defense team content,,active
CH5940,N060,Stephen T Bowling DWI Defense,https://www.youtube.com/@StephenBowling,20000,50,5000,Monologue,en,US,DWI defense Austin TX,,active
CH5941,N060,JCS Criminal Psychology,https://www.youtube.com/@JCSCriminalPsychology,7000000,30,10000000,Monologue,en,US,Criminal interrogation psychology analysis,,active
