channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6101,N062,Javier Vidana,https://www.youtube.com/@JavierVidana,500000,500,50000,Monologue,en,US,First time home buyer education 20M+ views,,active
CH6102,N062,Shaheedah Hill,https://www.youtube.com/@ShaheedahHill,200000,300,20000,Monologue,en,US,Number 1 YouTuber for first time homebuyers,,active
CH6103,N062,Win The House You Love,https://www.youtube.com/@WinTheHouseYouLove,200000,200,20000,Monologue,en,US,Kyle Seagraves first time buyer strategies,,active
CH6104,N062,Real Estate Rookie,https://www.youtube.com/@RealEstateRookie,200000,300,10000,Monologue,en,US,BiggerPockets sub-brand for first-time investors,,active
CH6105,N062,Jennifer Beeston,https://www.youtube.com/@JenniferBeeston,100000,300,10000,Monologue,en,US,Mortgage loan officer first time buyer tips,,active
CH6106,N062,Homebuyer.com,https://www.youtube.com/@Homebuyer,50000,200,5000,Monologue,en,US,First time buyer education platform,,active
CH6107,N062,Kelly Zitlow,https://www.youtube.com/@KellyZitlow,50000,200,5000,Monologue,en,US,Senior mortgage advisor education,,active
CH6108,N062,FHA Loan Pro,https://www.youtube.com/@FHALoanPro,50000,200,5000,Monologue,en,US,FHA loan education for buyers,,active
CH6109,N062,VA Loan Captain,https://www.youtube.com/@VALoanCaptain,50000,100,5000,Monologue,en,US,VA loan education for veterans,,active
CH6110,N062,The Mortgage Reports,https://www.youtube.com/@TheMortgageReports,50000,200,5000,Monologue,en,US,Mortgage education and news,,active
CH6111,N062,Home Buyer School,https://www.youtube.com/@HomeBuyerSchool,30000,100,5000,Monologue,en,US,Home buying educational content,,active
CH6112,N062,Nerd Wallet Home,https://www.youtube.com/@NerdWallet,500000,500,20000,Monologue,en,US,Financial guidance for home buyers,,active
CH6113,N062,Down Payment Resource,https://www.youtube.com/@DownPaymentResource,20000,50,5000,Monologue,en,US,Down payment assistance programs,,active
CH6114,N062,First Time Home Buyer Guide,https://www.youtube.com/@FTHBGuide,20000,100,5000,Monologue,en,US,Step-by-step first time buyer guide,,active
CH6115,N062,Mortgage Calculator,https://www.youtube.com/@MortgageCalculator,30000,100,5000,Monologue,en,US,Mortgage calculation education,,active
CH6116,N062,Credit Score for Home Buying,https://www.youtube.com/@CreditScoreHome,20000,50,5000,Monologue,en,US,Credit preparation for buyers,,active
CH6117,N062,Closing Costs Explained,https://www.youtube.com/@ClosingCosts,20000,50,5000,Monologue,en,US,Understanding closing costs,,active
CH6118,N062,Home Inspection Tips,https://www.youtube.com/@HomeInspectionTips,30000,100,5000,Monologue,en,US,What to expect in inspections,,active
CH6119,N062,Appraisal Process Guide,https://www.youtube.com/@AppraisalGuide,20000,50,5000,Monologue,en,US,Home appraisal education,,active
CH6120,N062,Conventional Loan Guide,https://www.youtube.com/@ConventionalLoan,20000,50,5000,Monologue,en,US,Conventional mortgage education,,active
CH6121,N062,USDA Loan Education,https://www.youtube.com/@USDALoan,20000,50,5000,Monologue,en,US,USDA rural loan programs,,active
CH6122,N062,PMI Explained,https://www.youtube.com/@PMIExplained,20000,30,5000,Monologue,en,US,Private mortgage insurance education,,active
CH6123,N062,Escrow Process Guide,https://www.youtube.com/@EscrowGuide,20000,30,5000,Monologue,en,US,Understanding escrow,,active
CH6124,N062,Title Insurance Education,https://www.youtube.com/@TitleInsurance,20000,30,5000,Monologue,en,US,Title insurance explained,,active
