channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6201,N063,Rent Like A Pro,https://www.youtube.com/@RentLikeAPro,100000,300,10000,Monologue,en,US,Property management techniques for landlords,,active
CH6202,N063,Landlord Studio,https://www.youtube.com/@LandlordStudio,50000,200,5000,Monologue,en,US,Property management app tutorials,,active
CH6203,N063,Rentec Direct,https://www.youtube.com/@RentecDirect,30000,200,5000,Monologue,en,US,Rental property management software education,,active
CH6204,N063,BiggerPockets Landlord,https://www.youtube.com/@biggerpockets,1000000,2000,30000,Monologue/Interview,en,US,Real estate landlording education,,active
CH6205,N063,Mark J. Kohler Tax Legal,https://www.youtube.com/@MarkJKohler,300000,500,20000,Monologue,en,US,Tax and legal for rental property owners,,active
CH6206,N063,Ken McElroy Property,https://www.youtube.com/@KenMcElroy,500000,300,30000,Monologue,en,US,Property management and investing,,active
CH6207,N063,RentPrep,https://www.youtube.com/@RentPrep,30000,200,5000,Monologue,en,US,Tenant screening and landlord education,,active
CH6208,N063,The Real Estate Robinsons,https://www.youtube.com/@RERobinsons,30000,100,5000,Monologue,en,US,Real estate investing and landlording,,active
CH6209,N063,Jackie Kravitz RE Coach,https://www.youtube.com/@JackieKravitz,20000,100,5000,Monologue,en,US,Real estate coaching for landlords,,active
CH6210,N063,Stefanie Lugo RE Systems,https://www.youtube.com/@StefanieLugo,20000,100,5000,Monologue,en,US,Property management systems,,active
CH6211,N063,Azibo Landlord,https://www.youtube.com/@Azibo,30000,100,5000,Monologue,en,US,Financial management for landlords,,active
CH6212,N063,Brandon Turner Landlord,https://www.youtube.com/@BrandonTurner,300000,200,20000,Monologue,en,US,Landlording and BRRRR strategy,,active
CH6213,N063,Avail Landlord Software,https://www.youtube.com/@AvailApp,30000,100,5000,Monologue,en,US,DIY landlord property management,,active
CH6214,N063,TurboTenant,https://www.youtube.com/@TurboTenant,30000,100,5000,Monologue,en,US,Landlord software and tenant management,,active
CH6215,N063,Buildium Property Management,https://www.youtube.com/@Buildium,30000,100,5000,Monologue,en,US,Property management software education,,active
CH6216,N063,AppFolio Property Manager,https://www.youtube.com/@AppFolio,30000,100,5000,Monologue,en,US,Property management technology,,active
CH6217,N063,Cozy Landlord,https://www.youtube.com/@CozyLandlord,20000,50,5000,Monologue,en,US,Landlord property management tools,,active
CH6218,N063,Landlord Tips and Tricks,https://www.youtube.com/@LandlordTips,20000,100,5000,Monologue,en,US,Practical landlord advice,,active
CH6219,N063,SmartMove Tenant Screening,https://www.youtube.com/@SmartMove,20000,50,5000,Monologue,en,US,Tenant screening education,,active
CH6220,N063,Rental Property Owner,https://www.youtube.com/@RentalPropertyOwner,20000,100,5000,Monologue,en,US,Being a rental property owner,,active
CH6221,N063,Property Management Inc,https://www.youtube.com/@PMI,20000,100,5000,Monologue,en,US,Property management franchise education,,active
CH6222,N063,NARPM,https://www.youtube.com/@NARPM,20000,100,5000,Monologue,en,US,National association of property managers,,active
CH6223,N063,Landlord Gurus,https://www.youtube.com/@LandlordGurus,20000,100,5000,Monologue,en,US,Self-managing landlord resources,,active
CH6224,N063,Rental Income Podcast,https://www.youtube.com/@RentalIncomePodcast,20000,200,5000,Monologue,en,US,Rental income and landlording,,active
CH6225,N063,Fair Housing Law Guide,https://www.youtube.com/@FairHousingGuide,20000,50,5000,Monologue,en,US,Fair housing compliance for landlords,,active
CH6226,N063,Eviction Process Guide,https://www.youtube.com/@EvictionProcess,20000,50,5000,Monologue,en,US,Eviction procedures education,,active
CH6227,N063,Lease Agreement Guide,https://www.youtube.com/@LeaseAgreement,20000,50,5000,Monologue,en,US,Lease writing and management,,active
CH6228,N063,Security Deposit Law,https://www.youtube.com/@SecurityDepositLaw,20000,30,5000,Monologue,en,US,Security deposit rules by state,,active
CH6229,N063,Rental Property Tax,https://www.youtube.com/@RentalPropertyTax,20000,50,5000,Monologue,en,US,Tax education for landlords,,active
CH6230,N063,1031 Exchange Guide,https://www.youtube.com/@1031ExchangeGuide,20000,50,5000,Monologue,en,US,1031 exchange education,,active
CH6231,N063,Rental Property Depreciation,https://www.youtube.com/@RPDepreciation,20000,30,5000,Monologue,en,US,Depreciation for rental properties,,active
CH6232,N063,Landlord Insurance Guide,https://www.youtube.com/@LandlordInsurance,20000,30,5000,Monologue,en,US,Insurance for rental properties,,active
CH6233,N063,Tenant Relations Guide,https://www.youtube.com/@TenantRelations,20000,30,5000,Monologue,en,US,Managing tenant relationships,,active
CH6234,N063,Maintenance and Repairs Landlord,https://www.youtube.com/@MaintenanceRepairsLL,20000,50,5000,Monologue,en,US,Property maintenance for landlords,,active
CH6235,N063,Rental Listing Optimization,https://www.youtube.com/@RentalListingOpt,20000,30,5000,Monologue,en,US,Optimizing rental listings,,active
CH6236,N063,Rent Collection Guide,https://www.youtube.com/@RentCollection,20000,30,5000,Monologue,en,US,Rent collection strategies,,active
CH6237,N063,Late Rent Solutions,https://www.youtube.com/@LateRentSolutions,20000,30,5000,Monologue,en,US,Handling late rent payments,,active
CH6238,N063,Property Turnover Guide,https://www.youtube.com/@PropertyTurnover,20000,30,5000,Monologue,en,US,Efficient unit turnover,,active
CH6239,N063,Section 8 Landlord Guide,https://www.youtube.com/@Section8Guide,20000,50,5000,Monologue,en,US,Section 8 housing education,,active
CH6240,N063,Student Housing Management,https://www.youtube.com/@StudentHousingMgmt,20000,30,5000,Monologue,en,US,Student rental management,,active
CH6241,N063,Short Term Rental Management,https://www.youtube.com/@STRManagement,30000,100,5000,Monologue,en,US,Airbnb and short-term rental management,,active
CH6242,N063,Airbnb Landlord Guide,https://www.youtube.com/@AirbnbLandlord,30000,100,5000,Monologue,en,US,Airbnb hosting and management,,active
CH6243,N063,VRBO Host Guide,https://www.youtube.com/@VRBOHostGuide,20000,50,5000,Monologue,en,US,VRBO vacation rental management,,active
CH6244,N063,Multifamily Property Management,https://www.youtube.com/@MultifamilyPM,20000,50,5000,Monologue,en,US,Managing multifamily properties,,active
CH6245,N063,Single Family Rental,https://www.youtube.com/@SFRManagement,20000,50,5000,Monologue,en,US,Single family rental management,,active
CH6246,N063,Duplex Landlord,https://www.youtube.com/@DuplexLandlord,20000,30,5000,Monologue,en,US,Managing duplex properties,,active
CH6247,N063,ADU Rental Guide,https://www.youtube.com/@ADURentalGuide,20000,30,5000,Monologue,en,US,Accessory dwelling unit rental,,active
CH6248,N063,Mobile Home Park Management,https://www.youtube.com/@MHPManagement,20000,50,5000,Monologue,en,US,Mobile home park landlording,,active
CH6249,N063,Self Storage Management,https://www.youtube.com/@SelfStorageMgmt,20000,50,5000,Monologue,en,US,Self storage facility management,,active
CH6250,N063,Rent Control Education,https://www.youtube.com/@RentControlEdu,20000,30,5000,Monologue,en,US,Rent control laws education,,active
CH6251,N063,Landlord Tenant Law,https://www.youtube.com/@LandlordTenantLaw,20000,50,5000,Monologue,en,US,Landlord-tenant legal education,,active
CH6252,N063,Property Management Automation,https://www.youtube.com/@PMAutomation,20000,30,5000,Monologue,en,US,Automating property management,,active
