channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6301,N064,Commercial Property Advisors,https://www.youtube.com/@CommercialPropertyAdvisors,200000,300,20000,Monologue,en,US,Peter Harris CRE investing education worldwide leader,,active
CH6302,N064,Tyler Cauble,https://www.youtube.com/@TylerCauble,100000,300,10000,Monologue,en,US,Forbes top CRE marketer and educator,,active
CH6303,N064,Break Into CRE,https://www.youtube.com/@BreakIntoCRE,50000,200,5000,Monologue,en,US,CRE investing careers and financial modeling,,active
CH6304,N064,Adventures in CRE,https://www.youtube.com/@AdventuresInCRE,50000,200,5000,Monologue,en,US,CRE financial modeling and analysis,,active
CH6305,N064,Americas Commercial Real Estate Show,https://www.youtube.com/@AmericasCRE,30000,500,5000,Monologue,en,US,Weekly CRE market intelligence,,active
CH6306,N064,Chad Griffiths,https://www.youtube.com/@ChadGriffiths,100000,300,10000,Monologue,en,CA,Commercial real estate broker education,,active
CH6307,N064,CBRE,https://www.youtube.com/@CBRE,50000,300,5000,Monologue,en,US,Global CRE firm market insights,,active
CH6308,N064,CCIM Institute,https://www.youtube.com/@CCIMInstitute,20000,200,5000,Monologue,en,US,CRE professional certification education,,active
CH6309,N064,Commercial Real Estate with Dolf de Roos,https://www.youtube.com/@DolfDeRoos,30000,100,5000,Monologue,en,US,CRE investing education,,active
CH6310,N064,Henry Eisenstein,https://www.youtube.com/@HenryEisenstein,20000,100,5000,Monologue,en,US,CRE investing tips,,active
CH6311,N064,Cherif Medawar,https://www.youtube.com/@CherifMedawar,20000,200,5000,Monologue,en,US,CRE investing strategies,,active
CH6312,N064,Gray Capital,https://www.youtube.com/@GrayCapital,20000,100,5000,Monologue,en,US,Multifamily investing education,,active
CH6313,N064,Jimmy Burgess,https://www.youtube.com/@JimmyBurgess,20000,200,5000,Monologue,en,US,Commercial real estate coaching,,active
CH6314,N064,Tony Kim CRE,https://www.youtube.com/@TonyKimCRE,20000,100,5000,Monologue,en,US,LA commercial real estate broker,,active
CH6315,N064,Results in Real Estate,https://www.youtube.com/@ResultsInRE,20000,100,5000,Monologue,en,US,CRE investment results,,active
CH6316,N064,Ronald Rohde Law CRE,https://www.youtube.com/@RonaldRohdeLaw,30000,200,5000,Monologue,en,US,CRE law and investing,,active
CH6317,N064,How to Invest in CRE,https://www.youtube.com/@HowToInvestCRE,20000,100,5000,Monologue,en,US,CRE investing from A to Z,,active
CH6318,N064,BE3 Real Estate Tips,https://www.youtube.com/@BE3RealEstate,20000,100,5000,Monologue,en,US,CRE tips and advice for realtors,,active
CH6319,N064,Multi-Housing News,https://www.youtube.com/@MultiHousingNews,20000,100,5000,Monologue,en,US,Multifamily CRE news,,active
CH6320,N064,Clara Anh Nguyen CRE,https://www.youtube.com/@ClaraAnhNguyen,20000,100,5000,Monologue,en,US,Female CRE investor educator,,active
CH6321,N064,Commercial Property Executive,https://www.youtube.com/@CPExecutive,20000,100,5000,Monologue,en,US,CRE executive insights,,active
CH6322,N064,CRE Pro Network,https://www.youtube.com/@CREProNetwork,20000,100,5000,Monologue,en,US,CRE professional networking,,active
CH6323,N064,Eureka Business Group CRE,https://www.youtube.com/@EurekaBizGroup,20000,50,5000,Monologue,en,US,CRE investment consulting,,active
CH6324,N064,SVN International,https://www.youtube.com/@SVNInternational,20000,100,5000,Monologue,en,US,CRE brokerage education,,active
CH6325,N064,CRE Library,https://www.youtube.com/@CRELibrary,20000,50,5000,Monologue,en,US,CRE educational resources,,active
CH6326,N064,eXp Commercial,https://www.youtube.com/@eXpCommercial,20000,100,5000,Monologue,en,US,Commercial real estate brokerage,,active
CH6327,N064,CRE Marketing Channel,https://www.youtube.com/@CREMarketing,20000,50,5000,Monologue,en,US,Marketing CRE properties,,active
CH6328,N064,Realcomm,https://www.youtube.com/@Realcomm,20000,100,5000,Monologue,en,US,CRE tech and innovation,,active
CH6329,N064,Commercial Observer,https://www.youtube.com/@CommercialObserver,20000,100,5000,Monologue,en,US,CRE news and analysis,,active
CH6330,N064,CRE Investing from A-Z,https://www.youtube.com/@CREInvestingAZ,20000,100,5000,Monologue,en,US,Comprehensive CRE investment education,,active
CH6331,N064,Bob Kasumyan CRE,https://www.youtube.com/@BobKasumyan,20000,50,5000,Monologue,en,US,CRE investing insights,,active
CH6332,N064,The Capital Playbook,https://www.youtube.com/@TheCapitalPlaybook,20000,50,5000,Monologue,en,US,CRE capital raising education,,active
CH6333,N064,CRE Explained,https://www.youtube.com/@CREExplained,20000,50,5000,Monologue,en,US,CRE concepts explained simply,,active
CH6334,N064,Tim J Diesel CRE,https://www.youtube.com/@TimJDiesel,20000,100,5000,Monologue,en,US,CRE investing and brokerage,,active
CH6335,N064,The CRE Contrarian,https://www.youtube.com/@CREContrarian,20000,50,5000,Monologue,en,US,Contrarian CRE investing views,,active
CH6336,N064,How to Scale CRE Podcast,https://www.youtube.com/@ScaleCRE,20000,200,5000,Monologue,en,US,Scaling CRE investments,,active
