channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6401,N065,Practical Psychology,https://www.youtube.com/@PracticalPsychology,4000000,300,500000,Monologue/Animation,en,US,Psychology concepts explained with animation,,active
CH6402,N065,Psych2Go,https://www.youtube.com/@Psych2Go,12000000,1000,500000,Animation/Narration,en,US,Animated psychology and self-improvement,,active
CH6403,N065,Sprouts,https://www.youtube.com/@Sprouts,2000000,300,200000,Animation/Narration,en,US,Social sciences explained in cartoon animation,,active
CH6404,N065,After Skool,https://www.youtube.com/@AfterSkool,3000000,300,500000,Animation/Narration,en,US,Animated lectures on psychology and behavior,,active
CH6405,N065,Academy of Ideas,https://www.youtube.com/@AcademyofIdeas,1500000,200,300000,Monologue/Animation,en,US,Exploring behavioral psychology ideas,,active
CH6406,N065,BrainCraft,https://www.youtube.com/@BrainCraft,500000,200,100000,Monologue,en,AU,Vanessa Hill behavioral science and neuroscience,,active
CH6407,N065,The Psych Show,https://www.youtube.com/@ThePsychShow,200000,200,30000,Monologue,en,US,Dr. Ali Mattu clinical psychology accessible,,active
CH6408,N065,SciShow Psych,https://www.youtube.com/@SciShowPsych,800000,300,50000,Monologue,en,US,Psychology and brain science explained,,active
CH6409,N065,Psychology In Seattle,https://www.youtube.com/@PsychologyInSeattle,500000,1500,50000,Monologue,en,US,Dr. Kirk Honda licensed therapist commentary,,active
CH6410,N065,Behaviorbabe,https://www.youtube.com/@Behaviorbabe,30000,200,5000,Monologue,en,US,Amanda Kelly applied behavior analysis education,,active
CH6411,N065,The Behavioral Observations Podcast,https://www.youtube.com/@BehavioralObs,20000,200,5000,Monologue,en,US,ABA behavioral observations,,active
CH6412,N065,ABA Inside Track,https://www.youtube.com/@ABAInsideTrack,20000,100,5000,Monologue,en,US,Applied behavior analysis therapy education,,active
CH6413,N065,Francesca Psychology,https://www.youtube.com/@FrancescaPsych,100000,200,10000,Monologue,en,US,Psychology education and insights,,active
CH6414,N065,Sadia Psychology,https://www.youtube.com/@SadiaPsychology,200000,200,20000,Monologue,en,GB,Psychology education content,,active
CH6415,N065,Social Psychology Masters,https://www.youtube.com/@SocialPsychMasters,50000,100,10000,Monologue,en,US,Social psychology concepts,,active
CH6416,N065,Afterschool Psychology,https://www.youtube.com/@AfterschoolPsych,50000,100,10000,Monologue,en,US,Psychology for students,,active
CH6417,N065,Psychology Scholar,https://www.youtube.com/@PsychScholar,30000,100,5000,Monologue,en,US,Academic psychology education,,active
CH6418,N065,Matt Sherman Geek Psychology,https://www.youtube.com/@GeekPsychology,30000,100,5000,Monologue,en,US,Psychology through geek culture,,active
CH6419,N065,Psychology Refresh,https://www.youtube.com/@PsychRefresh,30000,100,5000,Monologue,en,US,Psychology concepts refreshed,,active
CH6420,N065,Psych Explained,https://www.youtube.com/@PsychExplained,30000,100,5000,Monologue,en,US,Psychology concepts explained,,active
CH6421,N065,Psych Boost,https://www.youtube.com/@PsychBoost,30000,100,5000,Monologue,en,US,Boosting psychology knowledge,,active
CH6422,N065,Psychology matters,https://www.youtube.com/@PsychMatters,30000,100,5000,Monologue,en,US,Why psychology matters,,active
CH6423,N065,Psychology Factz,https://www.youtube.com/@PsychFactz,100000,200,10000,Monologue,en,US,Psychology facts and insights,,active
CH6424,N065,The Psychology Podcast,https://www.youtube.com/@ThePsychPodcast,100000,300,10000,Monologue/Interview,en,US,Scott Barry Kaufman psychology podcast,,active
CH6425,N065,Social Psychology Be a People Expert,https://www.youtube.com/@SocialPsychExpert,30000,100,5000,Monologue,en,US,Social psychology expertise,,active
