channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6601,N067,Matthew Hussey,https://www.youtube.com/@MatthewHussey,3000000,500,200000,Monologue,en,US,World leading dating advice expert for women,,active
CH6602,N067,Stephan Speaks,https://www.youtube.com/@StephanSpeaks,1000000,500,50000,Monologue,en,US,Relationship coach and bestselling author,,active
CH6603,N067,Susan Winter,https://www.youtube.com/@SusanWinter,200000,500,10000,Monologue,en,US,Leading relationship expert and love coach,,active
CH6604,N067,Coach Corey Wayne,https://www.youtube.com/@CoachCoreyWayne,1000000,1000,20000,Monologue,en,US,Life and relationship peak performance coach,,active
CH6605,N067,Hayley Quinn,https://www.youtube.com/@HayleyQuinn,200000,300,10000,Monologue,en,GB,International dating expert and TED speaker,,active
CH6606,N067,Dating Logic,https://www.youtube.com/@DatingLogic,200000,1000,5000,Monologue,en,US,Dating advice body language and signs,,active
CH6607,N067,Dr. Ramani,https://www.youtube.com/@DoctorRamani,1800000,1000,100000,Monologue,en,US,Narcissism in relationships clinical psychologist,,active
CH6608,N067,Mat Boggs,https://www.youtube.com/@MatBoggs,500000,500,20000,Monologue,en,US,Dating and relationship coaching for women,,active
CH6609,N067,Apollonia Ponti,https://www.youtube.com/@ApolloniaPonti,500000,500,20000,Monologue,en,US,Dating coach for men,,active
CH6610,N067,Coach Melannie,https://www.youtube.com/@CoachMelannie,200000,300,10000,Monologue,en,US,Christian dating coach for men,,active
CH6611,N067,Based Zeus,https://www.youtube.com/@BasedZeus,200000,200,20000,Monologue,en,US,Dating and self-improvement for men,,active
CH6612,N067,Todd V Dating,https://www.youtube.com/@ToddVDating,200000,300,10000,Monologue,en,US,Dating strategy and social skills,,active
CH6613,N067,Mindful Attraction 2.0,https://www.youtube.com/@MindfulAttraction,100000,300,5000,Monologue,en,US,Mindful approach to dating,,active
CH6614,N067,Dating Beyond Borders,https://www.youtube.com/@DatingBeyondBorders,500000,200,50000,Monologue,en,CA,Cross-cultural dating and relationships,,active
CH6615,N067,Kezia Noble,https://www.youtube.com/@KeziaNoble,200000,300,10000,Monologue,en,GB,Female dating coach for men,,active
CH6616,N067,Alex Cormont,https://www.youtube.com/@AlexCormont,200000,500,10000,Monologue,en,FR,French relationship expert,,active
CH6617,N067,Marni Your Personal Wing Girl,https://www.youtube.com/@MarniWingGirl,200000,500,5000,Monologue,en,US,Dating coaching from female perspective,,active
CH6618,N067,Modern Life Dating,https://www.youtube.com/@ModernLifeDating,100000,300,10000,Monologue,en,US,Modern dating landscape,,active
CH6619,N067,Playing With Fire,https://www.youtube.com/@PlayingWithFire,100000,200,10000,Monologue,en,US,Relationship dynamics and advice,,active
CH6620,N067,TrippAdvice,https://www.youtube.com/@TrippAdvice,200000,500,10000,Monologue,en,US,Mens dating coach,,active
CH6621,N067,Brad Browning,https://www.youtube.com/@BradBrowning,500000,500,20000,Monologue,en,CA,Ex-back and relationship repair,,active
CH6622,N067,Love Advice TV,https://www.youtube.com/@LoveAdviceTV,100000,500,5000,Monologue,en,US,Relationship and dating advice,,active
CH6623,N067,Dan Bacon,https://www.youtube.com/@DanBacon,200000,300,10000,Monologue,en,AU,Dating and relationship coaching,,active
CH6624,N067,Clayton Olson Coaching,https://www.youtube.com/@ClaytonOlson,100000,300,5000,Monologue,en,US,Relationship coaching for women,,active
CH6625,N067,Clay Andrews,https://www.youtube.com/@ClayAndrews,100000,500,5000,Monologue,en,US,Ex-back and relationship recovery,,active
CH6626,N067,Laurel House Dating,https://www.youtube.com/@DatingLaurel,50000,200,5000,Monologue,en,US,Dating coach and flirting expert,,active
CH6627,N067,Evan Marc Katz,https://www.youtube.com/@EvanMarcKatz,50000,200,5000,Monologue,en,US,Dating coach for smart successful women,,active
CH6628,N067,Mark Rosenfeld,https://www.youtube.com/@MarkRosenfeld,50000,300,5000,Monologue,en,AU,Relationship coaching for women,,active
CH6629,N067,Single in Stilettos,https://www.youtube.com/@SingleInStilettos,50000,500,5000,Monologue,en,US,Dating coaching for women over 40,,active
CH6630,N067,Donna Barnes,https://www.youtube.com/@DonnaBarnes,30000,200,5000,Monologue,en,US,Relationship expert and life coach,,active
CH6631,N067,Amy North,https://www.youtube.com/@AmyNorth,100000,200,5000,Monologue,en,CA,Text chemistry and dating tips,,active
CH6632,N067,Carlos Cavallo,https://www.youtube.com/@CarlosCavallo,50000,200,5000,Monologue,en,US,Dating and relationship coaching,,active
CH6633,N067,Kate Spring,https://www.youtube.com/@KateSpring,50000,200,5000,Monologue,en,CA,Attraction and dating coaching,,active
CH6634,N067,Elliot Scott Dating,https://www.youtube.com/@ElliotScott,30000,100,5000,Monologue,en,US,Dating advice and coaching,,active
CH6635,N067,Bernardo Mendez,https://www.youtube.com/@BernardoMendez,30000,200,5000,Monologue,es,MX,Spanish language dating advice,,active
CH6636,N067,The Gay Dating Coach,https://www.youtube.com/@GayDatingCoach,30000,100,5000,Monologue,en,US,LGBTQ dating coaching,,active
CH6637,N067,Find a Quality Man 50+,https://www.youtube.com/@FindQualityMan,50000,200,5000,Monologue,en,US,Dating advice for women over 50,,active
CH6638,N067,Whatever Podcast,https://www.youtube.com/@whatever,2000000,500,200000,Monologue,en,US,Dating and gender dynamics discussions,,active
CH6639,N067,2nd Act TV,https://www.youtube.com/@2ndActTV,30000,100,5000,Monologue,en,US,Dating after 50,,active
CH6640,N067,Jayson Gaddis,https://www.youtube.com/@JaysonGaddis,50000,200,5000,Monologue,en,US,Relationship skills and conflict,,active
CH6641,N067,Dear Sybersue,https://www.youtube.com/@DearSybersue,30000,200,5000,Monologue,en,CA,Dating and relationship advice,,active
CH6642,N067,Commitment Connection,https://www.youtube.com/@CommitmentConnection,30000,200,5000,Monologue,en,US,Getting commitment in relationships,,active
CH6643,N067,Johnny Berba Coaching,https://www.youtube.com/@JohnnyBerba,30000,200,5000,Monologue,en,GB,Social anxiety and dating,,active
CH6644,N067,Practical Happiness Dating,https://www.youtube.com/@PracticalHappiness,30000,100,5000,Monologue,en,US,Happiness through relationships,,active
CH6645,N067,David DeAngelo,https://www.youtube.com/@DavidDeAngelo,50000,100,5000,Monologue,en,US,Original dating coaching pioneer,,active
CH6646,N067,Multiamory,https://www.youtube.com/@Multiamory,30000,200,5000,Monologue,en,US,Polyamorous relationship advice,,active
CH6647,N067,Queenology Inspirations,https://www.youtube.com/@Queenology,30000,200,5000,Monologue,en,US,Empowering women in relationships,,active
CH6648,N067,Repurposed Perspective,https://www.youtube.com/@RepurposedPerspective,30000,100,5000,Monologue,en,US,Perspective shifts in dating,,active
CH6649,N067,Black Love and Marriage,https://www.youtube.com/@BlackLoveMarriage,50000,200,5000,Monologue,en,US,Black relationship and marriage advice,,active
CH6650,N067,Keras LuvTechniques,https://www.youtube.com/@KerasLuv,30000,100,5000,Monologue,en,US,Love techniques and dating,,active
CH6651,N067,A Conscious Rethink,https://www.youtube.com/@AConsciousRethink,30000,100,5000,Monologue,en,US,Conscious approach to relationships,,active
CH6652,N067,Timilehin Ariyo,https://www.youtube.com/@TimilehinAriyo,20000,100,5000,Monologue,en,NG,African dating and relationship advice,,active
CH6653,N067,Relationship Advice,https://www.youtube.com/@RelationshipAdvice,30000,100,5000,Monologue,en,US,General relationship guidance,,active
CH6654,N067,Stay Tuned with Kristy and Malik,https://www.youtube.com/@KristyAndMalik,20000,100,5000,Monologue,en,US,Couple relationship discussions,,active
