channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6701,N068,Charisma on Command,https://www.youtube.com/@Charismaoncommand,6000000,400,1000000,Monologue,en,US,Communication charisma and confidence building,,active
CH6702,N068,Dan O'Connor Training,https://www.youtube.com/@DanOConnorTraining,500000,500,50000,Monologue,en,US,Number 1 rated communication training channel,,active
CH6703,N068,Think Fast Talk Smart,https://www.youtube.com/@ThinkFastTalkSmart,500000,200,50000,Monologue,en,US,Stanford GSB spontaneous communication,,active
CH6704,N068,MasterTalk,https://www.youtube.com/@MasterTalk,200000,300,20000,Monologue,en,CA,Brendan overcoming fear of public speaking,,active
CH6705,N068,Explearning,https://www.youtube.com/@Explearning,100000,300,10000,Monologue,en,US,Social skills and conflict management,,active
CH6706,N068,Mind Tools,https://www.youtube.com/@MindTools,200000,300,10000,Monologue,en,GB,Management and leadership communication,,active
CH6707,N068,The School of Life Communication,https://www.youtube.com/@theschooloflife,9000000,500,500000,Animation/Narration,en,GB,Emotional intelligence and communication,,active
CH6708,N068,Jayson Gaddis Conflict,https://www.youtube.com/@JaysonGaddis,50000,200,5000,Monologue,en,US,Relationship conflict resolution skills,,active
CH6709,N068,Jefferson Fisher,https://www.youtube.com/@JeffersonFisher,3000000,200,500000,Monologue,en,US,Trial lawyer communication and conflict tips,,active
CH6710,N068,Vanessa Van Edwards,https://www.youtube.com/@VanessaVanEdwards,1000000,300,50000,Monologue,en,US,People skills and communication science,,active
CH6711,N068,Noah Elkrief,https://www.youtube.com/@NoahElkrief,200000,300,10000,Monologue,en,US,Communication and inner peace,,active
CH6712,N068,TED Talks Communication,https://www.youtube.com/@TED,24000000,5000,500000,Monologue,en,US,Communication TED talks,,active
CH6713,N068,Crucial Learning,https://www.youtube.com/@CrucialLearning,100000,200,10000,Monologue,en,US,Crucial conversations training,,active
CH6714,N068,Chris Voss Negotiation,https://www.youtube.com/@ChrisVoss,200000,200,20000,Monologue,en,US,FBI hostage negotiator communication,,active
CH6715,N068,Simon Sinek,https://www.youtube.com/@SimonSinek,5000000,500,200000,Monologue,en,US,Leadership communication and empathy,,active
CH6716,N068,Brene Brown,https://www.youtube.com/@BreneBrown,500000,200,50000,Monologue,en,US,Vulnerability and courageous communication,,active
CH6717,N068,John Gottman Institute,https://www.youtube.com/@TheGottmanInstitute,200000,200,20000,Monologue,en,US,Research-based couple communication,,active
