channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6801,N069,Dr. Becky Kennedy Good Inside,https://www.youtube.com/@GoodInsideDrBecky,500000,200,50000,Monologue,en,US,Clinical psychologist connection-based parenting,,active
CH6802,N069,Janet Lansbury,https://www.youtube.com/@JanetLansbury,200000,200,20000,Monologue,en,US,RIE respectful parenting expert,,active
CH6803,N069,Big Little Feelings,https://www.youtube.com/@BigLittleFeelings,500000,200,50000,Monologue,en,US,Toddler behavior management strategies,,active
CH6804,N069,WhatsUpMoms,https://www.youtube.com/@WhatsUpMoms,3000000,500,100000,Monologue,en,US,Trusted parenting hacks and education,,active
CH6805,N069,Ms. Rachel,https://www.youtube.com/@MsRachel,10000000,200,5000000,Monologue,en,US,Speech development and early learning,,active
CH6806,N069,The Dad Lab,https://www.youtube.com/@TheDadLab,5000000,300,200000,Monologue,en,US,Science experiments and activities for kids,,active
CH6807,N069,The Parenting Junkie,https://www.youtube.com/@TheParentingJunkie,200000,300,10000,Monologue,en,US,Minimalist and gentle parenting,,active
CH6808,N069,Maggie Dent,https://www.youtube.com/@MaggieDent,50000,200,5000,Monologue,en,AU,Australian parenting educator,,active
CH6809,N069,The Family Coach,https://www.youtube.com/@TheFamilyCoach,30000,100,5000,Monologue,en,US,Family coaching education,,active
CH6810,N069,Hand in Hand Parenting,https://www.youtube.com/@HandInHandParenting,30000,100,5000,Monologue,en,US,Connection-based parenting approach,,active
CH6811,N069,Calm Parenting Podcast,https://www.youtube.com/@CalmParenting,30000,200,5000,Monologue,en,US,Calm parenting strategies,,active
CH6812,N069,Peace and Parenting Michelle Kenney,https://www.youtube.com/@PeaceAndParenting,30000,200,5000,Monologue,en,US,Peaceful parenting education,,active
CH6813,N069,Katherine Sellery Conscious Parenting,https://www.youtube.com/@ConsciousParenting,20000,100,5000,Monologue,en,US,Conscious parenting revolution,,active
CH6814,N069,Your Parenting Mojo,https://www.youtube.com/@YourParentingMojo,20000,200,5000,Monologue,en,US,Research-based parenting,,active
CH6815,N069,The Brainy Moms Podcast,https://www.youtube.com/@BrainyMoms,20000,200,5000,Monologue,en,US,Brain science and parenting,,active
CH6816,N069,Peaceful Parenting Sarah Rosensweet,https://www.youtube.com/@PeacefulParenting,20000,100,5000,Monologue,en,CA,Peaceful parenting approach,,active
