channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6901,N070,The Futur,https://www.youtube.com/@thefutur,2400000,,,talking_head,en,US,Design business and creative strategy with Chris Do,2026-04-16,pending_verification
CH6902,N070,Satori Graphics,https://www.youtube.com/@SatoriGraphics,750000,,,talking_head,en,UK,Design principles and visual communication psychology,2026-04-16,pending_verification
CH6903,N070,Will Paterson,https://www.youtube.com/channel/UCIp9sEZiv36cDG7cEnrVU7Q,975000,,,talking_head,en,UK,Typography and logo design education,2026-04-16,pending_verification
CH6904,N070,Yes I'm a Designer,https://www.youtube.com/channel/UCT_of6HCtVZFpnnnLUeAGYA,450000,,,talking_head,en,AU,Adobe certified design master tutorials and principles,2026-04-16,pending_verification
CH6905,N070,DesignCourse,https://www.youtube.com/channel/UCVyRiMvfUNMA1UPlDPzG5Ow,900000,,,talking_head,en,US,UI design and web development tutorials,2026-04-16,pending_verification
CH6906,N070,Flux Academy,https://www.youtube.com/channel/UCN7dywl5wDxTu1RM3eJ_h9Q,400000,,,talking_head,en,IL,Web design theory and freelancing advice,2026-04-16,pending_verification
CH6907,N070,Graphic Design How To,https://www.youtube.com/channel/UCPw8OhTFjtWfEQxwZrJocOQ,200000,,,talking_head,en,US,Graphic design tutorials and how-tos,2026-04-16,pending_verification
CH6908,N070,TastyTuts,https://www.youtube.com/channel/UC64eec0UYHxflyEWgyZOvLA,150000,,,talking_head,en,UK,Design software tutorials,2026-04-16,pending_verification
CH6909,N070,Teela Cunningham,https://www.youtube.com/channel/UC7LfMHlnCxEJWZ-m5BN7_ig,120000,,,talking_head,en,US,Hand lettering and Illustrator tutorials,2026-04-16,pending_verification
CH6910,N070,Spoon Graphics,https://www.youtube.com/channel/UC_mkC8ChfzCJcuSqSMwvUWw,400000,,,talking_head,en,UK,Graphic design tutorials and resources,2026-04-16,pending_verification
CH6911,N070,Mt. Mograph,https://www.youtube.com/channel/UCSUSgx9qc_NydrOL59xbJIA,300000,,,talking_head,en,US,Motion graphics and After Effects education,2026-04-16,pending_verification
CH6912,N070,MOBOX GRAPHICS,https://www.youtube.com/channel/UCQyp3CBrBSfIynoDosN3c7g,200000,,,talking_head,en,US,Motion design tutorials and process,2026-04-16,pending_verification
CH6913,N070,Ste Bradbury Design,https://www.youtube.com/channel/UCVvcyoY6dBJA2jasVk6lHtw,150000,,,talking_head,en,UK,Logo design and branding tutorials,2026-04-16,pending_verification
CH6914,N070,Zimri Mayfield,https://www.youtube.com/channel/UCbqd2YmFeHMwxlj4NcN5zPQ,250000,,,talking_head,en,US,Design commentary and critique,2026-04-16,pending_verification
CH6915,N070,Envato Tuts+,https://www.youtube.com/@envatotuts,1000000,,,talking_head,en,AU,Design tutorials and courses,2026-04-16,pending_verification
CH6916,N070,Dansky,https://www.youtube.com/@MadeByDansky,300000,,,talking_head,en,UK,Adobe design tutorials,2026-04-16,pending_verification
