channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7001,N071,NNgroup,https://www.youtube.com/channel/UC2oCugzU6W8-h95W7eBTUEg,400000,,,talking_head,en,US,Nielsen Norman Group UX research and guidelines,2026-04-16,pending_verification
CH7002,N071,Flux Academy,https://www.youtube.com/channel/UCN7dywl5wDxTu1RM3eJ_h9Q,400000,,,talking_head,en,IL,Web design theory and freelancing with Ran Segall,2026-04-16,pending_verification
CH7003,N071,DesignCourse,https://www.youtube.com/channel/UCVyRiMvfUNMA1UPlDPzG5Ow,900000,,,talking_head,en,US,UI/UX design and development tutorials,2026-04-16,pending_verification
CH7004,N071,Mizko,https://www.youtube.com/channel/UCZJkZy008cQjqkJeKpJu8tA,300000,,,talking_head,en,AU,UI/UX design with Figma project-based,2026-04-16,pending_verification
CH7005,N071,Jesse Showalter,https://www.youtube.com/channel/UCvBGFeXbBrq3W9_0oNLJREQ,200000,,,talking_head,en,US,Digital design and web development tools,2026-04-16,pending_verification
CH7006,N071,Yes I'm a Designer,https://www.youtube.com/channel/UCT_of6HCtVZFpnnnLUeAGYA,450000,,,talking_head,en,AU,Design tutorials and theory with Martin Perhiniak,2026-04-16,pending_verification
CH7007,N071,AJ&Smart,https://www.youtube.com/@AJSmart,250000,,,talking_head,en,DE,Design sprints and product design facilitation,2026-04-16,pending_verification
CH7008,N071,Malewicz,https://www.youtube.com/channel/UC_Dq0oUEi7uXhdUX8prunbw,200000,,,talking_head,en,PL,UI design philosophy and thinking,2026-04-16,pending_verification
CH7009,N071,Sarah Doody,https://www.youtube.com/channel/UCxM6G42vmI752f60od3Gypw,50000,,,talking_head,en,US,UX strategy and portfolio building,2026-04-16,pending_verification
CH7010,N071,CareerFoundry,https://www.youtube.com/channel/UCzAoItAnNOJYf8XqnERy50w,100000,,,talking_head,en,DE,UX methodology and career guidance,2026-04-16,pending_verification
CH7011,N071,Aliena Cai,https://www.youtube.com/channel/UCdImQC-ytxsJss3d1cqdOzA,80000,,,talking_head,en,US,UX design career tips and insights,2026-04-16,pending_verification
CH7012,N071,DesignerUp,https://www.youtube.com/channel/UCw2R8kz3aotYtV9utqf0uaw,50000,,,talking_head,en,US,Product design education,2026-04-16,pending_verification
