channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7101,N072,Peter McKinnon,https://www.youtube.com/channel/UC3DkFux8Iv-aYnTRWzwaiBA,6000000,,,talking_head,en,CA,Cinematic photography inspiration and creative motivation,2026-04-16,pending_verification
CH7102,N072,Tony & Chelsea Northrup,https://www.youtube.com/channel/UCDkJEEIifDzR_2K2p9tnwYQ,1700000,,,talking_head,en,US,Photography gear reviews tutorials and critiques,2026-04-16,pending_verification
CH7103,N072,Jared Polin,https://www.youtube.com/channel/UCZG-C5esGZyVfxO2qXa1Zmw,1500000,,,talking_head,en,US,FroKnowsPhoto - camera reviews and techniques,2026-04-16,pending_verification
CH7104,N072,PHLEARN,https://www.youtube.com/channel/UC47XN5bhLTBH5TRFyKaUpKg,2200000,,,talking_head,en,US,Professional Photoshop and Lightroom education,2026-04-16,pending_verification
CH7105,N072,Jessica Kobeissi,https://www.youtube.com/channel/UCvs_Clo5c1u2hXwv0zEG6rw,800000,,,talking_head,en,US,Portrait photography education and challenges,2026-04-16,pending_verification
CH7106,N072,The Art of Photography,https://www.youtube.com/channel/UC7T8roVtC_3afWKTOGtLlBA,600000,,,talking_head,en,US,Photography philosophy and technique with Ted Forbes,2026-04-16,pending_verification
CH7107,N072,Thomas Heaton,https://www.youtube.com/channel/UCfhW84xfA6gEc4hDK90rR1Q,500000,,,talking_head,en,UK,Landscape photography education and fieldwork,2026-04-16,pending_verification
CH7108,N072,Sean Tucker,https://www.youtube.com/@seantuck,500000,,,talking_head,en,UK,Photography philosophy and creative thinking,2026-04-16,pending_verification
CH7109,N072,Julia Trotti,https://www.youtube.com/channel/UCxbCDVe8TuzLbPFnxlC55Nw,400000,,,talking_head,en,AU,Portrait photography tutorials and BTS,2026-04-16,pending_verification
CH7110,N072,Mango Street,https://www.youtube.com/channel/UC5bp5_6h-ZxkBz6S_33ZUVg,1500000,,,talking_head,en,US,Photography and filmmaking tutorials,2026-04-16,pending_verification
CH7111,N072,Matt Granger,https://www.youtube.com/channel/UCL5Hf6_JIzb3HpiJQGqs8cQ,600000,,,talking_head,en,AU,Camera reviews and photography education,2026-04-16,pending_verification
CH7112,N072,Serge Ramelli,https://www.youtube.com/channel/UCyaDDjiNgWX-uRXOx6LPsYQ,500000,,,talking_head,en,FR,Lightroom and photography tutorials,2026-04-16,pending_verification
CH7113,N072,Christopher Frost,https://www.youtube.com/channel/UCxoyIXANauK4cEfy0Wc09IA,400000,,,talking_head,en,UK,Lens reviews and photography education,2026-04-16,pending_verification
CH7114,N072,Kai W,https://www.youtube.com/channel/UCknMR7NOY6ZKcVbyzOxQPhw,500000,,,talking_head,en,UK,Camera reviews with personality and humor,2026-04-16,pending_verification
CH7115,N072,Irene Rudnyk,https://www.youtube.com/channel/UCkuqaHz3WWM2oUgFh3H9q9w,600000,,,talking_head,en,CA,Portrait and natural light photography,2026-04-16,pending_verification
CH7116,N072,The Slanted Lens,https://www.youtube.com/channel/UCUbAIlQq6qdOCW7nURh9Qog,400000,,,talking_head,en,US,Lighting tutorials and photography education,2026-04-16,pending_verification
CH7117,N072,Joshua Cripps Photography,https://www.youtube.com/channel/UCJ2CMGw35yb3BZieF60_rWA,300000,,,talking_head,en,US,Landscape photography and tutorials,2026-04-16,pending_verification
CH7118,N072,Steve Perry,https://www.youtube.com/channel/UChUi5Gm8w-S_d6dS31cFCnQ,300000,,,talking_head,en,US,Wildlife photography education,2026-04-16,pending_verification
CH7119,N072,Mark Denney,https://www.youtube.com/@MarkDenney,322000,,,talking_head,en,US,Landscape photography composition and editing,2026-04-16,pending_verification
CH7120,N072,Chase Jarvis,https://www.youtube.com/channel/UCp8mr0kjVyVAmvexLDqB60A,300000,,,talking_head,en,US,Photography and creative entrepreneurship,2026-04-16,pending_verification
CH7121,N072,Mike Browne,https://www.youtube.com/channel/UCs4S07E5NC0R7pVuzBJ0e8Q,300000,,,talking_head,en,UK,Photography education for all levels,2026-04-16,pending_verification
CH7122,N072,Sean Dalton,https://www.youtube.com/channel/UCZpZTSdvEgVf0BqTqf9NjNg,300000,,,talking_head,en,CA,Travel and food photography,2026-04-16,pending_verification
CH7123,N072,KelbyOne,https://www.youtube.com/channel/UCFJ7r70nIWRe0mJ2lp7NAsA,200000,,,talking_head,en,US,Photography education platform by Scott Kelby,2026-04-16,pending_verification
CH7124,N072,Visual Education,https://www.youtube.com/channel/UCZajtzLoD3nxn2G9ripCjPg,200000,,,talking_head,en,UK,Photography education and reviews,2026-04-16,pending_verification
CH7125,N072,Matt Day,https://www.youtube.com/channel/UCopwCE5bVtffQif8IFkbUuw,200000,,,talking_head,en,US,Film and street photography,2026-04-16,pending_verification
CH7126,N072,Mark Wallace,https://www.youtube.com/channel/UCFrmZQhRSVgnCreE0mM2QQg,200000,,,talking_head,en,US,Studio lighting and portrait education,2026-04-16,pending_verification
CH7127,N072,TheCameraStoreTV,https://www.youtube.com/channel/UCqpOf_Nl5F4tjwlxOVS6h8A,200000,,,talking_head,en,CA,Camera store reviews and comparisons,2026-04-16,pending_verification
CH7128,N072,Michael The Maven,https://www.youtube.com/channel/UCFIdYs7n4i8FKEb0aYhOucA,200000,,,talking_head,en,US,Camera tutorials and photography tips,2026-04-16,pending_verification
CH7129,N072,PhotoRec TV,https://www.youtube.com/channel/UC0sx2UCRrPrZ_98J6oRtbwQ,200000,,,talking_head,en,US,Photo recovery and editing tutorials,2026-04-16,pending_verification
CH7130,N072,Tutvid,https://www.youtube.com/channel/UCeR7U67I2J1icV8E6Rn40vQ,1200000,,,talking_head,en,US,Photo editing and Photoshop tutorials,2026-04-16,pending_verification
CH7131,N072,Lok Cheung,https://www.youtube.com/channel/UC4_m1_0MTTmnWo4tpB0O_7g,200000,,,talking_head,en,UK,Photography vlogs and reviews,2026-04-16,pending_verification
CH7132,N072,Eric Kim Photography,https://www.youtube.com/channel/UCJOL6q7RhSJbhwTQAaJOwiQ,100000,,,talking_head,en,US,Street photography philosophy,2026-04-16,pending_verification
CH7133,N072,Brent Hall,https://www.youtube.com/channel/UCzzT17GEeEPojZe7FT7skag,150000,,,talking_head,en,AU,Landscape photography and Lightroom,2026-04-16,pending_verification
CH7134,N072,Micael Widell,https://www.youtube.com/channel/UCJ9XPzyAZ4JP1HqxAN71dMQ,100000,,,talking_head,en,SE,Photography reviews and creative insights,2026-04-16,pending_verification
CH7135,N072,Ben Horne,https://www.youtube.com/channel/UCtiLZhefLrm4CEMrctJyzUQ,100000,,,talking_head,en,US,Large format landscape photography,2026-04-16,pending_verification
CH7136,N072,Anita Sadowska,https://www.youtube.com/@sadowskaphoto,100000,,,talking_head,en,UK,Creative portrait photography,2026-04-16,pending_verification
CH7137,N072,FJH Photography,https://www.youtube.com/@fjhphoto,80000,,,talking_head,en,UK,Film photography education,2026-04-16,pending_verification
CH7138,N072,Kayleigh June,https://www.youtube.com/@KayleighJune,100000,,,talking_head,en,US,Photography and creative storytelling,2026-04-16,pending_verification
CH7139,N072,Hartnett Media,https://www.youtube.com/channel/UC9iy0bQd8OddxuHl1e3qkzw,80000,,,talking_head,en,US,Photography business and education,2026-04-16,pending_verification
CH7140,N072,Ribsy,https://www.youtube.com/@ribsy,80000,,,talking_head,en,US,Film photography and analog process,2026-04-16,pending_verification
CH7141,N072,graincheck,https://www.youtube.com/channel/UC-FnGaXQfgXFbEiq28uEEng,60000,,,talking_head,en,US,Film photography reviews,2026-04-16,pending_verification
CH7142,N072,Phil Thach,https://www.youtube.com/channel/UCKBk8AednkAcyjcW6BDfTDg,50000,,,talking_head,en,US,Photography tutorials and tips,2026-04-16,pending_verification
CH7143,N072,Rafy A,https://www.youtube.com/channel/UCB69iibkyOYlODhrwJlrzsw,100000,,,talking_head,en,US,Wedding photography tutorials,2026-04-16,pending_verification
CH7144,N072,Sara Dietschy,https://www.youtube.com/channel/UCx3fg6pL63upkXCc0T203wVg,500000,,,talking_head,en,US,Creative tech and photography,2026-04-16,pending_verification
CH7145,N072,DSLR Video Shooter,https://www.youtube.com/channel/UCMmA0XxraDP7ZVbv4eY3Omg,300000,,,talking_head,en,US,DSLR video and photography gear,2026-04-16,pending_verification
CH7146,N072,Gordon Laing,https://www.youtube.com/channel/UCmjNQjjxPOP9jMTQAqaP1PQ,200000,,,talking_head,en,UK,Camera and photography tech reviews,2026-04-16,pending_verification
CH7147,N072,Jason Lanier,https://www.youtube.com/channel/UCDy1DrgRSUN1C29fmBLJj5g,200000,,,talking_head,en,US,Wedding and portrait photography,2026-04-16,pending_verification
