channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7201,N073,Alex Cattoni,https://www.youtube.com/@AlexCattoni,500000,,,talking_head,en,US,Copywriting marketing and freelancing education,2026-04-16,pending_verification
CH7202,N073,Abbie Emmons,https://www.youtube.com/channel/UC20oEMuKgfaNBfpV7JlFRQQ,400000,,,talking_head,en,US,Storytelling psychology and writing craft,2026-04-16,pending_verification
CH7203,N073,Brandon Sanderson,https://www.youtube.com/channel/UC3g-w83Cb5pEAu5UmRrge-A,800000,,,talking_head,en,US,Creative writing lectures from bestselling author,2026-04-16,pending_verification
CH7204,N073,Jenna Moreci,https://www.youtube.com/channel/UCS_fcv9kBpDN4WWrfcbCrgw,400000,,,talking_head,en,US,Fiction writing tips and author advice,2026-04-16,pending_verification
CH7205,N073,Alexa Donne,https://www.youtube.com/channel/UCfwTRhTSM2NyJImC8HeUd1Q,200000,,,talking_head,en,US,Publishing industry and writing advice,2026-04-16,pending_verification
CH7206,N073,ShaelinWrites,https://www.youtube.com/channel/UCb-wzF6DrSslXq3qE61YL7A,200000,,,talking_head,en,CA,Concise structured writing education,2026-04-16,pending_verification
CH7207,N073,Terrible Writing Advice,https://www.youtube.com/channel/UC3ogrx6d9oohf6D42G44j1A,600000,,,talking_head,en,US,Satirical writing advice and storytelling,2026-04-16,pending_verification
CH7208,N073,Ellen Brock,https://www.youtube.com/channel/UCgvu0q49l3BfsMyp9WSTQLw,200000,,,talking_head,en,US,Professional editor writing advice,2026-04-16,pending_verification
CH7209,N073,Diane Callahan Quotidian Writer,https://www.youtube.com/channel/UCEmQO4-dP2XhINMXnad6E7g,200000,,,talking_head,en,US,Writing craft essays and analysis,2026-04-16,pending_verification
CH7210,N073,The Creative Penn,https://www.youtube.com/channel/UCdug0jLfpkayiiRyU4WqDPQ,100000,,,talking_head,en,UK,Author business and creative writing,2026-04-16,pending_verification
CH7211,N073,Self Publishing School,https://www.youtube.com/channel/UC3KUDrLcG1Ni8Wl63LtREYg,200000,,,talking_head,en,US,Self publishing and book marketing,2026-04-16,pending_verification
CH7212,N073,Kristen Martin,https://www.youtube.com/channel/UCYyy_hiZRaSLGLOn62Nc4AA,200000,,,talking_head,en,US,Writing productivity and author life,2026-04-16,pending_verification
CH7213,N073,Neville Medhora,https://www.youtube.com/@KopywritingKourse,100000,,,talking_head,en,US,Kopywriting Kourse copywriting tips and interviews,2026-04-16,pending_verification
CH7214,N073,iWriterly,https://www.youtube.com/channel/UCKeBrWDtIBrnrCkxHo5MQ,100000,,,talking_head,en,US,Writing advice and publishing tips,2026-04-16,pending_verification
CH7215,N073,Vivien Reis,https://www.youtube.com/channel/UCmBw2VslVxiCHZHMCKWSJpQ,100000,,,talking_head,en,US,Writing process and author journey,2026-04-16,pending_verification
CH7216,N073,Mandi Lynn Stone Ridge Books,https://www.youtube.com/channel/UCY5S1UKi_vbqDLHSReCSWqw,100000,,,talking_head,en,US,Self publishing and writing tips,2026-04-16,pending_verification
CH7217,N073,Bethany Atazadeh,https://www.youtube.com/channel/UCPCRTrY4fiQXF9JXdNtr7rw,100000,,,talking_head,en,US,YA fantasy writing and author advice,2026-04-16,pending_verification
CH7218,N073,Hannah Lee Kidder,https://www.youtube.com/channel/UCPzRo8WoU92lwfwbcfz5VcA,80000,,,talking_head,en,US,Writing advice with humor,2026-04-16,pending_verification
CH7219,N073,Grammar Girl,https://www.youtube.com/channel/UC9nKWrOxInft2dNfgSFFvsA,50000,,,talking_head,en,US,Grammar and writing tips,2026-04-16,pending_verification
CH7220,N073,Robert McKee,https://www.youtube.com/channel/UC7nv8q7-rUb1WTIP4fFm2EA,80000,,,talking_head,en,US,Story structure and screenwriting mastery,2026-04-16,pending_verification
CH7221,N073,ProWritingAidTV,https://www.youtube.com/channel/UClh8Sjuq-j17zxjfvxmcIg,50000,,,talking_head,en,US,Writing tools and craft education,2026-04-16,pending_verification
CH7222,N073,Chris Fox,https://www.youtube.com/channel/UCu6RYg6_-pTQxLVq3Fv6lYg,80000,,,talking_head,en,US,Writing productivity and publishing,2026-04-16,pending_verification
CH7223,N073,Self Publishing Formula,https://www.youtube.com/channel/UC5Qu8GvA0lUm3GmzBqmmfeg,80000,,,talking_head,en,UK,Self publishing strategies,2026-04-16,pending_verification
CH7224,N073,Author Level Up,https://www.youtube.com/channel/UCcdjxp-TGOOucIV1rMDS8jw,60000,,,talking_head,en,US,Author career growth strategies,2026-04-16,pending_verification
