channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7301,N074,The Futur,https://www.youtube.com/@thefutur,2400000,,,talking_head,en,US,Design business and brand strategy with Chris Do,2026-04-16,pending_verification
CH7302,N074,Philip VanDusen,https://www.youtube.com/@PhilipVanDusen,300000,,,talking_head,en,US,Brand design and strategy education,2026-04-16,pending_verification
CH7303,N074,How Brands Are Built,https://www.youtube.com/channel/UCJp5QOaD0EK-VE5NVFCro1A,30000,,,talking_head,en,US,Branding professionals interviews and insights,2026-04-16,pending_verification
CH7304,N074,Sunny Lenarduzzi,https://www.youtube.com/channel/UCnBTvMFhuvbE_dhw2mo0NaQ,694000,,,talking_head,en,CA,Branding business and entrepreneurship,2026-04-16,pending_verification
CH7305,N074,Denise Lee Yohn,https://www.youtube.com/channel/UClCy0Ye_34pUBy5UFVzA_pg,10000,,,talking_head,en,US,Brand leadership expertise,2026-04-16,pending_verification
CH7306,N074,Butler Branding Agency,https://www.youtube.com/channel/UCAxtC6D1jmgpWg53fuczKtw,20000,,,talking_head,en,US,Brand strategy and design agency,2026-04-16,pending_verification
CH7307,N074,Richard Sauerman,https://www.youtube.com/channel/UCbZHn9D3fYR13H2mGM6yOKQ,15000,,,talking_head,en,AU,Branding education and strategy,2026-04-16,pending_verification
CH7308,N074,GaryVee,https://www.youtube.com/@garyvee,4000000,,,talking_head,en,US,Personal branding and marketing mastery,2026-04-16,pending_verification
CH7309,N074,Brand Master Academy,https://www.youtube.com/@BrandMasterAcademy,100000,,,talking_head,en,AU,Brand strategy education and frameworks,2026-04-16,pending_verification
CH7310,N074,Sagi Haviv,https://www.youtube.com/@SagiHaviv,30000,,,talking_head,en,US,Logo and brand identity design,2026-04-16,pending_verification
CH7311,N074,Jacob Cass Just Creative,https://www.youtube.com/@JustCreative,50000,,,talking_head,en,AU,Brand identity and design,2026-04-16,pending_verification
CH7312,N074,Kaye Putnam,https://www.youtube.com/@KayePutnam,30000,,,talking_head,en,US,Psychology-driven brand strategy,2026-04-16,pending_verification
CH7313,N074,Dain Walker,https://www.youtube.com/@DainWalker,100000,,,talking_head,en,AU,Brand strategy and positioning,2026-04-16,pending_verification
CH7314,N074,Seth Godin,https://www.youtube.com/@SethGodin,100000,,,talking_head,en,US,Marketing and brand philosophy,2026-04-16,pending_verification
CH7315,N074,Marty Neumeier,https://www.youtube.com/@MartyNeumeier,20000,,,talking_head,en,US,Brand gap and zag strategy,2026-04-16,pending_verification
CH7316,N074,Marie Forleo,https://www.youtube.com/@marieforleo,800000,,,talking_head,en,US,Brand building and online business,2026-04-16,pending_verification
CH7317,N074,Will Paterson,https://www.youtube.com/channel/UCIp9sEZiv36cDG7cEnrVU7Q,975000,,,talking_head,en,UK,Logo and brand design education,2026-04-16,pending_verification
CH7318,N074,Satori Graphics,https://www.youtube.com/@SatoriGraphics,750000,,,talking_head,en,UK,Brand design principles,2026-04-16,pending_verification
CH7319,N074,Ste Bradbury Design,https://www.youtube.com/channel/UCVvcyoY6dBJA2jasVk6lHtw,150000,,,talking_head,en,UK,Logo and branding tutorials,2026-04-16,pending_verification
CH7320,N074,Roberto Blake,https://www.youtube.com/@robertoblake,550000,,,talking_head,en,US,Creative brand entrepreneurship,2026-04-16,pending_verification
CH7321,N074,Dan Koe,https://www.youtube.com/@DanKoe,500000,,,talking_head,en,US,Personal brand and one-person business,2026-04-16,pending_verification
CH7322,N074,Vanessa Lau,https://www.youtube.com/@VanessaLau,600000,,,talking_head,en,CA,Brand building on social media,2026-04-16,pending_verification
CH7323,N074,Amy Porterfield,https://www.youtube.com/@AmyPorterfield,300000,,,talking_head,en,US,Online brand and course building,2026-04-16,pending_verification
CH7324,N074,Jenna Kutcher,https://www.youtube.com/@JennaKutcher,200000,,,talking_head,en,US,Personal brand and marketing,2026-04-16,pending_verification
CH7325,N074,Jasmine Star,https://www.youtube.com/@JasmineStar,300000,,,talking_head,en,US,Brand photography and social strategy,2026-04-16,pending_verification
CH7326,N074,Think Media,https://www.youtube.com/@ThinkMedia,3000000,,,talking_head,en,US,Brand building with video content,2026-04-16,pending_verification
CH7327,N074,Logos By Nick,https://www.youtube.com/@LogosByNick,600000,,,talking_head,en,US,Logo and brand design tutorials,2026-04-16,pending_verification
CH7328,N074,Logo Geek,https://www.youtube.com/@LogoGeek,30000,,,talking_head,en,UK,Logo design and branding tips,2026-04-16,pending_verification
CH7329,N074,Tailor Brands,https://www.youtube.com/channel/UCDv-jVSCDrwODOYr2pNASTA,20000,,,talking_head,en,US,Brand design tool and tutorials,2026-04-16,pending_verification
CH7330,N074,Rebrandly,https://www.youtube.com/channel/UCHK4HD0ltu1-I212icLPt3g,5000,,,talking_head,en,US,Branded link management,2026-04-16,pending_verification
CH7331,N074,The Branded Startup,https://www.youtube.com/channel/UCP4KHLfWlszpCYZi19KycPA,10000,,,talking_head,en,US,Startup branding strategies,2026-04-16,pending_verification
