channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7401,N075,The Minimalists,https://www.youtube.com/channel/UCkbFiBwMYMXAqifXF4xo5Uw,500000,,,talking_head,en,US,Minimalism and meaningful living with Joshua and Ryan,2026-04-16,pending_verification
CH7402,N075,Matt D'Avella,https://www.youtube.com/channel/UCJ24N4O0bP7LGLBDvye7oCA,3500000,,,talking_head,en,US,Minimalist habits filmmaking and lifestyle,2026-04-16,pending_verification
CH7403,N075,The Minimal Mom,https://www.youtube.com/@TheMinimalMom,600000,,,talking_head,en,US,Family minimalism and decluttering,2026-04-16,pending_verification
CH7404,N075,Lavendaire,https://www.youtube.com/channel/UC-ga3onzHSJFAGsIebtVeBg,1600000,,,talking_head,en,US,Intentional living and self development,2026-04-16,pending_verification
CH7405,N075,Heal Your Living,https://www.youtube.com/@HealYourLiving,230000,,,talking_head,en,US,Minimalist coaching and wellness,2026-04-16,pending_verification
CH7406,N075,Simple Happy Zen,https://www.youtube.com/@SimpleHappyZen,200000,,,talking_head,en,NL,Simple living and happiness,2026-04-16,pending_verification
CH7407,N075,Break the Twitch,https://www.youtube.com/@BreaktheTwitch,100000,,,talking_head,en,US,Intentional living and aligning values,2026-04-16,pending_verification
CH7408,N075,Pick Up Limes,https://www.youtube.com/channel/UCq2E1mIwUKMWzCA4liA_XGQ,3500000,,,talking_head,en,NL,Minimalist vegan nutrition lifestyle,2026-04-16,pending_verification
CH7409,N075,Exploring Alternatives,https://www.youtube.com/channel/UC8EQAfueDGNeqb1ALm0LjHA,800000,,,talking_head,en,CA,Alternative minimal living and tiny homes,2026-04-16,pending_verification
CH7410,N075,Madeleine Olivia,https://www.youtube.com/channel/UC4CpQoAPJNGGUPG92Fbwxqw,500000,,,talking_head,en,UK,Sustainable minimal living UK,2026-04-16,pending_verification
CH7411,N075,Jenny Mustard,https://www.youtube.com/channel/UC7fPf1yuGaYFmbxe0ZrshWw,400000,,,talking_head,en,SE,Minimalism and style Sweden,2026-04-16,pending_verification
