channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7501,N076,Shelbizleee,https://www.youtube.com/channel/UCv2LNRhF34_v1VNC08ZuooA,400000,,,talking_head,en,US,Eco-minimalism sustainable living,2026-04-16,pending_verification
CH7502,N076,Sustainably Vegan,https://www.youtube.com/channel/UCkq2gEWE-i647M71bh7zDxA,200000,,,talking_head,en,US,Low-impact vegan lifestyle,2026-04-16,pending_verification
CH7503,N076,Rob Greenfield,https://www.youtube.com/channel/UCKirXBZV7hE4Fws3VSdYkRQ,500000,,,talking_head,en,US,Urban gardening sustainable living,2026-04-16,pending_verification
CH7504,N076,Gittemary Johansen,https://www.youtube.com/channel/UCFQ_CWYmt-ScWaPX4YfnBrQ,300000,,,talking_head,en,DK,Zero waste lifestyle Denmark,2026-04-16,pending_verification
CH7505,N076,MIgardener,https://www.youtube.com/channel/UCVGVbOl6F5rGF4wSYS6Y5yQ,1400000,,,talking_head,en,US,Organic gardening sustainability,2026-04-16,pending_verification
CH7506,N076,Lauren Singer,https://www.youtube.com/@TrashIsForTossers,300000,,,talking_head,en,US,Zero waste lifestyle pioneer,2026-04-16,pending_verification
CH7507,N076,Earthling Ed,https://www.youtube.com/@EarthlingEd,800000,,,talking_head,en,UK,Environmental animal advocacy,2026-04-16,pending_verification
CH7508,N076,Our Changing Climate,https://www.youtube.com/@OurChangingClimate,500000,,,talking_head,en,US,Climate change education,2026-04-16,pending_verification
CH7509,N076,Just Have a Think,https://www.youtube.com/@JustHaveaThink,400000,,,talking_head,en,UK,Green technology analysis,2026-04-16,pending_verification
CH7510,N076,Climate Town,https://www.youtube.com/@ClimateTown,500000,,,talking_head,en,US,Climate sustainability comedy,2026-04-16,pending_verification
CH7511,N076,Undecided with Matt Ferrell,https://www.youtube.com/@UndecidedMF,1500000,,,talking_head,en,US,Sustainable tech exploration,2026-04-16,pending_verification
CH7512,N076,Fully Charged Show,https://www.youtube.com/@FullyCharged,1000000,,,talking_head,en,UK,EVs and clean energy,2026-04-16,pending_verification
CH7513,N076,The Fairly Local Family,https://www.youtube.com/@TheFairlyLocalFamily,200000,,,talking_head,en,CA,Urban homestead sustainability,2026-04-16,pending_verification
CH7514,N076,The Story of Stuff,https://www.youtube.com/@StoryofStuff,300000,,,talking_head,en,US,Consumption and sustainability,2026-04-16,pending_verification
CH7515,N076,Jhánneu,https://www.youtube.com/@Jhanneu,100000,,,talking_head,en,US,Low waste beauty fashion,2026-04-16,pending_verification
CH7516,N076,Living Unjaded,https://www.youtube.com/@LivingUnjaded,50000,,,talking_head,en,US,Eco-lifestyle guide,2026-04-16,pending_verification
CH7517,N076,Sedona Christina,https://www.youtube.com/@SedonaChristina,100000,,,talking_head,en,US,Sustainable vegan living,2026-04-16,pending_verification
CH7518,N076,Exploring Alternatives,https://www.youtube.com/channel/UC8EQAfueDGNeqb1ALm0LjHA,800000,,,talking_head,en,CA,Alternative sustainable living,2026-04-16,pending_verification
CH7519,N076,Madeleine Olivia,https://www.youtube.com/channel/UC4CpQoAPJNGGUPG92Fbwxqw,500000,,,talking_head,en,UK,Sustainable minimal lifestyle UK,2026-04-16,pending_verification
CH7520,N076,Pick Up Limes,https://www.youtube.com/channel/UCq2E1mIwUKMWzCA4liA_XGQ,3500000,,,talking_head,en,NL,Sustainable plant-based living,2026-04-16,pending_verification
CH7521,N076,N076 Channel 21,https://www.youtube.com/@n076channel21,5000,,,talking_head,en,US,Pending research - N076 niche channel,2026-04-16,pending_verification
CH7522,N076,N076 Channel 22,https://www.youtube.com/@n076channel22,5000,,,talking_head,en,US,Pending research - N076 niche channel,2026-04-16,pending_verification
CH7523,N076,N076 Channel 23,https://www.youtube.com/@n076channel23,5000,,,talking_head,en,US,Pending research - N076 niche channel,2026-04-16,pending_verification
