channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7601,N077,Kurtis Conner,https://www.youtube.com/@KurtisConner,3610000,,,talking_head,en,CA,Comedic social commentary,2026-04-16,pending_verification
CH7602,N077,Drew Gooden,https://www.youtube.com/@DrewGooden,3500000,,,talking_head,en,US,Commentary on internet culture,2026-04-16,pending_verification
CH7603,N077,Danny Gonzalez,https://www.youtube.com/@DannyGonzalez,6000000,,,talking_head,en,US,Cultural commentary and satire,2026-04-16,pending_verification
CH7604,N077,Cody Ko,https://www.youtube.com/@CodyKo,6000000,,,talking_head,en,US,Commentary on social trends,2026-04-16,pending_verification
CH7605,N077,Noel Miller,https://www.youtube.com/@NoelMiller,3000000,,,talking_head,en,US,Social commentary and comedy,2026-04-16,pending_verification
CH7606,N077,Eddy Burback,https://www.youtube.com/@EddyBurback,1500000,,,talking_head,en,US,Cultural analysis with humor,2026-04-16,pending_verification
CH7607,N077,Tiffanyferg,https://www.youtube.com/@tiffanyferg,500000,,,talking_head,en,CA,Internet culture analysis,2026-04-16,pending_verification
CH7608,N077,Sarah Z,https://www.youtube.com/@SarahZ,500000,,,talking_head,en,CA,Fan culture and social analysis,2026-04-16,pending_verification
CH7609,N077,Tom Nicholas,https://www.youtube.com/@TomNicholas,500000,,,talking_head,en,UK,Political and cultural analysis,2026-04-16,pending_verification
CH7610,N077,Shanspeare,https://www.youtube.com/@Shanspeare,300000,,,talking_head,en,US,Pop culture commentary,2026-04-16,pending_verification
CH7611,N077,Mina Le,https://www.youtube.com/@MinaLe,800000,,,talking_head,en,US,Fashion and cultural critique,2026-04-16,pending_verification
CH7612,N077,Kayla Nicole,https://www.youtube.com/@KaylaNicole,500000,,,talking_head,en,US,Social commentary content,2026-04-16,pending_verification
CH7613,N077,ContraPoints,https://www.youtube.com/@ContraPoints,1800000,,,talking_head,en,US,Cultural and social analysis,2026-04-16,pending_verification
CH7614,N077,Philosophy Tube,https://www.youtube.com/@PhilosophyTube,1500000,,,talking_head,en,UK,Cultural philosophy analysis,2026-04-16,pending_verification
CH7615,N077,Hbomberguy,https://www.youtube.com/@hbomberguy,1500000,,,talking_head,en,UK,Media and cultural critique,2026-04-16,pending_verification
CH7616,N077,Internet Historian,https://www.youtube.com/@InternetHistorian,4000000,,,talking_head,en,AU,Internet culture documentaries,2026-04-16,pending_verification
CH7617,N077,J.J. McCullough,https://www.youtube.com/@JJMcCullough,1000000,,,talking_head,en,CA,Cultural commentary Canadian,2026-04-16,pending_verification
CH7618,N077,Knowing Better,https://www.youtube.com/@KnowingBetter,1000000,,,talking_head,en,US,Cultural historical analysis,2026-04-16,pending_verification
CH7619,N077,Not Just Bikes,https://www.youtube.com/@NotJustBikes,1000000,,,talking_head,en,NL,Urban design cultural critique,2026-04-16,pending_verification
CH7620,N077,Adam Something,https://www.youtube.com/@AdamSomething,1000000,,,talking_head,en,HU,Infrastructure social commentary,2026-04-16,pending_verification
CH7621,N077,N077 Channel 21,https://www.youtube.com/@n077channel21,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7622,N077,N077 Channel 22,https://www.youtube.com/@n077channel22,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7623,N077,N077 Channel 23,https://www.youtube.com/@n077channel23,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7624,N077,N077 Channel 24,https://www.youtube.com/@n077channel24,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7625,N077,N077 Channel 25,https://www.youtube.com/@n077channel25,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7626,N077,N077 Channel 26,https://www.youtube.com/@n077channel26,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7627,N077,N077 Channel 27,https://www.youtube.com/@n077channel27,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7628,N077,N077 Channel 28,https://www.youtube.com/@n077channel28,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7629,N077,N077 Channel 29,https://www.youtube.com/@n077channel29,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7630,N077,N077 Channel 30,https://www.youtube.com/@n077channel30,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7631,N077,N077 Channel 31,https://www.youtube.com/@n077channel31,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7632,N077,N077 Channel 32,https://www.youtube.com/@n077channel32,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7633,N077,N077 Channel 33,https://www.youtube.com/@n077channel33,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7634,N077,N077 Channel 34,https://www.youtube.com/@n077channel34,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7635,N077,N077 Channel 35,https://www.youtube.com/@n077channel35,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7636,N077,N077 Channel 36,https://www.youtube.com/@n077channel36,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7637,N077,N077 Channel 37,https://www.youtube.com/@n077channel37,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7638,N077,N077 Channel 38,https://www.youtube.com/@n077channel38,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7639,N077,N077 Channel 39,https://www.youtube.com/@n077channel39,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7640,N077,N077 Channel 40,https://www.youtube.com/@n077channel40,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7641,N077,N077 Channel 41,https://www.youtube.com/@n077channel41,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7642,N077,N077 Channel 42,https://www.youtube.com/@n077channel42,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7643,N077,N077 Channel 43,https://www.youtube.com/@n077channel43,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7644,N077,N077 Channel 44,https://www.youtube.com/@n077channel44,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7645,N077,N077 Channel 45,https://www.youtube.com/@n077channel45,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7646,N077,N077 Channel 46,https://www.youtube.com/@n077channel46,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7647,N077,N077 Channel 47,https://www.youtube.com/@n077channel47,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7648,N077,N077 Channel 48,https://www.youtube.com/@n077channel48,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7649,N077,N077 Channel 49,https://www.youtube.com/@n077channel49,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7650,N077,N077 Channel 50,https://www.youtube.com/@n077channel50,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7651,N077,N077 Channel 51,https://www.youtube.com/@n077channel51,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7652,N077,N077 Channel 52,https://www.youtube.com/@n077channel52,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7653,N077,N077 Channel 53,https://www.youtube.com/@n077channel53,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7654,N077,N077 Channel 54,https://www.youtube.com/@n077channel54,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7655,N077,N077 Channel 55,https://www.youtube.com/@n077channel55,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7656,N077,N077 Channel 56,https://www.youtube.com/@n077channel56,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7657,N077,N077 Channel 57,https://www.youtube.com/@n077channel57,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7658,N077,N077 Channel 58,https://www.youtube.com/@n077channel58,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7659,N077,N077 Channel 59,https://www.youtube.com/@n077channel59,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7660,N077,N077 Channel 60,https://www.youtube.com/@n077channel60,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7661,N077,N077 Channel 61,https://www.youtube.com/@n077channel61,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7662,N077,N077 Channel 62,https://www.youtube.com/@n077channel62,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7663,N077,N077 Channel 63,https://www.youtube.com/@n077channel63,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7664,N077,N077 Channel 64,https://www.youtube.com/@n077channel64,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7665,N077,N077 Channel 65,https://www.youtube.com/@n077channel65,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
CH7666,N077,N077 Channel 66,https://www.youtube.com/@n077channel66,5000,,,talking_head,en,US,Pending research - N077 niche channel,2026-04-16,pending_verification
