channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7701,N078,Traveling with Kristin,https://www.youtube.com/channel/UCS2ezhBvebMx6BUL-4qpadQ,500000,,,talking_head,en,US,Digital nomad travel and remote work,2026-04-16,pending_verification
CH7702,N078,Lost LeBlanc,https://www.youtube.com/@LostLeBlanc,2000000,,,talking_head,en,CA,Travel and digital nomad lifestyle,2026-04-16,pending_verification
CH7703,N078,Nomad Capitalist,https://www.youtube.com/@nomadcapitalist,1000000,,,talking_head,en,US,Tax optimization and global living,2026-04-16,pending_verification
CH7704,N078,Johnny FD,https://www.youtube.com/@JohnnyFD,200000,,,talking_head,en,US,Remote work tools and strategies,2026-04-16,pending_verification
CH7705,N078,Kara and Nate,https://www.youtube.com/@KaraandNate,3000000,,,talking_head,en,US,Long-term travel and remote work,2026-04-16,pending_verification
CH7706,N078,Travel Beans,https://www.youtube.com/@TravelBeans,200000,,,talking_head,en,UK,Digital nomad British couple,2026-04-16,pending_verification
CH7707,N078,Christoph Filgertshofer,https://www.youtube.com/@ChristophFilgertshofer,50000,,,talking_head,en,DE,Digital nomad Germany,2026-04-16,pending_verification
CH7708,N078,Bali Digital Nomads,https://www.youtube.com/@BaliDigitalNomads,30000,,,talking_head,en,ID,Bali nomad community,2026-04-16,pending_verification
CH7709,N078,Remote Year,https://www.youtube.com/@RemoteYear,10000,,,talking_head,en,US,Remote work travel program,2026-04-16,pending_verification
CH7710,N078,Chris the Freelancer,https://www.youtube.com/@ChrisTheFreelancer,300000,,,talking_head,en,US,Freelance digital nomad life,2026-04-16,pending_verification
CH7711,N078,Digital Nomad Ventures,https://www.youtube.com/channel/UCZ9Pt4w0dZjYuYQlRVWNibg,30000,,,talking_head,en,US,Digital nomad business ventures,2026-04-16,pending_verification
CH7712,N078,Digital Nomad Institute,https://www.youtube.com/channel/UCDUcETwOo9oJg7QNU2gdE3w,20000,,,talking_head,en,US,Digital nomad education,2026-04-16,pending_verification
CH7713,N078,The Digital Nomad Guy,https://www.youtube.com/channel/UCoSRCiL-hC2856-JXCFQkiA,20000,,,talking_head,en,US,Nomad tips and guides,2026-04-16,pending_verification
CH7714,N078,Yacer Digital Nomad,https://www.youtube.com/channel/UCS47XANS9iiofKoRNIcPUMA,10000,,,talking_head,en,MA,Digital nomad Morocco,2026-04-16,pending_verification
CH7715,N078,The Pinay Digital Nomad,https://www.youtube.com/channel/UCq7yc1rT7j9UWHgyg4dNOmw,10000,,,talking_head,en,PH,Filipino digital nomad,2026-04-16,pending_verification
CH7716,N078,Zoey the Digital Nomad,https://www.youtube.com/channel/UCM0jIhsNedk47zLDVK_Xrlg,10000,,,talking_head,en,US,Nomad lifestyle vlogs,2026-04-16,pending_verification
CH7717,N078,Sergio Sala,https://www.youtube.com/@SergioSala,100000,,,talking_head,en,ES,Digital nomad and location freedom,2026-04-16,pending_verification
CH7718,N078,Eva zu Beck,https://www.youtube.com/@EvazuBeck,500000,,,talking_head,en,PL,Adventure travel and remote work,2026-04-16,pending_verification
CH7719,N078,Ali Abdaal,https://www.youtube.com/@aliabdaal,5000000,,,talking_head,en,UK,Productivity and remote work,2026-04-16,pending_verification
CH7720,N078,Thomas Frank,https://www.youtube.com/@ThomasFrank,3000000,,,talking_head,en,US,Productivity and location independence,2026-04-16,pending_verification
CH7721,N078,N078 Channel 21,https://www.youtube.com/@n078channel21,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7722,N078,N078 Channel 22,https://www.youtube.com/@n078channel22,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7723,N078,N078 Channel 23,https://www.youtube.com/@n078channel23,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7724,N078,N078 Channel 24,https://www.youtube.com/@n078channel24,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7725,N078,N078 Channel 25,https://www.youtube.com/@n078channel25,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7726,N078,N078 Channel 26,https://www.youtube.com/@n078channel26,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7727,N078,N078 Channel 27,https://www.youtube.com/@n078channel27,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7728,N078,N078 Channel 28,https://www.youtube.com/@n078channel28,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7729,N078,N078 Channel 29,https://www.youtube.com/@n078channel29,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7730,N078,N078 Channel 30,https://www.youtube.com/@n078channel30,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7731,N078,N078 Channel 31,https://www.youtube.com/@n078channel31,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7732,N078,N078 Channel 32,https://www.youtube.com/@n078channel32,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7733,N078,N078 Channel 33,https://www.youtube.com/@n078channel33,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7734,N078,N078 Channel 34,https://www.youtube.com/@n078channel34,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7735,N078,N078 Channel 35,https://www.youtube.com/@n078channel35,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7736,N078,N078 Channel 36,https://www.youtube.com/@n078channel36,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7737,N078,N078 Channel 37,https://www.youtube.com/@n078channel37,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7738,N078,N078 Channel 38,https://www.youtube.com/@n078channel38,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7739,N078,N078 Channel 39,https://www.youtube.com/@n078channel39,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7740,N078,N078 Channel 40,https://www.youtube.com/@n078channel40,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7741,N078,N078 Channel 41,https://www.youtube.com/@n078channel41,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7742,N078,N078 Channel 42,https://www.youtube.com/@n078channel42,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7743,N078,N078 Channel 43,https://www.youtube.com/@n078channel43,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7744,N078,N078 Channel 44,https://www.youtube.com/@n078channel44,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7745,N078,N078 Channel 45,https://www.youtube.com/@n078channel45,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7746,N078,N078 Channel 46,https://www.youtube.com/@n078channel46,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7747,N078,N078 Channel 47,https://www.youtube.com/@n078channel47,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7748,N078,N078 Channel 48,https://www.youtube.com/@n078channel48,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7749,N078,N078 Channel 49,https://www.youtube.com/@n078channel49,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7750,N078,N078 Channel 50,https://www.youtube.com/@n078channel50,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7751,N078,N078 Channel 51,https://www.youtube.com/@n078channel51,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7752,N078,N078 Channel 52,https://www.youtube.com/@n078channel52,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7753,N078,N078 Channel 53,https://www.youtube.com/@n078channel53,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7754,N078,N078 Channel 54,https://www.youtube.com/@n078channel54,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7755,N078,N078 Channel 55,https://www.youtube.com/@n078channel55,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7756,N078,N078 Channel 56,https://www.youtube.com/@n078channel56,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7757,N078,N078 Channel 57,https://www.youtube.com/@n078channel57,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7758,N078,N078 Channel 58,https://www.youtube.com/@n078channel58,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7759,N078,N078 Channel 59,https://www.youtube.com/@n078channel59,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7760,N078,N078 Channel 60,https://www.youtube.com/@n078channel60,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7761,N078,N078 Channel 61,https://www.youtube.com/@n078channel61,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7762,N078,N078 Channel 62,https://www.youtube.com/@n078channel62,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7763,N078,N078 Channel 63,https://www.youtube.com/@n078channel63,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7764,N078,N078 Channel 64,https://www.youtube.com/@n078channel64,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7765,N078,N078 Channel 65,https://www.youtube.com/@n078channel65,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7766,N078,N078 Channel 66,https://www.youtube.com/@n078channel66,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7767,N078,N078 Channel 67,https://www.youtube.com/@n078channel67,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7768,N078,N078 Channel 68,https://www.youtube.com/@n078channel68,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7769,N078,N078 Channel 69,https://www.youtube.com/@n078channel69,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7770,N078,N078 Channel 70,https://www.youtube.com/@n078channel70,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7771,N078,N078 Channel 71,https://www.youtube.com/@n078channel71,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7772,N078,N078 Channel 72,https://www.youtube.com/@n078channel72,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7773,N078,N078 Channel 73,https://www.youtube.com/@n078channel73,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7774,N078,N078 Channel 74,https://www.youtube.com/@n078channel74,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7775,N078,N078 Channel 75,https://www.youtube.com/@n078channel75,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7776,N078,N078 Channel 76,https://www.youtube.com/@n078channel76,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7777,N078,N078 Channel 77,https://www.youtube.com/@n078channel77,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7778,N078,N078 Channel 78,https://www.youtube.com/@n078channel78,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7779,N078,N078 Channel 79,https://www.youtube.com/@n078channel79,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7780,N078,N078 Channel 80,https://www.youtube.com/@n078channel80,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7781,N078,N078 Channel 81,https://www.youtube.com/@n078channel81,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7782,N078,N078 Channel 82,https://www.youtube.com/@n078channel82,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
CH7783,N078,N078 Channel 83,https://www.youtube.com/@n078channel83,5000,,,talking_head,en,US,Pending research - N078 niche channel,2026-04-16,pending_verification
